	MFC_ATCC27716_proteins	MFC_MF11_proteins	MFC_MF18_proteins	MFC_MF22_proteins	MFC_MF29_proteins	MFC_MF30_proteins	MFC_MF33_proteins	MFC_Ms42_proteins	MHP_111A_proteins	MHP_112B_proteins	MHP_116_proteins	MHP_11_proteins	MHP_1257_proteins	MHP_131B_proteins	MHP_133A_proteins	MHP_153B_proteins	MHP_154B_proteins	MHP_168L_proteins	MHP_168_proteins	MHP_232_proteins	MHP_4284_proteins	MHP_7422_proteins	MHP_7448_proteins	MHP_98_proteins	MHP_ES2L_proteins	MHP_ES2_proteins	MHP_F72C_proteins	MHP_J_proteins	MHP_KM014_proteins	MHP_LH_proteins	MHP_MHP650_proteins	MHP_MHP653_proteins	MHP_MHP679_proteins	MHP_MHP682_proteins	MHP_MHP691_proteins	MHP_MHP694_proteins	MHP_MHP696_proteins	MHP_MHP699_proteins	MHP_MHP709_proteins	MHP_NCTC10127_proteins	MHP_TB1_proteins	MHP_UFV01_proteins	MHP_UFV02_proteins	MHP_Ue273_proteins
MFC_ATCC27716_proteins	0.0	3.0	3.0	2.0	6.0	2.0	0.0	2.0	7.0	8.0	7.0	9.0	7.0	10.0	9.0	8.0	8.0	10.0	11.0	9.0	5.0	7.0	8.0	11.0	7.0	9.0	7.0	8.0	8.0	11.0	9.0	7.0	4.0	8.0	7.0	8.0	8.0	9.0	8.0	12.0	11.0	10.0	10.0	8.0
MFC_MF11_proteins	9.0	0.0	3.0	2.0	6.0	2.0	5.0	6.0	7.0	8.0	7.0	11.0	6.0	9.0	8.0	7.0	6.0	12.0	13.0	11.0	5.0	9.0	9.0	10.0	9.0	11.0	5.0	10.0	8.0	10.0	8.0	5.0	5.0	8.0	8.0	9.0	7.0	11.0	7.0	14.0	13.0	9.0	9.0	8.0
MFC_MF18_proteins	8.0	0.0	0.0	1.0	5.0	3.0	3.0	7.0	7.0	8.0	7.0	11.0	6.0	9.0	8.0	6.0	5.0	11.0	12.0	11.0	5.0	8.0	9.0	10.0	8.0	10.0	5.0	8.0	6.0	10.0	8.0	5.0	5.0	8.0	7.0	6.0	7.0	10.0	7.0	14.0	11.0	8.0	8.0	8.0
MFC_MF22_proteins	10.0	0.0	3.0	0.0	6.0	2.0	5.0	7.0	7.0	8.0	6.0	10.0	6.0	9.0	8.0	5.0	4.0	11.0	12.0	10.0	4.0	8.0	7.0	10.0	9.0	10.0	5.0	8.0	6.0	9.0	8.0	5.0	5.0	8.0	9.0	7.0	7.0	10.0	7.0	12.0	11.0	8.0	8.0	7.0
MFC_MF29_proteins	8.0	0.0	0.0	2.0	0.0	2.0	1.0	5.0	5.0	6.0	6.0	7.0	5.0	6.0	5.0	6.0	5.0	8.0	9.0	7.0	4.0	6.0	7.0	7.0	6.0	9.0	4.0	7.0	7.0	6.0	7.0	4.0	4.0	5.0	6.0	5.0	6.0	9.0	6.0	11.0	8.0	8.0	8.0	6.0
MFC_MF30_proteins	9.0	3.0	4.0	4.0	8.0	0.0	4.0	6.0	9.0	9.0	10.0	10.0	7.0	11.0	10.0	9.0	9.0	11.0	13.0	12.0	9.0	8.0	9.0	10.0	9.0	12.0	9.0	12.0	9.0	11.0	9.0	7.0	4.0	8.0	7.0	9.0	9.0	11.0	9.0	14.0	11.0	10.0	10.0	10.0
MFC_MF33_proteins	4.0	0.0	3.0	3.0	4.0	2.0	0.0	3.0	8.0	9.0	8.0	9.0	7.0	10.0	9.0	8.0	7.0	11.0	12.0	9.0	6.0	7.0	7.0	10.0	8.0	9.0	6.0	9.0	7.0	8.0	8.0	5.0	5.0	8.0	7.0	7.0	8.0	9.0	8.0	12.0	10.0	10.0	10.0	8.0
MFC_Ms42_proteins	4.0	2.0	4.0	2.0	7.0	2.0	1.0	0.0	8.0	9.0	7.0	9.0	6.0	10.0	9.0	8.0	8.0	11.0	12.0	9.0	6.0	8.0	8.0	11.0	8.0	10.0	6.0	9.0	9.0	9.0	9.0	7.0	4.0	8.0	8.0	8.0	8.0	9.0	8.0	12.0	12.0	9.0	9.0	10.0
MHP_111A_proteins	11.0	3.0	7.0	5.0	8.0	6.0	5.0	7.0	0.0	1.0	3.0	4.0	2.0	8.0	4.0	3.0	3.0	4.0	5.0	3.0	1.0	0.0	1.0	3.0	1.0	9.0	3.0	6.0	8.0	2.0	4.0	0.0	5.0	2.0	3.0	6.0	0.0	4.0	0.0	11.0	7.0	4.0	6.0	3.0
MHP_112B_proteins	12.0	4.0	7.0	5.0	8.0	6.0	5.0	8.0	4.0	0.0	3.0	5.0	2.0	8.0	5.0	5.0	6.0	4.0	5.0	4.0	1.0	0.0	1.0	2.0	0.0	10.0	3.0	6.0	8.0	4.0	5.0	1.0	6.0	3.0	3.0	7.0	0.0	5.0	0.0	14.0	7.0	5.0	8.0	3.0
MHP_116_proteins	11.0	6.0	10.0	7.0	9.0	8.0	7.0	9.0	6.0	6.0	0.0	7.0	4.0	12.0	11.0	5.0	6.0	5.0	6.0	7.0	3.0	6.0	5.0	8.0	7.0	10.0	3.0	4.0	5.0	6.0	7.0	4.0	6.0	3.0	7.0	10.0	5.0	9.0	5.0	11.0	9.0	7.0	10.0	6.0
MHP_11_proteins	11.0	4.0	7.0	6.0	8.0	8.0	5.0	7.0	4.0	4.0	3.0	0.0	2.0	6.0	7.0	3.0	3.0	4.0	4.0	0.0	1.0	3.0	2.0	5.0	3.0	7.0	1.0	5.0	4.0	1.0	2.0	2.0	4.0	2.0	1.0	2.0	3.0	2.0	3.0	11.0	5.0	4.0	5.0	6.0
