	MFC_ATCC27716_proteins	MFC_MF11_proteins	MFC_MF18_proteins	MFC_MF22_proteins	MFC_MF29_proteins	MFC_MF30_proteins	MFC_MF33_proteins	MFC_Ms42_proteins	MHP_111A_proteins	MHP_112B_proteins	MHP_116_proteins	MHP_11_proteins	MHP_1257_proteins	MHP_131B_proteins	MHP_133A_proteins	MHP_153B_proteins	MHP_154B_proteins	MHP_168L_proteins	MHP_168_proteins	MHP_232_proteins	MHP_4284_proteins	MHP_7422_proteins	MHP_7448_proteins	MHP_98_proteins	MHP_ES2L_proteins	MHP_ES2_proteins	MHP_F72C_proteins	MHP_J_proteins	MHP_KM014_proteins	MHP_LH_proteins	MHP_MHP650_proteins	MHP_MHP653_proteins	MHP_MHP679_proteins	MHP_MHP682_proteins	MHP_MHP691_proteins	MHP_MHP694_proteins	MHP_MHP696_proteins	MHP_MHP699_proteins	MHP_MHP709_proteins	MHP_NCTC10127_proteins	MHP_TB1_proteins	MHP_UFV01_proteins	MHP_UFV02_proteins	MHP_Ue273_proteins
MFC_ATCC27716_proteins	0.0	18.0	16.0	20.0	16.0	20.0	8.0	8.0	22.0	24.0	23.0	23.0	26.0	23.0	23.0	25.0	27.0	21.0	19.0	23.0	23.0	18.0	27.0	23.0	25.0	21.0	25.0	23.0	16.0	27.0	23.0	20.0	22.0	31.0	23.0	21.0	25.0	23.0	27.0	21.0	21.0	23.0	23.0	23.0
MFC_MF11_proteins	6.0	0.0	0.0	0.0	0.0	9.0	0.0	4.0	7.0	9.0	13.0	9.0	11.0	9.0	9.0	9.0	9.0	9.0	9.0	11.0	11.0	9.0	11.0	11.0	11.0	11.0	11.0	13.0	5.0	9.0	9.0	7.0	9.0	11.0	9.0	11.0	11.0	11.0	11.0	9.0	11.0	9.0	9.0	6.0
MFC_MF18_proteins	6.0	6.0	0.0	6.0	0.0	9.0	6.0	8.0	14.0	14.0	20.0	14.0	18.0	14.0	16.0	16.0	16.0	12.0	12.0	16.0	18.0	12.0	18.0	20.0	12.0	16.0	16.0	12.0	8.0	16.0	16.0	14.0	14.0	16.0	14.0	14.0	18.0	18.0	18.0	14.0	12.0	14.0	14.0	14.0
MFC_MF22_proteins	4.0	4.0	2.0	0.0	4.0	12.0	6.0	4.0	10.0	10.0	14.0	12.0	12.0	12.0	12.0	14.0	14.0	12.0	12.0	12.0	12.0	10.0	12.0	12.0	12.0	12.0	12.0	12.0	8.0	12.0	12.0	10.0	10.0	12.0	12.0	12.0	12.0	12.0	12.0	12.0	12.0	10.0	10.0	10.0
MFC_MF29_proteins	12.0	13.0	11.0	13.0	0.0	20.0	9.0	14.0	16.0	16.0	19.0	17.0	17.0	15.0	19.0	25.0	25.0	15.0	15.0	17.0	20.0	10.0	15.0	17.0	15.0	15.0	21.0	17.0	8.0	19.0	19.0	14.0	16.0	17.0	17.0	18.0	26.0	17.0	26.0	17.0	15.0	13.0	13.0	15.0
MFC_MF30_proteins	4.0	4.0	6.0	4.0	4.0	0.0	4.0	4.0	12.0	12.0	16.0	16.0	14.0	12.0	12.0	14.0	12.0	14.0	14.0	16.0	14.0	12.0	14.0	14.0	16.0	16.0	14.0	14.0	8.0	16.0	14.0	12.0	12.0	16.0	14.0	16.0	14.0	14.0	14.0	16.0	14.0	14.0	14.0	12.0
MFC_MF33_proteins	0.0	10.0	6.0	10.0	2.0	11.0	0.0	2.0	10.0	10.0	15.0	11.0	13.0	11.0	13.0	15.0	15.0	11.0	11.0	11.0	13.0	8.0	15.0	13.0	11.0	11.0	13.0	11.0	6.0	13.0	13.0	10.0	10.0	13.0	11.0	15.0	15.0	11.0	15.0	11.0	11.0	13.0	13.0	9.0
MFC_Ms42_proteins	4.0	12.0	14.0	14.0	10.0	14.0	7.0	0.0	16.0	18.0	18.0	14.0	27.0	20.0	18.0	20.0	18.0	14.0	12.0	18.0	16.0	16.0	24.0	16.0	18.0	22.0	18.0	18.0	12.0	20.0	14.0	16.0	15.0	25.0	16.0	16.0	16.0	16.0	19.0	14.0	14.0	16.0	16.0	12.0
MHP_111A_proteins	16.0	14.0	14.0	14.0	10.0	21.0	22.0	18.0	0.0	8.0	14.0	12.0	38.0	15.0	15.0	22.0	19.0	7.0	7.0	14.0	16.0	14.0	27.0	15.0	9.0	11.0	15.0	13.0	12.0	9.0	7.0	20.0	15.0	17.0	15.0	14.0	23.0	18.0	25.0	12.0	5.0	10.0	10.0	26.0
MHP_112B_proteins	18.0	17.0	17.0	17.0	12.0	23.0	24.0	20.0	2.0	0.0	12.0	11.0	30.0	10.0	10.0	15.0	12.0	6.0	6.0	11.0	12.0	12.0	18.0	12.0	8.0	4.0	10.0	12.0	12.0	6.0	6.0	18.0	17.0	12.0	16.0	11.0	20.0	11.0	24.0	11.0	2.0	11.0	11.0	21.0
MHP_116_proteins	17.0	15.0	15.0	13.0	13.0	25.0	24.0	17.0	6.0	6.0	0.0	10.0	24.0	6.0	6.0	10.0	10.0	6.0	6.0	12.0	6.0	6.0	8.0	10.0	6.0	4.0	14.0	9.0	10.0	6.0	12.0	8.0	11.0	12.0	8.0	8.0	17.0	10.0	19.0	12.0	6.0	6.0	8.0	8.0
MHP_11_proteins	22.0	23.0	23.0	21.0	15.0	24.0	24.0	22.0	8.0	10.0	15.0	0.0	13.0	6.0	6.0	12.0	12.0	20.0	18.0	0.0	8.0	8.0	6.0	14.0	8.0	2.0	10.0	8.0	14.0	8.0	12.0	4.0	12.0	7.0	10.0	8.0	21.0	4.0	21.0	0.0	14.0	6.0	6.0	4.0
MHP_1257_proteins	18.0	13.0	13.0	13.0	11.0	18.0	17.0	15.0	4.0	4.0	9.0	5.0	0.0	2.0	2.0	4.0	4.0	4.0	2.0	5.0	4.0	5.0	5.0	8.0	8.0	2.0	5.0	5.0	10.0	2.0	6.0	4.0	6.0	2.0	6.0	9.0	8.0	4.0	9.0	5.0	4.0	4.0	2.0	2.0
MHP_131B_proteins	24.0	19.0	19.0	19.0	13.0	30.0	28.0	24.0	16.0	16.0	26.0	12.0	28.0	0.0	6.0	14.0	14.0	8.0	6.0	14.0	16.0	17.0	15.0	24.0	15.0	8.0	21.0	10.0	16.0	9.0	10.0	13.0	20.0	19.0	15.0	16.0	35.0	16.0	39.0	12.0	6.0	6.0	6.0	11.0
