Orthogroup	Duplications (all)	Duplications (50% support)
OG0000000	64	10
OG0000001	15	3
OG0000002	10	4
OG0000003	20	3
OG0000004	15	5
OG0000005	5	2
OG0000006	23	1
OG0000007	7	2
OG0000008	8	3
OG0000009	5	1
OG0000010	9	1
OG0000011	5	2
OG0000012	25	12
OG0000013	2	2
OG0000014	4	2
OG0000015	11	1
OG0000016	5	1
OG0000017	1	1
OG0000018	15	3
OG0000019	12	3
OG0000020	3	1
OG0000021	8	0
OG0000022	2	1
OG0000023	17	5
OG0000024	2	1
OG0000025	1	1
OG0000026	1	1
OG0000027	1	1
OG0000028	17	5
OG0000029	2	1
OG0000030	1	1
OG0000031	3	1
OG0000032	5	1
OG0000033	11	3
OG0000034	10	1
OG0000035	3	1
OG0000036	4	2
OG0000037	5	1
OG0000038	5	0
OG0000039	2	1
OG0000040	5	2
OG0000041	6	0
OG0000042	3	1
OG0000043	1	0
OG0000044	1	0
OG0000045	3	1
OG0000046	6	2
OG0000047	4	1
OG0000048	4	0
OG0000049	3	1
OG0000050	5	3
OG0000051	1	0
OG0000052	1	0
OG0000053	1	0
OG0000054	1	0
OG0000055	1	1
OG0000056	1	0
OG0000057	2	1
OG0000058	4	0
OG0000059	6	1
OG0000060	2	0
OG0000061	3	0
OG0000062	1	0
OG0000063	1	1
OG0000064	0	0
OG0000065	1	0
OG0000066	1	0
OG0000067	1	0
OG0000068	0	0
OG0000069	1	1
OG0000070	1	1
OG0000071	1	0
OG0000072	1	0
OG0000073	1	1
OG0000074	1	0
OG0000075	1	0
OG0000076	1	0
OG0000077	0	0
OG0000078	1	0
OG0000079	1	1
OG0000080	1	1
OG0000081	1	0
OG0000082	3	0
OG0000083	0	0
OG0000084	0	0
OG0000085	1	0
OG0000086	0	0
OG0000087	0	0
OG0000088	0	0
OG0000089	0	0
OG0000090	0	0
OG0000091	0	0
OG0000092	0	0
OG0000093	0	0
OG0000094	0	0
OG0000095	0	0
OG0000096	0	0
OG0000097	0	0
OG0000098	1	0
OG0000099	1	0
OG0000100	0	0
OG0000101	0	0
OG0000102	0	0
OG0000103	0	0
OG0000104	0	0
OG0000105	0	0
OG0000106	0	0
OG0000107	0	0
OG0000108	0	0
OG0000109	0	0
OG0000110	0	0
OG0000111	0	0
OG0000112	0	0
OG0000113	0	0
OG0000114	0	0
OG0000115	0	0
OG0000116	0	0
OG0000117	0	0
OG0000118	0	0
OG0000119	0	0
OG0000120	0	0
OG0000121	0	0
OG0000122	0	0
OG0000123	0	0
OG0000124	0	0
OG0000125	0	0
OG0000126	0	0
OG0000127	0	0
OG0000128	0	0
OG0000129	0	0
OG0000130	0	0
OG0000131	0	0
OG0000132	0	0
OG0000133	0	0
OG0000134	0	0
OG0000135	0	0
OG0000136	0	0
OG0000137	0	0
OG0000138	0	0
OG0000139	0	0
OG0000140	0	0
OG0000141	0	0
OG0000142	0	0
OG0000143	0	0
OG0000144	0	0
OG0000145	0	0
OG0000146	0	0
OG0000147	0	0
OG0000148	0	0
OG0000149	0	0
OG0000150	0	0
OG0000151	0	0
OG0000152	0	0
OG0000153	0	0
OG0000154	0	0
OG0000155	0	0
OG0000156	0	0
OG0000157	0	0
OG0000158	0	0
OG0000159	0	0
OG0000160	0	0
OG0000161	0	0
OG0000162	1	0
OG0000163	0	0
OG0000164	0	0
OG0000165	0	0
OG0000166	0	0
OG0000167	0	0
OG0000168	0	0
OG0000169	0	0
OG0000170	1	1
OG0000171	0	0
OG0000172	0	0
OG0000173	0	0
OG0000174	0	0
OG0000175	0	0
OG0000176	0	0
OG0000177	0	0
OG0000178	0	0
OG0000179	0	0
OG0000180	0	0
OG0000181	0	0
OG0000182	0	0
OG0000183	0	0
OG0000184	0	0
OG0000185	0	0
OG0000186	0	0
OG0000187	0	0
OG0000188	0	0
OG0000189	0	0
OG0000190	0	0
OG0000191	0	0
OG0000192	0	0
OG0000193	0	0
OG0000194	0	0
OG0000195	0	0
OG0000196	0	0
OG0000197	0	0
OG0000198	0	0
OG0000199	0	0
OG0000200	0	0
OG0000201	0	0
OG0000202	0	0
OG0000203	0	0
OG0000204	0	0
OG0000205	0	0
OG0000206	0	0
OG0000207	0	0
OG0000208	0	0
OG0000209	0	0
OG0000210	0	0
OG0000211	0	0
OG0000212	0	0
OG0000213	0	0
OG0000214	0	0
OG0000215	0	0
OG0000216	0	0
OG0000217	0	0
OG0000218	0	0
OG0000219	0	0
OG0000220	0	0
OG0000221	0	0
OG0000222	0	0
OG0000223	0	0
OG0000224	0	0
OG0000225	0	0
OG0000226	0	0
OG0000227	0	0
OG0000228	0	0
OG0000229	0	0
OG0000230	0	0
OG0000231	0	0
OG0000232	0	0
OG0000233	0	0
OG0000234	0	0
OG0000235	0	0
OG0000236	0	0
OG0000237	0	0
OG0000238	0	0
OG0000239	0	0
OG0000240	0	0
OG0000241	0	0
OG0000242	0	0
OG0000243	0	0
OG0000244	0	0
OG0000245	0	0
OG0000246	0	0
OG0000247	0	0
OG0000248	0	0
OG0000249	1	1
OG0000250	0	0
OG0000251	0	0
OG0000252	0	0
OG0000253	0	0
OG0000254	0	0
OG0000255	0	0
OG0000256	0	0
OG0000257	0	0
OG0000258	0	0
OG0000259	0	0
OG0000260	0	0
OG0000261	0	0
OG0000262	0	0
OG0000263	0	0
OG0000264	0	0
OG0000265	0	0
OG0000266	0	0
OG0000267	0	0
OG0000268	0	0
OG0000269	0	0
OG0000270	0	0
OG0000271	0	0
OG0000272	0	0
OG0000273	0	0
OG0000274	0	0
OG0000275	0	0
OG0000276	0	0
OG0000277	0	0
OG0000278	0	0
OG0000279	0	0
OG0000280	0	0
OG0000281	0	0
OG0000282	1	0
OG0000283	0	0
OG0000284	0	0
OG0000285	0	0
OG0000286	0	0
OG0000287	0	0
OG0000288	0	0
OG0000289	0	0
OG0000290	0	0
OG0000291	0	0
OG0000292	0	0
OG0000293	0	0
OG0000294	0	0
OG0000295	0	0
OG0000296	0	0
OG0000297	0	0
OG0000298	0	0
OG0000299	0	0
OG0000300	0	0
OG0000301	0	0
OG0000302	0	0
OG0000303	0	0
OG0000304	0	0
OG0000305	0	0
OG0000306	0	0
OG0000307	0	0
OG0000308	0	0
OG0000309	0	0
OG0000310	0	0
OG0000311	0	0
OG0000312	0	0
OG0000313	0	0
OG0000314	0	0
OG0000315	0	0
OG0000316	0	0
OG0000317	0	0
OG0000318	0	0
OG0000319	0	0
OG0000320	0	0
OG0000321	0	0
OG0000322	0	0
OG0000323	0	0
OG0000324	0	0
OG0000325	0	0
OG0000326	0	0
OG0000327	0	0
OG0000328	0	0
OG0000329	0	0
OG0000330	0	0
OG0000331	0	0
OG0000332	0	0
OG0000333	0	0
OG0000334	0	0
OG0000335	0	0
OG0000336	0	0
OG0000337	0	0
OG0000338	0	0
OG0000339	0	0
OG0000340	0	0
OG0000341	0	0
OG0000342	0	0
OG0000343	0	0
OG0000344	0	0
OG0000345	0	0
OG0000346	0	0
OG0000347	0	0
OG0000348	0	0
OG0000349	0	0
OG0000350	0	0
OG0000351	0	0
OG0000352	0	0
OG0000353	0	0
OG0000354	0	0
OG0000355	0	0
OG0000356	0	0
OG0000357	0	0
OG0000358	0	0
OG0000359	0	0
OG0000360	0	0
OG0000361	0	0
OG0000362	0	0
OG0000363	0	0
OG0000364	2	0
OG0000365	0	0
OG0000366	0	0
OG0000367	0	0
OG0000368	0	0
OG0000369	0	0
OG0000370	0	0
OG0000371	0	0
OG0000372	0	0
OG0000373	0	0
OG0000374	0	0
OG0000375	0	0
OG0000376	0	0
OG0000377	0	0
OG0000378	0	0
OG0000379	0	0
OG0000380	0	0
OG0000381	0	0
OG0000382	0	0
OG0000383	0	0
OG0000384	0	0
OG0000385	0	0
OG0000386	0	0
OG0000387	0	0
OG0000388	0	0
