#                                                                                  --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name              accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#      ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CP098240.1:790640-792379|- -            580 539at2085            -            541    2e-246  814.2  13.8   1   1  1.3e-248  2.3e-246  814.0  13.8     1   541     8   574     8   574 0.97 CP098240.1_652 # 790640 # 792379 # -1 # ID=1_652;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.298
CP098240.1:69957-70910|+   -            318 539at2085            -            541   3.1e-10   34.7   1.1   1   2   6.5e-09   1.2e-06   22.9   0.1   235   346    19   130    12   134 0.88 CP098240.1_64 # 69957 # 70910 # 1 # ID=1_64;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.308
CP098240.1:69957-70910|+   -            318 539at2085            -            541   3.1e-10   34.7   1.1   2   2   3.1e-05    0.0057   10.7   0.1   451   540   216   311   210   312 0.83 CP098240.1_64 # 69957 # 70910 # 1 # ID=1_64;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.308
CP098240.1:497641-499080|- -            480 539at2085            -            541   1.8e-07   25.6   6.6   1   3     0.014       2.6    2.0   0.0   186   317    43   184    34   196 0.65 CP098240.1_430 # 497641 # 499080 # -1 # ID=1_430;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.308
CP098240.1:497641-499080|- -            480 539at2085            -            541   1.8e-07   25.6   6.6   2   3   1.6e-09   2.9e-07   24.9   2.3   408   525   237   366   226   382 0.78 CP098240.1_430 # 497641 # 499080 # -1 # ID=1_430;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.308
CP098240.1:497641-499080|- -            480 539at2085            -            541   1.8e-07   25.6   6.6   3   3      0.12        22   -1.1   0.1    29   128   366   470   360   473 0.52 CP098240.1_430 # 497641 # 499080 # -1 # ID=1_430;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.308
CP098240.1:324225-325466|+ -            414 539at2085            -            541   0.00012   16.2   0.4   1   3      0.17        31   -1.6   0.2    99   142     9    52     3    89 0.64 CP098240.1_287 # 324225 # 325466 # 1 # ID=1_287;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.319
CP098240.1:324225-325466|+ -            414 539at2085            -            541   0.00012   16.2   0.4   2   3   2.1e-05    0.0039   11.3   0.0   153   362   133   347   128   353 0.80 CP098240.1_287 # 324225 # 325466 # 1 # ID=1_287;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.319
CP098240.1:324225-325466|+ -            414 539at2085            -            541   0.00012   16.2   0.4   3   3     0.014       2.6    2.0   0.0   411   458   361   406   354   409 0.76 CP098240.1_287 # 324225 # 325466 # 1 # ID=1_287;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.319
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/131B/Use/busco_downloads/lineages/mycoplasmatales_odb10/hmms/539at2085.hmm
# Target file:     /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/131B/Use/busco_complete/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/131B/Use/busco_complete/run_mycoplasmatales_odb10/hmmer_output/539at2085.out --cpu 1 /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/131B/Use/busco_downloads/lineages/mycoplasmatales_odb10/hmms/539at2085.hmm /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/131B/Use/busco_complete/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/131B/Use
# Date:            Thu Nov 28 19:20:50 2024
# [ok]
