Orthogroup	MHP_7422_proteins	MFC_MF29_proteins
OG0000000	WP_318023952.1	WP_308704665.1
OG0000001	WP_020835629.1, WP_228365393.1, WP_228366104.1, WP_020835822.1	WP_039387745.1, WP_160580916.1
OG0000002	WP_020835737.1	WP_160581489.1
OG0000002	WP_020835682.1	WP_160581136.1
OG0000003	WP_041361653.1	WP_160581478.1
OG0000007	WP_020835743.1	WP_160581480.1
OG0000007	WP_020835742.1	WP_160581482.1
OG0000007	WP_002557992.1	WP_002557992.1
OG0000008	WP_041361617.1	WP_220200574.1
OG0000011	WP_020835714.1, WP_020835715.1	WP_220200593.1, WP_258555793.1
OG0000011	WP_020835713.1	WP_308704663.1
OG0000013	WP_020835777.1	WP_160580981.1, WP_160580979.1
OG0000013	WP_020835504.1	WP_258555762.1
OG0000014	WP_041361548.1, WP_020835603.1, WP_020835563.1	WP_220200543.1
OG0000015	WP_020835561.1	WP_020835561.1
OG0000016	WP_020835836.1	WP_160580902.1
OG0000017	WP_020835500.1	WP_160581069.1
OG0000017	WP_020835837.1	WP_160580898.1
OG0000018	WP_041361561.1	WP_160581239.1
OG0000020	WP_020835927.1	WP_160581116.1
OG0000020	WP_020835928.1	WP_220200556.1
OG0000022	WP_020835680.1	WP_160581132.1
OG0000023	WP_020835559.1, WP_020835560.1	WP_258555660.1
OG0000024	WP_011290315.1, WP_011290098.1	WP_231237865.1
OG0000025	WP_020835679.1	WP_160581130.1
OG0000026	WP_020835640.1	WP_160581190.1
OG0000027	WP_020835905.1	WP_160581395.1
OG0000029	WP_020835602.1, WP_020835564.1	WP_160580866.1
OG0000030	WP_236607958.1, WP_020835904.1	WP_160581397.1
OG0000031	WP_011290238.1	WP_011290238.1
OG0000039	WP_041361612.1	WP_160580876.1
OG0000042	WP_041361801.1	WP_160580874.1, WP_160580909.1
OG0000043	WP_011290239.1	WP_160581416.1
OG0000045	WP_020835667.1	WP_255454455.1, WP_255454456.1
OG0000047	WP_020835556.1	WP_155897261.1
OG0000048	WP_020835735.1	WP_308704664.1, WP_160581439.1
OG0000049	WP_020835860.1	WP_308704657.1
OG0000050	WP_020835784.1	WP_160581404.1
