Orthogroup	MHP_ES2_proteins	MHP_131B_proteins
OG0000000	WP_240536417.1	WP_404924494.1
OG0000000	WP_240536413.1	WP_404924493.1
OG0000000	WP_240536415.1	WP_404924492.1
OG0000000	WP_240536311.1	WP_404924511.1
OG0000000	WP_094521686.1	WP_404924212.1
OG0000000	WP_135618898.1	WP_148174330.1
OG0000000	WP_318026010.1	WP_258556712.1
OG0000000	WP_135618783.1	WP_404924561.1
OG0000000	WP_318026031.1, WP_334199108.1	WP_404924489.1
OG0000001	WP_193325079.1	WP_187145661.1
OG0000001	WP_240536341.1	WP_404924272.1
OG0000002	WP_237697200.1	WP_225972974.1
OG0000002	WP_081430767.1	WP_404924222.1
OG0000002	WP_135618870.1	WP_404924509.1
OG0000002	WP_135618787.1	WP_404924467.1
OG0000003	WP_135618540.1	WP_404924388.1
OG0000003	WP_135618606.1	WP_404923944.1
OG0000003	WP_228729174.1	WP_404924565.1
OG0000004	WP_014579982.1	WP_160588068.1
OG0000004	WP_135619088.1	WP_404924305.1
OG0000004	WP_135619092.1	WP_404924307.1
OG0000004	WP_240536349.1	WP_404924497.1
OG0000005	WP_135618450.1	WP_011289941.1
OG0000005	WP_135618456.1	WP_146379452.1
OG0000005	WP_135618452.1	WP_404924354.1
OG0000005	WP_135618458.1	WP_347952346.1
OG0000006	WP_135618942.1	WP_404924250.1, WP_280996645.1
OG0000006	WP_240536328.1, WP_240536326.1	WP_404924232.1
OG0000007	WP_135618608.1	WP_160576975.1
OG0000007	WP_011284157.1	WP_404923946.1
OG0000007	WP_002557993.1	WP_404924219.1
OG0000008	WP_240536315.1, WP_011206260.1	WP_404924227.1
OG0000008	WP_240536388.1	WP_404924560.1
OG0000008	WP_240536339.1, WP_240536338.1	WP_404924495.1
OG0000009	WP_011206100.1	WP_404924404.1
OG0000009	WP_135618567.1	WP_011290021.1
OG0000010	WP_135618816.1	WP_404924479.1
OG0000011	WP_135618832.1	WP_404924567.1
OG0000013	WP_240536333.1	WP_225972984.1
OG0000013	WP_240536360.1	WP_404924502.1
OG0000014	WP_135618555.1	WP_404924549.1
OG0000014	WP_135618629.1	WP_404924552.1
OG0000014	WP_135618557.1	WP_404924399.1
OG0000015	WP_135618763.1	WP_135618763.1
OG0000015	WP_135618902.1	WP_404924384.1
OG0000016	WP_135619010.1	WP_404924526.1
OG0000016	WP_135618472.1	WP_404924358.1
OG0000017	WP_020835500.1	WP_020835500.1
OG0000017	WP_020835837.1	WP_020835837.1
OG0000018	WP_135618751.1	WP_404924379.1
OG0000019	WP_135619053.1	WP_404924528.1
OG0000020	WP_240536358.1	WP_404924535.1
OG0000021	WP_135618797.1	WP_404924471.1
OG0000021	WP_011206128.1	WP_404924389.1
OG0000022	WP_135618767.1	WP_404924458.1
OG0000022	WP_135618781.1	WP_146379581.1
OG0000023	WP_135618754.1, WP_240536321.1, WP_240536323.1, WP_240536322.1	WP_404924382.1
OG0000024	WP_135618988.1	WP_179696078.1
OG0000024	WP_135618668.1	WP_404924435.1
OG0000025	WP_135618769.1	WP_404924459.1
OG0000025	WP_135618779.1	WP_404924464.1
OG0000026	WP_044284614.1	WP_020835640.1
OG0000026	WP_135618775.1	WP_160606777.1
OG0000027	WP_135619129.1	WP_020835902.1
OG0000027	WP_135619132.1	WP_404924323.1
OG0000028	WP_135618930.1	WP_404924522.1, WP_404924521.1
OG0000029	WP_135618627.1	WP_404924422.1
OG0000029	WP_135618559.1	WP_404924400.1
OG0000030	WP_240536353.1	WP_308704613.1
OG0000030	WP_020835904.1	WP_404924534.1
OG0000031	WP_011284063.1	WP_404924450.1
OG0000032	WP_135618726.1	WP_135618726.1
OG0000032	WP_240536354.1	WP_404924322.1
OG0000035	WP_135619086.1	WP_404924533.1
OG0000035	WP_135619082.1	WP_160588066.1
OG0000036	WP_135618460.1	WP_146379454.1
OG0000037	WP_240536407.1	WP_404924569.1
OG0000037	WP_020835661.1	WP_020835661.1
OG0000038	WP_135618538.1	WP_404924387.1
OG0000038	WP_135618793.1	WP_404924469.1
OG0000039	WP_135618739.1, WP_167871264.1	WP_404924559.1
OG0000040	WP_135619110.1	WP_404924313.1
OG0000041	WP_135618565.1	WP_011290019.1
OG0000042	WP_135619032.1	WP_044272729.1
OG0000043	WP_014579804.1	WP_014579804.1
OG0000044	WP_081430780.1	WP_225973034.1
OG0000045	WP_135618740.1	WP_404924452.1
OG0000046	WP_135619114.1	WP_404924315.1
OG0000047	WP_240536319.1	WP_404924546.1
OG0000048	WP_135618866.1	WP_011284150.1
OG0000049	WP_240536351.1	WP_020835860.1
OG0000050	WP_135618938.1	WP_404924247.1
OG0000051	WP_135618969.1	WP_404924263.1
OG0000052	WP_135618448.1	WP_404924352.1
OG0000053	WP_135618705.1	WP_404924445.1
OG0000054	WP_135618940.1	WP_404924248.1
OG0000055	WP_135618462.1	WP_146379455.1
OG0000056	WP_135619162.1	WP_404924340.1
OG0000057	WP_240536348.1	WP_404924285.1
OG0000058	WP_240536387.1	WP_404924373.1
OG0000059	WP_240536325.1	WP_404924377.1
OG0000060	WP_020835489.1	WP_020835489.1
OG0000061	WP_135618818.1	WP_404924566.1
OG0000062	WP_011206522.1	WP_011206522.1
OG0000063	WP_135619169.1	WP_041361715.1
