#                                                                                   --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name               accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#       ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NC_021831.1:764268-766007|- -            580 539at2085            -            541    1e-246  815.2  13.8   1   1  6.6e-249  1.2e-246  815.0  13.8     1   541     8   574     8   574 0.97 NC_021831.1_613 # 764268 # 766007 # -1 # ID=1_613;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.298
NC_021831.1:69670-71037|+   -            456 539at2085            -            541   6.8e-10   33.5   1.8   1   3      0.13        23   -1.2   0.0   197   228    56    87    39   132 0.76 NC_021831.1_63 # 69670 # 71037 # 1 # ID=1_63;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.299
NC_021831.1:69670-71037|+   -            456 539at2085            -            541   6.8e-10   33.5   1.8   2   3   1.3e-08   2.3e-06   21.9   0.1   235   346   157   268   150   272 0.88 NC_021831.1_63 # 69670 # 71037 # 1 # ID=1_63;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.299
NC_021831.1:69670-71037|+   -            456 539at2085            -            541   6.8e-10   33.5   1.8   3   3   5.9e-05      0.01    9.8   0.1   451   540   354   449   348   450 0.83 NC_021831.1_63 # 69670 # 71037 # 1 # ID=1_63;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.299
NC_021831.1:494532-495971|- -            480 539at2085            -            541   1.3e-07   26.0   6.6   1   2    0.0087       1.5    2.7   0.0   186   317    43   184    34   196 0.69 NC_021831.1_417 # 494532 # 495971 # -1 # ID=1_417;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.308
NC_021831.1:494532-495971|- -            480 539at2085            -            541   1.3e-07   26.0   6.6   2   2   1.6e-09   2.8e-07   24.9   2.4   408   525   237   366   226   382 0.78 NC_021831.1_417 # 494532 # 495971 # -1 # ID=1_417;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.308
NC_021831.1:318690-319931|+ -            414 539at2085            -            541   9.2e-05   16.6   0.5   1   3      0.17        30   -1.6   0.2    99   142     9    52     3    89 0.64 NC_021831.1_278 # 318690 # 319931 # 1 # ID=1_278;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.319
NC_021831.1:318690-319931|+ -            414 539at2085            -            541   9.2e-05   16.6   0.5   2   3   1.5e-05    0.0026   11.8   0.0   153   362   133   347   119   353 0.81 NC_021831.1_278 # 318690 # 319931 # 1 # ID=1_278;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.319
NC_021831.1:318690-319931|+ -            414 539at2085            -            541   9.2e-05   16.6   0.5   3   3     0.014       2.4    2.0   0.0   411   458   361   406   353   409 0.77 NC_021831.1_278 # 318690 # 319931 # 1 # ID=1_278;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.319
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/bryan/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/strains/7422/Use/busco_downloads/lineages/mycoplasmatales_odb10/hmms/539at2085.hmm
# Target file:     /home/bryan/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/strains/7422/Use/busco_complete/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/bryan/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/strains/7422/Use/busco_complete/run_mycoplasmatales_odb10/hmmer_output/539at2085.out --cpu 1 /home/bryan/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/strains/7422/Use/busco_downloads/lineages/mycoplasmatales_odb10/hmms/539at2085.hmm /home/bryan/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/strains/7422/Use/busco_complete/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/bryan/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/strains/7422/Use
# Date:            Sun Dec  1 19:07:04 2024
# [ok]
