#                                                                                   --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name               accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#       ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NC_021831.1:111526-112317|+ -            264 1679at2085           -            265   1.3e-78  259.3  12.8   1   1   1.6e-80   1.4e-78  259.2  12.8    12   256     1   255     1   263 0.90 NC_021831.1_94 # 111526 # 112317 # 1 # ID=1_94;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=3-4bp;gc_cont=0.263
NC_021831.1:584598-585194|- -            199 1679at2085           -            265   4.8e-13   44.3   5.3   1   2   8.8e-13   7.7e-11   37.1   0.1   123   172    41    91    32   106 0.90 NC_021831.1_479 # 584598 # 585194 # -1 # ID=1_479;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.296
NC_021831.1:584598-585194|- -            199 1679at2085           -            265   4.8e-13   44.3   5.3   2   2   0.00032     0.028    9.0   1.7    24    97   117   195   102   198 0.77 NC_021831.1_479 # 584598 # 585194 # -1 # ID=1_479;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.296
NC_021831.1:257551-258879|- -            443 1679at2085           -            265   1.6e-12   42.6  16.2   1   3       1.1        93   -2.5   0.1   231   258   137   164   114   170 0.58 NC_021831.1_238 # 257551 # 258879 # -1 # ID=1_238;partial=00;start_type=TTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.315
NC_021831.1:257551-258879|- -            443 1679at2085           -            265   1.6e-12   42.6  16.2   2   3     1e-13   8.9e-12   40.2   0.2    97   174   194   275   184   287 0.78 NC_021831.1_238 # 257551 # 258879 # -1 # ID=1_238;partial=00;start_type=TTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.315
NC_021831.1:257551-258879|- -            443 1679at2085           -            265   1.6e-12   42.6  16.2   3   3   0.00031     0.027    9.1   6.5    21   104   291   366   283   386 0.70 NC_021831.1_238 # 257551 # 258879 # -1 # ID=1_238;partial=00;start_type=TTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.315
NC_021831.1:91640-91984|+   -            115 1679at2085           -            265   7.8e-12   40.4   0.8   1   2   1.1e-12   9.3e-11   36.8   0.3   123   178     6    65     1    79 0.80 NC_021831.1_76 # 91640 # 91984 # 1 # ID=1_76;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.313
NC_021831.1:91640-91984|+   -            115 1679at2085           -            265   7.8e-12   40.4   0.8   2   2     0.027       2.4    2.7   0.0    22    56    78   113    71   114 0.74 NC_021831.1_76 # 91640 # 91984 # 1 # ID=1_76;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.313
NC_021831.1:214126-215007|- -            294 1679at2085           -            265   1.6e-10   36.1   9.5   1   2   2.1e-11   1.8e-09   32.6   0.3   119   175     6    66     2    84 0.78 NC_021831.1_184 # 214126 # 215007 # -1 # ID=1_184;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.290
NC_021831.1:214126-215007|- -            294 1679at2085           -            265   1.6e-10   36.1   9.5   2   2    0.0015      0.13    6.8   4.0    47   103   108   169    77   190 0.77 NC_021831.1_184 # 214126 # 215007 # -1 # ID=1_184;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.290
NC_021831.1:54219-55478|+   -            420 1679at2085           -            265   2.4e-05   19.1  11.3   1   2     8e-07     7e-05   17.6   0.1   124   175   161   215   145   235 0.73 NC_021831.1_45 # 54219 # 55478 # 1 # ID=1_45;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.307
