Orthogroup	MFC_Ms42_genes	MHP_1257_genes
OG0000000	MYF_RS01330	ABKJ22_RS02210
OG0000000	MYF_RS03215	ABKJ22_RS02255
OG0000000	MYF_RS03370, MYF_RS01520, MYF_RS01870, MYF_RS03435	ABKJ22_RS02090
OG0000000	MYF_RS03330, MYF_RS03295	ABKJ22_RS01715
OG0000001	MYF_RS03415	ABKJ22_RS01295, ABKJ22_RS01300, ABKJ22_RS02690, ABKJ22_RS02685
OG0000002	MYF_RS01530	ABKJ22_RS02205
OG0000002	MYF_RS01475	ABKJ22_RS02250
OG0000002	MYF_RS03010	ABKJ22_RS01720
OG0000003	MYF_RS01515	ABKJ22_RS02215
OG0000004	MYF_RS02520, MYF_RS02535, MYF_RS02545	ABKJ22_RS02940
OG0000007	MYF_RS01510	ABKJ22_RS02220
OG0000007	MYF_RS01505	ABKJ22_RS02225
OG0000007	MYF_RS01500	ABKJ22_RS02230
OG0000008	MYF_RS01875	ABKJ22_RS01635
OG0000011	MYF_RS03310	ABKJ22_RS01925
OG0000011	MYF_RS01270	ABKJ22_RS01920
OG0000013	MYF_RS03170, MYF_RS01100	ABKJ22_RS02355
OG0000013	MYF_RS03400	ABKJ22_RS00180
OG0000014	MYF_RS00550	ABKJ22_RS00595, ABKJ22_RS01105, ABKJ22_RS01095
OG0000016	MYF_RS00730	ABKJ22_RS02785
OG0000017	MYF_RS03155	ABKJ22_RS00150
OG0000017	MYF_RS00720	ABKJ22_RS02795
OG0000019	MYF_RS03445, MYF_RS03450	ABKJ22_RS02945
OG0000020	MYF_RS03080	ABKJ22_RS03435
OG0000020	MYF_RS03085	ABKJ22_RS03440
OG0000022	MYF_RS03025	ABKJ22_RS01710
OG0000024	MYF_RS00790	ABKJ22_RS02680, ABKJ22_RS01290
OG0000025	MYF_RS03030	ABKJ22_RS01705
OG0000026	MYF_RS01715	ABKJ22_RS01380, ABKJ22_RS01685
OG0000027	MYF_RS02825	ABKJ22_RS03240
OG0000029	MYF_RS00555	ABKJ22_RS00600, ABKJ22_RS01090
OG0000030	MYF_RS02820	ABKJ22_RS03215, ABKJ22_RS03235
OG0000031	MYF_RS01215	ABKJ22_RS01605
OG0000032	MYF_RS03490	ABKJ22_RS01585
OG0000032	MYF_RS02815	ABKJ22_RS03230
OG0000037	MYF_RS03495, MYF_RS03005	ABKJ22_RS01590
OG0000039	MYF_RS03160, MYF_RS00615	ABKJ22_RS01615
OG0000040	MYF_RS02770, MYF_RS00840	ABKJ22_RS03165
OG0000042	MYF_RS00610, MYF_RS00765	ABKJ22_RS02880
OG0000043	MYF_RS01240	ABKJ22_RS01890
OG0000045	MYF_RS00630	ABKJ22_RS01620
OG0000048	MYF_RS01350	ABKJ22_RS02075
OG0000049	MYF_RS03265, MYF_RS03455	ABKJ22_RS02955
OG0000050	MYF_RS01180	ABKJ22_RS02395
OG0000051	MYF_RS02420	ABKJ22_RS02600
OG0000052	MYF_RS00075	ABKJ22_RS00075
OG0000053	MYF_RS01800	ABKJ22_RS01465
OG0000054	MYF_RS01155	ABKJ22_RS02420
OG0000055	MYF_RS03395, MYF_RS03525	ABKJ22_RS00130
OG0000056	MYF_RS03060	ABKJ22_RS03415
OG0000057	MYF_RS00645	ABKJ22_RS02865
OG0000062	MYF_RS03115	ABKJ22_RS03470
OG0000063	MYF_RS03110	ABKJ22_RS03465
OG0000064	MYF_RS03100	ABKJ22_RS03455
OG0000065	MYF_RS01575	ABKJ22_RS02160
OG0000066	MYF_RS01705	ABKJ22_RS01370
OG0000068	MYF_RS00590	ABKJ22_RS01055
OG0000069	MYF_RS00755	ABKJ22_RS02760
OG0000070	MYF_RS01135	ABKJ22_RS02425
OG0000071	MYF_RS02760	ABKJ22_RS03155
OG0000072	MYF_RS02765	ABKJ22_RS03160
OG0000073	MYF_RS02005	ABKJ22_RS00995
OG0000074	MYF_RS02195	ABKJ22_RS00800
OG0000075	MYF_RS00305	ABKJ22_RS00335
OG0000076	MYF_RS00320	ABKJ22_RS00350
OG0000077	MYF_RS00410	ABKJ22_RS00445
OG0000078	MYF_RS00880	ABKJ22_RS01675
OG0000079	MYF_RS01050	ABKJ22_RS02505
OG0000080	MYF_RS01000, MYF_RS03365	ABKJ22_RS02550
OG0000081	MYF_RS00300	ABKJ22_RS00330
OG0000082	MYF_RS01110	ABKJ22_RS02350
OG0000083	MYF_RS01430	ABKJ22_RS01995
OG0000084	MYF_RS01400	ABKJ22_RS02025
OG0000085	MYF_RS01395	ABKJ22_RS02030
OG0000086	MYF_RS01385	ABKJ22_RS02040
OG0000087	MYF_RS01370	ABKJ22_RS02055
OG0000088	MYF_RS01365	ABKJ22_RS02060
OG0000089	MYF_RS01355	ABKJ22_RS02070
OG0000090	MYF_RS00070	ABKJ22_RS00070
OG0000091	MYF_RS00055	ABKJ22_RS00055
OG0000092	MYF_RS00040	ABKJ22_RS00040
OG0000093	MYF_RS00035	ABKJ22_RS00035
OG0000094	MYF_RS00030	ABKJ22_RS00030
OG0000095	MYF_RS00005	ABKJ22_RS00005
OG0000096	MYF_RS03150	ABKJ22_RS03505
OG0000097	MYF_RS03130	ABKJ22_RS03485
OG0000098	MYF_RS03120	ABKJ22_RS03475
OG0000099	MYF_RS03065	ABKJ22_RS03425
OG0000100	MYF_RS03050	ABKJ22_RS03405
OG0000101	MYF_RS03045	ABKJ22_RS03400
OG0000102	MYF_RS03035	ABKJ22_RS01700
