Orthogroup	MFC_Ms42_genes	MHP_Ue273_genes
OG0000000	MYF_RS01330	VQY17_RS02200
OG0000001	MYF_RS03415	VQY17_RS01300, VQY17_RS02775, VQY17_RS02730
OG0000002	MYF_RS01530	VQY17_RS02210, VQY17_RS02205
OG0000002	MYF_RS03010	VQY17_RS01780
OG0000004	MYF_RS02520	VQY17_RS03025, VQY17_RS03005
OG0000011	MYF_RS03310	VQY17_RS02025
OG0000011	MYF_RS01270	VQY17_RS02020
OG0000013	MYF_RS03170, MYF_RS01100	VQY17_RS02405
OG0000013	MYF_RS03400	VQY17_RS00185
OG0000014	MYF_RS00550	VQY17_RS01120, VQY17_RS00605
OG0000016	MYF_RS00730	VQY17_RS02820
OG0000017	MYF_RS03155	VQY17_RS00155
OG0000017	MYF_RS00720	VQY17_RS02830
OG0000019	MYF_RS03450	VQY17_RS03000, VQY17_RS03010
OG0000019	MYF_RS03440	VQY17_RS02990
OG0000020	MYF_RS03080	VQY17_RS03550
OG0000020	MYF_RS03085	VQY17_RS03555
OG0000022	MYF_RS03025	VQY17_RS01765
OG0000024	MYF_RS00790	VQY17_RS02725, VQY17_RS01295
OG0000025	MYF_RS03030	VQY17_RS01755
OG0000026	MYF_RS01715	VQY17_RS01380, VQY17_RS01735
OG0000027	MYF_RS02825	VQY17_RS03350
OG0000029	MYF_RS00555	VQY17_RS01115, VQY17_RS00610
OG0000030	MYF_RS02820	VQY17_RS03345
OG0000031	MYF_RS01215	VQY17_RS01635
OG0000032	MYF_RS03490	VQY17_RS03335, VQY17_RS01615, VQY17_RS01610
OG0000032	MYF_RS02815	VQY17_RS03340
OG0000037	MYF_RS03005	VQY17_RS01620
OG0000039	MYF_RS03160, MYF_RS00615	VQY17_RS01650, VQY17_RS01645
OG0000040	MYF_RS02770, MYF_RS00840	VQY17_RS03270
OG0000042	MYF_RS00610, MYF_RS00765	VQY17_RS02925, VQY17_RS02920
OG0000043	MYF_RS01240	VQY17_RS01990
OG0000045	MYF_RS00630	VQY17_RS01655
OG0000048	MYF_RS01350	VQY17_RS02180
OG0000049	MYF_RS03265, MYF_RS03455	VQY17_RS03040
OG0000050	MYF_RS01180	VQY17_RS02445
OG0000051	MYF_RS02420	VQY17_RS02645
OG0000052	MYF_RS00075	VQY17_RS00075
OG0000053	MYF_RS01800	VQY17_RS01470
OG0000054	MYF_RS01155	VQY17_RS02470
OG0000055	MYF_RS03395, MYF_RS03525	VQY17_RS00135
OG0000056	MYF_RS03060	VQY17_RS03535
OG0000057	MYF_RS00645	VQY17_RS02900, VQY17_RS02905
OG0000062	MYF_RS03115	VQY17_RS03585
OG0000063	MYF_RS03110	VQY17_RS03580
OG0000064	MYF_RS03100	VQY17_RS03570
OG0000065	MYF_RS01575	VQY17_RS02255
OG0000066	MYF_RS01705	VQY17_RS01370
OG0000067	MYF_RS00480	VQY17_RS00525
OG0000068	MYF_RS00590	VQY17_RS00645
OG0000069	MYF_RS00755	VQY17_RS02795
OG0000070	MYF_RS01135	VQY17_RS02475
OG0000071	MYF_RS02760	VQY17_RS03260
OG0000072	MYF_RS02765	VQY17_RS03265
OG0000073	MYF_RS02005	VQY17_RS00705
OG0000074	MYF_RS02195	VQY17_RS00910
OG0000077	MYF_RS00410	VQY17_RS00445
OG0000078	MYF_RS00880	VQY17_RS01715
OG0000079	MYF_RS01050	VQY17_RS02550
OG0000080	MYF_RS01000, MYF_RS03365	VQY17_RS02595
OG0000081	MYF_RS00300	VQY17_RS00340
OG0000082	MYF_RS01110	VQY17_RS02400
OG0000083	MYF_RS01430	VQY17_RS02095
OG0000084	MYF_RS01400	VQY17_RS02125
OG0000085	MYF_RS01395	VQY17_RS02135
OG0000086	MYF_RS01385	VQY17_RS02145
OG0000087	MYF_RS01370	VQY17_RS02160
OG0000088	MYF_RS01365	VQY17_RS02165
OG0000089	MYF_RS01355	VQY17_RS02175
OG0000090	MYF_RS00070	VQY17_RS00070
OG0000091	MYF_RS00055	VQY17_RS00055
OG0000092	MYF_RS00040	VQY17_RS00040
OG0000093	MYF_RS00035	VQY17_RS00035
OG0000094	MYF_RS00030	VQY17_RS00030
OG0000095	MYF_RS00005	VQY17_RS00005
OG0000096	MYF_RS03150	VQY17_RS03620
OG0000097	MYF_RS03130	VQY17_RS03600
OG0000098	MYF_RS03120	VQY17_RS03590
OG0000099	MYF_RS03065	VQY17_RS03540
OG0000100	MYF_RS03050	VQY17_RS03525
OG0000101	MYF_RS03045	VQY17_RS03520
OG0000102	MYF_RS03035	VQY17_RS01750
OG0000103	MYF_RS01540	VQY17_RS02220
OG0000104	MYF_RS01545	VQY17_RS02225
OG0000105	MYF_RS01560	VQY17_RS02240
OG0000106	MYF_RS01570	VQY17_RS02250
OG0000107	MYF_RS01580	VQY17_RS02260
OG0000108	MYF_RS01585	VQY17_RS02265
OG0000109	MYF_RS01590	VQY17_RS02270
OG0000110	MYF_RS01595	VQY17_RS02390
OG0000111	MYF_RS01600	VQY17_RS02385
OG0000112	MYF_RS01610	VQY17_RS02375
OG0000113	MYF_RS01625	VQY17_RS02355
OG0000114	MYF_RS01635	VQY17_RS02345
OG0000115	MYF_RS01645	VQY17_RS02335
OG0000116	MYF_RS01655	VQY17_RS01315
OG0000117	MYF_RS01660	VQY17_RS01320
OG0000118	MYF_RS01690	VQY17_RS01355
OG0000119	MYF_RS01695	VQY17_RS01360
OG0000120	MYF_RS01710	VQY17_RS01375
OG0000121	MYF_RS01735	VQY17_RS01405
OG0000122	MYF_RS01740	VQY17_RS01410
OG0000123	MYF_RS01760	VQY17_RS01430
OG0000124	MYF_RS01765	VQY17_RS01435
OG0000125	MYF_RS01770	VQY17_RS01440
OG0000126	MYF_RS01780	VQY17_RS01455
OG0000127	MYF_RS01790	VQY17_RS01460
OG0000128	MYF_RS01805	VQY17_RS01475
OG0000129	MYF_RS01810	VQY17_RS01480
OG0000130	MYF_RS01820	VQY17_RS01490
OG0000131	MYF_RS01850	VQY17_RS01520
OG0000132	MYF_RS01865	VQY17_RS01535
OG0000133	MYF_RS00485	VQY17_RS00530
OG0000134	MYF_RS00490	VQY17_RS00535
OG0000135	MYF_RS00505	VQY17_RS00550
OG0000136	MYF_RS00510	VQY17_RS00555
OG0000137	MYF_RS00540	VQY17_RS00595
OG0000138	MYF_RS00565	VQY17_RS00620
OG0000139	MYF_RS00595	VQY17_RS00650
OG0000140	MYF_RS00600	VQY17_RS00655
OG0000141	MYF_RS00635	VQY17_RS02915
OG0000142	MYF_RS00640	VQY17_RS02910
OG0000143	MYF_RS00665	VQY17_RS02885
OG0000144	MYF_RS00675	VQY17_RS02875
OG0000145	MYF_RS00685	VQY17_RS02865
OG0000146	MYF_RS00695	VQY17_RS02855
OG0000147	MYF_RS00700	VQY17_RS02850
OG0000148	MYF_RS00715	VQY17_RS02835
OG0000149	MYF_RS00725	VQY17_RS02825
OG0000150	MYF_RS00740	VQY17_RS02810
OG0000151	MYF_RS00795	VQY17_RS02760
OG0000152	MYF_RS00800	VQY17_RS02755
OG0000153	MYF_RS00805	VQY17_RS02750
OG0000154	MYF_RS00815	VQY17_RS02740
OG0000155	MYF_RS00835	VQY17_RS02705
OG0000156	MYF_RS00855	VQY17_RS02695
OG0000157	MYF_RS00860	VQY17_RS02690
OG0000158	MYF_RS00870	VQY17_RS02680
OG0000159	MYF_RS01165	VQY17_RS02460
OG0000160	MYF_RS01170	VQY17_RS02455
OG0000161	MYF_RS01175	VQY17_RS02450
OG0000162	MYF_RS01185	VQY17_RS02440
OG0000163	MYF_RS01190	VQY17_RS02435
OG0000164	MYF_RS01220	VQY17_RS01640
OG0000165	MYF_RS01265	VQY17_RS02015
OG0000166	MYF_RS01285	VQY17_RS02035
OG0000167	MYF_RS01300	VQY17_RS02050
OG0000168	MYF_RS01305	VQY17_RS02055
OG0000169	MYF_RS02560	VQY17_RS03035
OG0000170	MYF_RS02585	VQY17_RS03050
OG0000171	MYF_RS02595	VQY17_RS03060
OG0000172	MYF_RS02600	VQY17_RS03065
OG0000173	MYF_RS02605	VQY17_RS03070
OG0000174	MYF_RS02610	VQY17_RS03075
OG0000175	MYF_RS02625	VQY17_RS03090
OG0000176	MYF_RS02670	VQY17_RS03135
OG0000177	MYF_RS02675	VQY17_RS03140
OG0000178	MYF_RS02680	VQY17_RS03145
OG0000179	MYF_RS02690	VQY17_RS03155
OG0000180	MYF_RS02695	VQY17_RS03160
OG0000181	MYF_RS02710	VQY17_RS03210
OG0000182	MYF_RS02720	VQY17_RS03220
OG0000183	MYF_RS02755	VQY17_RS03255
OG0000184	MYF_RS02785	VQY17_RS03305
OG0000185	MYF_RS02800	VQY17_RS03290
OG0000186	MYF_RS01895	VQY17_RS01545
OG0000187	MYF_RS01910	VQY17_RS01560
OG0000188	MYF_RS01920	VQY17_RS01570
OG0000189	MYF_RS01930	VQY17_RS02305
OG0000190	MYF_RS01935	VQY17_RS02300
OG0000191	MYF_RS01955	VQY17_RS02280
OG0000192	MYF_RS01965	VQY17_RS01240
OG0000193	MYF_RS01980	VQY17_RS01230
OG0000194	MYF_RS01990	VQY17_RS00690
OG0000195	MYF_RS01995	VQY17_RS00695
OG0000196	MYF_RS02015	VQY17_RS00715
OG0000197	MYF_RS02020	VQY17_RS00720
OG0000198	MYF_RS02035	VQY17_RS00735
OG0000199	MYF_RS02040	VQY17_RS00740
OG0000200	MYF_RS02050	VQY17_RS00755
OG0000201	MYF_RS02060	VQY17_RS00765
OG0000202	MYF_RS02115	VQY17_RS00825
OG0000203	MYF_RS02120	VQY17_RS00830
OG0000204	MYF_RS02125	VQY17_RS00835
OG0000205	MYF_RS02130	VQY17_RS00840
OG0000206	MYF_RS02150	VQY17_RS00860
OG0000207	MYF_RS02165	VQY17_RS00875
OG0000208	MYF_RS02170	VQY17_RS00880
OG0000209	MYF_RS02175	VQY17_RS00885
OG0000210	MYF_RS02220	VQY17_RS00935
OG0000211	MYF_RS02230	VQY17_RS00970
OG0000212	MYF_RS02240	VQY17_RS00980
OG0000213	MYF_RS02245	VQY17_RS00985
OG0000214	MYF_RS02250	VQY17_RS00990
OG0000215	MYF_RS02255	VQY17_RS00995
OG0000216	MYF_RS02260	VQY17_RS01000
OG0000217	MYF_RS02265	VQY17_RS01005
OG0000218	MYF_RS02275	VQY17_RS01015
OG0000219	MYF_RS02280	VQY17_RS01020
OG0000220	MYF_RS02285	VQY17_RS01025
OG0000221	MYF_RS02290	VQY17_RS01030
OG0000222	MYF_RS03240	VQY17_RS01035
OG0000223	MYF_RS02295	VQY17_RS01040
OG0000224	MYF_RS02305	VQY17_RS01050
OG0000225	MYF_RS02315	VQY17_RS01060
OG0000226	MYF_RS02320	VQY17_RS01065
OG0000227	MYF_RS02325	VQY17_RS01070
OG0000228	MYF_RS03530	VQY17_RS01075
OG0000229	MYF_RS02335	VQY17_RS01080
OG0000230	MYF_RS02340	VQY17_RS01085
OG0000231	MYF_RS02350	VQY17_RS01095
OG0000232	MYF_RS02360	VQY17_RS01105
OG0000233	MYF_RS02370	VQY17_RS01125
OG0000234	MYF_RS02400	VQY17_RS01165
OG0000235	MYF_RS02410	VQY17_RS01175
OG0000236	MYF_RS02415	VQY17_RS01180
OG0000237	MYF_RS02430	VQY17_RS01185
OG0000238	MYF_RS02435	VQY17_RS01190
OG0000239	MYF_RS02465	VQY17_RS02930
OG0000240	MYF_RS02470	VQY17_RS02935
OG0000241	MYF_RS02480	VQY17_RS02945
OG0000242	MYF_RS02485	VQY17_RS02950
OG0000243	MYF_RS02490	VQY17_RS02955
OG0000244	MYF_RS02500	VQY17_RS02965
OG0000245	MYF_RS02510	VQY17_RS02970
OG0000246	MYF_RS00085	VQY17_RS00140
OG0000247	MYF_RS00095	VQY17_RS00150
OG0000248	MYF_RS00120	VQY17_RS00160
OG0000249	MYF_RS00125	VQY17_RS00165
OG0000250	MYF_RS00140	VQY17_RS00180
OG0000251	MYF_RS00170	VQY17_RS00210
OG0000252	MYF_RS00180	VQY17_RS00220
OG0000253	MYF_RS00185	VQY17_RS00225
OG0000254	MYF_RS00195	VQY17_RS00235
