Orthogroup	MFC_Ms42_genes	MHP_11_genes
OG0000000	MYF_RS01330	B5C39_RS02485
OG0000001	MYF_RS03415	B5C39_RS01615, B5C39_RS01620, B5C39_RS03070, B5C39_RS03865, B5C39_RS03020
OG0000002	MYF_RS01530	B5C39_RS03825, B5C39_RS03650
OG0000002	MYF_RS03010	B5C39_RS03240
OG0000011	MYF_RS03310	B5C39_RS03455
OG0000011	MYF_RS01270	B5C39_RS03450
OG0000013	MYF_RS03170, MYF_RS01100	B5C39_RS02685
OG0000013	MYF_RS03400	B5C39_RS03780
OG0000014	MYF_RS00550	B5C39_RS02300, B5C39_RS01820, B5C39_RS02290
OG0000016	MYF_RS00730	B5C39_RS00060
OG0000017	MYF_RS03155	B5C39_RS00970
OG0000017	MYF_RS00720	B5C39_RS00070
OG0000018	MYF_RS01675	B5C39_RS03790, B5C39_RS03785
OG0000019	MYF_RS03450	B5C39_RS03765
OG0000020	MYF_RS03080	B5C39_RS00735
OG0000020	MYF_RS03085	B5C39_RS00740
OG0000022	MYF_RS03025	B5C39_RS03225
OG0000023	MYF_RS01880	B5C39_RS01320
OG0000024	MYF_RS00790	B5C39_RS03015, B5C39_RS01625
OG0000025	MYF_RS03030	B5C39_RS03220
OG0000026	MYF_RS01715	B5C39_RS01535, B5C39_RS03200
OG0000027	MYF_RS02825	B5C39_RS00545
OG0000028	MYF_RS01125, MYF_RS01120	B5C39_RS02695
OG0000029	MYF_RS00555	B5C39_RS01825, B5C39_RS02285
OG0000030	MYF_RS02820	B5C39_RS00520, B5C39_RS00540
OG0000031	MYF_RS01215	B5C39_RS01325, B5C39_RS03115
OG0000032	MYF_RS02815	B5C39_RS03770
OG0000037	MYF_RS03495	B5C39_RS03745
OG0000039	MYF_RS03160, MYF_RS00615	B5C39_RS03875, B5C39_RS03130
OG0000040	MYF_RS02770, MYF_RS00840	B5C39_RS00465
OG0000042	MYF_RS00610, MYF_RS00765	B5C39_RS00160
OG0000043	MYF_RS01240	B5C39_RS03420
OG0000045	MYF_RS00630	B5C39_RS03140
OG0000048	MYF_RS01350	B5C39_RS03615
OG0000050	MYF_RS01180	B5C39_RS02725
OG0000051	MYF_RS02420	B5C39_RS02930
OG0000052	MYF_RS00075	B5C39_RS00890
OG0000053	MYF_RS01800	B5C39_RS01450
OG0000054	MYF_RS01155	B5C39_RS02750
OG0000055	MYF_RS03395, MYF_RS03525	B5C39_RS00950
OG0000056	MYF_RS03060	B5C39_RS00720
OG0000057	MYF_RS00645	B5C39_RS00145
