Orthogroup	MFC_Ms42_genes	MHP_MHP694_genes
OG0000000	MYF_RS01330	DR099_RS03480
OG0000000	MYF_RS03330, MYF_RS03295	DR099_RS04035
OG0000001	MYF_RS03415	DR099_RS00890, DR099_RS00885, DR099_RS01165, DR099_RS03675, DR099_RS00045
OG0000002	MYF_RS01530	DR099_RS04270, DR099_RS03485
OG0000002	MYF_RS03010	DR099_RS04605
OG0000004	MYF_RS02535, MYF_RS02545	DR099_RS03340, DR099_RS03350
OG0000008	MYF_RS01875	DR099_RS04050
OG0000011	MYF_RS03310	DR099_RS00445, DR099_RS04305
OG0000011	MYF_RS01270	DR099_RS00440
OG0000013	MYF_RS03170, MYF_RS01100	DR099_RS02140
OG0000013	MYF_RS03400	DR099_RS03795
OG0000014	MYF_RS00550	DR099_RS03510
OG0000016	MYF_RS00730	DR099_RS01125
OG0000016	MYF_RS00130	DR099_RS03630
OG0000017	MYF_RS03155	DR099_RS00840
OG0000017	MYF_RS00720	DR099_RS01115
OG0000019	MYF_RS03450	DR099_RS04215
OG0000020	MYF_RS03080	DR099_RS04585
OG0000020	MYF_RS03085	DR099_RS00590, DR099_RS03315
OG0000022	MYF_RS03025	DR099_RS04500
OG0000023	MYF_RS01670, MYF_RS01880	DR099_RS00925
OG0000024	MYF_RS00790	DR099_RS00050, DR099_RS00880
OG0000025	MYF_RS03030	DR099_RS02430
OG0000026	MYF_RS01715	DR099_RS00970, DR099_RS02450
OG0000027	MYF_RS02825	DR099_RS04465
OG0000029	MYF_RS00555	DR099_RS01730, DR099_RS01725
OG0000030	MYF_RS02820	DR099_RS04515, DR099_RS04460
OG0000031	MYF_RS01215	DR099_RS01355
OG0000032	MYF_RS02815	DR099_RS02185
OG0000039	MYF_RS03160, MYF_RS00615	DR099_RS01340
OG0000040	MYF_RS02770, MYF_RS00840	DR099_RS02585
OG0000042	MYF_RS00610, MYF_RS00765	DR099_RS03125
OG0000043	MYF_RS01240	DR099_RS00410
OG0000045	MYF_RS00630	DR099_RS01335
OG0000048	MYF_RS01350	DR099_RS01315
OG0000050	MYF_RS01180	DR099_RS02650
OG0000051	MYF_RS02420	DR099_RS00135
OG0000052	MYF_RS00075	DR099_RS03190
OG0000053	MYF_RS01800	DR099_RS04415
OG0000054	MYF_RS01155	DR099_RS02625
OG0000055	MYF_RS03395, MYF_RS03525	DR099_RS03140
OG0000056	MYF_RS03060	DR099_RS03335
OG0000057	MYF_RS00645	DR099_RS01045
OG0000062	MYF_RS03115	DR099_RS00560
OG0000063	MYF_RS03110	DR099_RS04320
OG0000064	MYF_RS03100	DR099_RS00575
OG0000065	MYF_RS01575	DR099_RS02825
OG0000066	MYF_RS01705	DR099_RS00960
OG0000068	MYF_RS00590	DR099_RS01690
OG0000069	MYF_RS00755	DR099_RS01150
OG0000070	MYF_RS01135	DR099_RS02620
OG0000071	MYF_RS02760	DR099_RS02935
OG0000072	MYF_RS02765	DR099_RS02940
OG0000073	MYF_RS02005	DR099_RS01645
OG0000074	MYF_RS02195	DR099_RS04430
OG0000075	MYF_RS00305	DR099_RS00645
OG0000076	MYF_RS00320	DR099_RS00630
OG0000077	MYF_RS00410	DR099_RS03000
OG0000078	MYF_RS00880	DR099_RS02460
OG0000079	MYF_RS01050	DR099_RS00230
OG0000080	MYF_RS01000, MYF_RS03365	DR099_RS03705
OG0000081	MYF_RS00300	DR099_RS00650
OG0000082	MYF_RS01110	DR099_RS02145
OG0000083	MYF_RS01430	DR099_RS01240
OG0000084	MYF_RS01400	DR099_RS01265
OG0000085	MYF_RS01395	DR099_RS01270
OG0000086	MYF_RS01385	DR099_RS01280
OG0000087	MYF_RS01370	DR099_RS01295
OG0000088	MYF_RS01365	DR099_RS03880
OG0000089	MYF_RS01355	DR099_RS01310
OG0000090	MYF_RS00070	DR099_RS03200
OG0000091	MYF_RS00055	DR099_RS00470
OG0000092	MYF_RS00040	DR099_RS00485
OG0000093	MYF_RS00035	DR099_RS00490
OG0000094	MYF_RS00030	DR099_RS00495
OG0000095	MYF_RS00005	DR099_RS00520
OG0000096	MYF_RS03150	DR099_RS00525
OG0000097	MYF_RS03130	DR099_RS00545
OG0000098	MYF_RS03120	DR099_RS00555
OG0000099	MYF_RS03065	DR099_RS04590
OG0000100	MYF_RS03050	DR099_RS03210
OG0000101	MYF_RS03045	DR099_RS03215
OG0000102	MYF_RS03035	DR099_RS02435
OG0000103	MYF_RS01540	DR099_RS02865
OG0000104	MYF_RS01545	DR099_RS02855
OG0000105	MYF_RS01560	DR099_RS02840
OG0000106	MYF_RS01570	DR099_RS02830
OG0000107	MYF_RS01580	DR099_RS02820
OG0000108	MYF_RS01585	DR099_RS02815
OG0000109	MYF_RS01590	DR099_RS02810
OG0000110	MYF_RS01595	DR099_RS02155
OG0000111	MYF_RS01600	DR099_RS02160
OG0000112	MYF_RS01610	DR099_RS02170
OG0000113	MYF_RS01625	DR099_RS04615
OG0000114	MYF_RS01635	DR099_RS03460
OG0000115	MYF_RS01645	DR099_RS00280
OG0000116	MYF_RS01655	DR099_RS00905
OG0000117	MYF_RS01660	DR099_RS00910
OG0000118	MYF_RS01690	DR099_RS00945
OG0000119	MYF_RS01695	DR099_RS00950
OG0000120	MYF_RS01710	DR099_RS00965
OG0000121	MYF_RS01735	DR099_RS00990
OG0000122	MYF_RS01740	DR099_RS00995
OG0000123	MYF_RS01760	DR099_RS01015
OG0000124	MYF_RS01765	DR099_RS01020
OG0000125	MYF_RS01770	DR099_RS01025
OG0000126	MYF_RS01780	DR099_RS01515
OG0000127	MYF_RS01790	DR099_RS01505
OG0000128	MYF_RS01805	DR099_RS01490
OG0000129	MYF_RS01810	DR099_RS01485
OG0000130	MYF_RS01820	DR099_RS01475
OG0000131	MYF_RS01850	DR099_RS04410
OG0000132	MYF_RS01865	DR099_RS04405
OG0000133	MYF_RS00485	DR099_RS02700
OG0000134	MYF_RS00490	DR099_RS02705
OG0000135	MYF_RS00505	DR099_RS02720
OG0000136	MYF_RS00510	DR099_RS02725
OG0000137	MYF_RS00540	DR099_RS02765
OG0000138	MYF_RS00565	DR099_RS01715
OG0000139	MYF_RS00595	DR099_RS01685
OG0000140	MYF_RS00600	DR099_RS01680
OG0000141	MYF_RS00635	DR099_RS01035
OG0000142	MYF_RS00640	DR099_RS04350
OG0000143	MYF_RS00665	DR099_RS01060
OG0000144	MYF_RS00675	DR099_RS01070
OG0000145	MYF_RS00685	DR099_RS01080
OG0000146	MYF_RS00695	DR099_RS01090
OG0000147	MYF_RS00700	DR099_RS01095
