Orthogroup	MFC_Ms42_genes	MHP_7448_genes
OG0000000	MYF_RS01330	MHP7448_RS02135
OG0000000	MYF_RS03370, MYF_RS01520, MYF_RS01870, MYF_RS03435	MHP7448_RS03990
OG0000000	MYF_RS03330, MYF_RS03295	MHP7448_RS01735
OG0000001	MYF_RS03415	MHP7448_RS01300, MHP7448_RS01295, MHP7448_RS02820, MHP7448_RS03920, MHP7448_RS04045
OG0000002	MYF_RS01530	MHP7448_RS03995, MHP7448_RS03900
OG0000002	MYF_RS03010	MHP7448_RS01745
OG0000003	MYF_RS01515	MHP7448_RS03870
OG0000004	MYF_RS02535, MYF_RS02545	MHP7448_RS03035
OG0000008	MYF_RS01875	MHP7448_RS01665
OG0000011	MYF_RS03310	MHP7448_RS01970
OG0000011	MYF_RS01270	MHP7448_RS01965
OG0000013	MYF_RS03170, MYF_RS01100	MHP7448_RS02430
OG0000013	MYF_RS03400	MHP7448_RS03945
OG0000014	MYF_RS00550	MHP7448_RS01090, MHP7448_RS00605
OG0000015	MYF_RS03470	MHP7448_RS04005, MHP7448_RS04000
OG0000016	MYF_RS00730	MHP7448_RS02865
OG0000017	MYF_RS03155	MHP7448_RS00155
OG0000017	MYF_RS00720	MHP7448_RS02875
OG0000019	MYF_RS03445	MHP7448_RS04070
OG0000019	MYF_RS03450	MHP7448_RS03045
OG0000019	MYF_RS03440	MHP7448_RS03040
OG0000020	MYF_RS03080	MHP7448_RS03580
OG0000020	MYF_RS03085	MHP7448_RS03585
OG0000022	MYF_RS03025	MHP7448_RS01730
OG0000024	MYF_RS00790	MHP7448_RS02765, MHP7448_RS01290
OG0000025	MYF_RS03030	MHP7448_RS01725
OG0000026	MYF_RS01715	MHP7448_RS01380, MHP7448_RS01705
OG0000027	MYF_RS02825	MHP7448_RS03390
OG0000029	MYF_RS00555	MHP7448_RS01085, MHP7448_RS00610
OG0000030	MYF_RS02820	MHP7448_RS03370, MHP7448_RS03385
OG0000031	MYF_RS01215	MHP7448_RS02310
