Orthogroup	MFC_Ms42_genes	MHP_98_genes
OG0000000	MYF_RS01330	GOM18_RS02340
OG0000000	MYF_RS03330, MYF_RS03295	GOM18_RS03685
OG0000001	MYF_RS03415	GOM18_RS03240, GOM18_RS03230, GOM18_RS03125, GOM18_RS04130, GOM18_RS04125
OG0000002	MYF_RS01530	GOM18_RS02350, GOM18_RS02345
OG0000002	MYF_RS03010	GOM18_RS04550
OG0000011	MYF_RS03310	GOM18_RS03250
OG0000011	MYF_RS01270	GOM18_RS03255
OG0000013	MYF_RS03170, MYF_RS01100	GOM18_RS02545
OG0000013	MYF_RS03400	GOM18_RS03935
OG0000014	MYF_RS00550	GOM18_RS03570, GOM18_RS01700
OG0000015	MYF_RS03470	GOM18_RS02565
OG0000016	MYF_RS00730	GOM18_RS01215
OG0000017	MYF_RS03155	GOM18_RS01265
OG0000017	MYF_RS00720	GOM18_RS01205
OG0000018	MYF_RS01675	GOM18_RS04240
OG0000019	MYF_RS03450	GOM18_RS04575
OG0000020	MYF_RS03080	GOM18_RS04290
OG0000020	MYF_RS03085	GOM18_RS03770, GOM18_RS03765
OG0000022	MYF_RS03025	GOM18_RS04500
OG0000023	MYF_RS01880	GOM18_RS00025
OG0000024	MYF_RS00790	GOM18_RS03075, GOM18_RS03225
OG0000025	MYF_RS03030	GOM18_RS04505
OG0000026	MYF_RS01715	GOM18_RS02790, GOM18_RS03010
OG0000027	MYF_RS02825	GOM18_RS04320
OG0000029	MYF_RS00555	GOM18_RS01705, GOM18_RS03580
OG0000030	MYF_RS02820	GOM18_RS04340, GOM18_RS04325
OG0000031	MYF_RS01215	GOM18_RS00085, GOM18_RS03625
OG0000032	MYF_RS03490	GOM18_RS00745, GOM18_RS02560
OG0000032	MYF_RS02815	GOM18_RS04565
OG0000037	MYF_RS03495	GOM18_RS04545
OG0000037	MYF_RS03005	GOM18_RS02550
OG0000039	MYF_RS03160, MYF_RS00615	GOM18_RS03565
OG0000040	MYF_RS02770, MYF_RS00840	GOM18_RS00810
OG0000042	MYF_RS00610, MYF_RS00765	GOM18_RS01120
OG0000043	MYF_RS01240	GOM18_RS03285
OG0000045	MYF_RS00630	GOM18_RS03555
OG0000048	MYF_RS01350	GOM18_RS02325
OG0000049	MYF_RS03265, MYF_RS03455	GOM18_RS01035
OG0000050	MYF_RS01180	GOM18_RS01900
OG0000051	MYF_RS02420	GOM18_RS02100
OG0000052	MYF_RS00075	GOM18_RS00655
OG0000053	MYF_RS01800	GOM18_RS04480
OG0000054	MYF_RS01155	GOM18_RS01925
OG0000055	MYF_RS03395, MYF_RS03525	GOM18_RS01245
OG0000056	MYF_RS03060	GOM18_RS00495
OG0000057	MYF_RS00645	GOM18_RS01135
OG0000062	MYF_RS03115	GOM18_RS00545
OG0000063	MYF_RS03110	GOM18_RS04295
OG0000064	MYF_RS03100	GOM18_RS00530
OG0000065	MYF_RS01575	GOM18_RS02395
OG0000066	MYF_RS01705	GOM18_RS02800
OG0000068	MYF_RS00590	GOM18_RS03445
OG0000069	MYF_RS00755	GOM18_RS01240, GOM18_RS03140
OG0000070	MYF_RS01135	GOM18_RS01930
OG0000071	MYF_RS02760	GOM18_RS00820
OG0000072	MYF_RS02765	GOM18_RS04355
OG0000073	MYF_RS02005	GOM18_RS00135
OG0000074	MYF_RS02195	GOM18_RS04260
OG0000076	MYF_RS00320	GOM18_RS01465
OG0000077	MYF_RS00410	GOM18_RS01550
OG0000079	MYF_RS01050	GOM18_RS02005
OG0000080	MYF_RS01000, MYF_RS03365	GOM18_RS03980
OG0000081	MYF_RS00300	GOM18_RS01445
OG0000082	MYF_RS01110	GOM18_RS02535
OG0000083	MYF_RS01430	GOM18_RS02245
OG0000084	MYF_RS01400	GOM18_RS02275
OG0000085	MYF_RS01395	GOM18_RS02280
OG0000086	MYF_RS01385	GOM18_RS02290
OG0000087	MYF_RS01370	GOM18_RS02305
OG0000088	MYF_RS01365	GOM18_RS02310
OG0000089	MYF_RS01355	GOM18_RS02320
OG0000090	MYF_RS00070	GOM18_RS00650
OG0000091	MYF_RS00055	GOM18_RS00635
OG0000092	MYF_RS00040	GOM18_RS00620
OG0000093	MYF_RS00035	GOM18_RS00615
OG0000094	MYF_RS00030	GOM18_RS00610
OG0000095	MYF_RS00005	GOM18_RS00585
OG0000096	MYF_RS03150	GOM18_RS00580
OG0000097	MYF_RS03130	GOM18_RS00560
OG0000098	MYF_RS03120	GOM18_RS00550
OG0000099	MYF_RS03065	GOM18_RS04285
OG0000100	MYF_RS03050	GOM18_RS00485
OG0000101	MYF_RS03045	GOM18_RS00480
OG0000102	MYF_RS03035	GOM18_RS02995
OG0000103	MYF_RS01540	GOM18_RS02360
OG0000104	MYF_RS01545	GOM18_RS02365
OG0000105	MYF_RS01560	GOM18_RS02380
OG0000106	MYF_RS01570	GOM18_RS02390
OG0000107	MYF_RS01580	GOM18_RS02400
OG0000108	MYF_RS01585	GOM18_RS02405
OG0000109	MYF_RS01590	GOM18_RS02410
OG0000110	MYF_RS01595	GOM18_RS02525
OG0000111	MYF_RS01600	GOM18_RS02520
OG0000112	MYF_RS01610	GOM18_RS02510
OG0000113	MYF_RS01625	GOM18_RS02490
OG0000114	MYF_RS01635	GOM18_RS02480
OG0000115	MYF_RS01645	GOM18_RS02470
OG0000116	MYF_RS01655	GOM18_RS02855
OG0000117	MYF_RS01660	GOM18_RS02850
OG0000118	MYF_RS01690	GOM18_RS02815
OG0000119	MYF_RS01695	GOM18_RS02810
OG0000120	MYF_RS01710	GOM18_RS02795
OG0000121	MYF_RS01735	GOM18_RS02775
OG0000122	MYF_RS01740	GOM18_RS02770
OG0000123	MYF_RS01760	GOM18_RS02750
OG0000124	MYF_RS01765	GOM18_RS02745
OG0000125	MYF_RS01770	GOM18_RS02740
OG0000126	MYF_RS01780	GOM18_RS02730
OG0000127	MYF_RS01790	GOM18_RS02720
OG0000128	MYF_RS01805	GOM18_RS02705
OG0000129	MYF_RS01810	GOM18_RS02700
OG0000130	MYF_RS01820	GOM18_RS02690
OG0000131	MYF_RS01850	GOM18_RS04475
OG0000132	MYF_RS01865	GOM18_RS04470
OG0000133	MYF_RS00485	GOM18_RS01635
OG0000134	MYF_RS00490	GOM18_RS01640
OG0000135	MYF_RS00505	GOM18_RS01655
OG0000136	MYF_RS00510	GOM18_RS01660
OG0000137	MYF_RS00540	GOM18_RS01690
OG0000138	MYF_RS00565	GOM18_RS03470
OG0000139	MYF_RS00595	GOM18_RS03440
OG0000140	MYF_RS00600	GOM18_RS03435
OG0000141	MYF_RS00635	GOM18_RS01125
OG0000142	MYF_RS00640	GOM18_RS04380
OG0000143	MYF_RS00665	GOM18_RS01150
OG0000144	MYF_RS00675	GOM18_RS01160
OG0000145	MYF_RS00685	GOM18_RS01170
OG0000146	MYF_RS00695	GOM18_RS01180
OG0000147	MYF_RS00700	GOM18_RS01185
OG0000148	MYF_RS00715	GOM18_RS01200
OG0000149	MYF_RS00725	GOM18_RS01210
OG0000150	MYF_RS00740	GOM18_RS01225
OG0000151	MYF_RS00795	GOM18_RS03115
OG0000152	MYF_RS00800	GOM18_RS03110
OG0000153	MYF_RS00805	GOM18_RS03105
OG0000154	MYF_RS00815	GOM18_RS03095
OG0000155	MYF_RS00835	GOM18_RS02160
OG0000156	MYF_RS00855	GOM18_RS02150
OG0000157	MYF_RS00860	GOM18_RS04415
OG0000158	MYF_RS00870	GOM18_RS04410
OG0000159	MYF_RS01165	GOM18_RS01915
OG0000160	MYF_RS01170	GOM18_RS01910
OG0000161	MYF_RS01175	GOM18_RS01905
OG0000162	MYF_RS01185	GOM18_RS01895
OG0000163	MYF_RS01190	GOM18_RS01890
OG0000164	MYF_RS01220	GOM18_RS03635
OG0000165	MYF_RS01265	GOM18_RS03260
OG0000166	MYF_RS01285	GOM18_RS02185
OG0000167	MYF_RS01300	GOM18_RS02200
OG0000168	MYF_RS01305	GOM18_RS02205
OG0000169	MYF_RS02560	GOM18_RS01040
OG0000170	MYF_RS02585	GOM18_RS01025
OG0000171	MYF_RS02595	GOM18_RS01015
OG0000172	MYF_RS02600	GOM18_RS01010
OG0000173	MYF_RS02605	GOM18_RS01005
OG0000174	MYF_RS02610	GOM18_RS01000
OG0000175	MYF_RS02625	GOM18_RS00985
OG0000176	MYF_RS02670	GOM18_RS00935
OG0000177	MYF_RS02675	GOM18_RS00930
OG0000178	MYF_RS02680	GOM18_RS00925
OG0000179	MYF_RS02690	GOM18_RS00915
OG0000180	MYF_RS02695	GOM18_RS00910
OG0000181	MYF_RS02710	GOM18_RS04365
OG0000182	MYF_RS02720	GOM18_RS00860
OG0000183	MYF_RS02755	GOM18_RS00825
OG0000184	MYF_RS02785	GOM18_RS00780
OG0000185	MYF_RS02800	GOM18_RS00795
OG0000186	MYF_RS01895	GOM18_RS04465
OG0000187	MYF_RS01910	GOM18_RS02595
OG0000188	MYF_RS01920	GOM18_RS02585
OG0000189	MYF_RS01930	GOM18_RS04445
OG0000190	MYF_RS01935	GOM18_RS02440
OG0000191	MYF_RS01955	GOM18_RS02420
OG0000192	MYF_RS01965	GOM18_RS03170
OG0000193	MYF_RS01980	GOM18_RS03155
OG0000194	MYF_RS01990	GOM18_RS00120
OG0000195	MYF_RS01995	GOM18_RS00125
OG0000196	MYF_RS02015	GOM18_RS00145
OG0000197	MYF_RS02020	GOM18_RS00150
OG0000198	MYF_RS02035	GOM18_RS00165
OG0000199	MYF_RS02040	GOM18_RS00170
OG0000200	MYF_RS02050	GOM18_RS00185
OG0000201	MYF_RS02060	GOM18_RS00195
OG0000202	MYF_RS02115	GOM18_RS00250
OG0000203	MYF_RS02120	GOM18_RS00255
OG0000204	MYF_RS02125	GOM18_RS00260
OG0000205	MYF_RS02130	GOM18_RS00265
OG0000206	MYF_RS02150	GOM18_RS00285
OG0000207	MYF_RS02165	GOM18_RS00300
OG0000208	MYF_RS02170	GOM18_RS00305
OG0000209	MYF_RS02175	GOM18_RS00310
OG0000210	MYF_RS02220	GOM18_RS00360
OG0000211	MYF_RS02230	GOM18_RS01855
OG0000212	MYF_RS02240	GOM18_RS01845
OG0000213	MYF_RS02245	GOM18_RS01840
OG0000214	MYF_RS02250	GOM18_RS01835
OG0000215	MYF_RS02255	GOM18_RS01830
OG0000216	MYF_RS02260	GOM18_RS01825
OG0000217	MYF_RS02265	GOM18_RS01820
OG0000218	MYF_RS02275	GOM18_RS01810
OG0000219	MYF_RS02280	GOM18_RS01805
OG0000220	MYF_RS02285	GOM18_RS01800
OG0000221	MYF_RS02290	GOM18_RS01795
OG0000222	MYF_RS03240	GOM18_RS01790
OG0000223	MYF_RS02295	GOM18_RS01785
OG0000224	MYF_RS02305	GOM18_RS01775
OG0000225	MYF_RS02315	GOM18_RS01765
OG0000226	MYF_RS02320	GOM18_RS01760
OG0000227	MYF_RS02325	GOM18_RS01755
OG0000228	MYF_RS03530	GOM18_RS04580
OG0000229	MYF_RS02335	GOM18_RS01745
OG0000230	MYF_RS02340	GOM18_RS01740
OG0000231	MYF_RS02350	GOM18_RS01730
OG0000232	MYF_RS02360	GOM18_RS01720
OG0000233	MYF_RS02370	GOM18_RS02880
OG0000234	MYF_RS02400	GOM18_RS02915
OG0000235	MYF_RS02410	GOM18_RS02925
OG0000236	MYF_RS02415	GOM18_RS02930
OG0000237	MYF_RS02430	GOM18_RS02935
OG0000238	MYF_RS02435	GOM18_RS02940
OG0000239	MYF_RS02465	GOM18_RS01115
OG0000240	MYF_RS02470	GOM18_RS01110
OG0000241	MYF_RS02480	GOM18_RS01100
OG0000242	MYF_RS02485	GOM18_RS01095
OG0000243	MYF_RS02490	GOM18_RS01090
OG0000244	MYF_RS02500	GOM18_RS01080
OG0000245	MYF_RS02510	GOM18_RS01070
OG0000246	MYF_RS00085	GOM18_RS01250
OG0000247	MYF_RS00095	GOM18_RS01260
