Orthogroup	MFC_ATCC27716_genes	MHP_1257_genes
OG0000000	MFC_RS01410	ABKJ22_RS02210
OG0000000	MFC_RS02935	ABKJ22_RS02265, ABKJ22_RS02260, ABKJ22_RS02255
OG0000000	MFC_RS00365	ABKJ22_RS01715
OG0000001	MFC_RS03350	ABKJ22_RS01295, ABKJ22_RS01300, ABKJ22_RS02690, ABKJ22_RS02685
OG0000002	MFC_RS00395	ABKJ22_RS02205
OG0000002	MFC_RS02940	ABKJ22_RS02250
OG0000002	MFC_RS00370	ABKJ22_RS01720
OG0000003	MFC_RS02995	ABKJ22_RS02215
OG0000004	MFC_RS00155	ABKJ22_RS02940
OG0000007	MFC_RS02975	ABKJ22_RS02220
OG0000007	MFC_RS02970	ABKJ22_RS02225
OG0000007	MFC_RS02965	ABKJ22_RS02230
OG0000008	MFC_RS03380	ABKJ22_RS01635
OG0000011	MFC_RS03510, MFC_RS03505	ABKJ22_RS01925
OG0000011	MFC_RS01350	ABKJ22_RS01920
OG0000013	MFC_RS03175, MFC_RS02880	ABKJ22_RS02355
OG0000013	MFC_RS03420	ABKJ22_RS00180
OG0000014	MFC_RS00870	ABKJ22_RS00595, ABKJ22_RS01105, ABKJ22_RS01095
OG0000016	MFC_RS01050	ABKJ22_RS02785
OG0000017	MFC_RS03155	ABKJ22_RS00150
OG0000017	MFC_RS01040	ABKJ22_RS02795
OG0000019	MFC_RS03000	ABKJ22_RS02945
OG0000020	MFC_RS00305	ABKJ22_RS03435
OG0000020	MFC_RS00300	ABKJ22_RS03440
OG0000022	MFC_RS00360	ABKJ22_RS01710
OG0000024	MFC_RS01110	ABKJ22_RS02680, ABKJ22_RS01290
OG0000025	MFC_RS00355	ABKJ22_RS01705
OG0000026	MFC_RS00580	ABKJ22_RS01380, ABKJ22_RS01685
OG0000027	MFC_RS02850	ABKJ22_RS03240
OG0000029	MFC_RS00875	ABKJ22_RS00600, ABKJ22_RS01090
OG0000030	MFC_RS02855	ABKJ22_RS03215, ABKJ22_RS03235
OG0000031	MFC_RS01295	ABKJ22_RS01605
OG0000032	MFC_RS02685	ABKJ22_RS01585
OG0000032	MFC_RS02860	ABKJ22_RS03230
OG0000037	MFC_RS03185, MFC_RS03295, MFC_RS00375	ABKJ22_RS01590
OG0000039	MFC_RS03135, MFC_RS00935	ABKJ22_RS01615
OG0000040	MFC_RS01640, MFC_RS01160, MFC_RS01165	ABKJ22_RS03165
OG0000042	MFC_RS00930, MFC_RS01085	ABKJ22_RS02880
OG0000043	MFC_RS01320	ABKJ22_RS01890
OG0000045	MFC_RS00950	ABKJ22_RS01620
OG0000048	MFC_RS00140	ABKJ22_RS02075
OG0000049	MFC_RS03220, MFC_RS03365	ABKJ22_RS02955
OG0000050	MFC_RS01260	ABKJ22_RS02395
OG0000051	MFC_RS02240	ABKJ22_RS02600
OG0000052	MFC_RS00160	ABKJ22_RS00075
OG0000053	MFC_RS00665	ABKJ22_RS01465
OG0000054	MFC_RS01235	ABKJ22_RS02420
