Orthogroup	MFC_ATCC27716_genes	MHP_KM014_genes
OG0000000	MFC_RS00365	CIB43_RS02600
OG0000001	MFC_RS03350	CIB43_RS02150, CIB43_RS03715, CIB43_RS03670
OG0000002	MFC_RS00395	CIB43_RS03100, CIB43_RS04020
OG0000002	MFC_RS00370	CIB43_RS02610
OG0000004	MFC_RS00155	CIB43_RS00110
OG0000007	MFC_RS02975	CIB43_RS03095
OG0000007	MFC_RS02970	CIB43_RS03080
OG0000007	MFC_RS02965	CIB43_RS03075
OG0000011	MFC_RS03510, MFC_RS03505	CIB43_RS02845, CIB43_RS02850
OG0000014	MFC_RS00870	CIB43_RS01485, CIB43_RS01955
OG0000015	MFC_RS03450	CIB43_RS00010
OG0000016	MFC_RS01050	CIB43_RS03755
OG0000017	MFC_RS03155	CIB43_RS00855
OG0000017	MFC_RS01040	CIB43_RS03765
OG0000018	MFC_RS00540	CIB43_RS01250, CIB43_RS01185
OG0000019	MFC_RS03330	CIB43_RS03950, CIB43_RS00005
OG0000020	MFC_RS00300	CIB43_RS00635
OG0000022	MFC_RS00360	CIB43_RS02590
OG0000023	MFC_RS01695	CIB43_RS01245, CIB43_RS01195
OG0000024	MFC_RS01110	CIB43_RS02140
OG0000025	MFC_RS00355	CIB43_RS02585
OG0000026	MFC_RS00580	CIB43_RS02565
OG0000027	MFC_RS02850	CIB43_RS00440
OG0000028	MFC_RS01205, MFC_RS01200	CIB43_RS03340
OG0000030	MFC_RS02855	CIB43_RS00435
OG0000031	MFC_RS01295	CIB43_RS01295, CIB43_RS00065
OG0000037	MFC_RS03185	CIB43_RS02465
OG0000039	MFC_RS03135, MFC_RS00935	CIB43_RS02500
OG0000042	MFC_RS00930, MFC_RS01085	CIB43_RS03855
OG0000043	MFC_RS01320	CIB43_RS00070
OG0000045	MFC_RS00950	CIB43_RS02520
OG0000047	MFC_RS03280	CIB43_RS00045
OG0000048	MFC_RS00140	CIB43_RS02995
OG0000051	MFC_RS02240	CIB43_RS03575
OG0000052	MFC_RS00160	CIB43_RS00775
OG0000053	MFC_RS00665	CIB43_RS02315
OG0000054	MFC_RS01235	CIB43_RS03395
OG0000055	MFC_RS03415, MFC_RS03540	CIB43_RS00835
OG0000056	MFC_RS00325	CIB43_RS00630, CIB43_RS03960
OG0000057	MFC_RS00965	CIB43_RS03840
OG0000062	MFC_RS00270	CIB43_RS00675
OG0000063	MFC_RS00275	CIB43_RS00660
OG0000064	MFC_RS00285	CIB43_RS00650
OG0000065	MFC_RS00440	CIB43_RS03145
OG0000067	MFC_RS00800	CIB43_RS01410
OG0000068	MFC_RS00910	CIB43_RS01520
OG0000069	MFC_RS01075	CIB43_RS03740
OG0000070	MFC_RS01215	CIB43_RS03400
OG0000071	MFC_RS01630	CIB43_RS00360
OG0000072	MFC_RS01635	CIB43_RS00375
OG0000073	MFC_RS03395, MFC_RS03390	CIB43_RS01580
OG0000075	MFC_RS02565	CIB43_RS01060
OG0000077	MFC_RS02670	CIB43_RS01330
OG0000078	MFC_RS03005	CIB43_RS02560
OG0000079	MFC_RS02930, MFC_RS03120	CIB43_RS03480
OG0000080	MFC_RS03315	CIB43_RS03525
OG0000081	MFC_RS03430, MFC_RS02560	CIB43_RS01055
OG0000082	MFC_RS02870	CIB43_RS03315
OG0000083	MFC_RS00040	CIB43_RS02935
OG0000084	MFC_RS00070	CIB43_RS02955
OG0000086	MFC_RS00085	CIB43_RS02970
OG0000087	MFC_RS03320	CIB43_RS02975
OG0000088	MFC_RS00105	CIB43_RS02980
OG0000089	MFC_RS00115	CIB43_RS02990
OG0000090	MFC_RS00165	CIB43_RS00770
OG0000091	MFC_RS00180	CIB43_RS00760
OG0000092	MFC_RS00195	CIB43_RS00745
OG0000093	MFC_RS00200	CIB43_RS00735
OG0000094	MFC_RS00205	CIB43_RS00730
OG0000095	MFC_RS00230	CIB43_RS00715
OG0000096	MFC_RS00235	CIB43_RS00700
OG0000097	MFC_RS00255	CIB43_RS00690
OG0000100	MFC_RS00335	CIB43_RS00610
OG0000101	MFC_RS00340	CIB43_RS00600
OG0000102	MFC_RS00350	CIB43_RS02580
OG0000103	MFC_RS00405	CIB43_RS03110
OG0000104	MFC_RS00410	CIB43_RS03120
OG0000105	MFC_RS00425	CIB43_RS03130
OG0000106	MFC_RS00435	CIB43_RS03140
OG0000107	MFC_RS00445	CIB43_RS03150
OG0000108	MFC_RS00450	CIB43_RS03155
OG0000109	MFC_RS00455	CIB43_RS03160
OG0000110	MFC_RS00460	CIB43_RS03290
OG0000111	MFC_RS00465	CIB43_RS03285
OG0000112	MFC_RS00475	CIB43_RS03280
OG0000113	MFC_RS00490	CIB43_RS03260
OG0000114	MFC_RS00500	CIB43_RS03245
OG0000115	MFC_RS00510	CIB43_RS03230
OG0000116	MFC_RS00520	CIB43_RS02165
OG0000117	MFC_RS00525	CIB43_RS02170
OG0000118	MFC_RS00555	CIB43_RS02205
OG0000119	MFC_RS00560	CIB43_RS02210
OG0000120	MFC_RS00575	CIB43_RS02230
OG0000121	MFC_RS00600	CIB43_RS02250
OG0000122	MFC_RS00605	CIB43_RS02255
OG0000123	MFC_RS00625	CIB43_RS02275
OG0000124	MFC_RS00630	CIB43_RS02280
OG0000125	MFC_RS00635	CIB43_RS02285
OG0000126	MFC_RS00645	CIB43_RS02295
OG0000127	MFC_RS00655	CIB43_RS02305
OG0000128	MFC_RS00670	CIB43_RS02320
OG0000129	MFC_RS00675	CIB43_RS02330
OG0000130	MFC_RS00685	CIB43_RS02335
OG0000131	MFC_RS00715	CIB43_RS02370
OG0000132	MFC_RS00735	CIB43_RS02385
OG0000133	MFC_RS00805	CIB43_RS01415
OG0000134	MFC_RS00810	CIB43_RS01425
OG0000135	MFC_RS00825	CIB43_RS01435
OG0000136	MFC_RS00830	CIB43_RS01440
OG0000137	MFC_RS00860	CIB43_RS01470
OG0000138	MFC_RS00885	CIB43_RS01495
OG0000139	MFC_RS00915	CIB43_RS01525
OG0000140	MFC_RS00920	CIB43_RS01540
OG0000141	MFC_RS00955	CIB43_RS03850
OG0000142	MFC_RS00960	CIB43_RS03845
OG0000143	MFC_RS00985	CIB43_RS03835
OG0000144	MFC_RS00995	CIB43_RS03815
OG0000145	MFC_RS01005	CIB43_RS03805
OG0000146	MFC_RS01015	CIB43_RS03790
OG0000147	MFC_RS01020	CIB43_RS03785
OG0000148	MFC_RS01035	CIB43_RS03780
OG0000149	MFC_RS01045	CIB43_RS03760
OG0000150	MFC_RS01060	CIB43_RS03745
OG0000151	MFC_RS01115	CIB43_RS03700
OG0000152	MFC_RS01120	CIB43_RS03695
OG0000153	MFC_RS01125	CIB43_RS03690
OG0000154	MFC_RS01135	CIB43_RS03680
OG0000155	MFC_RS01155	CIB43_RS03645
OG0000156	MFC_RS01175	CIB43_RS03635
OG0000157	MFC_RS01180	CIB43_RS03625
OG0000158	MFC_RS01190	CIB43_RS03620
OG0000159	MFC_RS01245	CIB43_RS03385
OG0000160	MFC_RS01250	CIB43_RS03380
OG0000161	MFC_RS01255	CIB43_RS03375
OG0000163	MFC_RS01270	CIB43_RS03370
OG0000164	MFC_RS01300	CIB43_RS02495
OG0000165	MFC_RS01345	CIB43_RS02840
OG0000166	MFC_RS01365	CIB43_RS02860
OG0000167	MFC_RS01380	CIB43_RS02875
OG0000168	MFC_RS01385	CIB43_RS02880
OG0000169	MFC_RS01430	CIB43_RS00130
OG0000171	MFC_RS01465	CIB43_RS00155
OG0000172	MFC_RS01470	CIB43_RS00160
OG0000173	MFC_RS01475	CIB43_RS00165
OG0000174	MFC_RS01480	CIB43_RS00170
OG0000175	MFC_RS01495	CIB43_RS00190
OG0000176	MFC_RS01540	CIB43_RS00235
OG0000177	MFC_RS01545	CIB43_RS00240
OG0000178	MFC_RS01550	CIB43_RS00245
OG0000179	MFC_RS01560	CIB43_RS00255
OG0000180	MFC_RS01565	CIB43_RS00260
OG0000181	MFC_RS01580	CIB43_RS00310
OG0000182	MFC_RS01590	CIB43_RS00320
OG0000183	MFC_RS01625	CIB43_RS00355
OG0000184	MFC_RS01655	CIB43_RS00430
OG0000185	MFC_RS01670	CIB43_RS00380
OG0000186	MFC_RS01710	CIB43_RS02400
OG0000187	MFC_RS01725	CIB43_RS02410
OG0000188	MFC_RS01735	CIB43_RS02425
OG0000189	MFC_RS03385	CIB43_RS03200
OG0000190	MFC_RS01750	CIB43_RS03195
OG0000191	MFC_RS01770	CIB43_RS03180
OG0000192	MFC_RS01780	CIB43_RS02085
OG0000193	MFC_RS01795	CIB43_RS02075
OG0000194	MFC_RS01805	CIB43_RS01560
OG0000195	MFC_RS01810	CIB43_RS01565
OG0000196	MFC_RS01830	CIB43_RS01585
OG0000197	MFC_RS01835	CIB43_RS01590
OG0000198	MFC_RS01850	CIB43_RS01605
OG0000199	MFC_RS01855	CIB43_RS01615
OG0000200	MFC_RS01865	CIB43_RS01630
OG0000201	MFC_RS01875	CIB43_RS01635
OG0000202	MFC_RS01930	CIB43_RS01690
OG0000203	MFC_RS01935	CIB43_RS01695
OG0000204	MFC_RS01940	CIB43_RS01700
OG0000205	MFC_RS01945	CIB43_RS01705
OG0000206	MFC_RS01965	CIB43_RS01735
OG0000207	MFC_RS01980	CIB43_RS01740
OG0000208	MFC_RS01985	CIB43_RS01745
OG0000209	MFC_RS01990	CIB43_RS01750
OG0000210	MFC_RS02040	CIB43_RS01800
OG0000211	MFC_RS02050	CIB43_RS01805
OG0000212	MFC_RS02060	CIB43_RS01815
OG0000213	MFC_RS02065	CIB43_RS01820
OG0000214	MFC_RS02070	CIB43_RS01825
OG0000215	MFC_RS02075	CIB43_RS01830
OG0000216	MFC_RS02080	CIB43_RS01835
OG0000217	MFC_RS02085	CIB43_RS01845
OG0000218	MFC_RS02095	CIB43_RS01850
OG0000219	MFC_RS02100	CIB43_RS01855
OG0000220	MFC_RS02105	CIB43_RS01860
OG0000221	MFC_RS02110	CIB43_RS01865
OG0000222	MFC_RS03235	CIB43_RS01870
OG0000223	MFC_RS02115	CIB43_RS01875
OG0000225	MFC_RS02135	CIB43_RS01895
OG0000226	MFC_RS02140	CIB43_RS01900
OG0000227	MFC_RS02145	CIB43_RS01905
OG0000228	MFC_RS03530	CIB43_RS01910
OG0000229	MFC_RS02155	CIB43_RS01915
OG0000230	MFC_RS02160	CIB43_RS01920
OG0000231	MFC_RS02170	CIB43_RS01935
OG0000232	MFC_RS02180	CIB43_RS01940
OG0000233	MFC_RS02190	CIB43_RS01965
OG0000234	MFC_RS02220	CIB43_RS02000
OG0000235	MFC_RS02230	CIB43_RS02005
