Orthogroup	MFC_ATCC27716_genes	MHP_UFV01_genes
OG0000000	MFC_RS01410	FEF30_RS02570
OG0000000	MFC_RS02935	FEF30_RS02505, FEF30_RS02500
OG0000000	MFC_RS00365	FEF30_RS02035
OG0000001	MFC_RS03350	FEF30_RS01595, FEF30_RS01590, FEF30_RS03180, FEF30_RS03130, FEF30_RS03125
OG0000002	MFC_RS00395	FEF30_RS02580, FEF30_RS02575
OG0000002	MFC_RS02940	FEF30_RS04340
OG0000002	MFC_RS00370	FEF30_RS04295
OG0000003	MFC_RS02995	FEF30_RS04345
OG0000007	MFC_RS02975	FEF30_RS02555
OG0000007	MFC_RS02970	FEF30_RS02545
OG0000007	MFC_RS02965	FEF30_RS02540
OG0000008	MFC_RS03380	FEF30_RS01955
OG0000011	MFC_RS03510, MFC_RS03505	FEF30_RS02330
OG0000011	MFC_RS01350	FEF30_RS02325
OG0000013	MFC_RS03175, MFC_RS02880	FEF30_RS02775
OG0000013	MFC_RS03420	FEF30_RS00500
OG0000014	MFC_RS00870	FEF30_RS00910, FEF30_RS01400, FEF30_RS04210
OG0000015	MFC_RS03450	FEF30_RS02045
OG0000016	MFC_RS01050	FEF30_RS03220
OG0000017	MFC_RS03155	FEF30_RS00470
OG0000017	MFC_RS01040	FEF30_RS03230
OG0000019	MFC_RS03000	FEF30_RS03670
OG0000020	MFC_RS00305	FEF30_RS00265
OG0000020	MFC_RS00300	FEF30_RS03755
OG0000022	MFC_RS00360	FEF30_RS04290
OG0000024	MFC_RS01110	FEF30_RS03120, FEF30_RS01585
OG0000025	MFC_RS00355	FEF30_RS02025
OG0000026	MFC_RS00580	FEF30_RS01680, FEF30_RS02005
OG0000027	MFC_RS02850	FEF30_RS04125
OG0000028	MFC_RS01205, MFC_RS01200	FEF30_RS02785, FEF30_RS02790
OG0000029	MFC_RS00875	FEF30_RS01390, FEF30_RS00925
OG0000030	MFC_RS02855	FEF30_RS04110, FEF30_RS04120
OG0000031	MFC_RS01295	FEF30_RS02100
OG0000032	MFC_RS02860	FEF30_RS00065
OG0000039	MFC_RS03135, MFC_RS00935	FEF30_RS01930
OG0000040	MFC_RS01640, MFC_RS01160, MFC_RS01165	FEF30_RS03620
OG0000042	MFC_RS00930, MFC_RS01085	FEF30_RS03315
OG0000043	MFC_RS01320	FEF30_RS02105
OG0000045	MFC_RS00950	FEF30_RS01935, FEF30_RS01940
OG0000047	MFC_RS03280	FEF30_RS02085
OG0000048	MFC_RS00140	FEF30_RS02480
OG0000049	MFC_RS03220, MFC_RS03365	FEF30_RS03400
OG0000050	MFC_RS01260	FEF30_RS02820
OG0000051	MFC_RS02240	FEF30_RS03030
OG0000052	MFC_RS00160	FEF30_RS00405
OG0000053	MFC_RS00665	FEF30_RS04260
OG0000054	MFC_RS01235	FEF30_RS02845
OG0000055	MFC_RS03415, MFC_RS03540	FEF30_RS00450
OG0000056	MFC_RS00325	FEF30_RS00250
OG0000057	MFC_RS00965	FEF30_RS03300
OG0000062	MFC_RS00270	FEF30_RS00295
OG0000063	MFC_RS00275	FEF30_RS04165
OG0000064	MFC_RS00285	FEF30_RS00280
OG0000065	MFC_RS00440	FEF30_RS02625
OG0000066	MFC_RS00570	FEF30_RS01670
