Orthogroup	MFC_MF29_genes	MHP_KM014_genes
OG0000000	DR095_RS01240	CIB43_RS02600
OG0000001	DR095_RS00305, DR095_RS00300	CIB43_RS02150, CIB43_RS03715, CIB43_RS03670
OG0000002	DR095_RS03820	CIB43_RS02610
OG0000007	DR095_RS03020	CIB43_RS03095
OG0000007	DR095_RS03025	CIB43_RS03080
OG0000007	DR095_RS03035	CIB43_RS03075
OG0000011	DR095_RS03240, DR095_RS03235	CIB43_RS02845, CIB43_RS02850
OG0000014	DR095_RS03760	CIB43_RS01485, CIB43_RS01955
OG0000015	DR095_RS01695	CIB43_RS00010
OG0000016	DR095_RS00250	CIB43_RS03755
OG0000017	DR095_RS01000	CIB43_RS00855
OG0000017	DR095_RS00240	CIB43_RS03765
OG0000018	DR095_RS03835	CIB43_RS01250, CIB43_RS01185
OG0000019	DR095_RS03740	CIB43_RS03950, CIB43_RS00005
OG0000020	DR095_RS03805	CIB43_RS00635
OG0000022	DR095_RS03815	CIB43_RS02590
OG0000023	DR095_RS03490	CIB43_RS00020
OG0000023	DR095_RS01955	CIB43_RS01245, CIB43_RS01195
OG0000024	DR095_RS00310	CIB43_RS02140
OG0000025	DR095_RS01230	CIB43_RS02585
OG0000026	DR095_RS01450	CIB43_RS02565
OG0000027	DR095_RS03960	CIB43_RS00440
OG0000028	DR095_RS00595	CIB43_RS03340
OG0000030	DR095_RS03965	CIB43_RS00435
OG0000031	DR095_RS01640	CIB43_RS00065
OG0000039	DR095_RS00145	CIB43_RS02500
OG0000042	DR095_RS00140, DR095_RS00285	CIB43_RS03855
OG0000043	DR095_RS02735	CIB43_RS00070
OG0000045	DR095_RS03295, DR095_RS03300	CIB43_RS02520
OG0000047	DR095_RS03200	CIB43_RS00045
OG0000048	DR095_RS03095, DR095_RS02830	CIB43_RS02995
OG0000051	DR095_RS01545	CIB43_RS03575
OG0000052	DR095_RS01040	CIB43_RS00775
OG0000053	DR095_RS03995, DR095_RS01535	CIB43_RS02315
OG0000054	DR095_RS00625	CIB43_RS03395
OG0000055	DR095_RS01035	CIB43_RS00835
OG0000056	DR095_RS01205	CIB43_RS00630, CIB43_RS03960
OG0000057	DR095_RS00165	CIB43_RS03840
OG0000058	DR095_RS01620	CIB43_RS00085
OG0000059	DR095_RS03480	CIB43_RS00080, CIB43_RS01165
OG0000062	DR095_RS01150	CIB43_RS00675
OG0000063	DR095_RS01155	CIB43_RS00660
OG0000064	DR095_RS01165	CIB43_RS00650
OG0000065	DR095_RS01310	CIB43_RS03145
OG0000067	DR095_RS00010	CIB43_RS01410
OG0000068	DR095_RS00120	CIB43_RS01520
OG0000069	DR095_RS00275	CIB43_RS03740
OG0000070	DR095_RS00605	CIB43_RS03400
