Orthogroup	MFC_MF29_genes	MHP_133A_genes
OG0000000	DR095_RS03080	NB626_RS02350
OG0000000	DR095_RS03065	NB626_RS02265
OG0000000	DR095_RS01240	NB626_RS01840
OG0000001	DR095_RS00305, DR095_RS00300	NB626_RS01395, NB626_RS01400, NB626_RS02980, NB626_RS02935, NB626_RS02930
OG0000002	DR095_RS04030	NB626_RS02280
OG0000002	DR095_RS03820	NB626_RS01855
OG0000007	DR095_RS03020	NB626_RS02340
OG0000007	DR095_RS03025	NB626_RS02320
OG0000008	DR095_RS03220	NB626_RS01750
OG0000011	DR095_RS03240, DR095_RS03235	NB626_RS02080
OG0000013	DR095_RS00580, DR095_RS00575	NB626_RS02565
OG0000013	DR095_RS03215	NB626_RS00185
OG0000014	DR095_RS03760	NB626_RS00695, NB626_RS01210, NB626_RS00705
OG0000017	DR095_RS01000	NB626_RS00155
OG0000017	DR095_RS00240	NB626_RS03035
OG0000018	DR095_RS03835	NB626_RS00480
OG0000019	DR095_RS03740	NB626_RS03225
OG0000020	DR095_RS03805	NB626_RS03760
OG0000022	DR095_RS03815	NB626_RS01830
OG0000023	DR095_RS01955	NB626_RS00490
OG0000024	DR095_RS00310	NB626_RS02925, NB626_RS01390
OG0000025	DR095_RS01230	NB626_RS01825
OG0000026	DR095_RS01450	NB626_RS01480, NB626_RS01805
OG0000027	DR095_RS03960	NB626_RS03555
OG0000029	DR095_RS00085	NB626_RS01205, NB626_RS00710
OG0000030	DR095_RS03965	NB626_RS03530, NB626_RS03550
OG0000031	DR095_RS02710	NB626_RS01710
OG0000033	DR095_RS00600, DR095_RS03210	NB626_RS02590
OG0000039	DR095_RS00145	NB626_RS01720
OG0000040	DR095_RS01945, DR095_RS00375, DR095_RS00380	NB626_RS03470
OG0000042	DR095_RS00140, DR095_RS00285	NB626_RS03120
OG0000043	DR095_RS01635, DR095_RS02735	NB626_RS02045
OG0000045	DR095_RS03295, DR095_RS03300	NB626_RS01725
OG0000048	DR095_RS03095, DR095_RS02830	NB626_RS02235
OG0000049	DR095_RS01755	NB626_RS03235
OG0000050	DR095_RS03970	NB626_RS02625
OG0000051	DR095_RS01545	NB626_RS02835
OG0000052	DR095_RS01040	NB626_RS00075
OG0000053	DR095_RS03995, DR095_RS01535	NB626_RS01570
OG0000054	DR095_RS00625	NB626_RS02650
OG0000055	DR095_RS01035	NB626_RS00135
OG0000056	DR095_RS01205	NB626_RS03740
