Orthogroup	MFC_MF29_genes	MHP_J_genes
OG0000000	DR095_RS03080	MHJ_RS02155
OG0000000	DR095_RS01240	MHJ_RS01665
OG0000001	DR095_RS00305, DR095_RS00300	MHJ_RS01255, MHJ_RS01250, MHJ_RS02765, MHJ_RS03940, MHJ_RS02710
OG0000002	DR095_RS04030	MHJ_RS02080
OG0000002	DR095_RS03820	MHJ_RS01675
OG0000003	DR095_RS04020	MHJ_RS03890
OG0000007	DR095_RS03020	MHJ_RS02140
OG0000007	DR095_RS03025	MHJ_RS02135
OG0000007	DR095_RS03035	MHJ_RS02130
OG0000008	DR095_RS03220	MHJ_RS03850
OG0000011	DR095_RS03240, DR095_RS03235	MHJ_RS04005, MHJ_RS01900
OG0000011	DR095_RS03230	MHJ_RS01895
OG0000013	DR095_RS00580, DR095_RS00575	MHJ_RS02355
OG0000013	DR095_RS03215	MHJ_RS03825
OG0000014	DR095_RS03760	MHJ_RS01060, MHJ_RS00590
OG0000016	DR095_RS00250	MHJ_RS02810
OG0000017	DR095_RS01000	MHJ_RS00130
OG0000017	DR095_RS00240	MHJ_RS02820
OG0000018	DR095_RS03850, DR095_RS03835	MHJ_RS01295
OG0000020	DR095_RS03810	MHJ_RS03515
OG0000020	DR095_RS03805	MHJ_RS03995
OG0000022	DR095_RS03815	MHJ_RS01660
OG0000024	DR095_RS00310	MHJ_RS02705, MHJ_RS01245
OG0000025	DR095_RS01230	MHJ_RS01655
OG0000026	DR095_RS01450	MHJ_RS01335, MHJ_RS01635
OG0000027	DR095_RS03960	MHJ_RS03330
OG0000028	DR095_RS00595	MHJ_RS02365, MHJ_RS02370
OG0000029	DR095_RS00085	MHJ_RS01055, MHJ_RS00595
OG0000030	DR095_RS03965	MHJ_RS03310, MHJ_RS03325
OG0000031	DR095_RS02710	MHJ_RS01560
OG0000039	DR095_RS00145	MHJ_RS01575
OG0000040	DR095_RS01945, DR095_RS00375, DR095_RS00380	MHJ_RS03260
OG0000042	DR095_RS00140, DR095_RS00285	MHJ_RS02920
OG0000043	DR095_RS01635, DR095_RS02735	MHJ_RS01865
OG0000045	DR095_RS03295, DR095_RS03300	MHJ_RS01580
OG0000048	DR095_RS03095, DR095_RS02830	MHJ_RS02050
OG0000049	DR095_RS01755	MHJ_RS03010
OG0000050	DR095_RS03970	MHJ_RS02400
OG0000051	DR095_RS01545	MHJ_RS02615
OG0000052	DR095_RS01040	MHJ_RS00075
OG0000053	DR095_RS03995, DR095_RS01535	MHJ_RS01420
OG0000054	DR095_RS00625	MHJ_RS02425
OG0000055	DR095_RS01035	MHJ_RS00110
OG0000056	DR095_RS01205	MHJ_RS03500
OG0000057	DR095_RS00165	MHJ_RS02900
OG0000062	DR095_RS01150	MHJ_RS03545
OG0000063	DR095_RS01155	MHJ_RS03540
OG0000064	DR095_RS01165	MHJ_RS03530
OG0000065	DR095_RS01310	MHJ_RS02200
