Orthogroup	MFC_MF29_genes	MFC_MF22_genes
OG0000000	DR095_RS03080	DR094_RS03000
OG0000000	DR095_RS03105	DR094_RS00005
OG0000000	DR095_RS03185	DR094_RS02970
OG0000000	DR095_RS03115	DR094_RS03035
OG0000000	DR095_RS01240	DR094_RS01215
OG0000001	DR095_RS00305	DR094_RS00325
OG0000001	DR095_RS00300	DR094_RS00330
OG0000002	DR095_RS02820	DR094_RS02955
OG0000002	DR095_RS03445	DR094_RS02975, DR094_RS02030
OG0000002	DR095_RS04030	DR094_RS03815
OG0000002	DR095_RS03820	DR094_RS03610
OG0000003	DR095_RS04020	DR094_RS03820
OG0000007	DR095_RS03020	DR094_RS02850
OG0000007	DR095_RS03025	DR094_RS02845
OG0000007	DR095_RS03035	DR094_RS02840
OG0000011	DR095_RS03240, DR095_RS03235	DR094_RS03520
OG0000011	DR095_RS03230	DR094_RS02895
OG0000013	DR095_RS00580	DR094_RS00075
OG0000013	DR095_RS00575	DR094_RS00080
OG0000013	DR095_RS03215	DR094_RS03050
OG0000014	DR095_RS03760	DR094_RS03555
OG0000016	DR095_RS00250	DR094_RS00380
OG0000016	DR095_RS00985	DR094_RS00960
OG0000017	DR095_RS01000	DR094_RS00975
OG0000017	DR095_RS00240	DR094_RS00390
OG0000018	DR095_RS03835	DR094_RS03735
OG0000020	DR095_RS03810	DR094_RS03600
OG0000020	DR095_RS03805	DR094_RS03595
OG0000022	DR095_RS03815	DR094_RS03605
OG0000023	DR095_RS01405, DR095_RS03490, DR095_RS01955	DR094_RS02170
OG0000024	DR095_RS00310	DR094_RS00320
OG0000025	DR095_RS01230	DR094_RS01205
OG0000026	DR095_RS01450	DR094_RS02215
OG0000027	DR095_RS03960	DR094_RS03650
OG0000028	DR095_RS00595	DR094_RS00060
OG0000029	DR095_RS00085	DR094_RS00545
OG0000030	DR095_RS03965	DR094_RS03655
OG0000031	DR095_RS01640, DR095_RS02710	DR094_RS02590
OG0000033	DR095_RS00600, DR095_RS03210	DR094_RS00055
OG0000039	DR095_RS00145	DR094_RS00485
OG0000040	DR095_RS01945	DR094_RS02025
OG0000040	DR095_RS00375, DR095_RS00380	DR094_RS00270
OG0000042	DR095_RS00140	DR094_RS00490
OG0000042	DR095_RS00285	DR094_RS00345
OG0000043	DR095_RS02735	DR094_RS02615
OG0000045	DR095_RS03295	DR094_RS03140
OG0000045	DR095_RS03300	DR094_RS03135
OG0000048	DR095_RS02830	DR094_RS02695
OG0000049	DR095_RS01755	DR094_RS03355
OG0000050	DR095_RS03970	DR094_RS03765
OG0000051	DR095_RS01545	DR094_RS01715
OG0000052	DR095_RS01040	DR094_RS01015
OG0000053	DR095_RS03995, DR095_RS01535	DR094_RS03805
OG0000054	DR095_RS00625	DR094_RS00030
OG0000055	DR095_RS01035	DR094_RS03580, DR094_RS03850
OG0000056	DR095_RS01205	DR094_RS01180
OG0000057	DR095_RS00165	DR094_RS00465
OG0000062	DR095_RS01150	DR094_RS01125
OG0000063	DR095_RS01155	DR094_RS03590
OG0000064	DR095_RS01165	DR094_RS01140
OG0000065	DR095_RS01310	DR094_RS02075
OG0000066	DR095_RS01440	DR094_RS02205
OG0000067	DR095_RS00010	DR094_RS00620
OG0000068	DR095_RS00120	DR094_RS00510
OG0000069	DR095_RS00275	DR094_RS00355
OG0000070	DR095_RS00605	DR094_RS00050
OG0000071	DR095_RS01935	DR094_RS02015
OG0000072	DR095_RS03885	DR094_RS03725
OG0000073	DR095_RS02080	DR094_RS02425
