Orthogroup	MFC_MF29_genes	MHP_MHP650_genes
OG0000000	DR095_RS03080	DR083_RS02765
OG0000000	DR095_RS01240	DR083_RS04215
OG0000001	DR095_RS00305, DR095_RS00300	DR083_RS04075, DR083_RS00590, DR083_RS00540, DR083_RS00545
OG0000002	DR095_RS04030	DR083_RS04915
OG0000002	DR095_RS03820	DR083_RS04760
OG0000003	DR095_RS04020	DR083_RS04460
OG0000007	DR095_RS03020	DR083_RS03475
OG0000007	DR095_RS03025	DR083_RS03470
OG0000007	DR095_RS03035	DR083_RS03465
OG0000011	DR095_RS03240, DR095_RS03235	DR083_RS01555
OG0000011	DR095_RS03230	DR083_RS01550
OG0000013	DR095_RS00580, DR095_RS00575	DR083_RS05105
OG0000013	DR095_RS03215	DR083_RS03885
OG0000014	DR095_RS03760	DR083_RS03770, DR083_RS04890
OG0000016	DR095_RS00250	DR083_RS00630
OG0000017	DR095_RS01000	DR083_RS00025
OG0000017	DR095_RS00240	DR083_RS00640
OG0000018	DR095_RS03835	DR083_RS04835
OG0000019	DR095_RS03740	DR083_RS04180
OG0000020	DR095_RS03810	DR083_RS04635
OG0000020	DR095_RS03805	DR083_RS04640
OG0000022	DR095_RS03815	DR083_RS04755
OG0000023	DR095_RS01955	DR083_RS02935
OG0000024	DR095_RS00310	DR083_RS03365, DR083_RS01215
OG0000025	DR095_RS01230	DR083_RS02105
OG0000026	DR095_RS01450	DR083_RS01120, DR083_RS02085
OG0000027	DR095_RS03960	DR083_RS04880
OG0000029	DR095_RS00085	DR083_RS02525, DR083_RS03325
OG0000030	DR095_RS03965	DR083_RS04855, DR083_RS04885
OG0000033	DR095_RS00600, DR095_RS03210	DR083_RS00310
OG0000039	DR095_RS00145	DR083_RS03505
OG0000040	DR095_RS01945, DR095_RS00375, DR095_RS00380	DR083_RS02780
OG0000042	DR095_RS00140, DR095_RS00285	DR083_RS00730
OG0000043	DR095_RS01635, DR095_RS02735	DR083_RS01520
OG0000045	DR095_RS03295, DR095_RS03300	DR083_RS03515
OG0000048	DR095_RS03095, DR095_RS02830	DR083_RS02860
OG0000049	DR095_RS01755	DR083_RS01660
OG0000050	DR095_RS03970	DR083_RS00350
OG0000051	DR095_RS01545	DR083_RS02195
OG0000052	DR095_RS01040	DR083_RS02690
OG0000053	DR095_RS03995, DR095_RS01535	DR083_RS04665
OG0000054	DR095_RS00625	DR083_RS00375
OG0000055	DR095_RS01035	DR083_RS00005
OG0000056	DR095_RS01205	DR083_RS00815
OG0000057	DR095_RS00165	DR083_RS03975, DR083_RS03980
