Orthogroup	MHP_111A_genes	MFC_MF30_genes
OG0000000	NB623_RS01020, NB623_RS01025	DR084_RS02935
OG0000000	NB623_RS01850	DR084_RS02480
OG0000001	NB623_RS01400, NB623_RS02960, NB623_RS02915, NB623_RS02910	DR084_RS03095
OG0000002	NB623_RS02345, NB623_RS01905	DR084_RS03505
OG0000004	NB623_RS03180	DR084_RS02890
OG0000011	NB623_RS02145	DR084_RS03145
OG0000011	NB623_RS02150	DR084_RS01055
OG0000013	NB623_RS02540	DR084_RS00890, DR084_RS00885
OG0000014	NB623_RS01220, NB623_RS00600	DR084_RS03465
OG0000017	NB623_RS00145	DR084_RS02415
OG0000017	NB623_RS03015	DR084_RS00575
OG0000018	NB623_RS01950	DR084_RS03555
OG0000019	NB623_RS03195, NB623_RS03185, NB623_RS03175	DR084_RS03440
OG0000020	NB623_RS03745	DR084_RS02530
OG0000022	NB623_RS01840	DR084_RS03625
OG0000024	NB623_RS02905, NB623_RS01395	DR084_RS00640
OG0000025	NB623_RS01835	DR084_RS02490
OG0000026	NB623_RS01480, NB623_RS01815	DR084_RS01955
OG0000027	NB623_RS03535	DR084_RS03655
OG0000029	NB623_RS01215, NB623_RS00605	DR084_RS00420
OG0000030	NB623_RS03510, NB623_RS03530	DR084_RS03660
OG0000031	NB623_RS01985	DR084_RS01000
OG0000033	NB623_RS02560	DR084_RS00915
OG0000039	NB623_RS01730	DR084_RS00480
OG0000040	NB623_RS03440, NB623_RS03435	DR084_RS02240, DR084_RS00690
OG0000042	NB623_RS03100	DR084_RS00475, DR084_RS00620
OG0000043	NB623_RS02180	DR084_RS01025
OG0000045	NB623_RS01740	DR084_RS00485
OG0000048	NB623_RS01920	DR084_RS02740
OG0000049	NB623_RS03205	DR084_RS02050
OG0000050	NB623_RS02600	DR084_RS00965
OG0000051	NB623_RS02820	DR084_RS01670
OG0000052	NB623_RS00080	DR084_RS02375
OG0000053	NB623_RS01570	DR084_RS03670
OG0000054	NB623_RS02625	DR084_RS00940
OG0000055	NB623_RS00125	DR084_RS03600, DR084_RS03710
OG0000056	NB623_RS03725	DR084_RS02515
OG0000057	NB623_RS03085	DR084_RS00500
OG0000062	NB623_RS03775	DR084_RS02265
OG0000063	NB623_RS03770	DR084_RS03590
OG0000064	NB623_RS03760	DR084_RS02250
OG0000065	NB623_RS02390	DR084_RS01815
OG0000066	NB623_RS01470	DR084_RS01945
OG0000068	NB623_RS00640	DR084_RS00455
OG0000069	NB623_RS02980	DR084_RS00610
OG0000070	NB623_RS02630	DR084_RS00920
OG0000071	NB623_RS03425	DR084_RS01120, DR084_RS02230
OG0000072	NB623_RS03430	DR084_RS03585
OG0000073	NB623_RS00710	DR084_RS01245
OG0000075	NB623_RS00330	DR084_RS00175
OG0000077	NB623_RS00430	DR084_RS00275
OG0000079	NB623_RS02720	DR084_RS00835
OG0000080	NB623_RS02770	DR084_RS03130
