Orthogroup	MHP_111A_genes	MFC_MF33_genes
OG0000000	NB623_RS01020	DR085_RS02920
OG0000000	NB623_RS01025	DR085_RS03040
OG0000000	NB623_RS01850	DR085_RS02470
OG0000001	NB623_RS01400, NB623_RS02960, NB623_RS02915, NB623_RS02910	DR085_RS03235
OG0000002	NB623_RS01015	DR085_RS03895
OG0000003	NB623_RS01035	DR085_RS03550
OG0000004	NB623_RS03360, NB623_RS03350, NB623_RS03365, NB623_RS03170, NB623_RS03180, NB623_RS03190	DR085_RS01395
OG0000007	NB623_RS01045	DR085_RS02890
OG0000007	NB623_RS01050	DR085_RS02895
OG0000007	NB623_RS01060	DR085_RS03890
OG0000008	NB623_RS01760	DR085_RS03145
OG0000011	NB623_RS02145	DR085_RS03875, DR085_RS02795
OG0000011	NB623_RS02150	DR085_RS02805
OG0000013	NB623_RS02540	DR085_RS00915, DR085_RS00910
OG0000014	NB623_RS01220, NB623_RS00600	DR085_RS03650
OG0000017	NB623_RS00145	DR085_RS02380
OG0000017	NB623_RS03015	DR085_RS00595
OG0000018	NB623_RS01950	DR085_RS03745
OG0000019	NB623_RS03195, NB623_RS03185	DR085_RS03320
OG0000020	NB623_RS03740	DR085_RS03795
OG0000020	NB623_RS03745	DR085_RS03790
OG0000022	NB623_RS01840	DR085_RS03800
OG0000023	NB623_RS01940	DR085_RS02195
OG0000024	NB623_RS02905, NB623_RS01395	DR085_RS00665
OG0000025	NB623_RS01835	DR085_RS02460
OG0000026	NB623_RS01480, NB623_RS01815	DR085_RS01755
OG0000027	NB623_RS03535	DR085_RS03845
OG0000029	NB623_RS01215, NB623_RS00605	DR085_RS00425
OG0000030	NB623_RS03510, NB623_RS03530	DR085_RS03850
OG0000031	NB623_RS01985	DR085_RS02695
OG0000032	NB623_RS03525	DR085_RS03940
OG0000033	NB623_RS02560	DR085_RS00935
OG0000039	NB623_RS01730	DR085_RS00495, DR085_RS00485
OG0000040	NB623_RS03440, NB623_RS03435	DR085_RS03110, DR085_RS00715, DR085_RS00720
OG0000042	NB623_RS03100	DR085_RS00480, DR085_RS00645
OG0000043	NB623_RS02180	DR085_RS02670
OG0000045	NB623_RS01740	DR085_RS00505
OG0000048	NB623_RS01920	DR085_RS02880, DR085_RS03055
OG0000049	NB623_RS03205	DR085_RS01410
OG0000050	NB623_RS02600	DR085_RS02735
OG0000051	NB623_RS02820	DR085_RS01290
OG0000052	NB623_RS00080	DR085_RS03420
OG0000053	NB623_RS01570	DR085_RS03740
OG0000054	NB623_RS02625	DR085_RS00960
OG0000056	NB623_RS03725	DR085_RS02435
OG0000057	NB623_RS03085	DR085_RS00520
OG0000062	NB623_RS03775	DR085_RS02230
OG0000063	NB623_RS03770	DR085_RS02225
OG0000064	NB623_RS03760	DR085_RS02215
OG0000065	NB623_RS02390	DR085_RS01895
OG0000066	NB623_RS01470	DR085_RS01765
OG0000068	NB623_RS00640	DR085_RS00460
OG0000069	NB623_RS02980	DR085_RS00630
OG0000070	NB623_RS02630	DR085_RS00940
OG0000071	NB623_RS03425	DR085_RS01590
OG0000072	NB623_RS03430	DR085_RS03730
OG0000073	NB623_RS00710	DR085_RS02070
OG0000075	NB623_RS00330	DR085_RS00175
OG0000077	NB623_RS00430	DR085_RS00275
OG0000079	NB623_RS02720	DR085_RS00860
OG0000080	NB623_RS02770	DR085_RS03275
OG0000081	NB623_RS00325	DR085_RS00170
OG0000083	NB623_RS02075	DR085_RS03000
OG0000084	NB623_RS02045	DR085_RS02830
OG0000085	NB623_RS02040	DR085_RS02835
OG0000086	NB623_RS02030	DR085_RS03880
OG0000087	NB623_RS02015	DR085_RS02860
OG0000088	NB623_RS02010	DR085_RS02865
OG0000089	NB623_RS02000	DR085_RS02875
OG0000090	NB623_RS00070	DR085_RS02335
OG0000091	NB623_RS00055	DR085_RS02320
OG0000092	NB623_RS00050	DR085_RS02305
OG0000093	NB623_RS00035	DR085_RS02300
OG0000094	NB623_RS00030	DR085_RS02295
OG0000095	NB623_RS00005	DR085_RS02270
OG0000096	NB623_RS03810	DR085_RS02265
OG0000097	NB623_RS03790	DR085_RS02245
OG0000098	NB623_RS03780	DR085_RS02235
OG0000099	NB623_RS03730	DR085_RS02430
OG0000100	NB623_RS03715	DR085_RS02440
OG0000101	NB623_RS03710	DR085_RS02445
OG0000102	NB623_RS01830	DR085_RS02455
OG0000103	NB623_RS02355	DR085_RS01930
OG0000104	NB623_RS02360	DR085_RS01925
OG0000105	NB623_RS02380	DR085_RS01910
OG0000106	NB623_RS02385	DR085_RS01900
OG0000107	NB623_RS02395	DR085_RS01890
OG0000108	NB623_RS02400	DR085_RS01885
OG0000109	NB623_RS02405	DR085_RS01880
OG0000110	NB623_RS02525	DR085_RS01875
OG0000111	NB623_RS02520	DR085_RS01870
OG0000112	NB623_RS02510	DR085_RS01860
OG0000113	NB623_RS02490	DR085_RS03750
OG0000114	NB623_RS02485	DR085_RS01835
OG0000115	NB623_RS02470	DR085_RS01825
OG0000116	NB623_RS01415	DR085_RS01815
OG0000117	NB623_RS01420	DR085_RS01810
OG0000118	NB623_RS01455	DR085_RS01780
OG0000119	NB623_RS01465	DR085_RS01775
OG0000120	NB623_RS01475	DR085_RS01760
OG0000121	NB623_RS01505	DR085_RS01735
OG0000122	NB623_RS01510	DR085_RS01730
OG0000123	NB623_RS01530	DR085_RS01710
OG0000124	NB623_RS01535	DR085_RS01705
OG0000125	NB623_RS01545	DR085_RS01700
OG0000126	NB623_RS01550	DR085_RS01690
OG0000127	NB623_RS01560	DR085_RS01680
OG0000128	NB623_RS01575	DR085_RS01665
OG0000129	NB623_RS01580	DR085_RS01660
OG0000130	NB623_RS01590	DR085_RS01650
OG0000131	NB623_RS01620	DR085_RS01620
OG0000132	NB623_RS01635	DR085_RS03735
OG0000133	NB623_RS00525	DR085_RS00350
OG0000134	NB623_RS00530	DR085_RS03640
OG0000135	NB623_RS00545	DR085_RS00370
OG0000136	NB623_RS00550	DR085_RS00375
OG0000137	NB623_RS00590	DR085_RS00405
OG0000138	NB623_RS00615	DR085_RS00435
OG0000139	NB623_RS00645	DR085_RS00465
OG0000140	NB623_RS00650	DR085_RS00470
OG0000141	NB623_RS03095	DR085_RS00510
