Orthogroup	MHP_111A_genes	MHP_ES2L_genes
OG0000000	NB623_RS01020	HZK19_RS02105
OG0000000	NB623_RS02460	HZK19_RS02290
OG0000000	NB623_RS01845	HZK19_RS01690
OG0000000	NB623_RS01865	HZK19_RS01695
OG0000001	NB623_RS01400	HZK19_RS03720
OG0000001	NB623_RS02960	HZK19_RS02765
OG0000001	NB623_RS02910	HZK19_RS03840
OG0000002	NB623_RS01015	HZK19_RS02110
OG0000003	NB623_RS01035	HZK19_RS02160
OG0000004	NB623_RS03360	HZK19_RS03240
OG0000004	NB623_RS03350	HZK19_RS03230
OG0000004	NB623_RS03365	HZK19_RS03255
OG0000004	NB623_RS03170	HZK19_RS02970
OG0000005	NB623_RS00105	HZK19_RS00085
OG0000005	NB623_RS00110	HZK19_RS00090
OG0000005	NB623_RS00115	HZK19_RS00095
OG0000006	NB623_RS02650	HZK19_RS02470
OG0000007	NB623_RS01045	HZK19_RS02155
OG0000007	NB623_RS01050	HZK19_RS02150
OG0000007	NB623_RS01060	HZK19_RS02145
OG0000008	NB623_RS02455	HZK19_RS03790
OG0000008	NB623_RS01760	HZK19_RS03745
OG0000008	NB623_RS02660	HZK19_RS03825
OG0000009	NB623_RS00680	HZK19_RS00655
OG0000010	NB623_RS02245	HZK19_RS01810
OG0000011	NB623_RS02145	HZK19_RS03920
OG0000012	NB623_RS02340	HZK19_RS03250
OG0000012	NB623_RS02230	HZK19_RS01825
OG0000013	NB623_RS02540	HZK19_RS02370
OG0000014	NB623_RS00600	HZK19_RS00595
OG0000016	NB623_RS00160	HZK19_RS00155
OG0000017	NB623_RS00145	HZK19_RS00140
OG0000017	NB623_RS03015	HZK19_RS02815
OG0000018	NB623_RS01440	HZK19_RS01290
OG0000019	NB623_RS03175	HZK19_RS03845
OG0000020	NB623_RS03740	HZK19_RS03865, HZK19_RS03860
OG0000020	NB623_RS03745	HZK19_RS03600
OG0000021	NB623_RS02325	HZK19_RS01725
OG0000022	NB623_RS01785	HZK19_RS01625
OG0000022	NB623_RS01840	HZK19_RS01685
OG0000024	NB623_RS02905	HZK19_RS02710
OG0000024	NB623_RS01395	HZK19_RS01240
OG0000025	NB623_RS01790	HZK19_RS01630
OG0000025	NB623_RS01835	HZK19_RS01680
OG0000026	NB623_RS01480	HZK19_RS01330
OG0000026	NB623_RS01815	HZK19_RS01660
OG0000027	NB623_RS03520	HZK19_RS03390
OG0000027	NB623_RS03535	HZK19_RS03405
OG0000028	NB623_RS02565, NB623_RS02570	HZK19_RS02380
OG0000029	NB623_RS01215	HZK19_RS01065
OG0000029	NB623_RS00605	HZK19_RS00600
OG0000030	NB623_RS03510	HZK19_RS03380
OG0000030	NB623_RS03530	HZK19_RS03400
OG0000031	NB623_RS01720	HZK19_RS01570
OG0000031	NB623_RS01985	HZK19_RS03025
OG0000032	NB623_RS01690	HZK19_RS01545
OG0000032	NB623_RS03525	HZK19_RS03395
OG0000034	NB623_RS00990	HZK19_RS03770
OG0000034	NB623_RS00980	HZK19_RS03775
OG0000035	NB623_RS03355	HZK19_RS03235
OG0000035	NB623_RS03345	HZK19_RS03225
OG0000036	NB623_RS00120	HZK19_RS00100
OG0000037	NB623_RS01700	HZK19_RS01555
OG0000037	NB623_RS01695	HZK19_RS01550
OG0000038	NB623_RS00485, NB623_RS02330	HZK19_RS01710
OG0000039	NB623_RS01730	HZK19_RS01580
OG0000040	NB623_RS03445, NB623_RS03440, NB623_RS03435	HZK19_RS03325
OG0000041	NB623_RS01315	HZK19_RS01160
OG0000042	NB623_RS03100	HZK19_RS02900
OG0000043	NB623_RS02180	HZK19_RS01875
OG0000044	NB623_RS01800	HZK19_RS03955
OG0000044	NB623_RS02300	HZK19_RS01755
OG0000045	NB623_RS01740, NB623_RS01735	HZK19_RS01585
OG0000046	NB623_RS03460	HZK19_RS03335
OG0000048	NB623_RS01920	HZK19_RS02065
OG0000049	NB623_RS03205	HZK19_RS02995
OG0000050	NB623_RS02600	HZK19_RS02415
OG0000051	NB623_RS02820	HZK19_RS02620
OG0000052	NB623_RS00080	HZK19_RS00075
OG0000053	NB623_RS01570	HZK19_RS01415
OG0000054	NB623_RS02625	HZK19_RS02440
OG0000055	NB623_RS00125	HZK19_RS00120
OG0000056	NB623_RS03725	HZK19_RS03580
OG0000057	NB623_RS03085	HZK19_RS02885
OG0000058	NB623_RS01995	HZK19_RS03015
OG0000058	NB623_RS01990	HZK19_RS03020
OG0000059	NB623_RS01980	HZK19_RS03855
OG0000060	NB623_RS00085	HZK19_RS00080
OG0000061	NB623_RS02235	HZK19_RS01820
OG0000062	NB623_RS03775	HZK19_RS03630
OG0000063	NB623_RS03770	HZK19_RS03625
OG0000064	NB623_RS03760	HZK19_RS03615
OG0000065	NB623_RS02390	HZK19_RS02220
OG0000066	NB623_RS01470	HZK19_RS01320
