Orthogroup	MHP_111A_genes	MHP_7448_genes
OG0000000	NB623_RS01030	MHP7448_RS03990
OG0000000	NB623_RS02460	MHP7448_RS02245
OG0000000	NB623_RS01845, NB623_RS01850	MHP7448_RS01735
OG0000000	NB623_RS01865	MHP7448_RS01740
OG0000001	NB623_RS02960	MHP7448_RS02820
OG0000001	NB623_RS02910	MHP7448_RS04045
OG0000002	NB623_RS02345	MHP7448_RS03995
OG0000003	NB623_RS00940, NB623_RS00945, NB623_RS01040, NB623_RS01035, NB623_RS02255	MHP7448_RS03870
OG0000004	NB623_RS03360	MHP7448_RS03230
OG0000004	NB623_RS03365	MHP7448_RS03245
OG0000004	NB623_RS03180	MHP7448_RS03065
OG0000005	NB623_RS00105	MHP7448_RS00100
OG0000005	NB623_RS00110	MHP7448_RS00105
OG0000005	NB623_RS00115	MHP7448_RS00110
OG0000006	NB623_RS02650	MHP7448_RS04025
OG0000006	NB623_RS02465	MHP7448_RS02255
OG0000008	NB623_RS02455	MHP7448_RS02240
OG0000008	NB623_RS01760	MHP7448_RS01665
OG0000008	NB623_RS02665, NB623_RS02660	MHP7448_RS04030
OG0000009	NB623_RS00660, NB623_RS00665	MHP7448_RS00675
OG0000009	NB623_RS00090	MHP7448_RS00085
OG0000009	NB623_RS00680	MHP7448_RS00690
OG0000010	NB623_RS02245	MHP7448_RS01885
OG0000011	NB623_RS02145	MHP7448_RS01970
OG0000011	NB623_RS02150	MHP7448_RS01965
OG0000012	NB623_RS01890	MHP7448_RS01190
OG0000012	NB623_RS02340	MHP7448_RS03435
OG0000012	NB623_RS02230	MHP7448_RS03880
OG0000013	NB623_RS02540	MHP7448_RS02430
OG0000014	NB623_RS01220	MHP7448_RS01090
OG0000014	NB623_RS00600	MHP7448_RS00605
OG0000015	NB623_RS01685	MHP7448_RS03965
OG0000016	NB623_RS00160	MHP7448_RS00170
OG0000017	NB623_RS00145	MHP7448_RS00155
OG0000017	NB623_RS03015	MHP7448_RS02875
OG0000018	NB623_RS01440	MHP7448_RS01340
OG0000019	NB623_RS03195, NB623_RS03185, NB623_RS03175	MHP7448_RS03045
OG0000020	NB623_RS03740	MHP7448_RS03580
OG0000020	NB623_RS03745	MHP7448_RS03585
OG0000021	NB623_RS02325	MHP7448_RS03950
OG0000022	NB623_RS01785	MHP7448_RS01680
OG0000022	NB623_RS01840	MHP7448_RS01730
OG0000024	NB623_RS02905	MHP7448_RS02765
OG0000024	NB623_RS01395	MHP7448_RS01290
OG0000025	NB623_RS01790	MHP7448_RS01685
OG0000025	NB623_RS01835	MHP7448_RS01725
OG0000026	NB623_RS01480	MHP7448_RS01380
OG0000026	NB623_RS01815	MHP7448_RS01705
OG0000027	NB623_RS03520	MHP7448_RS03845
OG0000027	NB623_RS03535	MHP7448_RS03390
OG0000028	NB623_RS02565	MHP7448_RS02440
OG0000029	NB623_RS01215	MHP7448_RS01085
OG0000029	NB623_RS00605	MHP7448_RS00610
OG0000030	NB623_RS03510	MHP7448_RS03370
OG0000030	NB623_RS03530	MHP7448_RS03385
OG0000031	NB623_RS01720	MHP7448_RS01620
OG0000032	NB623_RS01690	MHP7448_RS01595
OG0000032	NB623_RS03525	MHP7448_RS03380
OG0000033	NB623_RS02545, NB623_RS02550	MHP7448_RS02435
OG0000035	NB623_RS03355	MHP7448_RS03240
OG0000035	NB623_RS03345	MHP7448_RS03225
OG0000036	NB623_RS00120	MHP7448_RS00115
OG0000037	NB623_RS01700	MHP7448_RS03725
OG0000037	NB623_RS01695	MHP7448_RS03970
OG0000039	NB623_RS01730	MHP7448_RS01635
OG0000040	NB623_RS03445, NB623_RS03440, NB623_RS03435	MHP7448_RS03315
OG0000041	NB623_RS00670	MHP7448_RS00680
OG0000041	NB623_RS01315	MHP7448_RS01195
OG0000042	NB623_RS03100	MHP7448_RS02965
OG0000043	NB623_RS02180	MHP7448_RS02315
OG0000044	NB623_RS01800	MHP7448_RS04120
OG0000045	NB623_RS01740, NB623_RS01735	MHP7448_RS01640
OG0000046	NB623_RS03460	MHP7448_RS03325
OG0000048	NB623_RS01920	MHP7448_RS02115
OG0000049	NB623_RS03205	MHP7448_RS03085
OG0000050	NB623_RS02600	MHP7448_RS02470
OG0000051	NB623_RS02820	MHP7448_RS02675
OG0000052	NB623_RS00080, NB623_RS00075	MHP7448_RS00075
OG0000053	NB623_RS01570	MHP7448_RS01465
OG0000054	NB623_RS02625	MHP7448_RS02495
OG0000055	NB623_RS00125	MHP7448_RS00135
OG0000056	NB623_RS03725	MHP7448_RS03565
OG0000057	NB623_RS03085	MHP7448_RS02950
OG0000058	NB623_RS01995	MHP7448_RS02335
OG0000060	NB623_RS00085	MHP7448_RS00080
OG0000061	NB623_RS02235	MHP7448_RS01895
OG0000062	NB623_RS03775	MHP7448_RS03615
OG0000063	NB623_RS03770	MHP7448_RS03610
OG0000064	NB623_RS03760	MHP7448_RS03600
OG0000065	NB623_RS02390	MHP7448_RS02180
OG0000066	NB623_RS01470	MHP7448_RS01370
OG0000068	NB623_RS00640	MHP7448_RS00655
OG0000069	NB623_RS02980	MHP7448_RS02835
OG0000070	NB623_RS02630	MHP7448_RS02500
OG0000071	NB623_RS03425	MHP7448_RS03305
OG0000072	NB623_RS03430	MHP7448_RS03310
OG0000073	NB623_RS00710	MHP7448_RS00715
OG0000074	NB623_RS00910	MHP7448_RS03660
OG0000075	NB623_RS00330	MHP7448_RS00340
OG0000077	NB623_RS00430	MHP7448_RS00445
OG0000078	NB623_RS01805	MHP7448_RS01695
OG0000079	NB623_RS02720	MHP7448_RS02580
OG0000080	NB623_RS02770	MHP7448_RS03915
OG0000081	NB623_RS00325	MHP7448_RS00335
OG0000083	NB623_RS02075	MHP7448_RS02040
OG0000084	NB623_RS02045	MHP7448_RS02065
OG0000085	NB623_RS02040	MHP7448_RS02070
OG0000086	NB623_RS02030	MHP7448_RS02080
OG0000087	NB623_RS02015	MHP7448_RS02095
OG0000088	NB623_RS02010	MHP7448_RS02100
OG0000089	NB623_RS02000	MHP7448_RS02110
OG0000090	NB623_RS00070	MHP7448_RS00070
OG0000091	NB623_RS00055	MHP7448_RS00055
OG0000092	NB623_RS00050	MHP7448_RS00040
OG0000093	NB623_RS00035	MHP7448_RS00035
OG0000094	NB623_RS00030	MHP7448_RS00030
OG0000095	NB623_RS00005	MHP7448_RS00005
OG0000096	NB623_RS03810	MHP7448_RS03655
OG0000097	NB623_RS03790	MHP7448_RS03635
OG0000098	NB623_RS03780	MHP7448_RS03620
OG0000099	NB623_RS03730	MHP7448_RS03570
OG0000100	NB623_RS03715	MHP7448_RS03555
OG0000101	NB623_RS03710	MHP7448_RS03550
OG0000102	NB623_RS01830	MHP7448_RS01720
OG0000103	NB623_RS02355	MHP7448_RS02145
OG0000104	NB623_RS02360	MHP7448_RS02150
OG0000105	NB623_RS02380	MHP7448_RS02165
OG0000106	NB623_RS02385	MHP7448_RS02175
OG0000107	NB623_RS02395	MHP7448_RS02185
OG0000108	NB623_RS02400	MHP7448_RS02190
OG0000109	NB623_RS02405	MHP7448_RS02195
OG0000110	NB623_RS02525	MHP7448_RS02410
OG0000111	NB623_RS02520	MHP7448_RS02405
OG0000112	NB623_RS02510	MHP7448_RS02395
OG0000113	NB623_RS02490	MHP7448_RS02375
OG0000114	NB623_RS02485	MHP7448_RS02365
OG0000115	NB623_RS02470	MHP7448_RS02355
OG0000116	NB623_RS01415	MHP7448_RS01315
OG0000117	NB623_RS01420	MHP7448_RS01320
OG0000118	NB623_RS01455	MHP7448_RS01355
OG0000119	NB623_RS01465	MHP7448_RS01360
OG0000120	NB623_RS01475	MHP7448_RS01375
