Orthogroup	MHP_111A_genes	MHP_F72C_genes
OG0000000	NB623_RS01020	EHI52_RS00960
OG0000000	NB623_RS01025	EHI52_RS00970
OG0000000	NB623_RS01030	EHI52_RS03755
OG0000000	NB623_RS02460	EHI52_RS02325
OG0000000	NB623_RS01865	EHI52_RS01775
OG0000001	NB623_RS02960	EHI52_RS02790
OG0000001	NB623_RS02915	EHI52_RS02745
OG0000001	NB623_RS02910	EHI52_RS02740
OG0000002	NB623_RS02345	EHI52_RS02215
OG0000002	NB623_RS01905	EHI52_RS01820
OG0000002	NB623_RS01015	EHI52_RS03740
OG0000003	NB623_RS00940	EHI52_RS03720
OG0000003	NB623_RS00945	EHI52_RS03725
OG0000003	NB623_RS01040	EHI52_RS00975
OG0000003	NB623_RS01035	EHI52_RS03760
OG0000004	NB623_RS03360	EHI52_RS03210
OG0000004	NB623_RS03365	EHI52_RS03225
OG0000004	NB623_RS03170	EHI52_RS03010
OG0000005	NB623_RS00105	EHI52_RS00100
OG0000005	NB623_RS00110	EHI52_RS00105
OG0000005	NB623_RS00115	EHI52_RS00110
OG0000006	NB623_RS02650	EHI52_RS02500
OG0000006	NB623_RS02465	EHI52_RS02330
OG0000007	NB623_RS00955, NB623_RS00950	EHI52_RS00935
OG0000007	NB623_RS01045	EHI52_RS00980
OG0000007	NB623_RS00970	EHI52_RS00945
OG0000007	NB623_RS01050	EHI52_RS00985
OG0000007	NB623_RS01060	EHI52_RS00995
OG0000008	NB623_RS02455	EHI52_RS02320
OG0000008	NB623_RS01760	EHI52_RS03775
OG0000008	NB623_RS02660	EHI52_RS03830
OG0000009	NB623_RS00090	EHI52_RS00085
OG0000009	NB623_RS00680	EHI52_RS00680
OG0000010	NB623_RS02245	EHI52_RS02085
OG0000011	NB623_RS02145	EHI52_RS01985
OG0000011	NB623_RS02150	EHI52_RS01990
OG0000012	NB623_RS02340	EHI52_RS02210
OG0000012	NB623_RS02230	EHI52_RS03635
OG0000013	NB623_RS02540	EHI52_RS02410
OG0000014	NB623_RS01220	EHI52_RS01155
OG0000016	NB623_RS00160	EHI52_RS00170
OG0000017	NB623_RS00145	EHI52_RS00155
OG0000017	NB623_RS03015	EHI52_RS02840
OG0000019	NB623_RS03195	EHI52_RS03855
OG0000019	NB623_RS03175	EHI52_RS03865
OG0000020	NB623_RS03740	EHI52_RS03550
OG0000020	NB623_RS03745	EHI52_RS03555
OG0000021	NB623_RS02325	EHI52_RS02195, EHI52_RS03715
OG0000022	NB623_RS01785	EHI52_RS01715
OG0000022	NB623_RS01840	EHI52_RS01770
OG0000024	NB623_RS02905	EHI52_RS02735
OG0000024	NB623_RS01395	EHI52_RS01335
OG0000025	NB623_RS01790	EHI52_RS01720
OG0000025	NB623_RS01835	EHI52_RS01765
OG0000026	NB623_RS01480	EHI52_RS01425
OG0000026	NB623_RS01815	EHI52_RS01745
OG0000027	NB623_RS03520	EHI52_RS03355
OG0000028	NB623_RS02565	EHI52_RS02420
OG0000029	NB623_RS01215	EHI52_RS01150
OG0000029	NB623_RS00605	EHI52_RS00620
OG0000030	NB623_RS03510	EHI52_RS03350
OG0000031	NB623_RS01720	EHI52_RS01660
OG0000031	NB623_RS01985	EHI52_RS01660
OG0000032	NB623_RS01690	EHI52_RS01630
OG0000033	NB623_RS02560	EHI52_RS03825
OG0000033	NB623_RS02545, NB623_RS02550	EHI52_RS03820
OG0000035	NB623_RS03355	EHI52_RS03220
OG0000035	NB623_RS03345	EHI52_RS03205
OG0000036	NB623_RS00120	EHI52_RS00115
OG0000037	NB623_RS01700	EHI52_RS01640
OG0000037	NB623_RS01695	EHI52_RS01635
OG0000038	NB623_RS00485	EHI52_RS03810
OG0000039	NB623_RS01730	EHI52_RS01675
OG0000040	NB623_RS03445, NB623_RS03440, NB623_RS03435	EHI52_RS03295
OG0000041	NB623_RS00670, NB623_RS01315	EHI52_RS03655
OG0000043	NB623_RS02180	EHI52_RS02020
OG0000044	NB623_RS01800	EHI52_RS03910
OG0000045	NB623_RS01740, NB623_RS01735	EHI52_RS01680
OG0000046	NB623_RS03460	EHI52_RS03305
OG0000048	NB623_RS01920	EHI52_RS01840
OG0000049	NB623_RS03205	EHI52_RS03065
OG0000050	NB623_RS02600	EHI52_RS02450
OG0000051	NB623_RS02820	EHI52_RS02650
OG0000052	NB623_RS00080, NB623_RS00075	EHI52_RS00075
OG0000053	NB623_RS01570	EHI52_RS01510
OG0000054	NB623_RS02625	EHI52_RS02475
OG0000055	NB623_RS00125	EHI52_RS00135
OG0000056	NB623_RS03725	EHI52_RS03530
OG0000057	NB623_RS03085	EHI52_RS02915
OG0000060	NB623_RS00085	EHI52_RS00080
OG0000061	NB623_RS02235	EHI52_RS02075
OG0000062	NB623_RS03775	EHI52_RS03585
OG0000063	NB623_RS03770	EHI52_RS03580
OG0000064	NB623_RS03760	EHI52_RS03570
OG0000065	NB623_RS02390	EHI52_RS02260
OG0000066	NB623_RS01470	EHI52_RS01415
OG0000068	NB623_RS00640	EHI52_RS00660
OG0000069	NB623_RS02980	EHI52_RS02805
OG0000070	NB623_RS02630	EHI52_RS02480
OG0000071	NB623_RS03425	EHI52_RS03285
OG0000072	NB623_RS03430	EHI52_RS03290
OG0000073	NB623_RS00710	EHI52_RS00705
OG0000074	NB623_RS00910	EHI52_RS00900
OG0000075	NB623_RS00330	EHI52_RS00355
OG0000076	NB623_RS00345	EHI52_RS00370
OG0000077	NB623_RS00430	EHI52_RS00460
OG0000078	NB623_RS01805	EHI52_RS01735
OG0000079	NB623_RS02720	EHI52_RS02555
OG0000080	NB623_RS02770	EHI52_RS03675
OG0000081	NB623_RS00325	EHI52_RS00350
OG0000083	NB623_RS02075	EHI52_RS01915
OG0000084	NB623_RS02045	EHI52_RS01890
OG0000085	NB623_RS02040	EHI52_RS01885
OG0000086	NB623_RS02030	EHI52_RS01875
OG0000087	NB623_RS02015	EHI52_RS01860
OG0000088	NB623_RS02010	EHI52_RS01855
OG0000089	NB623_RS02000	EHI52_RS01845
OG0000090	NB623_RS00070	EHI52_RS00070
OG0000091	NB623_RS00055	EHI52_RS00055
OG0000092	NB623_RS00050	EHI52_RS00040
OG0000093	NB623_RS00035	EHI52_RS00035
OG0000094	NB623_RS00030	EHI52_RS00030
OG0000095	NB623_RS00005	EHI52_RS00005
OG0000096	NB623_RS03810	EHI52_RS03620
OG0000097	NB623_RS03790	EHI52_RS03600
OG0000098	NB623_RS03780	EHI52_RS03590
OG0000099	NB623_RS03730	EHI52_RS03540
OG0000100	NB623_RS03715	EHI52_RS03520
OG0000101	NB623_RS03710	EHI52_RS03515
OG0000102	NB623_RS01830	EHI52_RS01760
OG0000103	NB623_RS02355	EHI52_RS02225
OG0000104	NB623_RS02360	EHI52_RS02230
OG0000105	NB623_RS02380	EHI52_RS02245
OG0000106	NB623_RS02385	EHI52_RS02255
OG0000107	NB623_RS02395	EHI52_RS02265
OG0000108	NB623_RS02400	EHI52_RS02270
OG0000109	NB623_RS02405	EHI52_RS02275
OG0000110	NB623_RS02525	EHI52_RS02395
OG0000111	NB623_RS02520	EHI52_RS02390
OG0000112	NB623_RS02510	EHI52_RS02380
OG0000113	NB623_RS02490	EHI52_RS02360
OG0000114	NB623_RS02485	EHI52_RS02350
OG0000115	NB623_RS02470	EHI52_RS02335
OG0000116	NB623_RS01415	EHI52_RS01360
OG0000117	NB623_RS01420	EHI52_RS01365
OG0000118	NB623_RS01455	EHI52_RS01400
OG0000119	NB623_RS01465	EHI52_RS01405
OG0000120	NB623_RS01475	EHI52_RS01420
OG0000121	NB623_RS01505	EHI52_RS01445
OG0000122	NB623_RS01510	EHI52_RS01450
OG0000123	NB623_RS01530	EHI52_RS01470
OG0000124	NB623_RS01535	EHI52_RS01475
OG0000125	NB623_RS01545	EHI52_RS01480
OG0000126	NB623_RS01550	EHI52_RS01490
OG0000127	NB623_RS01560	EHI52_RS01500
OG0000128	NB623_RS01575	EHI52_RS01515
OG0000129	NB623_RS01580	EHI52_RS01520
OG0000130	NB623_RS01590	EHI52_RS01530
OG0000131	NB623_RS01620	EHI52_RS01560
OG0000132	NB623_RS01635	EHI52_RS01575
OG0000133	NB623_RS00525	EHI52_RS00545
OG0000134	NB623_RS00530	EHI52_RS00550
OG0000135	NB623_RS00545	EHI52_RS00565
OG0000136	NB623_RS00550	EHI52_RS00570
OG0000137	NB623_RS00590	EHI52_RS00600
OG0000138	NB623_RS00615	EHI52_RS00635
OG0000139	NB623_RS00645	EHI52_RS00665
OG0000140	NB623_RS00650	EHI52_RS00670
OG0000141	NB623_RS03095	EHI52_RS02925
OG0000142	NB623_RS03090	EHI52_RS02920
OG0000143	NB623_RS03075	EHI52_RS02895
OG0000144	NB623_RS03060	EHI52_RS02885
OG0000145	NB623_RS03050	EHI52_RS02875
OG0000146	NB623_RS03040	EHI52_RS02865
OG0000147	NB623_RS03035	EHI52_RS02860
OG0000148	NB623_RS03020	EHI52_RS02845
OG0000149	NB623_RS03010	EHI52_RS02835
OG0000150	NB623_RS02995	EHI52_RS02820
OG0000151	NB623_RS02945	EHI52_RS02775
OG0000152	NB623_RS02940	EHI52_RS02770
OG0000153	NB623_RS02935	EHI52_RS02765
OG0000154	NB623_RS02925	EHI52_RS02755
OG0000155	NB623_RS02885	EHI52_RS02715
OG0000156	NB623_RS02875	EHI52_RS02705
OG0000157	NB623_RS02870	EHI52_RS02700
OG0000158	NB623_RS02860	EHI52_RS03885
OG0000159	NB623_RS02615	EHI52_RS03925
OG0000160	NB623_RS02610	EHI52_RS02460
OG0000161	NB623_RS02605	EHI52_RS02455
OG0000162	NB623_RS02595	EHI52_RS02445
OG0000163	NB623_RS02590	EHI52_RS02440
OG0000164	NB623_RS01725	EHI52_RS01665
OG0000165	NB623_RS02155	EHI52_RS01995
OG0000166	NB623_RS02135	EHI52_RS01975
OG0000167	NB623_RS02120	EHI52_RS01960
OG0000168	NB623_RS02115	EHI52_RS01955
OG0000169	NB623_RS03200	EHI52_RS03055
OG0000170	NB623_RS03215	EHI52_RS03075
OG0000171	NB623_RS03225	EHI52_RS03085
OG0000172	NB623_RS03230	EHI52_RS03095
OG0000173	NB623_RS03235	EHI52_RS03100
OG0000174	NB623_RS03240	EHI52_RS03105
OG0000175	NB623_RS03265	EHI52_RS03120
OG0000176	NB623_RS03310	EHI52_RS03170
OG0000177	NB623_RS03315	EHI52_RS03175
OG0000178	NB623_RS03320	EHI52_RS03180
OG0000179	NB623_RS03330	EHI52_RS03190
OG0000180	NB623_RS03335	EHI52_RS03195
OG0000181	NB623_RS03375	EHI52_RS03235
OG0000182	NB623_RS03385	EHI52_RS03245
OG0000183	NB623_RS03420	EHI52_RS03280
OG0000184	NB623_RS03485	EHI52_RS03325
OG0000185	NB623_RS03475	EHI52_RS03310
OG0000186	NB623_RS01645	EHI52_RS01585
OG0000187	NB623_RS01660	EHI52_RS01600
OG0000188	NB623_RS01670	EHI52_RS01610
OG0000189	NB623_RS02445	EHI52_RS02310
OG0000190	NB623_RS02440	EHI52_RS02305
OG0000191	NB623_RS02415	EHI52_RS02285
OG0000192	NB623_RS01340	EHI52_RS01280
OG0000193	NB623_RS01325	EHI52_RS01270
OG0000194	NB623_RS00690	EHI52_RS00690
OG0000195	NB623_RS00695	EHI52_RS00695
OG0000196	NB623_RS00720	EHI52_RS00715
OG0000197	NB623_RS00730	EHI52_RS00720
OG0000198	NB623_RS00740	EHI52_RS00735
OG0000199	NB623_RS00745	EHI52_RS00740
OG0000200	NB623_RS00760	EHI52_RS00755
OG0000201	NB623_RS00770	EHI52_RS00765
OG0000202	NB623_RS00830	EHI52_RS00820
OG0000203	NB623_RS00835	EHI52_RS00825
OG0000204	NB623_RS00840	EHI52_RS00830
OG0000205	NB623_RS00845	EHI52_RS00835
OG0000206	NB623_RS00865	EHI52_RS00855
OG0000207	NB623_RS00880	EHI52_RS00870
OG0000208	NB623_RS00885	EHI52_RS00875
OG0000209	NB623_RS00890	EHI52_RS00880
OG0000210	NB623_RS00935	EHI52_RS00925
OG0000211	NB623_RS01070	EHI52_RS01005
OG0000212	NB623_RS01080	EHI52_RS01015
OG0000213	NB623_RS01085	EHI52_RS01020
OG0000214	NB623_RS01090	EHI52_RS01025
OG0000215	NB623_RS01095	EHI52_RS01030
OG0000216	NB623_RS01100	EHI52_RS01035
OG0000217	NB623_RS01105	EHI52_RS01040
OG0000218	NB623_RS01115	EHI52_RS01050
OG0000219	NB623_RS01120	EHI52_RS01055
OG0000220	NB623_RS01125	EHI52_RS01060
OG0000221	NB623_RS01130	EHI52_RS01065
OG0000222	NB623_RS01135	EHI52_RS01070
OG0000223	NB623_RS01140	EHI52_RS01075
OG0000224	NB623_RS01150	EHI52_RS01085
OG0000225	NB623_RS01160	EHI52_RS01095
OG0000226	NB623_RS01165	EHI52_RS01100
OG0000227	NB623_RS01170	EHI52_RS01105
OG0000228	NB623_RS01175	EHI52_RS03905
OG0000229	NB623_RS01180	EHI52_RS01115
OG0000230	NB623_RS01185	EHI52_RS01120
OG0000231	NB623_RS01195	EHI52_RS01130
OG0000232	NB623_RS01205	EHI52_RS01140
OG0000233	NB623_RS01225	EHI52_RS01165
OG0000234	NB623_RS01260	EHI52_RS01200
OG0000235	NB623_RS01270	EHI52_RS01210
OG0000236	NB623_RS01275	EHI52_RS01215
OG0000237	NB623_RS01280	EHI52_RS01220
OG0000238	NB623_RS01285	EHI52_RS01230
OG0000239	NB623_RS03105	EHI52_RS02935
OG0000240	NB623_RS03110	EHI52_RS02940
OG0000241	NB623_RS03120	EHI52_RS02950
OG0000242	NB623_RS03125	EHI52_RS02955
OG0000243	NB623_RS03130	EHI52_RS02960
OG0000244	NB623_RS03140	EHI52_RS02970
OG0000245	NB623_RS03145	EHI52_RS02980
OG0000246	NB623_RS00130	EHI52_RS00140
OG0000247	NB623_RS00140	EHI52_RS00150
OG0000248	NB623_RS00150	EHI52_RS00160
OG0000249	NB623_RS00155	EHI52_RS00165
OG0000250	NB623_RS00175	EHI52_RS00180
OG0000251	NB623_RS00205	EHI52_RS00215
OG0000252	NB623_RS00210	EHI52_RS00225
OG0000253	NB623_RS00215	EHI52_RS00230
OG0000254	NB623_RS00225	EHI52_RS00240
OG0000255	NB623_RS00230	EHI52_RS00250
OG0000256	NB623_RS00240	EHI52_RS00255
OG0000257	NB623_RS00260	EHI52_RS00280
OG0000258	NB623_RS00270	EHI52_RS00290
OG0000259	NB623_RS00300	EHI52_RS00320
OG0000260	NB623_RS00310	EHI52_RS00330
OG0000261	NB623_RS00320	EHI52_RS00340
OG0000262	NB623_RS00340	EHI52_RS00360
OG0000263	NB623_RS00350	EHI52_RS00375
OG0000264	NB623_RS00365	EHI52_RS00390
OG0000265	NB623_RS00375	EHI52_RS00400
OG0000266	NB623_RS00390	EHI52_RS00415
OG0000267	NB623_RS00405	EHI52_RS00430
OG0000268	NB623_RS00410	EHI52_RS00435
OG0000269	NB623_RS00425	EHI52_RS00450
OG0000270	NB623_RS03685	EHI52_RS03490
OG0000271	NB623_RS03675	EHI52_RS03485
OG0000272	NB623_RS03670	EHI52_RS03480
OG0000273	NB623_RS03665	EHI52_RS03475
OG0000274	NB623_RS03650	EHI52_RS03455
OG0000275	NB623_RS03640	EHI52_RS03450
OG0000276	NB623_RS03635	EHI52_RS03445
OG0000277	NB623_RS03625	EHI52_RS03435
OG0000278	NB623_RS03620	EHI52_RS03430
OG0000279	NB623_RS03615	EHI52_RS03420
OG0000280	NB623_RS03605	EHI52_RS03415
OG0000281	NB623_RS03600	EHI52_RS03410
OG0000282	NB623_RS03570, NB623_RS03575	EHI52_RS03385
OG0000283	NB623_RS03565	EHI52_RS03380
OG0000284	NB623_RS03560	EHI52_RS03375
OG0000285	NB623_RS03555	EHI52_RS03370
OG0000286	NB623_RS02575	EHI52_RS02425
OG0000287	NB623_RS02675	EHI52_RS02515
OG0000288	NB623_RS02685	EHI52_RS02525
OG0000289	NB623_RS02690	EHI52_RS02530
OG0000290	NB623_RS02810	EHI52_RS02640
OG0000291	NB623_RS02800	EHI52_RS02630
OG0000292	NB623_RS02795	EHI52_RS02625
OG0000293	NB623_RS02790	EHI52_RS02620
OG0000294	NB623_RS02780	EHI52_RS02610
OG0000295	NB623_RS02775	EHI52_RS02605
OG0000296	NB623_RS02730	EHI52_RS02565
OG0000297	NB623_RS02725	EHI52_RS02560
OG0000298	NB623_RS00165	EHI52_RS00175
OG0000299	NB623_RS00185	EHI52_RS00200
OG0000300	NB623_RS00360	EHI52_RS00385
OG0000301	NB623_RS00395	EHI52_RS00420
OG0000302	NB623_RS00400	EHI52_RS00425
OG0000303	NB623_RS00555	EHI52_RS00575
OG0000304	NB623_RS01210	EHI52_RS01145
OG0000305	NB623_RS03045	EHI52_RS02870
OG0000306	NB623_RS02970	EHI52_RS02795
OG0000307	NB623_RS02930	EHI52_RS02760
OG0000308	NB623_RS02835	EHI52_RS02660
OG0000309	NB623_RS02765	EHI52_RS02595
OG0000310	NB623_RS02680	EHI52_RS02520
OG0000311	NB623_RS02635	EHI52_RS02485
OG0000312	NB623_RS02620	EHI52_RS02470
OG0000313	NB623_RS01715	EHI52_RS01655
OG0000314	NB623_RS02140	EHI52_RS01980
OG0000315	NB623_RS02110	EHI52_RS01950
OG0000316	NB623_RS02100	EHI52_RS01940
OG0000317	NB623_RS02005	EHI52_RS01850
OG0000318	NB623_RS02095	EHI52_RS01935
OG0000319	NB623_RS02370	EHI52_RS02240
OG0000320	NB623_RS02500	EHI52_RS02370
OG0000321	NB623_RS01450	EHI52_RS01395
OG0000322	NB623_RS01500	EHI52_RS01440
OG0000323	NB623_RS01630	EHI52_RS01570
OG0000324	NB623_RS02410	EHI52_RS02280
OG0000325	NB623_RS00705	EHI52_RS00700
OG0000326	NB623_RS00805	EHI52_RS00795
OG0000327	NB623_RS00810	EHI52_RS00800
OG0000328	NB623_RS00895	EHI52_RS00885
OG0000329	NB623_RS00915	EHI52_RS00905
OG0000330	NB623_RS01235	EHI52_RS01175
OG0000331	NB623_RS03135	EHI52_RS02965
OG0000332	NB623_RS03270	EHI52_RS03130
OG0000333	NB623_RS03280	EHI52_RS03140
OG0000334	NB623_RS03380	EHI52_RS03240
OG0000335	NB623_RS03390	EHI52_RS03250
OG0000336	NB623_RS03590	EHI52_RS03400
OG0000337	NB623_RS03765	EHI52_RS03575
OG0000338	NB623_RS03805	EHI52_RS03615
OG0000339	NB623_RS02475	EHI52_RS02340
OG0000340	NB623_RS01430	EHI52_RS01375
OG0000341	NB623_RS02435	EHI52_RS02300
OG0000342	NB623_RS00735	EHI52_RS00730
OG0000343	NB623_RS03290	EHI52_RS03150
OG0000344	NB623_RS00570	EHI52_RS00590
OG0000345	NB623_RS01155	EHI52_RS01090
OG0000346	NB623_RS03595	EHI52_RS03405
OG0000347	NB623_RS01525	EHI52_RS01465
OG0000348	NB623_RS00815	EHI52_RS00805
OG0000349	NB623_RS03655	EHI52_RS03465
OG0000350	NB623_RS02920	EHI52_RS02750
OG0000351	NB623_RS00480	EHI52_RS00510
