Orthogroup	MHP_111A_genes	MFC_Ms42_genes
OG0000000	NB623_RS01025	MYF_RS01460
OG0000000	NB623_RS01030	MYF_RS03370, MYF_RS01520, MYF_RS01870, MYF_RS03435
OG0000000	NB623_RS01850	MYF_RS03295
OG0000001	NB623_RS01400, NB623_RS02960, NB623_RS02915, NB623_RS02910	MYF_RS03415
OG0000002	NB623_RS02345, NB623_RS01905	MYF_RS01530
OG0000002	NB623_RS01015	MYF_RS01475
OG0000003	NB623_RS01035	MYF_RS01515
OG0000004	NB623_RS03170	MYF_RS02520
OG0000007	NB623_RS01045	MYF_RS01510
OG0000007	NB623_RS01050	MYF_RS01505
OG0000007	NB623_RS01060	MYF_RS01500
OG0000008	NB623_RS01760	MYF_RS01875
OG0000011	NB623_RS02145	MYF_RS03310
OG0000011	NB623_RS02150	MYF_RS01270
OG0000013	NB623_RS02540	MYF_RS03170, MYF_RS01100
OG0000014	NB623_RS01220, NB623_RS00600	MYF_RS00550
OG0000017	NB623_RS00145	MYF_RS03155
OG0000017	NB623_RS03015	MYF_RS00720
OG0000018	NB623_RS01950	MYF_RS01675
OG0000019	NB623_RS03195, NB623_RS03185	MYF_RS03450
OG0000020	NB623_RS03740	MYF_RS03080
OG0000020	NB623_RS03745	MYF_RS03085
OG0000022	NB623_RS01840	MYF_RS03025
OG0000023	NB623_RS01940	MYF_RS01880
OG0000024	NB623_RS02905, NB623_RS01395	MYF_RS00790
OG0000025	NB623_RS01835	MYF_RS03030
OG0000026	NB623_RS01480, NB623_RS01815	MYF_RS01715
OG0000027	NB623_RS03535	MYF_RS02825
OG0000029	NB623_RS01215, NB623_RS00605	MYF_RS00555
OG0000030	NB623_RS03510, NB623_RS03530	MYF_RS02820
OG0000031	NB623_RS01985	MYF_RS01215
OG0000032	NB623_RS01690	MYF_RS03490
OG0000032	NB623_RS03525	MYF_RS02815
OG0000033	NB623_RS02560	MYF_RS01130
OG0000037	NB623_RS01700	MYF_RS03495
OG0000037	NB623_RS01695	MYF_RS03005
OG0000039	NB623_RS01730	MYF_RS03160, MYF_RS00615
OG0000040	NB623_RS03440, NB623_RS03435	MYF_RS02770, MYF_RS00840
OG0000042	NB623_RS03100	MYF_RS00610, MYF_RS00765
OG0000043	NB623_RS02180	MYF_RS01240
OG0000045	NB623_RS01740	MYF_RS00630
OG0000048	NB623_RS01920	MYF_RS01350
OG0000049	NB623_RS03205	MYF_RS03265, MYF_RS03455
OG0000050	NB623_RS02600	MYF_RS01180
OG0000051	NB623_RS02820	MYF_RS02420
OG0000052	NB623_RS00080	MYF_RS00075
OG0000053	NB623_RS01570	MYF_RS01800
OG0000054	NB623_RS02625	MYF_RS01155
OG0000055	NB623_RS00125	MYF_RS03395, MYF_RS03525
OG0000056	NB623_RS03725	MYF_RS03060
OG0000057	NB623_RS03085	MYF_RS00645
OG0000062	NB623_RS03775	MYF_RS03115
OG0000063	NB623_RS03770	MYF_RS03110
OG0000064	NB623_RS03760	MYF_RS03100
OG0000065	NB623_RS02390	MYF_RS01575
OG0000066	NB623_RS01470	MYF_RS01705
OG0000068	NB623_RS00640	MYF_RS00590
OG0000069	NB623_RS02980	MYF_RS00755
OG0000070	NB623_RS02630	MYF_RS01135
OG0000071	NB623_RS03425	MYF_RS02760
OG0000072	NB623_RS03430	MYF_RS02765
OG0000073	NB623_RS00710	MYF_RS02005
OG0000075	NB623_RS00330	MYF_RS00305
OG0000077	NB623_RS00430	MYF_RS00410
OG0000079	NB623_RS02720	MYF_RS01050
OG0000080	NB623_RS02770	MYF_RS01000, MYF_RS03365
OG0000081	NB623_RS00325	MYF_RS00300
OG0000083	NB623_RS02075	MYF_RS01430
OG0000084	NB623_RS02045	MYF_RS01400
OG0000085	NB623_RS02040	MYF_RS01395
OG0000086	NB623_RS02030	MYF_RS01385
OG0000087	NB623_RS02015	MYF_RS01370
OG0000088	NB623_RS02010	MYF_RS01365
OG0000089	NB623_RS02000	MYF_RS01355
OG0000090	NB623_RS00070	MYF_RS00070
OG0000091	NB623_RS00055	MYF_RS00055
OG0000092	NB623_RS00050	MYF_RS00040
OG0000093	NB623_RS00035	MYF_RS00035
OG0000094	NB623_RS00030	MYF_RS00030
OG0000095	NB623_RS00005	MYF_RS00005
OG0000096	NB623_RS03810	MYF_RS03150
OG0000097	NB623_RS03790	MYF_RS03130
OG0000098	NB623_RS03780	MYF_RS03120
OG0000099	NB623_RS03730	MYF_RS03065
OG0000100	NB623_RS03715	MYF_RS03050
OG0000101	NB623_RS03710	MYF_RS03045
OG0000102	NB623_RS01830	MYF_RS03035
OG0000103	NB623_RS02355	MYF_RS01540
OG0000104	NB623_RS02360	MYF_RS01545
OG0000105	NB623_RS02380	MYF_RS01560
OG0000106	NB623_RS02385	MYF_RS01570
OG0000107	NB623_RS02395	MYF_RS01580
OG0000108	NB623_RS02400	MYF_RS01585
OG0000109	NB623_RS02405	MYF_RS01590
OG0000110	NB623_RS02525	MYF_RS01595
OG0000111	NB623_RS02520	MYF_RS01600
OG0000112	NB623_RS02510	MYF_RS01610
OG0000113	NB623_RS02490	MYF_RS01625
OG0000114	NB623_RS02485	MYF_RS01635
OG0000115	NB623_RS02470	MYF_RS01645
OG0000116	NB623_RS01415	MYF_RS01655
OG0000117	NB623_RS01420	MYF_RS01660
OG0000118	NB623_RS01455	MYF_RS01690
OG0000119	NB623_RS01465	MYF_RS01695
OG0000120	NB623_RS01475	MYF_RS01710
OG0000121	NB623_RS01505	MYF_RS01735
OG0000122	NB623_RS01510	MYF_RS01740
OG0000123	NB623_RS01530	MYF_RS01760
OG0000124	NB623_RS01535	MYF_RS01765
OG0000125	NB623_RS01545	MYF_RS01770
OG0000126	NB623_RS01550	MYF_RS01780
OG0000127	NB623_RS01560	MYF_RS01790
OG0000128	NB623_RS01575	MYF_RS01805
OG0000129	NB623_RS01580	MYF_RS01810
OG0000130	NB623_RS01590	MYF_RS01820
OG0000131	NB623_RS01620	MYF_RS01850
OG0000132	NB623_RS01635	MYF_RS01865
OG0000133	NB623_RS00525	MYF_RS00485
OG0000134	NB623_RS00530	MYF_RS00490
OG0000135	NB623_RS00545	MYF_RS00505
OG0000136	NB623_RS00550	MYF_RS00510
OG0000137	NB623_RS00590	MYF_RS00540
OG0000138	NB623_RS00615	MYF_RS00565
OG0000139	NB623_RS00645	MYF_RS00595
OG0000140	NB623_RS00650	MYF_RS00600
OG0000141	NB623_RS03095	MYF_RS00635
OG0000142	NB623_RS03090	MYF_RS00640
OG0000143	NB623_RS03075	MYF_RS00665
OG0000144	NB623_RS03060	MYF_RS00675
OG0000145	NB623_RS03050	MYF_RS00685
OG0000146	NB623_RS03040	MYF_RS00695
OG0000147	NB623_RS03035	MYF_RS00700
OG0000148	NB623_RS03020	MYF_RS00715
OG0000149	NB623_RS03010	MYF_RS00725
OG0000150	NB623_RS02995	MYF_RS00740
OG0000151	NB623_RS02945	MYF_RS00795
OG0000152	NB623_RS02940	MYF_RS00800
OG0000153	NB623_RS02935	MYF_RS00805
OG0000154	NB623_RS02925	MYF_RS00815
OG0000155	NB623_RS02885	MYF_RS00835
OG0000156	NB623_RS02875	MYF_RS00855
OG0000157	NB623_RS02870	MYF_RS00860
OG0000158	NB623_RS02860	MYF_RS00870
OG0000159	NB623_RS02615	MYF_RS01165
OG0000160	NB623_RS02610	MYF_RS01170
OG0000161	NB623_RS02605	MYF_RS01175
OG0000162	NB623_RS02595	MYF_RS01185
OG0000163	NB623_RS02590	MYF_RS01190
OG0000164	NB623_RS01725	MYF_RS01220
OG0000165	NB623_RS02155	MYF_RS01265
OG0000166	NB623_RS02135	MYF_RS01285
OG0000167	NB623_RS02120	MYF_RS01300
OG0000168	NB623_RS02115	MYF_RS01305
OG0000169	NB623_RS03200	MYF_RS02560
OG0000170	NB623_RS03215	MYF_RS02585
OG0000171	NB623_RS03225	MYF_RS02595
OG0000172	NB623_RS03230	MYF_RS02600
OG0000173	NB623_RS03235	MYF_RS02605
OG0000174	NB623_RS03240	MYF_RS02610
OG0000175	NB623_RS03265	MYF_RS02625
OG0000176	NB623_RS03310	MYF_RS02670
OG0000177	NB623_RS03315	MYF_RS02675
OG0000178	NB623_RS03320	MYF_RS02680
OG0000179	NB623_RS03330	MYF_RS02690
OG0000180	NB623_RS03335	MYF_RS02695
OG0000181	NB623_RS03375	MYF_RS02710
OG0000182	NB623_RS03385	MYF_RS02720
OG0000183	NB623_RS03420	MYF_RS02755
OG0000184	NB623_RS03485	MYF_RS02785
OG0000185	NB623_RS03475	MYF_RS02800
OG0000186	NB623_RS01645	MYF_RS01895
OG0000187	NB623_RS01660	MYF_RS01910
OG0000188	NB623_RS01670	MYF_RS01920
OG0000189	NB623_RS02445	MYF_RS01930
OG0000190	NB623_RS02440	MYF_RS01935
OG0000191	NB623_RS02415	MYF_RS01955
OG0000192	NB623_RS01340	MYF_RS01965
OG0000193	NB623_RS01325	MYF_RS01980
OG0000194	NB623_RS00690	MYF_RS01990
OG0000195	NB623_RS00695	MYF_RS01995
OG0000196	NB623_RS00720	MYF_RS02015
OG0000197	NB623_RS00730	MYF_RS02020
OG0000198	NB623_RS00740	MYF_RS02035
OG0000199	NB623_RS00745	MYF_RS02040
OG0000200	NB623_RS00760	MYF_RS02050
OG0000201	NB623_RS00770	MYF_RS02060
OG0000202	NB623_RS00830	MYF_RS02115
OG0000203	NB623_RS00835	MYF_RS02120
OG0000204	NB623_RS00840	MYF_RS02125
OG0000205	NB623_RS00845	MYF_RS02130
OG0000206	NB623_RS00865	MYF_RS02150
OG0000207	NB623_RS00880	MYF_RS02165
OG0000208	NB623_RS00885	MYF_RS02170
OG0000209	NB623_RS00890	MYF_RS02175
OG0000210	NB623_RS00935	MYF_RS02220
OG0000211	NB623_RS01070	MYF_RS02230
OG0000212	NB623_RS01080	MYF_RS02240
OG0000213	NB623_RS01085	MYF_RS02245
OG0000214	NB623_RS01090	MYF_RS02250
OG0000215	NB623_RS01095	MYF_RS02255
OG0000216	NB623_RS01100	MYF_RS02260
OG0000217	NB623_RS01105	MYF_RS02265
OG0000218	NB623_RS01115	MYF_RS02275
OG0000219	NB623_RS01120	MYF_RS02280
OG0000220	NB623_RS01125	MYF_RS02285
OG0000221	NB623_RS01130	MYF_RS02290
OG0000222	NB623_RS01135	MYF_RS03240
OG0000223	NB623_RS01140	MYF_RS02295
OG0000224	NB623_RS01150	MYF_RS02305
OG0000225	NB623_RS01160	MYF_RS02315
OG0000226	NB623_RS01165	MYF_RS02320
OG0000227	NB623_RS01170	MYF_RS02325
OG0000228	NB623_RS01175	MYF_RS03530
OG0000229	NB623_RS01180	MYF_RS02335
OG0000230	NB623_RS01185	MYF_RS02340
OG0000231	NB623_RS01195	MYF_RS02350
OG0000232	NB623_RS01205	MYF_RS02360
OG0000233	NB623_RS01225	MYF_RS02370
OG0000234	NB623_RS01260	MYF_RS02400
OG0000235	NB623_RS01270	MYF_RS02410
OG0000236	NB623_RS01275	MYF_RS02415
OG0000237	NB623_RS01280	MYF_RS02430
OG0000238	NB623_RS01285	MYF_RS02435
OG0000239	NB623_RS03105	MYF_RS02465
OG0000240	NB623_RS03110	MYF_RS02470
OG0000241	NB623_RS03120	MYF_RS02480
OG0000242	NB623_RS03125	MYF_RS02485
OG0000243	NB623_RS03130	MYF_RS02490
OG0000244	NB623_RS03140	MYF_RS02500
OG0000245	NB623_RS03145	MYF_RS02510
OG0000246	NB623_RS00130	MYF_RS00085
OG0000247	NB623_RS00140	MYF_RS00095
OG0000248	NB623_RS00150	MYF_RS00120
OG0000249	NB623_RS00155	MYF_RS00125
OG0000250	NB623_RS00175	MYF_RS00140
OG0000251	NB623_RS00205	MYF_RS00170
OG0000252	NB623_RS00210	MYF_RS00180
OG0000253	NB623_RS00215	MYF_RS00185
OG0000254	NB623_RS00225	MYF_RS00195
OG0000255	NB623_RS00230	MYF_RS00205
OG0000256	NB623_RS00240	MYF_RS00210
OG0000257	NB623_RS00260	MYF_RS00235
OG0000258	NB623_RS00270	MYF_RS00245
OG0000259	NB623_RS00300	MYF_RS00275
OG0000260	NB623_RS00310	MYF_RS00285
OG0000261	NB623_RS00320	MYF_RS00295
OG0000262	NB623_RS00340	MYF_RS00310
OG0000263	NB623_RS00350	MYF_RS00325
OG0000264	NB623_RS00365	MYF_RS00340
OG0000265	NB623_RS00375	MYF_RS00350
OG0000266	NB623_RS00390	MYF_RS00365
OG0000267	NB623_RS00405	MYF_RS00380
OG0000268	NB623_RS00410	MYF_RS00385
OG0000269	NB623_RS00425	MYF_RS00400
