Orthogroup	MHP_111A_genes	MHP_J_genes
OG0000000	NB623_RS01020	MHJ_RS03645
OG0000000	NB623_RS02460	MHJ_RS02265
OG0000000	NB623_RS01845, NB623_RS01850	MHJ_RS01665
OG0000000	NB623_RS01865	MHJ_RS01670
OG0000001	NB623_RS01400	MHJ_RS01255
OG0000001	NB623_RS02960	MHJ_RS02765
OG0000001	NB623_RS02910	MHJ_RS02710
OG0000002	NB623_RS02345	MHJ_RS03585
OG0000002	NB623_RS01905	MHJ_RS03670
OG0000002	NB623_RS01015	MHJ_RS02080
OG0000003	NB623_RS01035	MHJ_RS03890
OG0000004	NB623_RS03360	MHJ_RS03175
OG0000004	NB623_RS03350	MHJ_RS03165
OG0000004	NB623_RS03365	MHJ_RS03190
OG0000004	NB623_RS03180	MHJ_RS02995
OG0000005	NB623_RS00105	MHJ_RS00090
OG0000005	NB623_RS00110	MHJ_RS00095
OG0000005	NB623_RS00115	MHJ_RS00100
OG0000006	NB623_RS02650	MHJ_RS03920, MHJ_RS03915
OG0000006	NB623_RS02465	MHJ_RS02270
OG0000007	NB623_RS01045	MHJ_RS02140
OG0000007	NB623_RS01050	MHJ_RS02135
OG0000007	NB623_RS01060	MHJ_RS02130
OG0000008	NB623_RS02455	MHJ_RS03790
OG0000008	NB623_RS01760	MHJ_RS03850
OG0000008	NB623_RS02665, NB623_RS02660	MHJ_RS03925
OG0000009	NB623_RS00665	MHJ_RS00650
OG0000009	NB623_RS00680	MHJ_RS00660
OG0000010	NB623_RS02245	MHJ_RS01805
OG0000011	NB623_RS02145	MHJ_RS04005
OG0000011	NB623_RS02150	MHJ_RS01895
OG0000012	NB623_RS01710	MHJ_RS01680, MHJ_RS02860, MHJ_RS02630
OG0000012	NB623_RS02340	MHJ_RS01775
OG0000012	NB623_RS02230	MHJ_RS02990
OG0000013	NB623_RS02540	MHJ_RS02355
OG0000014	NB623_RS01220	MHJ_RS01060
OG0000014	NB623_RS00600	MHJ_RS00590
OG0000015	NB623_RS01750	MHJ_RS03980
OG0000016	NB623_RS00160	MHJ_RS00145
OG0000017	NB623_RS00145	MHJ_RS00130
OG0000017	NB623_RS03015	MHJ_RS02820
OG0000018	NB623_RS01440, NB623_RS01950	MHJ_RS01295
OG0000019	NB623_RS03195, NB623_RS03185	MHJ_RS03950
OG0000020	NB623_RS03740	MHJ_RS03515
OG0000020	NB623_RS03745	MHJ_RS03995
OG0000021	NB623_RS02325	MHJ_RS00495, MHJ_RS00490
OG0000022	NB623_RS01785	MHJ_RS01610
OG0000022	NB623_RS01840	MHJ_RS01660
OG0000024	NB623_RS02905	MHJ_RS02705
OG0000024	NB623_RS01395	MHJ_RS01245
OG0000025	NB623_RS01790	MHJ_RS01615
OG0000025	NB623_RS01835	MHJ_RS01655
OG0000026	NB623_RS01480	MHJ_RS01335
OG0000026	NB623_RS01815	MHJ_RS01635
OG0000027	NB623_RS03520	MHJ_RS03750
OG0000027	NB623_RS03535	MHJ_RS03330
OG0000029	NB623_RS01215	MHJ_RS01055
OG0000029	NB623_RS00605	MHJ_RS00595
OG0000030	NB623_RS03510	MHJ_RS03310
OG0000030	NB623_RS03530	MHJ_RS03325
OG0000032	NB623_RS03525	MHJ_RS03320
OG0000035	NB623_RS03355	MHJ_RS03170, MHJ_RS03185
OG0000035	NB623_RS03345	MHJ_RS03160
OG0000036	NB623_RS00120	MHJ_RS00105
OG0000037	NB623_RS01700	MHJ_RS03820
OG0000039	NB623_RS01730	MHJ_RS01575
OG0000040	NB623_RS03445, NB623_RS03440, NB623_RS03435	MHJ_RS03260
OG0000041	NB623_RS00670	MHJ_RS00655
OG0000041	NB623_RS01315	MHJ_RS01160
OG0000042	NB623_RS03100	MHJ_RS02920
OG0000043	NB623_RS02180	MHJ_RS01865
OG0000044	NB623_RS01800	MHJ_RS04020
OG0000044	NB623_RS02300	MHJ_RS01745
OG0000045	NB623_RS01740, NB623_RS01735	MHJ_RS01580
OG0000046	NB623_RS03450	MHJ_RS03265
OG0000048	NB623_RS01920	MHJ_RS02050
OG0000049	NB623_RS03205	MHJ_RS03025, MHJ_RS03010
OG0000050	NB623_RS02600	MHJ_RS02400
OG0000051	NB623_RS02820	MHJ_RS02615
OG0000052	NB623_RS00080	MHJ_RS00075
OG0000053	NB623_RS01570	MHJ_RS01420
OG0000054	NB623_RS02625	MHJ_RS02425
OG0000055	NB623_RS00125	MHJ_RS00110
OG0000056	NB623_RS03725	MHJ_RS03500
OG0000057	NB623_RS03085	MHJ_RS02900
OG0000061	NB623_RS02235	MHJ_RS01540, MHJ_RS01815
OG0000062	NB623_RS03775	MHJ_RS03545
