Orthogroup	MHP_111A_genes	MFC_MF11_genes
OG0000000	NB623_RS01025	DR093_RS03035
OG0000000	NB623_RS01845	DR093_RS03435
OG0000000	NB623_RS01850	DR093_RS03440
OG0000001	NB623_RS01400, NB623_RS02960, NB623_RS02915, NB623_RS02910	DR093_RS00830, DR093_RS00825
OG0000002	NB623_RS01015	DR093_RS04025
OG0000003	NB623_RS01035	DR093_RS04030
OG0000004	NB623_RS03180	DR093_RS01845
OG0000007	NB623_RS01045	DR093_RS02845
OG0000007	NB623_RS01050	DR093_RS02840
OG0000007	NB623_RS01060	DR093_RS02835
OG0000008	NB623_RS01760	DR093_RS03250
OG0000011	NB623_RS02145	DR093_RS03025
OG0000011	NB623_RS02150	DR093_RS03260
OG0000013	NB623_RS02540	DR093_RS01095, DR093_RS01090
OG0000014	NB623_RS01220, NB623_RS00600	DR093_RS03805
OG0000016	NB623_RS00160	DR093_RS00190
OG0000017	NB623_RS00145	DR093_RS00175
OG0000017	NB623_RS03015	DR093_RS00760
OG0000018	NB623_RS01950	DR093_RS03935
OG0000020	NB623_RS03740	DR093_RS03835
OG0000020	NB623_RS03745	DR093_RS03830
OG0000022	NB623_RS01840	DR093_RS03840
OG0000023	NB623_RS01435, NB623_RS01940	DR093_RS01985
OG0000024	NB623_RS02905, NB623_RS01395	DR093_RS00835
OG0000025	NB623_RS01835	DR093_RS01230
OG0000026	NB623_RS01480, NB623_RS01815	DR093_RS02030
OG0000027	NB623_RS03520	DR093_RS01425
OG0000027	NB623_RS03535	DR093_RS03885
OG0000029	NB623_RS01215, NB623_RS00605	DR093_RS00605
OG0000030	NB623_RS03510, NB623_RS03530	DR093_RS03890
OG0000031	NB623_RS01985	DR093_RS02685
OG0000032	NB623_RS01690, NB623_RS03525	DR093_RS01420
OG0000033	NB623_RS02560	DR093_RS01115
OG0000039	NB623_RS01730	DR093_RS00665
OG0000040	NB623_RS03440, NB623_RS03435	DR093_RS02380, DR093_RS03230
OG0000042	NB623_RS03100	DR093_RS00660, DR093_RS03365, DR093_RS00810
OG0000043	NB623_RS02180	DR093_RS02660
OG0000045	NB623_RS01740	DR093_RS00670
OG0000047	NB623_RS01935	DR093_RS00840
OG0000048	NB623_RS01920	DR093_RS03685, DR093_RS03690
OG0000049	NB623_RS03205	DR093_RS03590
OG0000050	NB623_RS02600	DR093_RS04015
OG0000051	NB623_RS02820	DR093_RS01745
OG0000052	NB623_RS00080	DR093_RS00140
OG0000053	NB623_RS01570	DR093_RS03940
OG0000054	NB623_RS02625	DR093_RS01140
OG0000056	NB623_RS03725	DR093_RS01205
OG0000057	NB623_RS03085	DR093_RS00685
OG0000062	NB623_RS03775	DR093_RS00025
OG0000063	NB623_RS03770	DR093_RS03775
OG0000064	NB623_RS03760	DR093_RS00010
OG0000065	NB623_RS02390	DR093_RS01890
OG0000066	NB623_RS01470	DR093_RS02020
OG0000068	NB623_RS00640	DR093_RS00640
OG0000069	NB623_RS02980	DR093_RS00795
OG0000070	NB623_RS02630	DR093_RS01120
OG0000071	NB623_RS03425	DR093_RS02370
OG0000072	NB623_RS03430	DR093_RS03980
OG0000073	NB623_RS00710	DR093_RS02505
OG0000075	NB623_RS00330	DR093_RS00360
OG0000077	NB623_RS00430	DR093_RS00460
OG0000079	NB623_RS02720	DR093_RS01040
OG0000080	NB623_RS02770	DR093_RS03415
OG0000081	NB623_RS00325	DR093_RS00355
OG0000083	NB623_RS02075	DR093_RS02955
OG0000084	NB623_RS02045	DR093_RS02790
OG0000085	NB623_RS02040	DR093_RS02785
OG0000086	NB623_RS02030	DR093_RS04020
OG0000087	NB623_RS02015	DR093_RS02760
