Orthogroup	MHP_111A_genes	MHP_MHP699_genes
OG0000000	NB623_RS02460	DR100_RS03595, DR100_RS04515
OG0000000	NB623_RS01845, NB623_RS01850	DR100_RS04215
OG0000000	NB623_RS01865	DR100_RS04210
OG0000001	NB623_RS01400	DR100_RS03930
OG0000001	NB623_RS02960	DR100_RS01790
OG0000002	NB623_RS02345	DR100_RS04380
OG0000002	NB623_RS01015	DR100_RS04890
OG0000003	NB623_RS00940	DR100_RS04610
OG0000003	NB623_RS01040, NB623_RS01035	DR100_RS04885
OG0000004	NB623_RS03350	DR100_RS03655
OG0000004	NB623_RS03365	DR100_RS03555
OG0000005	NB623_RS00105	DR100_RS01100
OG0000005	NB623_RS00110	DR100_RS04630
OG0000005	NB623_RS00115	DR100_RS04625
OG0000006	NB623_RS02650	DR100_RS04235, DR100_RS04230
OG0000006	NB623_RS02495	DR100_RS04245
OG0000007	NB623_RS00955, NB623_RS00950	DR100_RS01035
OG0000007	NB623_RS01045	DR100_RS03495
OG0000007	NB623_RS00970	DR100_RS03820
OG0000007	NB623_RS01050	DR100_RS03500
OG0000007	NB623_RS01060	DR100_RS03510
OG0000008	NB623_RS01760	DR100_RS03845
OG0000008	NB623_RS02660	DR100_RS03680
OG0000009	NB623_RS00680	DR100_RS00780
OG0000010	NB623_RS02245	DR100_RS04925
OG0000011	NB623_RS02145	DR100_RS01970
OG0000011	NB623_RS02150	DR100_RS01975
OG0000012	NB623_RS02230	DR100_RS03830
OG0000013	NB623_RS02540	DR100_RS02295
OG0000014	NB623_RS01220	DR100_RS03645
OG0000014	NB623_RS00600	DR100_RS04585
OG0000016	NB623_RS00160	DR100_RS00685
OG0000017	NB623_RS00145	DR100_RS00700
OG0000017	NB623_RS03015	DR100_RS01740
OG0000018	NB623_RS01440	DR100_RS04570
OG0000019	NB623_RS03195, NB623_RS03185, NB623_RS03175	DR100_RS03760
OG0000020	NB623_RS03740	DR100_RS03705
OG0000020	NB623_RS03745	DR100_RS04650
OG0000021	NB623_RS02325	DR100_RS03710, DR100_RS03700
OG0000022	NB623_RS01785	DR100_RS02220
OG0000022	NB623_RS01840	DR100_RS04745
OG0000024	NB623_RS02905	DR100_RS03275
OG0000024	NB623_RS01395	DR100_RS00195
OG0000025	NB623_RS01790	DR100_RS04750
OG0000025	NB623_RS01835	DR100_RS02170
OG0000026	NB623_RS01480	DR100_RS00285
OG0000026	NB623_RS01815	DR100_RS02190
OG0000027	NB623_RS03520	DR100_RS04850
OG0000027	NB623_RS03535	DR100_RS04690
OG0000028	NB623_RS02565	DR100_RS02685
OG0000028	NB623_RS02570	DR100_RS02310
OG0000029	NB623_RS01215	DR100_RS03520
OG0000029	NB623_RS00605	DR100_RS00725
OG0000030	NB623_RS03510	DR100_RS04855
OG0000030	NB623_RS03530	DR100_RS04695
OG0000031	NB623_RS01985	DR100_RS01570
OG0000032	NB623_RS01690	DR100_RS03450
OG0000032	NB623_RS03525	DR100_RS03775
OG0000033	NB623_RS02545, NB623_RS02550	DR100_RS02300
OG0000034	NB623_RS00990	DR100_RS03620
OG0000034	NB623_RS00980	DR100_RS04530
OG0000035	NB623_RS03355	DR100_RS03560
OG0000036	NB623_RS00120	DR100_RS01080
OG0000037	NB623_RS01700	DR100_RS03435
OG0000037	NB623_RS01695	DR100_RS03440
OG0000039	NB623_RS01730	DR100_RS04510, DR100_RS03660
OG0000040	NB623_RS03445, NB623_RS03440, NB623_RS03435	DR100_RS03895
OG0000041	NB623_RS00670, NB623_RS01315	DR100_RS00105
OG0000042	NB623_RS03100	DR100_RS03115
OG0000043	NB623_RS02180	DR100_RS02005
OG0000044	NB623_RS01800	DR100_RS04930
OG0000045	NB623_RS01740	DR100_RS03545
OG0000046	NB623_RS03450	DR100_RS04840
OG0000048	NB623_RS01920	DR100_RS02540
OG0000049	NB623_RS03205	DR100_RS01465
OG0000050	NB623_RS02600	DR100_RS02715
OG0000051	NB623_RS02820	DR100_RS01815
OG0000052	NB623_RS00080	DR100_RS01115
OG0000053	NB623_RS01570	DR100_RS04755
OG0000054	NB623_RS02625	DR100_RS02740
OG0000055	NB623_RS00125	DR100_RS01060
OG0000056	NB623_RS03725	DR100_RS01270
OG0000057	NB623_RS03085	DR100_RS01665
OG0000058	NB623_RS01995	DR100_RS01560
OG0000058	NB623_RS01990	DR100_RS01565
OG0000059	NB623_RS01980	DR100_RS01575
OG0000060	NB623_RS00085	DR100_RS01110
OG0000061	NB623_RS02235	DR100_RS02060
OG0000062	NB623_RS03775	DR100_RS01225
OG0000063	NB623_RS03770	DR100_RS04645
OG0000064	NB623_RS03760	DR100_RS01240
OG0000065	NB623_RS02390	DR100_RS03025
OG0000066	NB623_RS01470	DR100_RS00275
OG0000068	NB623_RS00640	DR100_RS00760
OG0000069	NB623_RS02980	DR100_RS01775
OG0000070	NB623_RS02630	DR100_RS02745
OG0000071	NB623_RS03425	DR100_RS03100
OG0000072	NB623_RS03430	DR100_RS04835
OG0000073	NB623_RS00710	DR100_RS00805
OG0000074	NB623_RS00910	DR100_RS04605
OG0000075	NB623_RS00330	DR100_RS00505
OG0000076	NB623_RS00345	DR100_RS00490
OG0000077	NB623_RS00430	DR100_RS00400
OG0000078	NB623_RS01805	DR100_RS02200
