Orthogroup	MHP_F72C_proteins	MHP_131B_proteins
OG0000000	WP_318026087.1	WP_404924494.1
OG0000000	WP_146379517.1	WP_404924493.1, WP_404924491.1
OG0000000	WP_225973024.1	WP_404924511.1
OG0000000	WP_225973037.1	WP_404924212.1
OG0000000	WP_225973050.1	WP_148174330.1
OG0000000	WP_225972977.1	WP_258556712.1
OG0000000	WP_146379582.1	WP_404924489.1
OG0000001	WP_225973029.1	WP_404924525.1
OG0000001	WP_225972992.1, WP_225972991.1	WP_404924272.1
OG0000002	WP_225972974.1	WP_225972974.1
OG0000002	WP_146379587.1	WP_404924222.1
OG0000002	WP_225973021.1	WP_404924509.1
OG0000002	WP_146379583.1	WP_404924467.1
OG0000003	WP_225973018.1	WP_404923944.1
OG0000003	WP_192894277.1	WP_404924565.1
OG0000004	WP_020835883.1	WP_160588068.1
OG0000004	WP_146379729.1	WP_404924305.1
OG0000004	WP_020835887.1	WP_404924307.1
OG0000004	WP_225972998.1	WP_404924497.1
OG0000005	WP_146379449.1	WP_011289941.1
OG0000005	WP_146379452.1	WP_146379452.1
OG0000005	WP_146379450.1	WP_404924354.1
OG0000005	WP_146379453.1	WP_347952346.1
OG0000006	WP_225972988.1	WP_404924250.1, WP_280996645.1
OG0000006	WP_225972980.1	WP_404924515.1
OG0000006	WP_258555362.1	WP_404924232.1
OG0000007	WP_135618608.1	WP_160576975.1
OG0000007	WP_146379518.1	WP_404923946.1
OG0000007	WP_002557993.1	WP_404924219.1
OG0000008	WP_011290229.1	WP_404924227.1
OG0000008	WP_225973033.1	WP_404924560.1
OG0000008	WP_225972989.1	WP_404924495.1
OG0000009	WP_146379448.1	WP_041361519.1
OG0000009	WP_146379497.1	WP_011290021.1
OG0000010	WP_146379615.1	WP_404924479.1
OG0000011	WP_225972964.1	WP_404924567.1
OG0000012	WP_158632000.1	WP_404924504.1
OG0000013	WP_225972984.1	WP_225972984.1
OG0000013	WP_225973006.1	WP_404924502.1
OG0000014	WP_146379490.1	WP_404924549.1
OG0000014	WP_146379526.1	WP_404924552.1
OG0000015	WP_225973030.1	WP_225973030.1
OG0000016	WP_146379690.1	WP_404924526.1
OG0000016	WP_146379459.1	WP_404924358.1
OG0000017	WP_020835500.1	WP_020835500.1
OG0000017	WP_020835837.1	WP_020835837.1
OG0000018	WP_146379553.1	WP_160585680.1
OG0000019	WP_146379709.1	WP_404924294.1, WP_404924295.1
OG0000019	WP_146379710.1	WP_404924528.1
OG0000020	WP_146379767.1	WP_404924535.1
OG0000020	WP_192894283.1	WP_404924536.1
OG0000021	WP_094521655.1	WP_404924389.1
OG0000022	WP_146379575.1	WP_404924458.1
OG0000022	WP_146379581.1	WP_146379581.1
OG0000023	WP_146379552.1	WP_404924437.1
OG0000024	WP_146379683.1	WP_179696078.1
OG0000024	WP_146379547.1	WP_404924435.1
OG0000025	WP_146379576.1	WP_404924459.1
OG0000025	WP_146379580.1	WP_404924464.1
OG0000026	WP_192894288.1	WP_020835640.1
OG0000026	WP_146379579.1	WP_160606777.1
OG0000027	WP_146379747.1	WP_020835902.1
OG0000028	WP_146379651.1	WP_404924522.1, WP_404924521.1
OG0000029	WP_146379525.1	WP_404924422.1
OG0000029	WP_146379491.1	WP_404924400.1
OG0000030	WP_044272656.1	WP_308704613.1
OG0000031	WP_011290137.1	WP_088172525.1, WP_404924450.1
OG0000032	WP_135618726.1	WP_135618726.1
OG0000033	WP_225972985.1	WP_404924517.1, WP_404924520.1, WP_404924518.1
OG0000035	WP_146379730.1	WP_404924533.1
OG0000035	WP_146379728.1	WP_160588066.1
OG0000036	WP_225973004.1	WP_347952344.1
OG0000036	WP_146379454.1	WP_146379454.1
OG0000037	WP_225973046.1	WP_404924569.1
OG0000037	WP_020835661.1	WP_020835661.1
OG0000037	WP_240536496.1	WP_404924568.1
OG0000038	WP_146379625.1	WP_404924387.1
OG0000039	WP_146379572.1	WP_404924559.1
OG0000040	WP_146379737.1	WP_404924313.1
OG0000041	WP_192894287.1	WP_011290019.1, WP_228366127.1
OG0000043	WP_014579804.1	WP_014579804.1
OG0000044	WP_225973034.1	WP_225973034.1
OG0000045	WP_225973032.1	WP_404924452.1
OG0000046	WP_146379739.1	WP_404924315.1
OG0000048	WP_146379588.1	WP_011284150.1
OG0000049	WP_146379714.1	WP_020835860.1
OG0000050	WP_146379653.1	WP_404924247.1
OG0000051	WP_146379673.1	WP_404924263.1
OG0000052	WP_146379447.1	WP_404924352.1
OG0000053	WP_146379563.1	WP_404924445.1
OG0000054	WP_146379656.1	WP_404924248.1
OG0000055	WP_146379455.1	WP_146379455.1
OG0000056	WP_146379764.1	WP_404924340.1
OG0000057	WP_146379697.1	WP_404924285.1
OG0000060	WP_225973002.1	WP_020835489.1
OG0000061	WP_146379613.1	WP_404924566.1
OG0000062	WP_011290443.1	WP_011206522.1
OG0000063	WP_146379768.1	WP_041361715.1
OG0000064	WP_011290440.1	WP_348571896.1
OG0000065	WP_011290219.1	WP_225972975.1
OG0000066	WP_011205965.1	WP_404913732.1
OG0000067	WP_146379483.1	WP_404924548.1
OG0000068	WP_011206103.1	WP_011206103.1
OG0000069	WP_011206373.1	WP_011206373.1
OG0000070	WP_146379657.1	WP_011206292.1
OG0000071	WP_146379735.1	WP_404924311.1
OG0000072	WP_146379736.1	WP_404924312.1
OG0000073	WP_011206093.1	WP_404912207.1
OG0000074	WP_044284596.1	WP_308704709.1
OG0000075	WP_146379474.1	WP_404924368.1
OG0000076	WP_146379475.1	WP_404924369.1, WP_404924503.1
OG0000077	WP_146379479.1	WP_135618533.1
OG0000078	WP_146379578.1	WP_404924461.1
OG0000079	WP_146379663.1	WP_020835797.1
OG0000080	WP_192894279.1	WP_192894279.1
OG0000081	WP_225973010.1	WP_404924544.1
OG0000083	WP_146379599.1	WP_014579823.1
OG0000084	WP_011284142.1	WP_011284142.1
OG0000085	WP_146379595.1	WP_404924208.1
OG0000086	WP_146379593.1	WP_404924507.1
OG0000087	WP_020835732.1	WP_020835732.1
OG0000088	WP_146379590.1	WP_020835733.1
OG0000089	WP_011290212.1	WP_011206231.1
OG0000090	WP_094521535.1	WP_404924539.1
OG0000091	WP_020835487.1	WP_020835487.1
OG0000092	WP_011205847.1	WP_404924538.1
OG0000093	WP_020835484.1	WP_160584856.1
OG0000094	WP_014579519.1	WP_160606485.1
OG0000095	WP_044272251.1	WP_044272251.1
OG0000096	WP_011206529.1	WP_011206529.1
OG0000097	WP_146379771.1	WP_404924537.1
OG0000098	WP_146379769.1	WP_404924345.1
OG0000099	WP_146379765.1	WP_404924341.1
OG0000100	WP_146379762.1	WP_404924338.1
OG0000101	WP_011206510.1	WP_011206510.1
OG0000102	WP_225973035.1	WP_404924487.1
OG0000103	WP_146379627.1	WP_404924223.1
OG0000104	WP_011206239.1	WP_011206239.1
OG0000105	WP_146379630.1	WP_146379630.1
OG0000106	WP_146379631.1	WP_146379631.1
OG0000107	WP_011284169.1	WP_011284169.1
OG0000108	WP_192894278.1	WP_011206247.1
OG0000109	WP_146379632.1	WP_404924224.1
OG0000110	WP_146379648.1	WP_404924239.1
OG0000111	WP_225972982.1	WP_404924516.1
OG0000112	WP_225972981.1	WP_404924236.1
OG0000113	WP_146379641.1	WP_404924231.1
OG0000114	WP_225972979.1	WP_404923958.1
OG0000115	WP_011290245.1	WP_011290245.1
OG0000116	WP_146379549.1	WP_404924436.1
OG0000117	WP_146379550.1	WP_160590503.1
OG0000118	WP_011290108.1	WP_011290108.1
OG0000119	WP_135618686.1	WP_135618686.1
OG0000120	WP_011284027.1	WP_011284027.1
OG0000121	WP_146379557.1	WP_011284032.1
OG0000122	WP_020835643.1	WP_020835643.1
OG0000123	WP_011205954.1	WP_011205954.1
OG0000124	WP_011205953.1	WP_011290118.1
OG0000125	WP_011205952.1	WP_011205952.1
OG0000126	WP_146379560.1	WP_160585089.1
OG0000127	WP_146379562.1	WP_404924444.1
OG0000128	WP_146379564.1	WP_404924446.1
OG0000129	WP_014579732.1	WP_014579732.1
OG0000130	WP_011284046.1	WP_011284046.1
OG0000131	WP_146379566.1	WP_160588225.1
OG0000132	WP_135618714.1	WP_011205939.1
OG0000133	WP_014579589.1	WP_094521764.1
OG0000134	WP_225973012.1	WP_308507044.1
OG0000135	WP_011206120.1	WP_160585148.1
OG0000136	WP_011206119.1	WP_011206119.1
OG0000137	WP_011206113.1	WP_404924396.1
OG0000138	WP_146379494.1	WP_404924401.1
OG0000139	WP_011206102.1	WP_011290017.1
OG0000140	WP_146379496.1	WP_011206101.1
OG0000141	WP_146379698.1	WP_146379698.1
OG0000142	WP_011284289.1	WP_011284289.1
OG0000143	WP_011206391.1	WP_011206391.1
OG0000144	WP_146379694.1	WP_404924284.1
OG0000145	WP_225972996.1	WP_225972996.1
OG0000146	WP_146379692.1	WP_011206385.1
OG0000147	WP_011206384.1	WP_011206384.1
OG0000148	WP_135619012.1	WP_041361684.1
OG0000149	WP_011290331.1	WP_011290331.1
OG0000150	WP_135619006.1	WP_135619006.1
OG0000151	WP_020835828.1	WP_404924277.1
OG0000152	WP_020835827.1	WP_404924276.1
OG0000153	WP_146379685.1	WP_233688497.1
OG0000154	WP_011206345.1	WP_160587842.1
OG0000155	WP_020835820.1	WP_020835820.1
OG0000156	WP_011206335.1	WP_011206335.1
OG0000157	WP_011206334.1	WP_011206334.1
OG0000158	WP_146379680.1	WP_404924268.1
OG0000159	WP_011206289.1	WP_011206289.1
OG0000160	WP_179221158.1	WP_179221158.1
OG0000161	WP_146379654.1	WP_011206287.1
OG0000162	WP_044272532.1	WP_135619210.1
OG0000163	WP_044272529.1	WP_404924246.1
OG0000164	WP_146379571.1	WP_348572081.1
OG0000165	WP_011206200.1	WP_011206200.1
OG0000166	WP_011290193.1	WP_160590029.1
OG0000167	WP_011206207.1	WP_011206207.1
OG0000168	WP_146379604.1	WP_404924203.1
OG0000169	WP_094521497.1	WP_002557698.1
OG0000170	WP_146379716.1	WP_020835862.1
OG0000171	WP_146379717.1	WP_404924298.1
OG0000172	WP_011206424.1	WP_011206424.1
OG0000173	WP_011284312.1	WP_011206425.1
OG0000174	WP_146379719.1	WP_160600929.1
OG0000175	WP_146379721.1	WP_404924532.1
OG0000176	WP_146379725.1	WP_160585271.1
OG0000177	WP_146379726.1	WP_160585273.1
OG0000178	WP_044272620.1	WP_160585275.1
OG0000179	WP_020835880.1	WP_020835880.1
OG0000180	WP_081642895.1	WP_081642895.1
OG0000181	WP_020835888.1	WP_020835888.1
OG0000182	WP_011206453.1	WP_011206453.1
OG0000183	WP_011206459.1	WP_011206459.1
OG0000184	WP_146379743.1	WP_160585238.1
OG0000185	WP_146379740.1	WP_146379740.1
OG0000186	WP_020835656.1	WP_020835656.1
OG0000187	WP_011284055.1	WP_011284055.1
OG0000188	WP_011205932.1	WP_011205932.1
OG0000189	WP_146379638.1	WP_160607686.1
OG0000190	WP_146379637.1	WP_011206256.1
OG0000191	WP_146379633.1	WP_020835755.1
