Orthogroup	MHP_MHP691_genes	MHP_1257_genes
OG0000000	DR087_RS03480, DR087_RS03475	ABKJ22_RS02255
OG0000000	DR087_RS02105, DR087_RS03570	ABKJ22_RS01715
OG0000001	DR087_RS03335	ABKJ22_RS01295
OG0000001	DR087_RS04300	ABKJ22_RS02690
OG0000001	DR087_RS03255	ABKJ22_RS02685
OG0000002	DR087_RS03810	ABKJ22_RS02205
OG0000002	DR087_RS04740	ABKJ22_RS02250
OG0000002	DR087_RS04755	ABKJ22_RS01720
OG0000003	DR087_RS01665	ABKJ22_RS01780
OG0000003	DR087_RS04220	ABKJ22_RS00770
OG0000003	DR087_RS04750	ABKJ22_RS02215
OG0000004	DR087_RS00850, DR087_RS00860, DR087_RS00840	ABKJ22_RS02940
OG0000005	DR087_RS00530	ABKJ22_RS00095
OG0000005	DR087_RS00540	ABKJ22_RS00100
OG0000005	DR087_RS04465	ABKJ22_RS00105, ABKJ22_RS00120
OG0000006	DR087_RS04360	ABKJ22_RS02450
OG0000006	DR087_RS04080	ABKJ22_RS02310
OG0000007	DR087_RS04205, DR087_RS04210	ABKJ22_RS00765
OG0000007	DR087_RS03535	ABKJ22_RS02220
OG0000007	DR087_RS03530	ABKJ22_RS02225
OG0000007	DR087_RS03525	ABKJ22_RS02230
OG0000008	DR087_RS04355	ABKJ22_RS02455
OG0000009	DR087_RS00515	ABKJ22_RS00085
OG0000010	DR087_RS01605	ABKJ22_RS01835
OG0000011	DR087_RS04590	ABKJ22_RS01925
OG0000011	DR087_RS01515	ABKJ22_RS01920
OG0000012	DR087_RS03620	ABKJ22_RS00425
OG0000012	DR087_RS03740	ABKJ22_RS01200
OG0000013	DR087_RS01680	ABKJ22_RS02355
OG0000013	DR087_RS04185	ABKJ22_RS00180
OG0000014	DR087_RS03505	ABKJ22_RS00595
OG0000014	DR087_RS03520	ABKJ22_RS01095
OG0000015	DR087_RS00350	ABKJ22_RS01575
OG0000016	DR087_RS01400	ABKJ22_RS02785
OG0000016	DR087_RS02395	ABKJ22_RS00165
OG0000017	DR087_RS02410	ABKJ22_RS00150
OG0000017	DR087_RS01410	ABKJ22_RS02795
OG0000018	DR087_RS04550	ABKJ22_RS01340
OG0000019	DR087_RS03610	ABKJ22_RS02945
OG0000020	DR087_RS04440	ABKJ22_RS03435
OG0000020	DR087_RS04445	ABKJ22_RS03440
OG0000022	DR087_RS02045	ABKJ22_RS01655
OG0000022	DR087_RS04630	ABKJ22_RS01710
OG0000024	DR087_RS03250	ABKJ22_RS02680
OG0000025	DR087_RS04625	ABKJ22_RS01660
OG0000025	DR087_RS02095	ABKJ22_RS01705
OG0000026	DR087_RS01165	ABKJ22_RS01380
OG0000026	DR087_RS02075	ABKJ22_RS01685
OG0000027	DR087_RS04635	ABKJ22_RS03225
OG0000027	DR087_RS04475	ABKJ22_RS03240
OG0000028	DR087_RS04675, DR087_RS01670	ABKJ22_RS02365
OG0000029	DR087_RS02775	ABKJ22_RS00600
OG0000029	DR087_RS03175	ABKJ22_RS01090
OG0000030	DR087_RS04640	ABKJ22_RS03215
OG0000030	DR087_RS04470	ABKJ22_RS03235
OG0000031	DR087_RS03210	ABKJ22_RS01605
OG0000032	DR087_RS03235	ABKJ22_RS01585
OG0000032	DR087_RS00575	ABKJ22_RS03230
OG0000033	DR087_RS01675	ABKJ22_RS02360
OG0000034	DR087_RS04365	ABKJ22_RS02240
OG0000034	DR087_RS02620	ABKJ22_RS02235
OG0000035	DR087_RS00865	ABKJ22_RS03095
OG0000036	DR087_RS00550	ABKJ22_RS00110, ABKJ22_RS00125
OG0000037	DR087_RS04725	ABKJ22_RS01590
OG0000039	DR087_RS03190	ABKJ22_RS01615
OG0000040	DR087_RS02165	ABKJ22_RS03165
OG0000041	DR087_RS03625	ABKJ22_RS01030
OG0000042	DR087_RS03360	ABKJ22_RS02880
OG0000043	DR087_RS01545	ABKJ22_RS01890
OG0000044	DR087_RS04800	ABKJ22_RS01670
OG0000045	DR087_RS03185	ABKJ22_RS01620
OG0000046	DR087_RS04655	ABKJ22_RS03170
OG0000048	DR087_RS00140	ABKJ22_RS02075
OG0000049	DR087_RS01000	ABKJ22_RS02955
OG0000050	DR087_RS02450	ABKJ22_RS02395
OG0000051	DR087_RS01275	ABKJ22_RS02600
OG0000052	DR087_RS00505	ABKJ22_RS00075
OG0000053	DR087_RS04540	ABKJ22_RS01465
OG0000054	DR087_RS02475	ABKJ22_RS02420
OG0000055	DR087_RS00555	ABKJ22_RS00130
OG0000056	DR087_RS00765	ABKJ22_RS03415
OG0000057	DR087_RS01485	ABKJ22_RS02865
OG0000060	DR087_RS00510	ABKJ22_RS00080
OG0000061	DR087_RS01595	ABKJ22_RS01845
OG0000062	DR087_RS00395	ABKJ22_RS03470
OG0000063	DR087_RS04450	ABKJ22_RS03465
OG0000064	DR087_RS00380	ABKJ22_RS03455
OG0000065	DR087_RS00215	ABKJ22_RS02160
OG0000066	DR087_RS01175	ABKJ22_RS01370
OG0000067	DR087_RS03450	ABKJ22_RS00525
OG0000068	DR087_RS03140	ABKJ22_RS01055
OG0000069	DR087_RS01375	ABKJ22_RS02760
OG0000070	DR087_RS02480	ABKJ22_RS02425
OG0000071	DR087_RS00780	ABKJ22_RS03155
OG0000072	DR087_RS02175	ABKJ22_RS03160
OG0000073	DR087_RS02200	ABKJ22_RS00995
OG0000074	DR087_RS04685	ABKJ22_RS00800
OG0000075	DR087_RS01860	ABKJ22_RS00335
OG0000076	DR087_RS01875	ABKJ22_RS00350
OG0000077	DR087_RS03060	ABKJ22_RS00445
OG0000078	DR087_RS02065	ABKJ22_RS01675
OG0000079	DR087_RS02980	ABKJ22_RS02505
OG0000080	DR087_RS04005	ABKJ22_RS02550
OG0000081	DR087_RS01855	ABKJ22_RS00330
OG0000082	DR087_RS01685	ABKJ22_RS02350
OG0000083	DR087_RS00065	ABKJ22_RS01995
OG0000084	DR087_RS00090	ABKJ22_RS02025
OG0000085	DR087_RS00095	ABKJ22_RS02030
OG0000086	DR087_RS00105	ABKJ22_RS02040
OG0000087	DR087_RS00120	ABKJ22_RS02055
OG0000088	DR087_RS00125	ABKJ22_RS02060
OG0000089	DR087_RS00135	ABKJ22_RS02070
