Orthogroup	MHP_MHP691_genes	MHP_UFV02_genes
OG0000000	DR087_RS03475	FEF31_RS01865
OG0000001	DR087_RS03325	FEF31_RS00940
OG0000001	DR087_RS03335	FEF31_RS00935
OG0000001	DR087_RS04015	FEF31_RS02540
OG0000001	DR087_RS04300	FEF31_RS02495
OG0000001	DR087_RS03255	FEF31_RS02490
OG0000002	DR087_RS03810	FEF31_RS01945
OG0000002	DR087_RS04740	FEF31_RS04505
OG0000002	DR087_RS04755	FEF31_RS04455
OG0000003	DR087_RS01665	FEF31_RS04365
OG0000003	DR087_RS04750	FEF31_RS04510
OG0000004	DR087_RS00850	FEF31_RS03760
OG0000004	DR087_RS00840	FEF31_RS03775
OG0000005	DR087_RS00530	FEF31_RS03370
OG0000005	DR087_RS00540	FEF31_RS04660
OG0000005	DR087_RS04465	FEF31_RS03380, FEF31_RS04670
OG0000007	DR087_RS03535	FEF31_RS01925
OG0000007	DR087_RS03530	FEF31_RS01915
OG0000007	DR087_RS04335, DR087_RS03525	FEF31_RS01910
OG0000008	DR087_RS04355	FEF31_RS02250
OG0000010	DR087_RS01605	FEF31_RS01600
OG0000011	DR087_RS04590	FEF31_RS01695
OG0000011	DR087_RS01515	FEF31_RS01690
OG0000012	DR087_RS03620	FEF31_RS02235
OG0000013	DR087_RS01680	FEF31_RS02135
OG0000013	DR087_RS04185	FEF31_RS03455
OG0000014	DR087_RS03505	FEF31_RS00255
OG0000014	DR087_RS03520	FEF31_RS04375
OG0000016	DR087_RS01400	FEF31_RS02580
OG0000016	DR087_RS02395	FEF31_RS03440
OG0000017	DR087_RS02410	FEF31_RS03425
OG0000017	DR087_RS01410	FEF31_RS02590
OG0000020	DR087_RS04440	FEF31_RS03220
OG0000020	DR087_RS04445	FEF31_RS04270
OG0000021	DR087_RS04820	FEF31_RS01520
OG0000021	DR087_RS03470	FEF31_RS00170
OG0000022	DR087_RS02045	FEF31_RS01320
OG0000022	DR087_RS04630	FEF31_RS04450
OG0000024	DR087_RS03250	FEF31_RS02485
OG0000025	DR087_RS04625	FEF31_RS04445
OG0000025	DR087_RS02095	FEF31_RS01370
OG0000026	DR087_RS01165	FEF31_RS01025
OG0000026	DR087_RS02075	FEF31_RS01350
OG0000027	DR087_RS04635	FEF31_RS03015
OG0000027	DR087_RS04475	FEF31_RS04605
OG0000029	DR087_RS02775	FEF31_RS00735
OG0000029	DR087_RS03175	FEF31_RS00270
OG0000030	DR087_RS04640	FEF31_RS04590
OG0000030	DR087_RS04470	FEF31_RS04600
OG0000032	DR087_RS00575	FEF31_RS03020
OG0000034	DR087_RS03600	FEF31_RS01895
OG0000035	DR087_RS00855	FEF31_RS03765
OG0000036	DR087_RS00550	FEF31_RS03385, FEF31_RS03400
OG0000039	DR087_RS03190	FEF31_RS01275
OG0000040	DR087_RS02165	FEF31_RS03890
OG0000041	DR087_RS03625	FEF31_RS00330
OG0000042	DR087_RS03360	FEF31_RS02675
OG0000043	DR087_RS01545	FEF31_RS01660, FEF31_RS01455
OG0000044	DR087_RS04800	FEF31_RS04775
OG0000045	DR087_RS03185	FEF31_RS01280, FEF31_RS01285
OG0000048	DR087_RS00140	FEF31_RS01845
OG0000049	DR087_RS01000	FEF31_RS03620
OG0000050	DR087_RS02450	FEF31_RS02180
OG0000051	DR087_RS01275	FEF31_RS02395
OG0000052	DR087_RS00505	FEF31_RS03360
OG0000053	DR087_RS04540	FEF31_RS04425
OG0000054	DR087_RS02475	FEF31_RS02205
OG0000055	DR087_RS00555	FEF31_RS03405
OG0000056	DR087_RS00765	FEF31_RS03205
OG0000057	DR087_RS01485	FEF31_RS02660
OG0000058	DR087_RS00275, DR087_RS00280	FEF31_RS01470
OG0000059	DR087_RS03825	FEF31_RS01460
OG0000061	DR087_RS01595	FEF31_RS01245
OG0000062	DR087_RS00395	FEF31_RS03250
OG0000063	DR087_RS04450	FEF31_RS04645
