Orthogroup	MHP_MHP691_genes	MFC_MF22_genes
OG0000000	DR087_RS00160	DR094_RS00005
OG0000000	DR087_RS03480, DR087_RS03475	DR094_RS02820
OG0000000	DR087_RS04315	DR094_RS03835
OG0000001	DR087_RS03325, DR087_RS03335, DR087_RS04015, DR087_RS04300, DR087_RS03255	DR094_RS00325, DR094_RS00330
OG0000002	DR087_RS04740	DR094_RS03815
OG0000002	DR087_RS04755	DR094_RS03610
OG0000003	DR087_RS04750	DR094_RS03820
OG0000007	DR087_RS03535	DR094_RS02850
OG0000007	DR087_RS03530	DR094_RS02845
OG0000007	DR087_RS04335, DR087_RS03525	DR094_RS02840
OG0000011	DR087_RS01510, DR087_RS04590	DR094_RS03520
OG0000011	DR087_RS01515	DR094_RS02895
OG0000013	DR087_RS01680	DR094_RS00075, DR094_RS00080
OG0000013	DR087_RS04185	DR094_RS03050
OG0000014	DR087_RS03505, DR087_RS03520	DR094_RS03555
OG0000016	DR087_RS01400	DR094_RS00380
OG0000017	DR087_RS02410	DR094_RS00975
OG0000017	DR087_RS01410	DR094_RS00390
OG0000018	DR087_RS04435	DR094_RS03735
OG0000020	DR087_RS04440	DR094_RS03600
OG0000020	DR087_RS04445	DR094_RS03595
OG0000022	DR087_RS04630	DR094_RS03605
OG0000023	DR087_RS01210, DR087_RS00330	DR094_RS02170
OG0000024	DR087_RS03250	DR094_RS00320
OG0000025	DR087_RS02095	DR094_RS01205
OG0000026	DR087_RS01165, DR087_RS02075	DR094_RS02215
OG0000027	DR087_RS04635	DR094_RS01395
OG0000027	DR087_RS04475	DR094_RS03650
OG0000029	DR087_RS02775, DR087_RS03175	DR094_RS00545
OG0000030	DR087_RS04640, DR087_RS04470	DR094_RS03655
OG0000031	DR087_RS03210	DR094_RS02590
OG0000032	DR087_RS03235, DR087_RS00575	DR094_RS01390
OG0000033	DR087_RS04070	DR094_RS00055
OG0000039	DR087_RS03190	DR094_RS00485
OG0000040	DR087_RS02165	DR094_RS02025, DR094_RS00270
OG0000042	DR087_RS03360	DR094_RS00490, DR094_RS00345
OG0000043	DR087_RS01545	DR094_RS02615
OG0000045	DR087_RS03185	DR094_RS03140, DR094_RS03135
OG0000048	DR087_RS00140	DR094_RS02695, DR094_RS02985
