Orthogroup	MHP_MHP691_genes	MHP_MHP682_genes
OG0000000	DR087_RS03570	DR097_RS01835
OG0000001	DR087_RS04015	DR097_RS04145
OG0000002	DR087_RS03810	DR097_RS02700
OG0000002	DR087_RS04740	DR097_RS04855
OG0000002	DR087_RS04755	DR097_RS04675
OG0000003	DR087_RS01665	DR097_RS04955
OG0000003	DR087_RS04220	DR097_RS04850
OG0000003	DR087_RS04750	DR097_RS04840
OG0000004	DR087_RS00850	DR097_RS01330
OG0000004	DR087_RS00840	DR097_RS01325
OG0000005	DR087_RS00530	DR097_RS02455
OG0000005	DR087_RS00540	DR097_RS02445
OG0000005	DR087_RS04465	DR097_RS02440, DR097_RS04715
OG0000006	DR087_RS04360	DR097_RS04435
OG0000007	DR087_RS04205, DR087_RS04210	DR097_RS03480
OG0000007	DR087_RS03535	DR097_RS03435
OG0000007	DR087_RS03750	DR097_RS03835
OG0000007	DR087_RS03530	DR097_RS03440
OG0000007	DR087_RS04335, DR087_RS03525	DR097_RS03450
OG0000008	DR087_RS04355	DR097_RS03625
OG0000009	DR087_RS00515	DR097_RS02470
OG0000010	DR087_RS01605	DR097_RS02510
OG0000010	DR087_RS03875	DR097_RS02450
OG0000011	DR087_RS04590	DR097_RS00820
OG0000011	DR087_RS01515	DR097_RS00825
OG0000012	DR087_RS03740	DR097_RS03825
OG0000013	DR087_RS01680	DR097_RS02175
OG0000013	DR087_RS04185	DR097_RS03895
OG0000014	DR087_RS03505	DR097_RS03860
OG0000014	DR087_RS03520	DR097_RS03370
OG0000015	DR087_RS00350	DR097_RS02000
OG0000016	DR087_RS01400	DR097_RS01165
OG0000016	DR087_RS02395	DR097_RS00270
OG0000017	DR087_RS02410	DR097_RS00285
OG0000017	DR087_RS01410	DR097_RS01175
OG0000018	DR087_RS04435	DR097_RS04695
OG0000019	DR087_RS03610	DR097_RS03615
OG0000020	DR087_RS04440	DR097_RS04835
OG0000020	DR087_RS04445	DR097_RS04830
OG0000021	DR087_RS04820, DR087_RS03470, DR087_RS03640, DR087_RS02025	DR097_RS03390
OG0000022	DR087_RS02045	DR097_RS01895
OG0000022	DR087_RS04630	DR097_RS04680
OG0000023	DR087_RS00330	DR097_RS02020
OG0000024	DR087_RS03250	DR097_RS01795
OG0000025	DR087_RS04625	DR097_RS04685
OG0000025	DR087_RS02095	DR097_RS01845
OG0000026	DR087_RS01165	DR097_RS01665
OG0000026	DR087_RS02075	DR097_RS01865
OG0000027	DR087_RS04635	DR097_RS02965
OG0000027	DR087_RS04475	DR097_RS04560
OG0000028	DR087_RS04675, DR087_RS01670	DR097_RS02880, DR097_RS01995
OG0000029	DR087_RS02775	DR097_RS02335
OG0000030	DR087_RS04640	DR097_RS04775
OG0000030	DR087_RS04470	DR097_RS04565
OG0000031	DR087_RS03210	DR097_RS03120
OG0000032	DR087_RS03235	DR097_RS04795
OG0000032	DR087_RS00575	DR097_RS00730
OG0000034	DR087_RS03600	DR097_RS03640
OG0000034	DR087_RS04365	DR097_RS04475
OG0000034	DR087_RS03715	DR097_RS03470
OG0000035	DR087_RS00865	DR097_RS04085
OG0000036	DR087_RS00550	DR097_RS02435, DR097_RS02415
OG0000037	DR087_RS04725	DR097_RS03100
