Orthogroup	MHP_MHP691_genes	MFC_Ms42_genes
OG0000000	DR087_RS00160	MYF_RS01525
OG0000000	DR087_RS03480, DR087_RS03475	MYF_RS03215
OG0000001	DR087_RS03325, DR087_RS03335, DR087_RS04015, DR087_RS04300, DR087_RS03255	MYF_RS03415
OG0000002	DR087_RS03810	MYF_RS01530
OG0000002	DR087_RS04740	MYF_RS01475
OG0000002	DR087_RS04755	MYF_RS03010
OG0000003	DR087_RS04750	MYF_RS01515
OG0000007	DR087_RS03535	MYF_RS01510
OG0000007	DR087_RS03530	MYF_RS01505
OG0000007	DR087_RS04335, DR087_RS03525	MYF_RS01500
OG0000011	DR087_RS01510, DR087_RS04590	MYF_RS03310
OG0000011	DR087_RS01515	MYF_RS01270
OG0000013	DR087_RS01680	MYF_RS03170, MYF_RS01100
OG0000013	DR087_RS04185	MYF_RS03400
OG0000014	DR087_RS03505, DR087_RS03520	MYF_RS00550
OG0000016	DR087_RS01400	MYF_RS00730
OG0000017	DR087_RS02410	MYF_RS03155
OG0000017	DR087_RS01410	MYF_RS00720
OG0000018	DR087_RS04435	MYF_RS01675
OG0000020	DR087_RS04440	MYF_RS03080
OG0000020	DR087_RS04445	MYF_RS03085
OG0000022	DR087_RS04630	MYF_RS03025
OG0000023	DR087_RS00330	MYF_RS01880
OG0000024	DR087_RS03250	MYF_RS00790
OG0000025	DR087_RS02095	MYF_RS03030
OG0000026	DR087_RS01165, DR087_RS02075	MYF_RS01715
OG0000027	DR087_RS04475	MYF_RS02825
OG0000029	DR087_RS02775, DR087_RS03175	MYF_RS00555
OG0000030	DR087_RS04640, DR087_RS04470	MYF_RS02820
OG0000031	DR087_RS03210	MYF_RS01215
OG0000032	DR087_RS03235	MYF_RS03490
OG0000032	DR087_RS00575	MYF_RS02815
OG0000033	DR087_RS04070	MYF_RS01130
OG0000037	DR087_RS04725	MYF_RS03005
OG0000039	DR087_RS03190	MYF_RS03160, MYF_RS00615
OG0000040	DR087_RS02165	MYF_RS02770, MYF_RS00840
OG0000042	DR087_RS03360	MYF_RS00610, MYF_RS00765
OG0000043	DR087_RS01545	MYF_RS01240
OG0000045	DR087_RS03185	MYF_RS00630
OG0000048	DR087_RS00140	MYF_RS01350
OG0000049	DR087_RS01000	MYF_RS03265, MYF_RS03455
OG0000050	DR087_RS02450	MYF_RS01180
OG0000051	DR087_RS01275	MYF_RS02420
OG0000052	DR087_RS00505	MYF_RS00075
OG0000053	DR087_RS04540	MYF_RS01800
OG0000054	DR087_RS02475	MYF_RS01155
OG0000055	DR087_RS00555	MYF_RS03395, MYF_RS03525
OG0000056	DR087_RS00765	MYF_RS03060
OG0000057	DR087_RS01485	MYF_RS00645
OG0000062	DR087_RS00395	MYF_RS03115
OG0000063	DR087_RS04450	MYF_RS03110
OG0000064	DR087_RS00380	MYF_RS03100
OG0000065	DR087_RS00215	MYF_RS01575
OG0000066	DR087_RS01175	MYF_RS01705
OG0000067	DR087_RS02860	MYF_RS00480
OG0000068	DR087_RS03140	MYF_RS00590
OG0000069	DR087_RS01375	MYF_RS00755
OG0000070	DR087_RS02480	MYF_RS01135
OG0000071	DR087_RS00780	MYF_RS02760
OG0000072	DR087_RS02175	MYF_RS02765
OG0000073	DR087_RS02200	MYF_RS02005
OG0000074	DR087_RS04685	MYF_RS02195
OG0000075	DR087_RS01860	MYF_RS00305
OG0000077	DR087_RS03060	MYF_RS00410
OG0000079	DR087_RS02980	MYF_RS01050
OG0000080	DR087_RS04005	MYF_RS01000, MYF_RS03365
OG0000081	DR087_RS01855	MYF_RS00300
OG0000082	DR087_RS01685	MYF_RS01110
OG0000083	DR087_RS00065	MYF_RS01430
OG0000084	DR087_RS00090	MYF_RS01400
OG0000085	DR087_RS00095	MYF_RS01395
OG0000086	DR087_RS00105	MYF_RS01385
OG0000087	DR087_RS00120	MYF_RS01370
OG0000088	DR087_RS00125	MYF_RS01365
OG0000089	DR087_RS00135	MYF_RS01355
OG0000090	DR087_RS00500	MYF_RS00070
OG0000091	DR087_RS00485	MYF_RS00055
OG0000092	DR087_RS00470	MYF_RS00040
OG0000093	DR087_RS00465	MYF_RS00035
OG0000094	DR087_RS00460	MYF_RS00030
OG0000095	DR087_RS00435	MYF_RS00005
OG0000096	DR087_RS00430	MYF_RS03150
OG0000097	DR087_RS00410	MYF_RS03130
OG0000098	DR087_RS00400	MYF_RS03120
OG0000099	DR087_RS00775	MYF_RS03065
OG0000100	DR087_RS00750	MYF_RS03050
OG0000101	DR087_RS00745	MYF_RS03045
OG0000102	DR087_RS02090	MYF_RS03035
OG0000103	DR087_RS00180	MYF_RS01540
OG0000104	DR087_RS00185	MYF_RS01545
OG0000105	DR087_RS00200	MYF_RS01560
OG0000106	DR087_RS00210	MYF_RS01570
OG0000107	DR087_RS00220	MYF_RS01580
OG0000108	DR087_RS00225	MYF_RS01585
OG0000109	DR087_RS00230	MYF_RS01590
OG0000110	DR087_RS01695	MYF_RS01595
OG0000111	DR087_RS01700	MYF_RS01600
OG0000112	DR087_RS01710	MYF_RS01610
OG0000113	DR087_RS04610	MYF_RS01625
OG0000114	DR087_RS01740	MYF_RS01635
OG0000115	DR087_RS01750	MYF_RS01645
OG0000116	DR087_RS03310	MYF_RS01655
OG0000117	DR087_RS03305	MYF_RS01660
OG0000118	DR087_RS01190	MYF_RS01690
OG0000119	DR087_RS01185	MYF_RS01695
OG0000120	DR087_RS01170	MYF_RS01710
OG0000121	DR087_RS01145	MYF_RS01735
OG0000122	DR087_RS01140	MYF_RS01740
OG0000123	DR087_RS01120	MYF_RS01760
OG0000124	DR087_RS01115	MYF_RS01765
OG0000125	DR087_RS01110	MYF_RS01770
OG0000126	DR087_RS01100	MYF_RS01780
OG0000127	DR087_RS01090	MYF_RS01790
OG0000128	DR087_RS01075	MYF_RS01805
OG0000129	DR087_RS01070	MYF_RS01810
OG0000130	DR087_RS01060	MYF_RS01820
OG0000131	DR087_RS04535	MYF_RS01850
OG0000132	DR087_RS04530	MYF_RS01865
OG0000133	DR087_RS02865	MYF_RS00485
OG0000134	DR087_RS02870	MYF_RS00490
OG0000135	DR087_RS02885	MYF_RS00505
OG0000136	DR087_RS02890	MYF_RS00510
OG0000137	DR087_RS02930	MYF_RS00540
OG0000138	DR087_RS03165	MYF_RS00565
OG0000139	DR087_RS03135	MYF_RS00595
OG0000140	DR087_RS03130	MYF_RS00600
OG0000141	DR087_RS01495	MYF_RS00635
OG0000142	DR087_RS04585	MYF_RS00640
OG0000143	DR087_RS01465	MYF_RS00665
OG0000144	DR087_RS01455	MYF_RS00675
OG0000145	DR087_RS01445	MYF_RS00685
OG0000146	DR087_RS01435	MYF_RS00695
OG0000147	DR087_RS01430	MYF_RS00700
OG0000148	DR087_RS01415	MYF_RS00715
OG0000149	DR087_RS01405	MYF_RS00725
OG0000150	DR087_RS01390	MYF_RS00740
OG0000151	DR087_RS03290	MYF_RS00795
OG0000152	DR087_RS03285	MYF_RS00800
OG0000153	DR087_RS03280	MYF_RS00805
OG0000154	DR087_RS03270	MYF_RS00815
OG0000155	DR087_RS03545	MYF_RS00835
OG0000156	DR087_RS01225	MYF_RS00855
OG0000157	DR087_RS04555	MYF_RS00860
OG0000158	DR087_RS04560	MYF_RS00870
OG0000159	DR087_RS04805	MYF_RS01165
OG0000160	DR087_RS02460	MYF_RS01170
OG0000161	DR087_RS02455	MYF_RS01175
OG0000162	DR087_RS02445	MYF_RS01185
OG0000163	DR087_RS02440	MYF_RS01190
OG0000164	DR087_RS03205	MYF_RS01220
OG0000165	DR087_RS01520	MYF_RS01265
OG0000166	DR087_RS00005	MYF_RS01285
OG0000167	DR087_RS00020	MYF_RS01300
OG0000168	DR087_RS00025	MYF_RS01305
OG0000169	DR087_RS01010	MYF_RS02560
OG0000170	DR087_RS00990	MYF_RS02585
OG0000171	DR087_RS00980	MYF_RS02595
OG0000172	DR087_RS00975	MYF_RS02600
OG0000173	DR087_RS00970	MYF_RS02605
OG0000174	DR087_RS00965	MYF_RS02610
OG0000175	DR087_RS00950	MYF_RS02625
OG0000176	DR087_RS00900	MYF_RS02670
OG0000177	DR087_RS00895	MYF_RS02675
OG0000178	DR087_RS00890	MYF_RS02680
OG0000179	DR087_RS00880	MYF_RS02690
OG0000180	DR087_RS00875	MYF_RS02695
OG0000181	DR087_RS04520	MYF_RS02710
OG0000182	DR087_RS00820	MYF_RS02720
OG0000183	DR087_RS00785	MYF_RS02755
OG0000184	DR087_RS02140	MYF_RS02785
OG0000185	DR087_RS02155	MYF_RS02800
OG0000186	DR087_RS04735	MYF_RS01895
OG0000187	DR087_RS03425	MYF_RS01910
OG0000188	DR087_RS03415	MYF_RS01920
OG0000189	DR087_RS04425	MYF_RS01930
OG0000190	DR087_RS00260	MYF_RS01935
OG0000191	DR087_RS00240	MYF_RS01955
OG0000192	DR087_RS02805	MYF_RS01965
OG0000193	DR087_RS02790	MYF_RS01980
OG0000194	DR087_RS02185	MYF_RS01990
OG0000195	DR087_RS02190	MYF_RS01995
OG0000196	DR087_RS02210	MYF_RS02015
OG0000197	DR087_RS02215	MYF_RS02020
OG0000198	DR087_RS02230	MYF_RS02035
OG0000199	DR087_RS02235	MYF_RS02040
OG0000200	DR087_RS02250	MYF_RS02050
OG0000201	DR087_RS02260	MYF_RS02060
OG0000202	DR087_RS02315	MYF_RS02115
OG0000203	DR087_RS02320	MYF_RS02120
OG0000204	DR087_RS04700	MYF_RS02125
OG0000205	DR087_RS02610	MYF_RS02130
OG0000206	DR087_RS02590	MYF_RS02150
OG0000207	DR087_RS02575	MYF_RS02165
OG0000208	DR087_RS02570	MYF_RS02170
OG0000209	DR087_RS02565	MYF_RS02175
OG0000210	DR087_RS02520	MYF_RS02220
OG0000211	DR087_RS02630	MYF_RS02230
OG0000212	DR087_RS02640	MYF_RS02240
OG0000213	DR087_RS02645	MYF_RS02245
OG0000214	DR087_RS02650	MYF_RS02250
OG0000215	DR087_RS02655	MYF_RS02255
OG0000216	DR087_RS02660	MYF_RS02260
OG0000217	DR087_RS02665	MYF_RS02265
OG0000218	DR087_RS02675	MYF_RS02275
OG0000219	DR087_RS02680	MYF_RS02280
OG0000220	DR087_RS02685	MYF_RS02285
OG0000221	DR087_RS02690	MYF_RS02290
OG0000222	DR087_RS02695	MYF_RS03240
OG0000223	DR087_RS02700	MYF_RS02295
OG0000224	DR087_RS02710	MYF_RS02305
OG0000225	DR087_RS02720	MYF_RS02315
OG0000226	DR087_RS02725	MYF_RS02320
OG0000227	DR087_RS02730	MYF_RS02325
OG0000228	DR087_RS04810	MYF_RS03530
OG0000229	DR087_RS02740	MYF_RS02335
OG0000230	DR087_RS02745	MYF_RS02340
OG0000231	DR087_RS02755	MYF_RS02350
OG0000232	DR087_RS02765	MYF_RS02360
OG0000233	DR087_RS02010	MYF_RS02370
OG0000234	DR087_RS01970	MYF_RS02400
OG0000235	DR087_RS01960	MYF_RS02410
OG0000236	DR087_RS01955	MYF_RS02415
OG0000237	DR087_RS01950	MYF_RS02430
OG0000238	DR087_RS01940	MYF_RS02435
OG0000239	DR087_RS03355	MYF_RS02465
OG0000240	DR087_RS03350	MYF_RS02470
OG0000241	DR087_RS03340	MYF_RS02480
OG0000242	DR087_RS03365	MYF_RS02485
OG0000243	DR087_RS03370	MYF_RS02490
OG0000244	DR087_RS03380	MYF_RS02500
OG0000245	DR087_RS03390	MYF_RS02510
OG0000246	DR087_RS00560	MYF_RS00085
OG0000247	DR087_RS02415	MYF_RS00095
OG0000248	DR087_RS02405	MYF_RS00120
OG0000249	DR087_RS02400	MYF_RS00125
OG0000250	DR087_RS02385	MYF_RS00140
OG0000251	DR087_RS02350	MYF_RS00170
OG0000252	DR087_RS02340	MYF_RS00180
OG0000253	DR087_RS02335	MYF_RS00185
OG0000254	DR087_RS02325	MYF_RS00195
OG0000255	DR087_RS01760	MYF_RS00205
OG0000256	DR087_RS01765	MYF_RS00210
OG0000257	DR087_RS01790	MYF_RS00235
OG0000258	DR087_RS01800	MYF_RS00245
OG0000259	DR087_RS01830	MYF_RS00275
OG0000260	DR087_RS01840	MYF_RS00285
OG0000261	DR087_RS04615	MYF_RS00295
OG0000262	DR087_RS01865	MYF_RS00310
OG0000263	DR087_RS01880	MYF_RS00325
OG0000264	DR087_RS01895	MYF_RS00340
OG0000265	DR087_RS01910	MYF_RS00350
OG0000266	DR087_RS03015	MYF_RS00365
OG0000267	DR087_RS03030	MYF_RS00380
OG0000268	DR087_RS03035	MYF_RS00385
OG0000269	DR087_RS03050	MYF_RS00400
OG0000270	DR087_RS04505	MYF_RS02955
OG0000271	DR087_RS00715	MYF_RS02950
OG0000272	DR087_RS00710	MYF_RS02945
OG0000273	DR087_RS00705	MYF_RS02940
OG0000274	DR087_RS00685	MYF_RS02920
OG0000275	DR087_RS04495	MYF_RS02915
OG0000276	DR087_RS00675	MYF_RS02910
OG0000277	DR087_RS00665	MYF_RS02900
OG0000278	DR087_RS00660	MYF_RS02895
OG0000279	DR087_RS00650	MYF_RS02885
OG0000280	DR087_RS00645	MYF_RS02880
OG0000281	DR087_RS00640	MYF_RS03275
OG0000282	DR087_RS04485	MYF_RS02855
OG0000283	DR087_RS00610	MYF_RS02850
OG0000284	DR087_RS00605	MYF_RS02845
OG0000285	DR087_RS04480	MYF_RS02840
OG0000286	DR087_RS02425	MYF_RS01115
OG0000287	DR087_RS02940	MYF_RS01090
OG0000288	DR087_RS02950	MYF_RS01080
OG0000289	DR087_RS02955	MYF_RS01075
OG0000290	DR087_RS01285	MYF_RS00905
OG0000291	DR087_RS01295	MYF_RS00915
OG0000292	DR087_RS01300	MYF_RS00920
OG0000293	DR087_RS01305	MYF_RS00925
OG0000294	DR087_RS01315	MYF_RS00935
OG0000295	DR087_RS01320	MYF_RS00940
OG0000296	DR087_RS02990	MYF_RS01040
OG0000297	DR087_RS02985	MYF_RS01045
OG0000298	DR087_RS02390	MYF_RS00135
OG0000299	DR087_RS02365	MYF_RS00155
OG0000300	DR087_RS01890	MYF_RS00335
OG0000301	DR087_RS03020	MYF_RS00370
OG0000302	DR087_RS03025	MYF_RS00375
OG0000303	DR087_RS02895	MYF_RS00515
OG0000304	DR087_RS02770	MYF_RS00545
OG0000305	DR087_RS01440	MYF_RS00690
OG0000306	DR087_RS01365	MYF_RS00770
OG0000307	DR087_RS03275	MYF_RS00810
OG0000308	DR087_RS01265	MYF_RS00895
OG0000309	DR087_RS01330	MYF_RS01005
OG0000310	DR087_RS02945	MYF_RS01085
OG0000311	DR087_RS02485	MYF_RS01140
OG0000312	DR087_RS02470	MYF_RS01160
OG0000313	DR087_RS03215	MYF_RS01210
OG0000314	DR087_RS01500	MYF_RS01280
OG0000315	DR087_RS00030	MYF_RS01310
OG0000316	DR087_RS00040	MYF_RS01320
OG0000317	DR087_RS00130	MYF_RS01360
OG0000318	DR087_RS04400	MYF_RS01450
OG0000319	DR087_RS00195	MYF_RS01555
OG0000320	DR087_RS01720	MYF_RS01620
OG0000321	DR087_RS01195	MYF_RS01685
OG0000322	DR087_RS01150	MYF_RS01730
OG0000323	DR087_RS01020	MYF_RS01860
OG0000324	DR087_RS00235	MYF_RS01960
OG0000325	DR087_RS02195	MYF_RS02000
OG0000326	DR087_RS02290	MYF_RS02090
OG0000327	DR087_RS02295	MYF_RS02095
OG0000328	DR087_RS02560	MYF_RS02180
OG0000329	DR087_RS02540	MYF_RS02200
OG0000330	DR087_RS01995	MYF_RS02380
OG0000331	DR087_RS03375	MYF_RS02495
OG0000332	DR087_RS00940	MYF_RS02635
OG0000333	DR087_RS00930	MYF_RS02645
OG0000334	DR087_RS00825	MYF_RS02715
OG0000335	DR087_RS00815	MYF_RS02725
OG0000336	DR087_RS04490	MYF_RS02870
OG0000337	DR087_RS00385	MYF_RS03105
OG0000338	DR087_RS00425	MYF_RS03145
OG0000339	DR087_RS01745	MYF_RS01640
OG0000340	DR087_RS01215	MYF_RS01665
OG0000341	DR087_RS00255	MYF_RS01940
OG0000342	DR087_RS02225	MYF_RS02030
OG0000343	DR087_RS00920	MYF_RS02655
OG0000344	DR087_RS02910	MYF_RS00530
OG0000345	DR087_RS02715	MYF_RS02310
OG0000346	DR087_RS00635	MYF_RS02875
OG0000347	DR087_RS01125	MYF_RS01755
OG0000348	DR087_RS02300	MYF_RS02100
OG0000349	DR087_RS04500	MYF_RS02930
OG0000350	DR087_RS03265	MYF_RS03360
OG0000351	DR087_RS03115	MYF_RS00465
OG0000352	DR087_RS01525	MYF_RS01260
OG0000353	DR087_RS01155	MYF_RS01725
OG0000354	DR087_RS03150	MYF_RS00580
OG0000355	DR087_RS04595	MYF_RS01235
OG0000356	DR087_RS04395	MYF_RS01315
OG0000357	DR087_RS04525	MYF_RS02615
OG0000358	DR087_RS00955	MYF_RS02620
OG0000359	DR087_RS04665	MYF_RS02070
OG0000360	DR087_RS01795	MYF_RS00240
OG0000361	DR087_RS01825	MYF_RS00270
OG0000362	DR087_RS02965	MYF_RS01065
OG0000363	DR087_RS04545	MYF_RS01795
OG0000365	DR087_RS04420	MYF_RS01420
OG0000366	DR087_RS00100	MYF_RS01390
OG0000367	DR087_RS00110	MYF_RS01380
OG0000368	DR087_RS00490	MYF_RS00060
OG0000369	DR087_RS04455	MYF_RS00025
OG0000371	DR087_RS04765	MYF_RS00015
OG0000372	DR087_RS00440	MYF_RS00010
OG0000373	DR087_RS00415	MYF_RS03135
OG0000374	DR087_RS00405	MYF_RS03125
OG0000375	DR087_RS00190	MYF_RS01550
OG0000376	DR087_RS01705	MYF_RS01605
OG0000377	DR087_RS01715	MYF_RS01615
OG0000378	DR087_RS03315	MYF_RS01650
OG0000379	DR087_RS01160	MYF_RS01720
OG0000380	DR087_RS01135	MYF_RS01745
OG0000381	DR087_RS01095	MYF_RS01785
OG0000382	DR087_RS01065	MYF_RS01815
