Orthogroup	MHP_MHP691_genes	MFC_MF11_genes
OG0000000	DR087_RS03475	DR093_RS03040
OG0000001	DR087_RS03325, DR087_RS03335, DR087_RS04015, DR087_RS04300, DR087_RS03255	DR093_RS00830, DR093_RS00825
OG0000002	DR087_RS04740	DR093_RS04025
OG0000002	DR087_RS04755	DR093_RS03845
OG0000003	DR087_RS04750	DR093_RS04030
OG0000007	DR087_RS03535	DR093_RS02845
OG0000007	DR087_RS03530	DR093_RS02840
OG0000007	DR087_RS04335, DR087_RS03525	DR093_RS02835
OG0000011	DR087_RS01510, DR087_RS04590	DR093_RS03025
OG0000011	DR087_RS01515	DR093_RS03260
OG0000013	DR087_RS01680	DR093_RS01095, DR093_RS01090
OG0000013	DR087_RS04185	DR093_RS03220
OG0000014	DR087_RS03505, DR087_RS03520	DR093_RS03805
OG0000016	DR087_RS01400	DR093_RS00770
OG0000016	DR087_RS02395	DR093_RS00190
OG0000017	DR087_RS02410	DR093_RS00175
OG0000017	DR087_RS01410	DR093_RS00760
OG0000018	DR087_RS04435	DR093_RS03935
OG0000020	DR087_RS04440	DR093_RS03835
OG0000020	DR087_RS04445	DR093_RS03830
OG0000022	DR087_RS04630	DR093_RS03840
OG0000023	DR087_RS01210, DR087_RS00330	DR093_RS01985
OG0000024	DR087_RS03250	DR093_RS00835
OG0000025	DR087_RS02095	DR093_RS01230
OG0000026	DR087_RS01165, DR087_RS02075	DR093_RS02030
OG0000027	DR087_RS04635	DR093_RS01425
OG0000027	DR087_RS04475	DR093_RS03885
OG0000029	DR087_RS02775, DR087_RS03175	DR093_RS00605
OG0000030	DR087_RS04640, DR087_RS04470	DR093_RS03890
OG0000031	DR087_RS03210	DR093_RS02685
OG0000032	DR087_RS03235, DR087_RS00575	DR093_RS01420
OG0000033	DR087_RS04070	DR093_RS01115
OG0000039	DR087_RS03190	DR093_RS00665
OG0000040	DR087_RS02165	DR093_RS02380, DR093_RS03230
OG0000042	DR087_RS03360	DR093_RS00660, DR093_RS03365, DR093_RS00810
OG0000043	DR087_RS01545	DR093_RS02660
OG0000045	DR087_RS03185	DR093_RS00670
OG0000047	DR087_RS00340	DR093_RS00840
OG0000048	DR087_RS00140	DR093_RS03685, DR093_RS03690
OG0000049	DR087_RS01000	DR093_RS03590
OG0000050	DR087_RS02450	DR093_RS04015
OG0000051	DR087_RS01275	DR093_RS01745
OG0000052	DR087_RS00505	DR093_RS00140
OG0000053	DR087_RS04540	DR093_RS03940
OG0000054	DR087_RS02475	DR093_RS01140
OG0000056	DR087_RS00765	DR093_RS01205
OG0000057	DR087_RS01485	DR093_RS00685
OG0000062	DR087_RS00395	DR093_RS00025
OG0000063	DR087_RS04450	DR093_RS03775
OG0000064	DR087_RS00380	DR093_RS00010
OG0000065	DR087_RS00215	DR093_RS01890
OG0000066	DR087_RS01175	DR093_RS02020
OG0000067	DR087_RS02860	DR093_RS00530
OG0000068	DR087_RS03140	DR093_RS00640
OG0000069	DR087_RS01375	DR093_RS00795
OG0000070	DR087_RS02480	DR093_RS01120
OG0000071	DR087_RS00780	DR093_RS02370
OG0000072	DR087_RS02175	DR093_RS03980
OG0000073	DR087_RS02200	DR093_RS02505
OG0000074	DR087_RS04685	DR093_RS03915
OG0000075	DR087_RS01860	DR093_RS00360
OG0000077	DR087_RS03060	DR093_RS00460
OG0000079	DR087_RS02980	DR093_RS01040
OG0000080	DR087_RS04005	DR093_RS03415
OG0000081	DR087_RS01855	DR093_RS00355
OG0000082	DR087_RS01685	DR093_RS01100
OG0000083	DR087_RS00065	DR093_RS02955
OG0000084	DR087_RS00090	DR093_RS02790
OG0000085	DR087_RS00095	DR093_RS02785
OG0000086	DR087_RS00105	DR093_RS04020
OG0000087	DR087_RS00120	DR093_RS02760
OG0000088	DR087_RS00125	DR093_RS02755
OG0000089	DR087_RS00135	DR093_RS02745
