Orthogroup	MFC_MF11_genes	MHP_UFV02_genes
OG0000000	DR093_RS02920	FEF31_RS01935
OG0000000	DR093_RS03040	FEF31_RS01865
OG0000000	DR093_RS03435	FEF31_RS01380
OG0000000	DR093_RS03440	FEF31_RS01385
OG0000001	DR093_RS00830, DR093_RS00825	FEF31_RS00940, FEF31_RS00935, FEF31_RS02540, FEF31_RS02495, FEF31_RS02490
OG0000002	DR093_RS04025	FEF31_RS04505
OG0000002	DR093_RS03845	FEF31_RS04455
OG0000003	DR093_RS04030	FEF31_RS04510
OG0000007	DR093_RS02845	FEF31_RS01925
OG0000007	DR093_RS02840	FEF31_RS01915
OG0000007	DR093_RS02835	FEF31_RS01910
OG0000008	DR093_RS03250	FEF31_RS01300
OG0000011	DR093_RS03025	FEF31_RS01695
OG0000011	DR093_RS03260	FEF31_RS01690
OG0000013	DR093_RS01095, DR093_RS01090	FEF31_RS02135
OG0000013	DR093_RS03220	FEF31_RS03455
OG0000014	DR093_RS03805	FEF31_RS00255, FEF31_RS00745, FEF31_RS04375
OG0000016	DR093_RS00770	FEF31_RS02580
OG0000016	DR093_RS00190	FEF31_RS03440
OG0000017	DR093_RS00175	FEF31_RS03425
OG0000017	DR093_RS00760	FEF31_RS02590
OG0000019	DR093_RS03125	FEF31_RS04805
OG0000020	DR093_RS03835	FEF31_RS03220
OG0000020	DR093_RS03830	FEF31_RS04270
OG0000022	DR093_RS03840	FEF31_RS04450
OG0000023	DR093_RS01985	FEF31_RS00975, FEF31_RS01405
OG0000024	DR093_RS00835	FEF31_RS02485, FEF31_RS00930
OG0000025	DR093_RS01230	FEF31_RS01370
OG0000026	DR093_RS02030	FEF31_RS01025, FEF31_RS01350
OG0000027	DR093_RS01425	FEF31_RS03015
OG0000027	DR093_RS03885	FEF31_RS04605
OG0000028	DR093_RS01110	FEF31_RS02145, FEF31_RS04525
OG0000029	DR093_RS00605	FEF31_RS00735, FEF31_RS00270
OG0000030	DR093_RS03890	FEF31_RS04590, FEF31_RS04600
OG0000031	DR093_RS02685	FEF31_RS01450
OG0000032	DR093_RS01420	FEF31_RS03020
OG0000039	DR093_RS00665	FEF31_RS01275
OG0000040	DR093_RS02380, DR093_RS03230	FEF31_RS03890
OG0000042	DR093_RS00660, DR093_RS03365, DR093_RS00810	FEF31_RS02675
OG0000043	DR093_RS02660	FEF31_RS01455
OG0000045	DR093_RS00670	FEF31_RS01280, FEF31_RS01285
OG0000047	DR093_RS00840	FEF31_RS01435
OG0000048	DR093_RS03685, DR093_RS03690	FEF31_RS01845
OG0000049	DR093_RS03590	FEF31_RS03620
OG0000050	DR093_RS04015	FEF31_RS02180
OG0000051	DR093_RS01745	FEF31_RS02395
OG0000052	DR093_RS00140	FEF31_RS03360
OG0000053	DR093_RS03940	FEF31_RS04425
OG0000054	DR093_RS01140	FEF31_RS02205
OG0000056	DR093_RS01205	FEF31_RS03205
OG0000057	DR093_RS00685	FEF31_RS02660
OG0000062	DR093_RS00025	FEF31_RS03250
OG0000063	DR093_RS03775	FEF31_RS04645
OG0000064	DR093_RS00010	FEF31_RS03235
OG0000065	DR093_RS01890	FEF31_RS01990
OG0000066	DR093_RS02020	FEF31_RS01015
OG0000068	DR093_RS00640	FEF31_RS00305
OG0000069	DR093_RS00795	FEF31_RS02555
OG0000070	DR093_RS01120	FEF31_RS02210
OG0000071	DR093_RS02370	FEF31_RS03835
OG0000072	DR093_RS03980	FEF31_RS04700
OG0000073	DR093_RS02505	FEF31_RS00360
OG0000074	DR093_RS03915	FEF31_RS04395
OG0000075	DR093_RS00360	FEF31_RS00005
OG0000076	DR093_RS00375	FEF31_RS00020
OG0000077	DR093_RS00460	FEF31_RS00105
OG0000079	DR093_RS01040	FEF31_RS02300
OG0000080	DR093_RS03415	FEF31_RS02345
OG0000081	DR093_RS00355	FEF31_RS03610
OG0000082	DR093_RS01100	FEF31_RS02130
OG0000083	DR093_RS02955	FEF31_RS01765
OG0000084	DR093_RS02790	FEF31_RS01795
OG0000085	DR093_RS02785	FEF31_RS01800
OG0000086	DR093_RS04020	FEF31_RS01810
OG0000087	DR093_RS02760	FEF31_RS01825
OG0000088	DR093_RS02755	FEF31_RS01830
OG0000089	DR093_RS02745	FEF31_RS01840
OG0000090	DR093_RS00130	FEF31_RS03355
OG0000091	DR093_RS00115	FEF31_RS03340
OG0000092	DR093_RS00100	FEF31_RS03325
OG0000093	DR093_RS00095	FEF31_RS03320
OG0000094	DR093_RS04155	FEF31_RS03315
OG0000095	DR093_RS00065	FEF31_RS03290
OG0000096	DR093_RS00060	FEF31_RS03285
OG0000097	DR093_RS00040	FEF31_RS03265
OG0000098	DR093_RS00030	FEF31_RS03255
OG0000099	DR093_RS01200	FEF31_RS04640
OG0000100	DR093_RS01210	FEF31_RS03195
OG0000101	DR093_RS01215	FEF31_RS03190
OG0000102	DR093_RS01225	FEF31_RS01365
OG0000103	DR093_RS01855	FEF31_RS01955
OG0000104	DR093_RS01860	FEF31_RS01960
OG0000105	DR093_RS01875	FEF31_RS01975
OG0000106	DR093_RS01885	FEF31_RS01985
OG0000107	DR093_RS01895	FEF31_RS01995
OG0000108	DR093_RS01900	FEF31_RS02000
OG0000109	DR093_RS01905	FEF31_RS02005
OG0000110	DR093_RS01910	FEF31_RS02120
OG0000111	DR093_RS01915	FEF31_RS02115
OG0000112	DR093_RS01925	FEF31_RS02105
OG0000113	DR093_RS03930	FEF31_RS02085
OG0000114	DR093_RS01950	FEF31_RS02075
OG0000115	DR093_RS01960	FEF31_RS02065
OG0000116	DR093_RS01970	FEF31_RS00955
OG0000117	DR093_RS01975	FEF31_RS00960
OG0000118	DR093_RS02005	FEF31_RS00995
OG0000119	DR093_RS02010	FEF31_RS01000
OG0000120	DR093_RS02025	FEF31_RS01020
OG0000121	DR093_RS02050	FEF31_RS01045
OG0000122	DR093_RS02055	FEF31_RS01050
OG0000123	DR093_RS02075	FEF31_RS01070
OG0000124	DR093_RS02080	FEF31_RS01075
