Orthogroup	MFC_MF11_genes	MHP_153B_genes
OG0000000	DR093_RS02920	NB625_RS02335
OG0000000	DR093_RS03700	NB625_RS02215, NB625_RS02225
OG0000000	DR093_RS03035	NB625_RS02210
OG0000000	DR093_RS03440	NB625_RS01725
OG0000001	DR093_RS00830, DR093_RS00825	NB625_RS01285, NB625_RS01280, NB625_RS02955, NB625_RS02910
OG0000002	DR093_RS04025	NB625_RS02235
OG0000002	DR093_RS03845	NB625_RS01730
OG0000004	DR093_RS01845	NB625_RS03190
OG0000007	DR093_RS02845	NB625_RS02325
OG0000007	DR093_RS02840	NB625_RS02305
OG0000008	DR093_RS03250	NB625_RS01635, NB625_RS01640
OG0000011	DR093_RS03025	NB625_RS01950
OG0000013	DR093_RS01095, DR093_RS01090	NB625_RS02545
OG0000013	DR093_RS03220	NB625_RS00190
OG0000014	DR093_RS03805	NB625_RS01095, NB625_RS01085
OG0000016	DR093_RS00770	NB625_RS02995
OG0000016	DR093_RS00190	NB625_RS00175
OG0000017	DR093_RS00175	NB625_RS00160
OG0000017	DR093_RS00760	NB625_RS03005
OG0000018	DR093_RS03935	NB625_RS02090
OG0000019	DR093_RS03265	NB625_RS03195
OG0000020	DR093_RS03830	NB625_RS03695
OG0000022	DR093_RS03840	NB625_RS01720
OG0000023	DR093_RS01985	NB625_RS01320
OG0000024	DR093_RS00835	NB625_RS02905, NB625_RS01275
OG0000025	DR093_RS01230	NB625_RS01715
OG0000026	DR093_RS02030	NB625_RS01365, NB625_RS01695
OG0000027	DR093_RS01425	NB625_RS03505
OG0000029	DR093_RS00605	NB625_RS00600, NB625_RS01080
OG0000030	DR093_RS03890	NB625_RS03495
OG0000031	DR093_RS02685	NB625_RS02145, NB625_RS01605
OG0000032	DR093_RS01420	NB625_RS01585
OG0000033	DR093_RS01115	NB625_RS02560
OG0000039	DR093_RS00665	NB625_RS01615
OG0000040	DR093_RS02380, DR093_RS03230	NB625_RS03440
OG0000042	DR093_RS00660, DR093_RS03365, DR093_RS00810	NB625_RS03095
OG0000043	DR093_RS02660	NB625_RS01915
OG0000045	DR093_RS00670	NB625_RS01620
OG0000047	DR093_RS00840	NB625_RS02080
OG0000048	DR093_RS03685, DR093_RS03690	NB625_RS02195
OG0000049	DR093_RS03590	NB625_RS03205
OG0000050	DR093_RS04015	NB625_RS02595
OG0000051	DR093_RS01745	NB625_RS02810
OG0000052	DR093_RS00140	NB625_RS00075
OG0000053	DR093_RS03940	NB625_RS01450
OG0000054	DR093_RS01140	NB625_RS02620
OG0000056	DR093_RS01205	NB625_RS03680
OG0000057	DR093_RS00685	NB625_RS03080
