Orthogroup	MFC_MF11_genes	MFC_Ms42_genes
OG0000000	DR093_RS02920	MYF_RS01330
OG0000000	DR093_RS03040	MYF_RS03215
OG0000000	DR093_RS03035	MYF_RS01460
OG0000000	DR093_RS03440	MYF_RS03295
OG0000001	DR093_RS00830, DR093_RS00825	MYF_RS03415
OG0000002	DR093_RS02915	MYF_RS03430
OG0000002	DR093_RS04025	MYF_RS01475
OG0000002	DR093_RS03845	MYF_RS03010
OG0000003	DR093_RS04030	MYF_RS01515
OG0000004	DR093_RS01845	MYF_RS02535, MYF_RS02545
OG0000007	DR093_RS02845	MYF_RS01510
OG0000007	DR093_RS02840	MYF_RS01505
OG0000007	DR093_RS02835	MYF_RS01500
OG0000008	DR093_RS03250	MYF_RS01875
OG0000011	DR093_RS03025	MYF_RS03310
OG0000011	DR093_RS03260	MYF_RS01270
OG0000013	DR093_RS01095	MYF_RS03170
OG0000013	DR093_RS01090	MYF_RS01100
OG0000013	DR093_RS03220	MYF_RS03400
OG0000014	DR093_RS03805	MYF_RS00550
OG0000016	DR093_RS00770	MYF_RS00730
OG0000016	DR093_RS00190	MYF_RS00130
OG0000017	DR093_RS00175	MYF_RS03155
OG0000017	DR093_RS00760	MYF_RS00720
OG0000018	DR093_RS03935	MYF_RS01675
OG0000019	DR093_RS03125	MYF_RS03445
OG0000019	DR093_RS03265	MYF_RS03440
OG0000020	DR093_RS03835	MYF_RS03080
OG0000020	DR093_RS03830	MYF_RS03085
OG0000022	DR093_RS03840	MYF_RS03025
OG0000023	DR093_RS01985	MYF_RS01670, MYF_RS01880
OG0000024	DR093_RS00835	MYF_RS00790
OG0000025	DR093_RS01230	MYF_RS03030
OG0000026	DR093_RS02030	MYF_RS01715
OG0000027	DR093_RS03885	MYF_RS02825
OG0000028	DR093_RS01110	MYF_RS01125
OG0000029	DR093_RS00605	MYF_RS00555
OG0000030	DR093_RS03890	MYF_RS02820
OG0000031	DR093_RS02685	MYF_RS01215
OG0000032	DR093_RS01420	MYF_RS03490, MYF_RS02815
OG0000033	DR093_RS01115	MYF_RS01130
OG0000039	DR093_RS00665	MYF_RS03160, MYF_RS00615
OG0000040	DR093_RS02380	MYF_RS02770
OG0000040	DR093_RS03230	MYF_RS00840
OG0000042	DR093_RS00660	MYF_RS00610
OG0000042	DR093_RS00810	MYF_RS00765
OG0000043	DR093_RS02660	MYF_RS01240
OG0000045	DR093_RS00670	MYF_RS00630
OG0000047	DR093_RS00840	MYF_RS03335
OG0000048	DR093_RS03685, DR093_RS03690	MYF_RS01350
OG0000049	DR093_RS03590	MYF_RS03265, MYF_RS03455
OG0000050	DR093_RS04015	MYF_RS01180
OG0000051	DR093_RS01745	MYF_RS02420
OG0000052	DR093_RS00140	MYF_RS00075
OG0000053	DR093_RS03940	MYF_RS01800
OG0000054	DR093_RS01140	MYF_RS01155
OG0000056	DR093_RS01205	MYF_RS03060
OG0000057	DR093_RS00685	MYF_RS00645
OG0000062	DR093_RS00025	MYF_RS03115
OG0000063	DR093_RS03775	MYF_RS03110
OG0000064	DR093_RS00010	MYF_RS03100
OG0000065	DR093_RS01890	MYF_RS01575
OG0000066	DR093_RS02020	MYF_RS01705
OG0000067	DR093_RS00530	MYF_RS00480
OG0000068	DR093_RS00640	MYF_RS00590
OG0000069	DR093_RS00795	MYF_RS00755
OG0000070	DR093_RS01120	MYF_RS01135
OG0000071	DR093_RS02370	MYF_RS02760
OG0000072	DR093_RS03980	MYF_RS02765
OG0000073	DR093_RS02505	MYF_RS02005
OG0000074	DR093_RS03915	MYF_RS02195
OG0000075	DR093_RS00360	MYF_RS00305
OG0000076	DR093_RS00375	MYF_RS00320
OG0000077	DR093_RS00460	MYF_RS00410
OG0000078	DR093_RS00930	MYF_RS00880
OG0000079	DR093_RS01040	MYF_RS01050
OG0000080	DR093_RS03415	MYF_RS01000, MYF_RS03365
OG0000081	DR093_RS00355	MYF_RS00300
OG0000082	DR093_RS01100	MYF_RS01110
OG0000083	DR093_RS02955	MYF_RS01430
OG0000084	DR093_RS02790	MYF_RS01400
OG0000085	DR093_RS02785	MYF_RS01395
OG0000086	DR093_RS04020	MYF_RS01385
OG0000087	DR093_RS02760	MYF_RS01370
OG0000088	DR093_RS02755	MYF_RS01365
OG0000089	DR093_RS02745	MYF_RS01355
OG0000090	DR093_RS00130	MYF_RS00070
OG0000091	DR093_RS00115	MYF_RS00055
OG0000092	DR093_RS00100	MYF_RS00040
OG0000093	DR093_RS00095	MYF_RS00035
OG0000094	DR093_RS04155	MYF_RS00030
OG0000095	DR093_RS00065	MYF_RS00005
OG0000096	DR093_RS00060	MYF_RS03150
OG0000097	DR093_RS00040	MYF_RS03130
OG0000098	DR093_RS00030	MYF_RS03120
OG0000099	DR093_RS01200	MYF_RS03065
OG0000100	DR093_RS01210	MYF_RS03050
OG0000101	DR093_RS01215	MYF_RS03045
OG0000102	DR093_RS01225	MYF_RS03035
OG0000103	DR093_RS01855	MYF_RS01540
OG0000104	DR093_RS01860	MYF_RS01545
OG0000105	DR093_RS01875	MYF_RS01560
OG0000106	DR093_RS01885	MYF_RS01570
OG0000107	DR093_RS01895	MYF_RS01580
OG0000108	DR093_RS01900	MYF_RS01585
OG0000109	DR093_RS01905	MYF_RS01590
OG0000110	DR093_RS01910	MYF_RS01595
OG0000111	DR093_RS01915	MYF_RS01600
