Orthogroup	MFC_MF11_genes	MHP_98_genes
OG0000000	DR093_RS02920	GOM18_RS02340
OG0000000	DR093_RS03435, DR093_RS03440	GOM18_RS03685
OG0000001	DR093_RS00830, DR093_RS00825	GOM18_RS03240, GOM18_RS03230, GOM18_RS03125, GOM18_RS04130, GOM18_RS04125
OG0000002	DR093_RS03845	GOM18_RS04550
OG0000011	DR093_RS03025	GOM18_RS03250
OG0000011	DR093_RS03260	GOM18_RS03255
OG0000013	DR093_RS01095, DR093_RS01090	GOM18_RS02545
OG0000013	DR093_RS03220	GOM18_RS03935
OG0000014	DR093_RS03805	GOM18_RS03570, GOM18_RS01700
OG0000016	DR093_RS00770	GOM18_RS01215
OG0000016	DR093_RS00190	GOM18_RS01280
OG0000017	DR093_RS00175	GOM18_RS01265
OG0000017	DR093_RS00760	GOM18_RS01205
OG0000018	DR093_RS03935	GOM18_RS04240
OG0000020	DR093_RS03835	GOM18_RS04290
OG0000020	DR093_RS03830	GOM18_RS03770, GOM18_RS03765
OG0000022	DR093_RS03840	GOM18_RS04500
OG0000023	DR093_RS01985	GOM18_RS02835, GOM18_RS00025
OG0000024	DR093_RS00835	GOM18_RS03075, GOM18_RS03225
OG0000025	DR093_RS01230	GOM18_RS04505
OG0000026	DR093_RS02030	GOM18_RS02790, GOM18_RS03010
OG0000027	DR093_RS01425	GOM18_RS04335
OG0000027	DR093_RS03885	GOM18_RS04320
OG0000029	DR093_RS00605	GOM18_RS01705, GOM18_RS03580
OG0000030	DR093_RS03890	GOM18_RS04340, GOM18_RS04325
OG0000031	DR093_RS02685	GOM18_RS00085, GOM18_RS03625
OG0000032	DR093_RS01420	GOM18_RS00745, GOM18_RS02560, GOM18_RS04565
OG0000039	DR093_RS00665	GOM18_RS03565
OG0000040	DR093_RS02380, DR093_RS03230	GOM18_RS00810
OG0000042	DR093_RS00660, DR093_RS03365, DR093_RS00810	GOM18_RS01120
OG0000043	DR093_RS02660	GOM18_RS03285
OG0000045	DR093_RS00670	GOM18_RS03555
OG0000047	DR093_RS00840	GOM18_RS00015
OG0000048	DR093_RS03685, DR093_RS03690	GOM18_RS02325
OG0000049	DR093_RS03590	GOM18_RS01035
OG0000050	DR093_RS04015	GOM18_RS01900
