Orthogroup	MFC_MF11_genes	MHP_F72C_genes
OG0000000	DR093_RS02920	EHI52_RS01825
OG0000000	DR093_RS03030, DR093_RS03040	EHI52_RS00960
OG0000000	DR093_RS03700	EHI52_RS03750
OG0000000	DR093_RS03035	EHI52_RS00970
OG0000001	DR093_RS00830, DR093_RS00825	EHI52_RS01345, EHI52_RS02790, EHI52_RS02745, EHI52_RS02740
OG0000002	DR093_RS04025	EHI52_RS03740
OG0000002	DR093_RS03845	EHI52_RS01780
OG0000003	DR093_RS04030	EHI52_RS03760
OG0000004	DR093_RS01845	EHI52_RS03045, EHI52_RS03025
OG0000007	DR093_RS02845	EHI52_RS00980
OG0000007	DR093_RS02840	EHI52_RS00985
OG0000007	DR093_RS02835	EHI52_RS00995
OG0000008	DR093_RS03250	EHI52_RS03775
OG0000011	DR093_RS03025	EHI52_RS01985
OG0000011	DR093_RS03260	EHI52_RS01990
OG0000013	DR093_RS01095, DR093_RS01090	EHI52_RS02410
OG0000013	DR093_RS03220	EHI52_RS03710
OG0000014	DR093_RS03805	EHI52_RS00615, EHI52_RS01155
OG0000016	DR093_RS00770	EHI52_RS02830
OG0000016	DR093_RS00190	EHI52_RS00170
OG0000017	DR093_RS00175	EHI52_RS00155
OG0000017	DR093_RS00760	EHI52_RS02840
OG0000019	DR093_RS03265	EHI52_RS03860
OG0000020	DR093_RS03835	EHI52_RS03550
OG0000020	DR093_RS03830	EHI52_RS03555
OG0000022	DR093_RS03840	EHI52_RS01770
OG0000023	DR093_RS01985	EHI52_RS01380
OG0000024	DR093_RS00835	EHI52_RS02735, EHI52_RS01335
OG0000025	DR093_RS01230	EHI52_RS01765
OG0000026	DR093_RS02030	EHI52_RS01425, EHI52_RS01745
OG0000027	DR093_RS01425	EHI52_RS03355
OG0000029	DR093_RS00605	EHI52_RS01150, EHI52_RS00620
OG0000030	DR093_RS03890	EHI52_RS03350
OG0000031	DR093_RS02685	EHI52_RS01660
OG0000032	DR093_RS01420	EHI52_RS01630
OG0000033	DR093_RS01115	EHI52_RS03825
OG0000039	DR093_RS00665	EHI52_RS01675
OG0000040	DR093_RS02380, DR093_RS03230	EHI52_RS03295
OG0000042	DR093_RS00660, DR093_RS03365, DR093_RS00810	EHI52_RS02930
OG0000043	DR093_RS02660	EHI52_RS02020
OG0000045	DR093_RS00670	EHI52_RS01680
OG0000048	DR093_RS03685, DR093_RS03690	EHI52_RS01840
OG0000049	DR093_RS03590	EHI52_RS03065
OG0000050	DR093_RS04015	EHI52_RS02450
OG0000051	DR093_RS01745	EHI52_RS02650
OG0000052	DR093_RS00140	EHI52_RS00075
OG0000053	DR093_RS03940	EHI52_RS01510
OG0000054	DR093_RS01140	EHI52_RS02475
OG0000056	DR093_RS01205	EHI52_RS03530
OG0000057	DR093_RS00685	EHI52_RS02915
OG0000062	DR093_RS00025	EHI52_RS03585
OG0000063	DR093_RS03775	EHI52_RS03580
OG0000064	DR093_RS00010	EHI52_RS03570
OG0000065	DR093_RS01890	EHI52_RS02260
OG0000066	DR093_RS02020	EHI52_RS01415
OG0000068	DR093_RS00640	EHI52_RS00660
OG0000069	DR093_RS00795	EHI52_RS02805
OG0000070	DR093_RS01120	EHI52_RS02480
OG0000071	DR093_RS02370	EHI52_RS03285
OG0000072	DR093_RS03980	EHI52_RS03290
OG0000073	DR093_RS02505	EHI52_RS00705
OG0000074	DR093_RS03915	EHI52_RS00900
OG0000076	DR093_RS00375	EHI52_RS00370
OG0000077	DR093_RS00460	EHI52_RS00460
OG0000078	DR093_RS00930	EHI52_RS01735
OG0000079	DR093_RS01040	EHI52_RS02555
OG0000080	DR093_RS03415	EHI52_RS03675
OG0000081	DR093_RS00355	EHI52_RS00350
OG0000082	DR093_RS01100	EHI52_RS02405
OG0000083	DR093_RS02955	EHI52_RS01915
OG0000084	DR093_RS02790	EHI52_RS01890
