HOG	OG	Gene Tree Parent Clade	MFC_ATCC27716_proteins	MFC_MF11_proteins	MFC_MF18_proteins	MFC_MF22_proteins	MFC_MF29_proteins	MFC_MF30_proteins	MFC_MF33_proteins	MFC_Ms42_proteins	MHP_111A_proteins	MHP_112B_proteins	MHP_116_proteins	MHP_11_proteins	MHP_1257_proteins	MHP_131B_proteins	MHP_133A_proteins	MHP_153B_proteins	MHP_154B_proteins	MHP_168L_proteins	MHP_168_proteins	MHP_232_proteins	MHP_4284_proteins	MHP_7422_proteins	MHP_7448_proteins	MHP_98_proteins	MHP_ES2L_proteins	MHP_ES2_proteins	MHP_F72C_proteins	MHP_J_proteins	MHP_KM014_proteins	MHP_LH_proteins	MHP_MHP650_proteins	MHP_MHP653_proteins	MHP_MHP679_proteins	MHP_MHP682_proteins	MHP_MHP691_proteins	MHP_MHP694_proteins	MHP_MHP696_proteins	MHP_MHP699_proteins	MHP_MHP709_proteins	MHP_NCTC10127_proteins	MHP_TB1_proteins	MHP_UFV01_proteins	MHP_UFV02_proteins	MHP_Ue273_proteins
N4.HOG0000000	OG0000000	n3													WP_348572148.1																		WP_160601283.1													
N4.HOG0000001	OG0000000	n5	WP_318023896.1	WP_160603262.1	WP_220190423.1	WP_308704674.1	WP_160581495.1	WP_308705463.1	WP_308704747.1	WP_318023896.1			WP_348602510.1	WP_202943179.1	WP_348571665.1	WP_404924494.1	WP_404924494.1			WP_318023914.1	WP_014579837.1	WP_202943179.1	WP_406823103.1			WP_308705288.1		WP_240536417.1		WP_237697250.1		WP_233688770.1	WP_160601117.1					WP_160606961.1				WP_129640571.1	WP_252862191.1	WP_243216234.1	WP_243216234.1	
N4.HOG0000002	OG0000000	n41																					WP_406823094.1															WP_308704620.1								
N4.HOG0000003	OG0000000	n43			WP_220190424.1	WP_308704675.1	WP_308704665.1	WP_308705464.1	WP_308704750.1	WP_236681788.1																																				
N4.HOG0000004	OG0000000	n53	WP_334199007.1																													WP_233688769.1														
N4.HOG0000005	OG0000000	n55			WP_160593552.1	WP_255454545.1																																								
N4.HOG0000006	OG0000000	n58											WP_348602860.1														WP_240536667.1, WP_240536668.1	WP_135618868.1		WP_202793361.1	WP_094521687.1	WP_233688767.1														
N4.HOG0000007	OG0000000	n77				WP_039387598.1				WP_039387598.1																					WP_039387598.1															
N4.HOG0000008	OG0000000	n80														WP_160612820.1	WP_160612820.1																													
N4.HOG0000009	OG0000000	n82																															WP_013302014.1													
N4.HOG0000010	OG0000000	n94							WP_308704746.1						WP_348571684.1, WP_348571687.1	WP_404924493.1	WP_404924493.1						WP_406823110.1					WP_240536413.1				WP_233688768.1												WP_243216171.1	WP_243234976.1	
N4.HOG0000011	OG0000000	n110		WP_160603281.1, WP_308705401.1		WP_160584040.1				WP_236681787.1					WP_348571683.1	WP_404924491.1	WP_404924491.1															WP_233688766.1	WP_160601261.1, WP_160601277.1, WP_160601285.1, WP_308704770.1											WP_243216232.1	WP_243216232.1	
N4.HOG0000012	OG0000000	n125		WP_160603250.1	WP_255454543.1		WP_160581503.1																				WP_179221135.1	WP_215773932.1				WP_179221135.1, WP_233688420.1, WP_233688421.1														
N4.HOG0000013	OG0000000	n139				WP_308704672.1			WP_160602617.1				WP_228729165.1										WP_406823111.1					WP_228729165.1																		
N4.HOG0000014	OG0000000	n147		WP_308705396.1			WP_220200598.1, WP_308704666.1		WP_160609447.1, WP_220190092.1							WP_404924492.1	WP_404924492.1											WP_240536415.1																		
N4.HOG0000015	OG0000000	n154	WP_040538362.1	WP_160603283.1	WP_308507121.1	WP_160584064.1, WP_220190248.1	WP_160581500.1, WP_160581501.1, WP_308704667.1		WP_308704748.1	WP_236681786.1			WP_348602861.1										WP_406823112.1																							
N4.HOG0000016	OG0000000	n177								WP_039387597.1, WP_039387605.1, WP_052234585.1, WP_236681772.1						WP_404924511.1	WP_404924221.1											WP_240536311.1				WP_233688428.1												WP_243216180.1	WP_308704548.1	
N4.HOG0000017	OG0000000	n199														WP_404924562.1	WP_404924466.1																													
N4.HOG0000018	OG0000000	n203											WP_348602503.1			WP_404924212.1	WP_404924212.1			WP_044889037.1						WP_258556549.1	WP_094521686.1	WP_094521686.1		WP_044284650.1, WP_044284653.1	WP_094521686.1	WP_094521686.1												WP_094521686.1	WP_094521686.1	
N4.HOG0000019	OG0000000	n214												WP_206600680.1								WP_011206233.1																								
N4.HOG0000020	OG0000000	n217											WP_348602862.1	WP_129640575.1		WP_148174330.1	WP_148174330.1			WP_318023915.1	WP_014579857.1	WP_129640575.1					WP_318036674.1	WP_135618898.1		WP_044284658.1		WP_318035154.1	WP_308704769.1									WP_129640575.1	WP_088764626.1	WP_308705306.1	WP_243234982.1	
