HOG	OG	Gene Tree Parent Clade	MFC_ATCC27716_proteins	MFC_MF11_proteins	MFC_MF18_proteins	MFC_MF22_proteins	MFC_MF29_proteins	MFC_MF30_proteins	MFC_MF33_proteins	MFC_Ms42_proteins	MHP_111A_proteins	MHP_112B_proteins	MHP_116_proteins	MHP_11_proteins	MHP_1257_proteins	MHP_131B_proteins	MHP_133A_proteins	MHP_153B_proteins	MHP_154B_proteins	MHP_168L_proteins	MHP_168_proteins	MHP_232_proteins	MHP_4284_proteins	MHP_7422_proteins	MHP_7448_proteins	MHP_98_proteins	MHP_ES2L_proteins	MHP_ES2_proteins	MHP_F72C_proteins	MHP_J_proteins	MHP_KM014_proteins	MHP_LH_proteins	MHP_MHP650_proteins	MHP_MHP653_proteins	MHP_MHP679_proteins	MHP_MHP682_proteins	MHP_MHP691_proteins	MHP_MHP694_proteins	MHP_MHP696_proteins	MHP_MHP699_proteins	MHP_MHP709_proteins	MHP_NCTC10127_proteins	MHP_TB1_proteins	MHP_UFV01_proteins	MHP_UFV02_proteins	MHP_Ue273_proteins
N38.HOG0000000	OG0000000	n5	WP_318023896.1						WP_308704747.1	WP_318023896.1																																				
N38.HOG0000001	OG0000000	n43							WP_308704750.1	WP_236681788.1																																				
N38.HOG0000002	OG0000000	n53	WP_334199007.1																																											
N38.HOG0000003	OG0000000	n77								WP_039387598.1																																				
N38.HOG0000004	OG0000000	n94							WP_308704746.1																																					
N38.HOG0000005	OG0000000	n110								WP_236681787.1																																				
N38.HOG0000006	OG0000000	n139							WP_160602617.1																																					
N38.HOG0000007	OG0000000	n147							WP_160609447.1, WP_220190092.1																																					
N38.HOG0000008	OG0000000	n155							WP_308704748.1																																					
N38.HOG0000009	OG0000000	n159	WP_040538362.1							WP_236681786.1																																				
N38.HOG0000010	OG0000000	n184								WP_039387605.1, WP_052234585.1																																				
N38.HOG0000011	OG0000000	n186								WP_039387597.1, WP_236681772.1																																				
N38.HOG0000012	OG0000000	n294	WP_002557502.1						WP_160609401.1	WP_318023901.1																																				
N38.HOG0000013	OG0000001	n2	WP_002557631.1							WP_002557631.1																																				
N38.HOG0000014	OG0000001	n4							WP_258556753.1																																					
N38.HOG0000015	OG0000002	n2	WP_002557696.1						WP_002557696.1	WP_002557696.1																																				
N38.HOG0000016	OG0000002	n9	WP_002557507.1							WP_002557507.1																																				
N38.HOG0000017	OG0000002	n56							WP_160609360.1																																					
N38.HOG0000018	OG0000002	n64	WP_002557987.1						WP_160609436.1	WP_002557987.1																																				
N38.HOG0000019	OG0000002	n95	WP_002557503.1						WP_160609402.1	WP_002557503.1																																				
N38.HOG0000020	OG0000003	n85	WP_039387603.1						WP_258556794.1	WP_039387603.1																																				
N38.HOG0000021	OG0000003	n110							WP_308704745.1																																					
N38.HOG0000022	OG0000004	n76								WP_236681777.1																																				
N38.HOG0000023	OG0000004	n120	WP_231237859.1							WP_236681778.1, WP_236681779.1																																				
N38.HOG0000024	OG0000007	n13	WP_002557994.1						WP_011284157.1	WP_002557994.1																																				
N38.HOG0000025	OG0000007	n32	WP_002557993.1						WP_002557993.1	WP_002557993.1																																				
N38.HOG0000026	OG0000007	n45	WP_002557992.1						WP_002557992.1	WP_002557992.1																																				
N38.HOG0000027	OG0000008	n35	WP_051054298.1						WP_220190046.1	WP_236681789.1																																				
N38.HOG0000028	OG0000011	n42								WP_039387561.1																																				
N38.HOG0000029	OG0000011	n44	WP_002557687.1						WP_220190082.1																																					
N38.HOG0000030	OG0000011	n47	WP_002557686.1						WP_308704744.1																																					
N38.HOG0000031	OG0000011	n51	WP_039387558.1						WP_220190083.1	WP_039387558.1																																				
N38.HOG0000032	OG0000013	n3	WP_002557975.1						WP_160609296.1	WP_002557975.1																																				
N38.HOG0000033	OG0000013	n10	WP_051054340.1						WP_160609295.1	WP_051054340.1																																				
N38.HOG0000034	OG0000013	n47	WP_002557887.1						WP_258556745.1	WP_002557887.1																																				
N38.HOG0000035	OG0000014	n1	WP_002557587.1						WP_160609255.1	WP_002557587.1																																				
N38.HOG0000036	OG0000015	n24	WP_039387716.1							WP_039387716.1																																				
N38.HOG0000037	OG0000016	n1	WP_002557621.1						WP_160609266.1	WP_002557621.1																																				
N38.HOG0000038	OG0000016	n66	WP_002557884.1						WP_308704719.1, WP_308704740.1	WP_002557884.1																																				
N38.HOG0000039	OG0000017	n1	WP_002557881.1						WP_160609392.1	WP_002557881.1																																				
N38.HOG0000040	OG0000017	n16	WP_144245598.1						WP_160609265.1	WP_144245598.1																																				
N38.HOG0000041	OG0000018	n64	WP_002557538.1						WP_002557538.1	WP_002557538.1																																				
N38.HOG0000042	OG0000019	n11	WP_051054343.1							WP_039387670.1																																				
N38.HOG0000043	OG0000019	n26							WP_160609324.1	WP_039387671.1																																				
N38.HOG0000044	OG0000019	n64	WP_040538370.1							WP_039387667.1																																				
N38.HOG0000045	OG0000020	n1	WP_002557491.1						WP_160609394.1	WP_002557491.1																																				
N38.HOG0000046	OG0000020	n38	WP_002557490.1						WP_220190067.1	WP_002557490.1																																				
N38.HOG0000047	OG0000022	n33	WP_002557501.1						WP_160609400.1	WP_002557501.1																																				
N38.HOG0000048	OG0000023	n9	WP_002557537.1						WP_160581180.1	WP_002557537.1																																				
N38.HOG0000049	OG0000023	n48	WP_002557747.1						WP_160581288.1	WP_002557747.1																																				
N38.HOG0000050	OG0000024	n1	WP_231237865.1						WP_231237865.1	WP_236681781.1																																				
N38.HOG0000051	OG0000025	n32	WP_002557500.1						WP_160609399.1	WP_002557500.1																																				
N38.HOG0000052	OG0000026	n1	WP_002557545.1						WP_160581190.1	WP_002557545.1																																				
N38.HOG0000053	OG0000027	n21	WP_002557970.1						WP_160593509.1	WP_002557970.1																																				
N38.HOG0000054	OG0000028	n13	WP_002557653.1						WP_160609297.1	WP_002557653.1																																				
N38.HOG0000055	OG0000028	n18	WP_040538377.1							WP_040538377.1																																				
N38.HOG0000056	OG0000029	n1	WP_002557588.1						WP_160609256.1	WP_002557588.1																																				
N38.HOG0000057	OG0000030	n1	WP_002557971.1						WP_160609414.1	WP_002557971.1																																				
N38.HOG0000058	OG0000031	n3	WP_002557676.1						WP_160609420.1	WP_002557676.1																																				
N38.HOG0000059	OG0000032	n3	WP_002557939.1							WP_002557939.1																																				
N38.HOG0000060	OG0000032	n25	WP_231237886.1						WP_258556787.1	WP_231237886.1																																				
N38.HOG0000061	OG0000033	n20	WP_081605281.1						WP_160609298.1	WP_052234584.1																																				
N38.HOG0000062	OG0000037	n3	WP_155897258.1							WP_082019631.1																																				
N38.HOG0000063	OG0000037	n38	WP_040538385.1																																											
N38.HOG0000064	OG0000037	n39	WP_318024041.1							WP_231237860.1																																				
N38.HOG0000065	OG0000039	n24	WP_002557599.1						WP_160609261.1	WP_160609261.1																																				
N38.HOG0000066	OG0000039	n26	WP_002557597.1						WP_160609260.1	WP_002557597.1																																				
N38.HOG0000067	OG0000040	n17	WP_002557738.1						WP_258556766.1	WP_002557738.1																																				
N38.HOG0000068	OG0000040	n27	WP_318024042.1						WP_308704725.1	WP_201771013.1																																				
N38.HOG0000069	OG0000040	n31	WP_002557645.1						WP_160580937.1																																					
N38.HOG0000070	OG0000042	n11	WP_002557596.1						WP_160609259.1	WP_002557596.1																																				
N38.HOG0000071	OG0000042	n18	WP_002557628.1						WP_160609271.1	WP_002557628.1																																				
N38.HOG0000072	OG0000043	n0	WP_002557679.1						WP_160581416.1	WP_002557679.1																																				
N38.HOG0000073	OG0000045	n10	WP_002557601.1							WP_002557601.1																																				
N38.HOG0000074	OG0000047	n35	WP_155897261.1						WP_220189981.1	WP_155897261.1																																				
N38.HOG0000075	OG0000048	n23	WP_039387763.1						WP_160609435.1	WP_039387763.1																																				
N38.HOG0000076	OG0000048	n33							WP_308704749.1																																					
N38.HOG0000077	OG0000049	n26	WP_231237870.1, WP_318023899.1							WP_231237870.1, WP_318023899.1																																				
N38.HOG0000078	OG0000050	n0	WP_002557670.1						WP_160609423.1	WP_002557670.1																																				
N38.HOG0000079	OG0000051	n9	WP_002557852.1						WP_160583877.1	WP_002557852.1																																				
N38.HOG0000080	OG0000052	n0	WP_002557464.1						WP_002557464.1	WP_002557464.1																																				
N38.HOG0000081	OG0000053	n0	WP_002557561.1						WP_160609345.1	WP_002557561.1																																				
N38.HOG0000082	OG0000054	n0	WP_002557665.1						WP_160609300.1	WP_002557665.1																																				
N38.HOG0000083	OG0000055	n10	WP_002557874.1							WP_002557874.1																																				
N38.HOG0000084	OG0000055	n11	WP_323749063.1							WP_323749063.1																																				
N38.HOG0000085	OG0000056	n19	WP_081605276.1						WP_160609397.1	WP_081605276.1																																				
N38.HOG0000086	OG0000057	n0	WP_231237864.1						WP_258556751.1	WP_231237864.1																																				
N38.HOG0000087	OG0000062	n0	WP_002557486.1						WP_160581109.1	WP_002557486.1																																				
N38.HOG0000088	OG0000063	n0	WP_002557487.1						WP_160609377.1	WP_002557487.1																																				
N38.HOG0000089	OG0000064	n0	WP_002557489.1						WP_160581114.1	WP_002557489.1																																				
N38.HOG0000090	OG0000065	n0	WP_002557517.1						WP_160583941.1	WP_002557517.1																																				
N38.HOG0000091	OG0000066	n4	WP_002557543.1						WP_160609349.1	WP_002557543.1																																				
N38.HOG0000092	OG0000067	n2	WP_002557573.1						WP_160609248.1	WP_002557573.1																																				
N38.HOG0000093	OG0000068	n0	WP_002557593.1						WP_002557593.1	WP_002557593.1																																				
N38.HOG0000094	OG0000069	n0	WP_002557626.1						WP_002557626.1	WP_002557626.1																																				
N38.HOG0000095	OG0000070	n0	WP_002557663.1						WP_160609299.1	WP_002557663.1																																				
N38.HOG0000096	OG0000071	n0	WP_002557736.1						WP_160609337.1	WP_002557736.1																																				
N38.HOG0000097	OG0000072	n0	WP_002557737.1						WP_160609338.1	WP_002557737.1																																				
N38.HOG0000098	OG0000073	n0	WP_002557771.1, WP_002557772.1						WP_160609366.1	WP_039387630.1																																				
N38.HOG0000099	OG0000074	n16	WP_002557807.1						WP_308704727.1	WP_236681775.1																																				
N38.HOG0000100	OG0000075	n5	WP_002557918.1						WP_160581028.1	WP_002557918.1																																				
N38.HOG0000101	OG0000076	n7	WP_002557921.1						WP_002557921.1	WP_002557921.1																																				
N38.HOG0000102	OG0000077	n0	WP_002557937.1						WP_160609246.1	WP_002557937.1																																				
N38.HOG0000103	OG0000078	n23	WP_002557996.1						WP_160609283.1	WP_002557996.1																																				
N38.HOG0000104	OG0000079	n0	WP_002558020.1, WP_040538387.1						WP_160609290.1	WP_002558020.1																																				
N38.HOG0000105	OG0000080	n0	WP_196792423.1						WP_196792423.1	WP_002558011.1, WP_196792423.1																																				
N38.HOG0000106	OG0000081	n0	WP_231237881.1, WP_231237882.1						WP_308704724.1	WP_039387493.1																																				
N38.HOG0000107	OG0000082	n29	WP_231237888.1						WP_220189984.1	WP_231237888.1																																				
N38.HOG0000108	OG0000083	n0	WP_002557446.1						WP_160581484.1	WP_002557446.1																																				
N38.HOG0000109	OG0000084	n0	WP_002557451.1						WP_002557451.1	WP_002557451.1																																				
N38.HOG0000110	OG0000085	n0	WP_002557452.1						WP_002557452.1	WP_002557452.1																																				
N38.HOG0000111	OG0000086	n0	WP_002557454.1						WP_160609432.1	WP_002557454.1																																				
N38.HOG0000112	OG0000087	n0	WP_002557457.1						WP_236681783.1	WP_236681783.1																																				
N38.HOG0000113	OG0000088	n0	WP_002557458.1						WP_160581443.1	WP_002557458.1																																				
N38.HOG0000114	OG0000089	n0	WP_002557461.1						WP_002557461.1	WP_002557461.1																																				
N38.HOG0000115	OG0000090	n0	WP_002557465.1						WP_002557465.1	WP_002557465.1																																				
N38.HOG0000116	OG0000091	n0	WP_002557468.1						WP_160609387.1	WP_002557468.1																																				
N38.HOG0000117	OG0000092	n0	WP_002557471.1						WP_160609385.1	WP_002557471.1																																				
N38.HOG0000118	OG0000093	n0	WP_002557472.1						WP_002557472.1	WP_002557472.1																																				
N38.HOG0000119	OG0000094	n0	WP_002557473.1						WP_160581096.1	WP_002557473.1																																				
N38.HOG0000120	OG0000095	n0	WP_002557479.1						WP_160609382.1	WP_002557479.1																																				
N38.HOG0000121	OG0000096	n0	WP_002557480.1						WP_002557480.1	WP_002557480.1																																				
N38.HOG0000122	OG0000097	n0	WP_002557483.1						WP_002557483.1	WP_002557483.1																																				
N38.HOG0000123	OG0000098	n7	WP_002557485.1						WP_160609378.1	WP_002557485.1																																				
N38.HOG0000124	OG0000099	n0	WP_002557494.1						WP_160609396.1	WP_002557494.1																																				
N38.HOG0000125	OG0000100	n0	WP_002557496.1						WP_160609398.1	WP_002557496.1																																				
N38.HOG0000126	OG0000101	n0	WP_002557497.1						WP_002557497.1	WP_002557497.1																																				
N38.HOG0000127	OG0000102	n0	WP_002557499.1						WP_002557499.1	WP_002557499.1																																				
N38.HOG0000128	OG0000103	n0	WP_002557509.1						WP_160609358.1	WP_002557509.1																																				
N38.HOG0000129	OG0000104	n0	WP_002557510.1						WP_002557510.1	WP_002557510.1																																				
N38.HOG0000130	OG0000105	n0	WP_002557514.1						WP_002557514.1	WP_002557514.1																																				
N38.HOG0000131	OG0000106	n0	WP_002557516.1						WP_160609357.1	WP_002557516.1																																				
N38.HOG0000132	OG0000107	n0	WP_002557518.1						WP_002557518.1	WP_002557518.1																																				
N38.HOG0000133	OG0000108	n0	WP_002557519.1						WP_308704655.1	WP_002557519.1																																				
N38.HOG0000134	OG0000109	n0	WP_002557520.1						WP_002557520.1	WP_002557520.1																																				
N38.HOG0000135	OG0000110	n0	WP_002557522.1						WP_160581160.1	WP_002557522.1																																				
N38.HOG0000136	OG0000111	n0	WP_002557523.1						WP_002557523.1	WP_002557523.1																																				
N38.HOG0000137	OG0000112	n0	WP_002557525.1						WP_002557525.1	WP_002557525.1																																				
N38.HOG0000138	OG0000113	n0	WP_002557528.1						WP_160609354.1	WP_002557528.1																																				
N38.HOG0000139	OG0000114	n0	WP_002557530.1						WP_258556771.1	WP_002557530.1																																				
N38.HOG0000140	OG0000115	n0	WP_002557532.1						WP_160609353.1	WP_002557532.1																																				
N38.HOG0000141	OG0000116	n0	WP_002557534.1						WP_160609351.1	WP_002557534.1																																				
N38.HOG0000142	OG0000117	n0	WP_002557535.1						WP_160609350.1	WP_002557535.1																																				
N38.HOG0000143	OG0000118	n0	WP_002557540.1						WP_002557540.1	WP_002557540.1																																				
N38.HOG0000144	OG0000119	n0	WP_002557541.1						WP_160581187.1	WP_002557541.1																																				
N38.HOG0000145	OG0000120	n0	WP_002557544.1						WP_160609348.1	WP_002557544.1																																				
N38.HOG0000146	OG0000121	n0	WP_002557548.1						WP_160609347.1	WP_002557548.1																																				
N38.HOG0000147	OG0000122	n0	WP_002557549.1						WP_002557549.1	WP_002557549.1																																				
N38.HOG0000148	OG0000123	n0	WP_002557553.1						WP_160581199.1	WP_002557553.1																																				
N38.HOG0000149	OG0000124	n0	WP_002557554.1						WP_002557554.1	WP_002557554.1																																				
N38.HOG0000150	OG0000125	n0	WP_002557555.1						WP_160581203.1	WP_002557555.1																																				
N38.HOG0000151	OG0000126	n0	WP_002557557.1						WP_160605532.1	WP_002557557.1																																				
N38.HOG0000152	OG0000127	n0	WP_002557559.1						WP_160583976.1	WP_002557559.1																																				
N38.HOG0000153	OG0000128	n0	WP_002557562.1						WP_160603202.1	WP_002557562.1																																				
N38.HOG0000154	OG0000129	n0	WP_002557563.1						WP_160609344.1	WP_002557563.1																																				
N38.HOG0000155	OG0000130	n0	WP_002557565.1						WP_160593526.1	WP_002557565.1																																				
N38.HOG0000156	OG0000131	n0	WP_002557566.1						WP_002557566.1	WP_002557566.1																																				
N38.HOG0000157	OG0000132	n0	WP_002557569.1						WP_002557569.1	WP_002557569.1																																				
N38.HOG0000158	OG0000133	n0	WP_002557574.1						WP_002557574.1	WP_002557574.1																																				
N38.HOG0000159	OG0000134	n0	WP_002557575.1						WP_160609249.1	WP_002557575.1																																				
N38.HOG0000160	OG0000135	n0	WP_002557577.1						WP_002557577.1	WP_002557577.1																																				
N38.HOG0000161	OG0000136	n0	WP_002557578.1						WP_002557578.1	WP_002557578.1																																				
N38.HOG0000162	OG0000137	n0	WP_002557585.1						WP_160583687.1	WP_002557585.1																																				
N38.HOG0000163	OG0000138	n0	WP_002557590.1						WP_160583684.1	WP_002557590.1																																				
N38.HOG0000164	OG0000139	n0	WP_002557594.1						WP_160609258.1	WP_002557594.1																																				
N38.HOG0000165	OG0000140	n0	WP_002557595.1						WP_002557595.1	WP_002557595.1																																				
N38.HOG0000166	OG0000141	n0	WP_002557602.1						WP_002557602.1	WP_002557602.1																																				
N38.HOG0000167	OG0000142	n0	WP_002557603.1						WP_002557603.1	WP_002557603.1																																				
N38.HOG0000168	OG0000143	n0	WP_002557607.1						WP_002557607.1	WP_002557607.1																																				
N38.HOG0000169	OG0000144	n0	WP_002557609.1						WP_002557609.1	WP_002557609.1																																				
N38.HOG0000170	OG0000145	n0	WP_002557611.1						WP_160583671.1	WP_002557611.1																																				
N38.HOG0000171	OG0000146	n0	WP_002557613.1						WP_002557613.1	WP_002557613.1																																				
N38.HOG0000172	OG0000147	n0	WP_002557614.1						WP_002557614.1	WP_002557614.1																																				
N38.HOG0000173	OG0000148	n0	WP_002557618.1						WP_160583667.1	WP_002557618.1																																				
N38.HOG0000174	OG0000149	n0	WP_002557620.1						WP_002557620.1	WP_002557620.1																																				
N38.HOG0000175	OG0000150	n0	WP_002557623.1						WP_002557623.1	WP_002557623.1																																				
N38.HOG0000176	OG0000151	n0	WP_002557634.1						WP_160609274.1	WP_002557634.1																																				
N38.HOG0000177	OG0000152	n0	WP_002557635.1						WP_160609275.1	WP_002557635.1																																				
N38.HOG0000178	OG0000153	n0	WP_002557636.1						WP_160609276.1	WP_002557636.1																																				
N38.HOG0000179	OG0000154	n0	WP_002557638.1						WP_160609277.1	WP_002557638.1																																				
N38.HOG0000180	OG0000155	n0	WP_002557642.1						WP_160609279.1	WP_002557642.1																																				
N38.HOG0000181	OG0000156	n0	WP_002557647.1						WP_160583648.1	WP_002557647.1																																				
N38.HOG0000182	OG0000157	n0	WP_002557648.1						WP_160609306.1	WP_002557648.1																																				
N38.HOG0000183	OG0000158	n0	WP_002557650.1						WP_160609281.1	WP_002557650.1																																				
N38.HOG0000184	OG0000159	n0	WP_002557667.1						WP_002557667.1	WP_002557667.1																																				
N38.HOG0000185	OG0000160	n0	WP_002557668.1						WP_002557668.1	WP_002557668.1																																				
N38.HOG0000186	OG0000161	n0	WP_002557669.1						WP_160593407.1	WP_002557669.1																																				
N38.HOG0000187	OG0000162	n0	WP_002557671.1						WP_002557671.1	WP_002557671.1																																				
N38.HOG0000188	OG0000163	n0	WP_002557672.1						WP_160584006.1	WP_002557672.1																																				
N38.HOG0000189	OG0000164	n0	WP_002557677.1						WP_160581414.1	WP_002557677.1																																				
N38.HOG0000190	OG0000165	n0	WP_002557684.1						WP_002557684.1	WP_002557684.1																																				
N38.HOG0000191	OG0000166	n0	WP_002557689.1						WP_160609426.1	WP_002557689.1																																				
N38.HOG0000192	OG0000167	n0	WP_002557692.1						WP_160581429.1	WP_002557692.1																																				
N38.HOG0000193	OG0000168	n0	WP_002557693.1						WP_002557693.1	WP_002557693.1																																				
N38.HOG0000194	OG0000169	n0	WP_002557698.1						WP_002557698.1	WP_002557698.1																																				
N38.HOG0000195	OG0000170	n0	WP_002557704.1						WP_160609326.1	WP_002557704.1																																				
N38.HOG0000196	OG0000171	n0	WP_002557706.1						WP_160581256.1	WP_002557706.1																																				
N38.HOG0000197	OG0000172	n0	WP_002557707.1						WP_002557707.1	WP_002557707.1																																				
N38.HOG0000198	OG0000173	n0	WP_002557708.1						WP_002557708.1	WP_002557708.1																																				
N38.HOG0000199	OG0000174	n0	WP_002557709.1						WP_002557709.1	WP_002557709.1																																				
N38.HOG0000200	OG0000175	n0	WP_002557712.1						WP_160609328.1	WP_002557712.1																																				
N38.HOG0000201	OG0000176	n0	WP_002557719.1						WP_160609331.1	WP_002557719.1																																				
N38.HOG0000202	OG0000177	n0	WP_002557720.1						WP_160609332.1	WP_039387687.1																																				
N38.HOG0000203	OG0000178	n0	WP_002557721.1						WP_002557721.1	WP_002557721.1																																				
N38.HOG0000204	OG0000179	n0	WP_002557724.1						WP_160609333.1	WP_002557724.1																																				
N38.HOG0000205	OG0000180	n0	WP_002557725.1						WP_002557725.1	WP_002557725.1																																				
N38.HOG0000206	OG0000181	n0	WP_002557727.1						WP_160609335.1	WP_039387691.1																																				
N38.HOG0000207	OG0000182	n0	WP_002557729.1						WP_160603214.1	WP_002557729.1																																				
N38.HOG0000208	OG0000183	n0	WP_002557735.1						WP_002557735.1	WP_002557735.1																																				
N38.HOG0000209	OG0000184	n0	WP_002557740.1						WP_160581467.1	WP_002557740.1																																				
N38.HOG0000210	OG0000185	n0	WP_002557743.1						WP_002557743.1	WP_002557743.1																																				
N38.HOG0000211	OG0000186	n0	WP_002557750.1						WP_160603234.1	WP_002557750.1																																				
N38.HOG0000212	OG0000187	n0	WP_002557753.1						WP_002557753.1	WP_002557753.1																																				
N38.HOG0000213	OG0000188	n0	WP_002557755.1						WP_160603230.1	WP_002557755.1																																				
N38.HOG0000214	OG0000189	n0	WP_002557756.1						WP_160609372.1	WP_039387623.1																																				
N38.HOG0000215	OG0000190	n0	WP_002557757.1						WP_160605458.1	WP_002557757.1																																				
N38.HOG0000216	OG0000191	n0	WP_002557761.1						WP_258556776.1	WP_002557761.1																																				
N38.HOG0000217	OG0000192	n0	WP_002557763.1						WP_160609368.1	WP_002557763.1																																				
N38.HOG0000218	OG0000193	n0	WP_002557766.1						WP_002557766.1	WP_002557766.1																																				
N38.HOG0000219	OG0000194	n0	WP_002557768.1						WP_002557768.1	WP_002557768.1																																				
N38.HOG0000220	OG0000195	n0	WP_002557769.1						WP_002557769.1	WP_002557769.1																																				
N38.HOG0000221	OG0000196	n0	WP_002557774.1						WP_002557774.1	WP_002557774.1																																				
N38.HOG0000222	OG0000197	n0	WP_002557775.1						WP_002557775.1	WP_002557775.1																																				
