HOG	OG	Gene Tree Parent Clade	MFC_ATCC27716_proteins	MFC_MF11_proteins	MFC_MF18_proteins	MFC_MF22_proteins	MFC_MF29_proteins	MFC_MF30_proteins	MFC_MF33_proteins	MFC_Ms42_proteins	MHP_111A_proteins	MHP_112B_proteins	MHP_116_proteins	MHP_11_proteins	MHP_1257_proteins	MHP_131B_proteins	MHP_133A_proteins	MHP_153B_proteins	MHP_154B_proteins	MHP_168L_proteins	MHP_168_proteins	MHP_232_proteins	MHP_4284_proteins	MHP_7422_proteins	MHP_7448_proteins	MHP_98_proteins	MHP_ES2L_proteins	MHP_ES2_proteins	MHP_F72C_proteins	MHP_J_proteins	MHP_KM014_proteins	MHP_LH_proteins	MHP_MHP650_proteins	MHP_MHP653_proteins	MHP_MHP679_proteins	MHP_MHP682_proteins	MHP_MHP691_proteins	MHP_MHP694_proteins	MHP_MHP696_proteins	MHP_MHP699_proteins	MHP_MHP709_proteins	MHP_NCTC10127_proteins	MHP_TB1_proteins	MHP_UFV01_proteins	MHP_UFV02_proteins	MHP_Ue273_proteins
N21.HOG0000000	OG0000000	n2																																		WP_371807681.1										
N21.HOG0000001	OG0000000	n58																																						WP_160585134.1						
N21.HOG0000002	OG0000000	n139																																						WP_220190702.1						
N21.HOG0000003	OG0000000	n203																																						WP_094521686.1						
N21.HOG0000004	OG0000000	n227																																						WP_308506999.1						
N21.HOG0000005	OG0000000	n238																																						WP_258555731.1						
N21.HOG0000006	OG0000000	n262																																		WP_160585837.1										
N21.HOG0000007	OG0000000	n274																																						WP_160585044.1						
N21.HOG0000008	OG0000000	n317																																		WP_160585691.1				WP_308506991.1						
N21.HOG0000009	OG0000001	n35																																						WP_280996374.1						
N21.HOG0000010	OG0000001	n50																																		WP_258555804.1										
N21.HOG0000011	OG0000001	n57																																		WP_258555825.1				WP_225972995.1						
N21.HOG0000012	OG0000001	n113																																		WP_258555827.1				WP_280996770.1						
N21.HOG0000013	OG0000001	n118																																						WP_160585261.1						
N21.HOG0000014	OG0000002	n14																																						WP_160585200.1						
N21.HOG0000015	OG0000002	n16																																		WP_258555846.1										
N21.HOG0000016	OG0000002	n38																																		WP_160585767.1										
N21.HOG0000017	OG0000002	n64																																		WP_160585824.1				WP_160585311.1						
N21.HOG0000018	OG0000002	n95																																		WP_160585690.1				WP_160585042.1						
N21.HOG0000019	OG0000003	n42																																		WP_220191211.1				WP_220190744.1						
N21.HOG0000020	OG0000003	n65																																		WP_160585822.1				WP_160584822.1						
N21.HOG0000021	OG0000003	n80																																						WP_240536590.1						
N21.HOG0000022	OG0000003	n88																																		WP_160585818.1				WP_308506998.1						
N21.HOG0000023	OG0000003	n118																																		WP_192894277.1				WP_192894277.1						
N21.HOG0000024	OG0000004	n5																																		WP_160585636.1										
N21.HOG0000025	OG0000004	n25																																						WP_160585337.1						
N21.HOG0000026	OG0000004	n36																																						WP_160585331.1						
N21.HOG0000027	OG0000004	n51																																		WP_160585635.1				WP_160585323.1						
N21.HOG0000028	OG0000005	n1																																		WP_160585749.1				WP_160584840.1						
N21.HOG0000029	OG0000005	n32																																		WP_160585746.1				WP_160584832.1						
N21.HOG0000030	OG0000005	n52																																		WP_146379450.1				WP_160584838.1						
N21.HOG0000031	OG0000005	n92																																		WP_160585747.1				WP_160584836.1						
N21.HOG0000032	OG0000005	n113																																		WP_160585745.1				WP_160584830.1						
N21.HOG0000033	OG0000006	n22																																						WP_280996647.1						
N21.HOG0000034	OG0000006	n25																																						WP_280996645.1						
N21.HOG0000035	OG0000006	n45																																		WP_258555865.1										
N21.HOG0000036	OG0000006	n48																																						WP_258555696.1						
N21.HOG0000037	OG0000006	n81																																		WP_258555346.1										
N21.HOG0000038	OG0000007	n5																																		WP_135618608.1				WP_135618608.1						
N21.HOG0000039	OG0000007	n13																																		WP_011284157.1				WP_280996803.1, WP_280996804.1						
N21.HOG0000040	OG0000007	n28																																		WP_220190648.1				WP_220190648.1						
N21.HOG0000041	OG0000007	n32																																		WP_160585819.1				WP_160585308.1						
N21.HOG0000042	OG0000007	n45																																		WP_002557992.1				WP_002557992.1						
N21.HOG0000043	OG0000008	n35																																						WP_220190685.1						
N21.HOG0000044	OG0000008	n89																																		WP_308507018.1				WP_280996809.1						
N21.HOG0000045	OG0000009	n16																																		WP_146379448.1										
N21.HOG0000046	OG0000009	n25																																		WP_160584690.1				WP_160584690.1						
N21.HOG0000047	OG0000009	n35																																		WP_160585618.1				WP_160584797.1						
N21.HOG0000048	OG0000010	n3																																		WP_160585752.1				WP_160585030.1						
N21.HOG0000049	OG0000010	n37																																		WP_308506993.1				WP_308506993.1						
N21.HOG0000050	OG0000010	n58																																		WP_240536641.1				WP_240536641.1						
N21.HOG0000051	OG0000010	n62																																		WP_160585744.1										
N21.HOG0000052	OG0000010	n66																																		WP_160585748.1										
N21.HOG0000053	OG0000011	n10																																		WP_160585600.1				WP_160585017.1						
N21.HOG0000054	OG0000011	n51																																		WP_160585601.1				WP_160585019.1						
N21.HOG0000055	OG0000012	n53																																						WP_160584990.1						
N21.HOG0000056	OG0000012	n57																																		WP_179221115.1				WP_158632000.1						
N21.HOG0000057	OG0000013	n1																																		WP_258555342.1				WP_280996675.1						
N21.HOG0000058	OG0000013	n47																																		WP_371807677.1				WP_280996468.1						
N21.HOG0000059	OG0000014	n10																																		WP_220191212.1										
N21.HOG0000060	OG0000014	n30																																						WP_160585335.1						
N21.HOG0000061	OG0000014	n57																																		WP_160585811.1				WP_160584786.1						
N21.HOG0000062	OG0000015	n36																																		WP_160585705.1				WP_160584959.1						
N21.HOG0000063	OG0000016	n1																																		WP_160585619.1				WP_160584976.1						
N21.HOG0000064	OG0000016	n33																																		WP_160585547.1				WP_160584776.1						
N21.HOG0000065	OG0000017	n1																																		WP_020835500.1				WP_020835500.1						
N21.HOG0000066	OG0000017	n16																																		WP_011206380.1				WP_160584974.1						
N21.HOG0000067	OG0000018	n4																																		WP_160585680.1										
N21.HOG0000068	OG0000018	n18																																						WP_160584720.1						
N21.HOG0000069	OG0000018	n54																																		WP_160585710.1				WP_135618751.1						
N21.HOG0000070	OG0000019	n21																																						WP_280996812.1						
N21.HOG0000071	OG0000019	n68																																						WP_160585347.1						
N21.HOG0000072	OG0000019	n72																																						WP_160585341.1						
N21.HOG0000073	OG0000019	n82																																						WP_280996811.1						
N21.HOG0000074	OG0000019	n84																																		WP_258555870.1										
N21.HOG0000075	OG0000020	n1																																		WP_160585812.1				WP_160584874.1						
N21.HOG0000076	OG0000020	n37																																		WP_308507016.1				WP_220190650.1						
N21.HOG0000077	OG0000021	n51																																						WP_135618734.1						
N21.HOG0000078	OG0000022	n1																																		WP_160585696.1				WP_160585064.1						
N21.HOG0000079	OG0000022	n33																																		WP_160585692.1				WP_160585046.1						
N21.HOG0000080	OG0000023	n16																																		WP_160585681.1										
N21.HOG0000081	OG0000023	n21																																						WP_160584718.1						
N21.HOG0000082	OG0000023	n60																																		WP_160585708.1				WP_160584951.1						
N21.HOG0000083	OG0000024	n8																																		WP_160585687.1				WP_160585259.1						
N21.HOG0000084	OG0000024	n33																																		WP_160585557.1				WP_160584710.1						
N21.HOG0000085	OG0000025	n1																																		WP_146379576.1				WP_160585062.1						
N21.HOG0000086	OG0000025	n32																																		WP_160585693.1				WP_160585048.1						
N21.HOG0000087	OG0000026	n5																																		WP_044284614.1				WP_020835640.1						
N21.HOG0000088	OG0000026	n19																																		WP_160585054.1				WP_160585054.1						
N21.HOG0000089	OG0000027	n1																																		WP_160585251.1				WP_160585251.1						
N21.HOG0000090	OG0000027	n21																																		WP_160585589.1				WP_160584915.1						
N21.HOG0000091	OG0000028	n1																																		WP_160585703.1										
N21.HOG0000092	OG0000028	n47																																						WP_160585151.1						
N21.HOG0000093	OG0000028	n60																																						WP_160585085.1						
N21.HOG0000094	OG0000028	n72																																		WP_160585704.1, WP_160585779.1										
N21.HOG0000095	OG0000029	n9																																		WP_160585736.1				WP_160585310.1						
N21.HOG0000096	OG0000029	n41																																						WP_160584789.1						
N21.HOG0000097	OG0000030	n8																																		WP_308507013.1				WP_240536353.1						
N21.HOG0000098	OG0000030	n33																																		WP_160584917.1				WP_160584917.1						
N21.HOG0000099	OG0000031	n12																																		WP_088172525.1				WP_088172525.1						
N21.HOG0000100	OG0000031	n23																																		WP_011284063.1				WP_011284063.1						
N21.HOG0000101	OG0000032	n3																																		WP_135618726.1				WP_135618726.1						
N21.HOG0000102	OG0000032	n24																																		WP_308507003.1				WP_308506987.1						
N21.HOG0000103	OG0000033	n39																																		WP_160585780.1										
N21.HOG0000104	OG0000033	n45																																						WP_160585083.1						
N21.HOG0000105	OG0000034	n1																																		WP_233688423.1				WP_280996808.1						
N21.HOG0000106	OG0000034	n8																																		WP_233688424.1				WP_233688424.1						
N21.HOG0000107	OG0000034	n11																																						WP_160584824.1						
N21.HOG0000108	OG0000034	n17																																		WP_160585823.1										
N21.HOG0000109	OG0000034	n27																																		WP_160585839.1				WP_160585315.1						
N21.HOG0000110	OG0000034	n33																																						WP_160585333.1						
N21.HOG0000111	OG0000034	n34																																						WP_160585196.1						
N21.HOG0000112	OG0000035	n1																																						WP_160585325.1						
N21.HOG0000113	OG0000035	n36																																		WP_258555817.1										
N21.HOG0000114	OG0000035	n55																																		WP_258555816.1										
N21.HOG0000115	OG0000036	n21																																		WP_020835495.1				WP_220190649.1						
N21.HOG0000116	OG0000036	n27																																		WP_160585743.1				WP_160584828.1						
N21.HOG0000117	OG0000037	n3																																		WP_160585794.1				WP_280996797.1						
N21.HOG0000118	OG0000037	n34																																		WP_160585294.1										
N21.HOG0000119	OG0000037	n39																																						WP_308506997.1						
N21.HOG0000120	OG0000038	n8																																						WP_160585280.1						
N21.HOG0000121	OG0000039	n29																																		WP_160585321.1				WP_258555867.1						
N21.HOG0000122	OG0000039	n36																																						WP_160585339.1						
N21.HOG0000123	OG0000040	n35																																						WP_160585351.1						
N21.HOG0000124	OG0000040	n47																																						WP_160585223.1						
N21.HOG0000125	OG0000041	n9																																		WP_160585834.1										
N21.HOG0000126	OG0000042	n2																																						WP_160585225.1						
N21.HOG0000127	OG0000042	n36																																		WP_160585626.1										
N21.HOG0000128	OG0000043	n0																																		WP_014579804.1				WP_160585024.1						
N21.HOG0000129	OG0000044	n1																																		WP_225973034.1				WP_225973034.1						
N21.HOG0000130	OG0000045	n0																																		WP_160585827.1				WP_160585319.1						
N21.HOG0000131	OG0000046	n1																																		WP_160585788.1										
N21.HOG0000132	OG0000046	n32																																						WP_160585240.1						
N21.HOG0000133	OG0000047	n4																																		WP_160585707.1										
N21.HOG0000134	OG0000047	n17																																						WP_280996561.1						
N21.HOG0000135	OG0000048	n0																																		WP_160585777.1				WP_011284150.1						
N21.HOG0000136	OG0000049	n0																																		WP_160585653.1				WP_160584921.1						
N21.HOG0000137	OG0000050	n0																																		WP_160585700.1				WP_160585157.1						
N21.HOG0000138	OG0000051	n40																																						WP_160584994.1						
N21.HOG0000139	OG0000052	n0																																		WP_146379447.1				WP_160584845.1						
N21.HOG0000140	OG0000053	n0																																		WP_160585821.1				WP_160585093.1						
N21.HOG0000141	OG0000054	n0																																		WP_160585698.1				WP_011206291.1						
N21.HOG0000142	OG0000055	n0																																		WP_160584826.1				WP_160584826.1						
N21.HOG0000143	OG0000056	n0																																		WP_160585574.1				WP_160584884.1						
N21.HOG0000144	OG0000057	n0																																		WP_258555814.1				WP_280996564.1						
N21.HOG0000145	OG0000058	n14																																		WP_160585715.1				WP_160584937.1						
N21.HOG0000146	OG0000058	n29																																		WP_240536615.1				WP_160601093.1						
N21.HOG0000147	OG0000059	n20																																		WP_258555832.1				WP_258555521.1						
N21.HOG0000148	OG0000059	n35																																		WP_160585714.1				WP_160584939.1						
N21.HOG0000149	OG0000060	n11																																		WP_240536367.1				WP_240536367.1						
N21.HOG0000150	OG0000060	n21																																						WP_160584842.1						
N21.HOG0000151	OG0000061	n7																																		WP_146379613.1				WP_146379613.1						
N21.HOG0000152	OG0000062	n0																																		WP_011206522.1				WP_094521530.1						
N21.HOG0000153	OG0000063	n0																																		WP_160585761.1				WP_160584870.1						
N21.HOG0000154	OG0000064	n0																																		WP_011290440.1				WP_160584872.1						
N21.HOG0000155	OG0000065	n0																																		WP_225972975.1				WP_011290219.1						
N21.HOG0000156	OG0000066	n7																																		WP_011205965.1				WP_011205965.1						
N21.HOG0000157	OG0000067	n13																																		WP_160585740.1				WP_160585150.1						
N21.HOG0000158	OG0000068	n0																																		WP_011206103.1				WP_011206103.1						
N21.HOG0000159	OG0000069	n0																																		WP_011284269.1				WP_011284269.1						
N21.HOG0000160	OG0000070	n0																																		WP_146379657.1				WP_160585161.1						
N21.HOG0000161	OG0000071	n0																																		WP_160585831.1				WP_160585219.1						
N21.HOG0000162	OG0000072	n0																																		WP_371807682.1, WP_371807683.1				WP_160585221.1						
N21.HOG0000163	OG0000073	n0																																		WP_371807678.1				WP_160584799.1						
N21.HOG0000164	OG0000077	n0																																		WP_160585806.1				WP_146379479.1						
N21.HOG0000165	OG0000078	n3																																		WP_160585694.1				WP_160585058.1						
N21.HOG0000166	OG0000079	n0																																		WP_011206305.1				WP_011206305.1						
N21.HOG0000167	OG0000080	n0																																		WP_179695988.1				WP_280996592.1						
N21.HOG0000168	OG0000081	n0																																		WP_160585534.1				WP_160584758.1						
N21.HOG0000169	OG0000082	n9																																						WP_280996671.1						
N21.HOG0000170	OG0000082	n11																																		WP_371807680.1				WP_280996673.1						
N21.HOG0000171	OG0000083	n0																																		WP_160585593.1				WP_011206216.1						
N21.HOG0000172	OG0000084	n0																																		WP_011206222.1				WP_011284142.1						
N21.HOG0000173	OG0000085	n0																																		WP_011206223.1				WP_011206223.1						
N21.HOG0000174	OG0000086	n0																																		WP_160585778.1				WP_160585130.1						
