Orthogroup	MHP_116_genes	MHP_1257_genes
OG0000000	ABJ972_RS02145	ABKJ22_RS02210
OG0000000	ABJ972_RS02100	ABKJ22_RS02265, ABKJ22_RS02260, ABKJ22_RS02255
OG0000000	ABJ972_RS02080, ABJ972_RS02265, ABJ972_RS02270	ABKJ22_RS02090
OG0000000	ABJ972_RS01695	ABKJ22_RS01715
OG0000001	ABJ972_RS01265	ABKJ22_RS01295
OG0000001	ABJ972_RS02720	ABKJ22_RS01300
OG0000001	ABJ972_RS02675	ABKJ22_RS02690, ABKJ22_RS02685
OG0000002	ABJ972_RS02150	ABKJ22_RS02205
OG0000002	ABJ972_RS02105	ABKJ22_RS02250
OG0000002	ABJ972_RS01715	ABKJ22_RS01720
OG0000003	ABJ972_RS01815	ABKJ22_RS01825
OG0000004	ABJ972_RS03105, ABJ972_RS03100, ABJ972_RS03110, ABJ972_RS03120, ABJ972_RS02930, ABJ972_RS02945, ABJ972_RS02940	ABKJ22_RS02940
OG0000005	ABJ972_RS00100	ABKJ22_RS00095
OG0000005	ABJ972_RS00105	ABKJ22_RS00100
OG0000005	ABJ972_RS00110	ABKJ22_RS00105, ABKJ22_RS00120
OG0000006	ABJ972_RS02440	ABKJ22_RS02450
OG0000006	ABJ972_RS02305	ABKJ22_RS02310
OG0000006	ABJ972_RS02275	ABKJ22_RS02280
OG0000007	ABJ972_RS02135	ABKJ22_RS02220
OG0000007	ABJ972_RS02130	ABKJ22_RS02225
OG0000007	ABJ972_RS02125	ABKJ22_RS02230
OG0000008	ABJ972_RS02260	ABKJ22_RS02100
OG0000008	ABJ972_RS01615	ABKJ22_RS01635
OG0000008	ABJ972_RS02445	ABKJ22_RS02455
OG0000009	ABJ972_RS01005	ABKJ22_RS01035
OG0000009	ABJ972_RS00085	ABKJ22_RS00085
OG0000009	ABJ972_RS01180	ABKJ22_RS01210
OG0000009	ABJ972_RS00990	ABKJ22_RS01020
OG0000010	ABJ972_RS01825	ABKJ22_RS01835
OG0000011	ABJ972_RS01915	ABKJ22_RS01925
OG0000011	ABJ972_RS01910	ABKJ22_RS01920
OG0000012	ABJ972_RS01840	ABKJ22_RS01200
OG0000012	ABJ972_RS01170, ABJ972_RS01590, ABJ972_RS01805, ABJ972_RS01745	ABKJ22_RS03420
OG0000013	ABJ972_RS02350	ABKJ22_RS02355
OG0000013	ABJ972_RS00170	ABKJ22_RS00180
OG0000014	ABJ972_RS00580	ABKJ22_RS00595
OG0000014	ABJ972_RS01075	ABKJ22_RS01105
OG0000014	ABJ972_RS01065	ABKJ22_RS01095
OG0000015	ABJ972_RS01545	ABKJ22_RS01575
OG0000016	ABJ972_RS02765	ABKJ22_RS02785
OG0000016	ABJ972_RS00155	ABKJ22_RS00165
OG0000017	ABJ972_RS00140	ABKJ22_RS00150
OG0000017	ABJ972_RS02775	ABKJ22_RS02795
OG0000018	ABJ972_RS01310	ABKJ22_RS01340
OG0000019	ABJ972_RS02935	ABKJ22_RS02945
OG0000020	ABJ972_RS03450	ABKJ22_RS03435
OG0000020	ABJ972_RS03455	ABKJ22_RS03440
OG0000021	ABJ972_RS00490	ABKJ22_RS01740
OG0000021	ABJ972_RS00495	ABKJ22_RS00510
OG0000022	ABJ972_RS01635	ABKJ22_RS01655
OG0000022	ABJ972_RS01690	ABKJ22_RS01710
OG0000023	ABJ972_RS01305	ABKJ22_RS01335
OG0000024	ABJ972_RS02670	ABKJ22_RS02680
OG0000024	ABJ972_RS01260	ABKJ22_RS01290
OG0000025	ABJ972_RS01640	ABKJ22_RS01660
OG0000025	ABJ972_RS01685	ABKJ22_RS01705
OG0000026	ABJ972_RS01350	ABKJ22_RS01380
OG0000026	ABJ972_RS01665	ABKJ22_RS01685
OG0000027	ABJ972_RS03260	ABKJ22_RS03225
OG0000028	ABJ972_RS02360	ABKJ22_RS02365
OG0000029	ABJ972_RS00585	ABKJ22_RS00600
OG0000029	ABJ972_RS01060	ABKJ22_RS01090
OG0000030	ABJ972_RS03245	ABKJ22_RS03215
OG0000031	ABJ972_RS01580	ABKJ22_RS01605
OG0000032	ABJ972_RS01555	ABKJ22_RS01585
OG0000033	ABJ972_RS02355	ABKJ22_RS02360
OG0000036	ABJ972_RS00115	ABKJ22_RS00125
OG0000037	ABJ972_RS01560, ABJ972_RS01565	ABKJ22_RS01590
OG0000039	ABJ972_RS01595	ABKJ22_RS01615
OG0000040	ABJ972_RS03190	ABKJ22_RS03165
OG0000041	ABJ972_RS01000	ABKJ22_RS01030
OG0000042	ABJ972_RS02860	ABKJ22_RS02880
OG0000043	ABJ972_RS01880	ABKJ22_RS01890
OG0000044	ABJ972_RS01650	ABKJ22_RS01670
OG0000045	ABJ972_RS01600	ABKJ22_RS01620
OG0000048	ABJ972_RS02065	ABKJ22_RS02075
OG0000049	ABJ972_RS02960	ABKJ22_RS02955
OG0000050	ABJ972_RS02390	ABKJ22_RS02395
OG0000051	ABJ972_RS02590	ABKJ22_RS02600
OG0000052	ABJ972_RS00075	ABKJ22_RS00075
OG0000053	ABJ972_RS01435	ABKJ22_RS01465
OG0000054	ABJ972_RS02415	ABKJ22_RS02420
OG0000055	ABJ972_RS00120	ABKJ22_RS00130
OG0000056	ABJ972_RS03435	ABKJ22_RS03415
OG0000057	ABJ972_RS02845	ABKJ22_RS02865
OG0000061	ABJ972_RS01835	ABKJ22_RS01845
OG0000062	ABJ972_RS03485, ABJ972_RS03515	ABKJ22_RS03470
OG0000063	ABJ972_RS03510, ABJ972_RS03480	ABKJ22_RS03465
OG0000064	ABJ972_RS03470	ABKJ22_RS03455
OG0000065	ABJ972_RS02200	ABKJ22_RS02160
OG0000066	ABJ972_RS01340	ABKJ22_RS01370
OG0000067	ABJ972_RS00510	ABKJ22_RS00525
OG0000068	ABJ972_RS01025	ABKJ22_RS01055
OG0000069	ABJ972_RS02740	ABKJ22_RS02760
OG0000070	ABJ972_RS02420	ABKJ22_RS02425
OG0000071	ABJ972_RS03180	ABKJ22_RS03155
OG0000072	ABJ972_RS03185	ABKJ22_RS03160
OG0000073	ABJ972_RS00965	ABKJ22_RS00995
OG0000074	ABJ972_RS00765	ABKJ22_RS00800
