Orthogroup	MHP_116_genes	MHP_111A_genes
OG0000000	ABJ972_RS02100	NB623_RS01020
OG0000000	ABJ972_RS02095	NB623_RS01025
OG0000000	ABJ972_RS02265	NB623_RS02460
OG0000000	ABJ972_RS01695	NB623_RS01845, NB623_RS01850, NB623_RS01865
OG0000001	ABJ972_RS01270	NB623_RS01400
OG0000001	ABJ972_RS02675	NB623_RS02915, NB623_RS02910
OG0000002	ABJ972_RS02150	NB623_RS02345
OG0000002	ABJ972_RS02105	NB623_RS01015
OG0000003	ABJ972_RS01765	NB623_RS00495
OG0000003	ABJ972_RS00485	NB623_RS00505
OG0000003	ABJ972_RS01815	NB623_RS02255
OG0000004	ABJ972_RS03105	NB623_RS03360
OG0000004	ABJ972_RS03100	NB623_RS03350
OG0000004	ABJ972_RS03120	NB623_RS03365
OG0000004	ABJ972_RS02940	NB623_RS03180
OG0000005	ABJ972_RS00100	NB623_RS00105
OG0000005	ABJ972_RS00105	NB623_RS00110
OG0000005	ABJ972_RS00110	NB623_RS00115
OG0000006	ABJ972_RS02440	NB623_RS02650
OG0000006	ABJ972_RS02305	NB623_RS02495
OG0000006	ABJ972_RS02275	NB623_RS02465
OG0000007	ABJ972_RS02135	NB623_RS01045
OG0000007	ABJ972_RS02130	NB623_RS01050
OG0000007	ABJ972_RS02125	NB623_RS01060
OG0000008	ABJ972_RS02260	NB623_RS02455
OG0000008	ABJ972_RS01615	NB623_RS01760
OG0000008	ABJ972_RS02445	NB623_RS02665, NB623_RS02660
OG0000009	ABJ972_RS01005	NB623_RS00665
OG0000009	ABJ972_RS00085	NB623_RS00090
OG0000009	ABJ972_RS00990	NB623_RS00680
OG0000010	ABJ972_RS01825	NB623_RS02245
OG0000011	ABJ972_RS01915	NB623_RS02145
OG0000011	ABJ972_RS01910	NB623_RS02150
OG0000012	ABJ972_RS01840	NB623_RS02230
OG0000013	ABJ972_RS02350	NB623_RS02540
OG0000014	ABJ972_RS01075	NB623_RS01220
OG0000014	ABJ972_RS01065	NB623_RS00600
OG0000016	ABJ972_RS00155	NB623_RS00160
OG0000017	ABJ972_RS00140	NB623_RS00145
OG0000017	ABJ972_RS02775	NB623_RS03015
OG0000018	ABJ972_RS01310	NB623_RS01440, NB623_RS01950
OG0000019	ABJ972_RS02935	NB623_RS03175
OG0000020	ABJ972_RS03450	NB623_RS03740
OG0000020	ABJ972_RS03455	NB623_RS03745
OG0000021	ABJ972_RS00490, ABJ972_RS00495	NB623_RS02325
OG0000022	ABJ972_RS01635	NB623_RS01785
OG0000022	ABJ972_RS01690	NB623_RS01840
OG0000024	ABJ972_RS02670	NB623_RS02905
OG0000024	ABJ972_RS01260	NB623_RS01395
OG0000025	ABJ972_RS01640	NB623_RS01790
OG0000025	ABJ972_RS01685	NB623_RS01835
OG0000026	ABJ972_RS01350	NB623_RS01480
OG0000026	ABJ972_RS01665	NB623_RS01815
OG0000027	ABJ972_RS03260	NB623_RS03520
OG0000028	ABJ972_RS02360	NB623_RS02565, NB623_RS02570
OG0000029	ABJ972_RS00585	NB623_RS01215
OG0000029	ABJ972_RS01060	NB623_RS00605
OG0000030	ABJ972_RS03245	NB623_RS03510
OG0000032	ABJ972_RS01555	NB623_RS01690
OG0000033	ABJ972_RS02355	NB623_RS02545
OG0000035	ABJ972_RS03115	NB623_RS03355
OG0000037	ABJ972_RS01560	NB623_RS01700
OG0000039	ABJ972_RS01595	NB623_RS01730
OG0000040	ABJ972_RS03190	NB623_RS03445, NB623_RS03440, NB623_RS03435
OG0000041	ABJ972_RS01000	NB623_RS00670
OG0000042	ABJ972_RS02860	NB623_RS03100
OG0000043	ABJ972_RS01880	NB623_RS02180
OG0000044	ABJ972_RS01650	NB623_RS01800
OG0000045	ABJ972_RS01600	NB623_RS01740
OG0000046	ABJ972_RS03200	NB623_RS03460
OG0000048	ABJ972_RS02065	NB623_RS01920
OG0000049	ABJ972_RS02960	NB623_RS03205
OG0000050	ABJ972_RS02390	NB623_RS02600
OG0000051	ABJ972_RS02590	NB623_RS02820
OG0000052	ABJ972_RS00075	NB623_RS00080
OG0000053	ABJ972_RS01435	NB623_RS01570
OG0000054	ABJ972_RS02415	NB623_RS02625
OG0000055	ABJ972_RS00120	NB623_RS00125
OG0000056	ABJ972_RS03435	NB623_RS03725
OG0000057	ABJ972_RS02845	NB623_RS03085
OG0000061	ABJ972_RS01835	NB623_RS02235
OG0000062	ABJ972_RS03485, ABJ972_RS03515	NB623_RS03775
OG0000063	ABJ972_RS03510, ABJ972_RS03480	NB623_RS03770
OG0000064	ABJ972_RS03470	NB623_RS03760
OG0000065	ABJ972_RS02200	NB623_RS02390
OG0000066	ABJ972_RS01340	NB623_RS01470
OG0000068	ABJ972_RS01025	NB623_RS00640
OG0000069	ABJ972_RS02740	NB623_RS02980
OG0000070	ABJ972_RS02420	NB623_RS02630
OG0000071	ABJ972_RS03180	NB623_RS03425
OG0000072	ABJ972_RS03185	NB623_RS03430
OG0000073	ABJ972_RS00965	NB623_RS00710
OG0000074	ABJ972_RS00765	NB623_RS00910
OG0000075	ABJ972_RS00325	NB623_RS00330
OG0000076	ABJ972_RS00340	NB623_RS00345
OG0000077	ABJ972_RS00425	NB623_RS00430
OG0000078	ABJ972_RS01655	NB623_RS01805
OG0000079	ABJ972_RS02495	NB623_RS02720
OG0000080	ABJ972_RS02540	NB623_RS02770
OG0000081	ABJ972_RS00320	NB623_RS00325
OG0000083	ABJ972_RS01985	NB623_RS02075
OG0000084	ABJ972_RS02015	NB623_RS02045
OG0000085	ABJ972_RS02020	NB623_RS02040
OG0000086	ABJ972_RS02030	NB623_RS02030
OG0000087	ABJ972_RS02045	NB623_RS02015
OG0000088	ABJ972_RS02050	NB623_RS02010
OG0000089	ABJ972_RS02060	NB623_RS02000
OG0000090	ABJ972_RS00070	NB623_RS00070
OG0000091	ABJ972_RS00055	NB623_RS00055
