Orthogroup	MHP_116_genes	MFC_MF11_genes
OG0000000	ABJ972_RS02145	DR093_RS02920
OG0000000	ABJ972_RS02100	DR093_RS03030, DR093_RS03040
OG0000000	ABJ972_RS02095	DR093_RS03035
OG0000000	ABJ972_RS01695	DR093_RS03435, DR093_RS03440
OG0000001	ABJ972_RS01270, ABJ972_RS01265, ABJ972_RS02720, ABJ972_RS02675	DR093_RS00830, DR093_RS00825
OG0000002	ABJ972_RS02105	DR093_RS04025
OG0000002	ABJ972_RS01715	DR093_RS03845
OG0000004	ABJ972_RS02945, ABJ972_RS02940	DR093_RS01845
OG0000007	ABJ972_RS02135	DR093_RS02845
OG0000007	ABJ972_RS02130	DR093_RS02840
OG0000007	ABJ972_RS02125	DR093_RS02835
OG0000008	ABJ972_RS01615	DR093_RS03250
OG0000011	ABJ972_RS01915	DR093_RS03025
OG0000011	ABJ972_RS01910	DR093_RS03260
OG0000013	ABJ972_RS02350	DR093_RS01095, DR093_RS01090
OG0000013	ABJ972_RS00170	DR093_RS03220
OG0000014	ABJ972_RS00580, ABJ972_RS01075, ABJ972_RS01065	DR093_RS03805
OG0000016	ABJ972_RS02765	DR093_RS00770
OG0000016	ABJ972_RS00155	DR093_RS00190
OG0000017	ABJ972_RS00140	DR093_RS00175
OG0000017	ABJ972_RS02775	DR093_RS00760
OG0000018	ABJ972_RS01310	DR093_RS03935
OG0000019	ABJ972_RS02950	DR093_RS03265
OG0000020	ABJ972_RS03450	DR093_RS03835
OG0000020	ABJ972_RS03455	DR093_RS03830
OG0000022	ABJ972_RS01690	DR093_RS03840
OG0000023	ABJ972_RS01305	DR093_RS01985
OG0000024	ABJ972_RS02670, ABJ972_RS01260	DR093_RS00835
OG0000025	ABJ972_RS01685	DR093_RS01230
OG0000026	ABJ972_RS01350, ABJ972_RS01665	DR093_RS02030
OG0000027	ABJ972_RS03260	DR093_RS01425
OG0000029	ABJ972_RS00585, ABJ972_RS01060	DR093_RS00605
OG0000030	ABJ972_RS03245	DR093_RS03890
OG0000031	ABJ972_RS01580	DR093_RS02685
OG0000032	ABJ972_RS01555	DR093_RS01420
OG0000039	ABJ972_RS01595	DR093_RS00665
OG0000040	ABJ972_RS03190	DR093_RS02380, DR093_RS03230
OG0000042	ABJ972_RS02860	DR093_RS00660, DR093_RS03365, DR093_RS00810
OG0000043	ABJ972_RS01880	DR093_RS02660
OG0000045	ABJ972_RS01600	DR093_RS00670
OG0000048	ABJ972_RS02065	DR093_RS03685, DR093_RS03690
OG0000049	ABJ972_RS02960	DR093_RS03590
OG0000050	ABJ972_RS02390	DR093_RS04015
OG0000051	ABJ972_RS02590	DR093_RS01745
OG0000052	ABJ972_RS00075	DR093_RS00140
OG0000053	ABJ972_RS01435	DR093_RS03940
OG0000054	ABJ972_RS02415	DR093_RS01140
OG0000056	ABJ972_RS03435	DR093_RS01205
OG0000057	ABJ972_RS02845	DR093_RS00685
OG0000062	ABJ972_RS03485, ABJ972_RS03515	DR093_RS00025
OG0000063	ABJ972_RS03510, ABJ972_RS03480	DR093_RS03775
OG0000064	ABJ972_RS03470	DR093_RS00010
OG0000065	ABJ972_RS02200	DR093_RS01890
OG0000066	ABJ972_RS01340	DR093_RS02020
OG0000068	ABJ972_RS01025	DR093_RS00640
OG0000069	ABJ972_RS02740	DR093_RS00795
OG0000070	ABJ972_RS02420	DR093_RS01120
OG0000071	ABJ972_RS03180	DR093_RS02370
OG0000072	ABJ972_RS03185	DR093_RS03980
OG0000073	ABJ972_RS00965	DR093_RS02505
OG0000074	ABJ972_RS00765	DR093_RS03915
OG0000075	ABJ972_RS00325	DR093_RS00360
OG0000076	ABJ972_RS00340	DR093_RS00375
OG0000077	ABJ972_RS00425	DR093_RS00460
OG0000078	ABJ972_RS01655	DR093_RS00930
OG0000079	ABJ972_RS02495	DR093_RS01040
OG0000080	ABJ972_RS02540	DR093_RS03415
OG0000081	ABJ972_RS00320	DR093_RS00355
OG0000082	ABJ972_RS02345	DR093_RS01100
OG0000083	ABJ972_RS01985	DR093_RS02955
OG0000084	ABJ972_RS02015	DR093_RS02790
OG0000085	ABJ972_RS02020	DR093_RS02785
OG0000086	ABJ972_RS02030	DR093_RS04020
OG0000087	ABJ972_RS02045	DR093_RS02760
OG0000088	ABJ972_RS02050	DR093_RS02755
OG0000089	ABJ972_RS02060	DR093_RS02745
OG0000090	ABJ972_RS00070	DR093_RS00130
OG0000091	ABJ972_RS00055	DR093_RS00115
OG0000092	ABJ972_RS00040	DR093_RS00100
OG0000093	ABJ972_RS00035	DR093_RS00095
OG0000094	ABJ972_RS00030	DR093_RS04155
OG0000095	ABJ972_RS00005	DR093_RS00065
OG0000096	ABJ972_RS03550	DR093_RS00060
OG0000097	ABJ972_RS03530	DR093_RS00040
OG0000098	ABJ972_RS03520	DR093_RS00030
OG0000099	ABJ972_RS03440	DR093_RS01200
OG0000100	ABJ972_RS03425	DR093_RS01210
OG0000101	ABJ972_RS03420	DR093_RS01215
OG0000102	ABJ972_RS01680	DR093_RS01225
OG0000103	ABJ972_RS02165	DR093_RS01855
OG0000104	ABJ972_RS02170	DR093_RS01860
OG0000105	ABJ972_RS02185	DR093_RS01875
OG0000106	ABJ972_RS02195	DR093_RS01885
OG0000107	ABJ972_RS02205	DR093_RS01895
OG0000108	ABJ972_RS02210	DR093_RS01900
OG0000109	ABJ972_RS02215	DR093_RS01905
OG0000110	ABJ972_RS02335	DR093_RS01910
OG0000111	ABJ972_RS02330	DR093_RS01915
OG0000112	ABJ972_RS02320	DR093_RS01925
OG0000113	ABJ972_RS02300	DR093_RS03930
OG0000114	ABJ972_RS02290	DR093_RS01950
OG0000115	ABJ972_RS02280	DR093_RS01960
OG0000116	ABJ972_RS01285	DR093_RS01970
OG0000117	ABJ972_RS01290	DR093_RS01975
OG0000118	ABJ972_RS01325	DR093_RS02005
OG0000119	ABJ972_RS01330	DR093_RS02010
OG0000120	ABJ972_RS01345	DR093_RS02025
OG0000121	ABJ972_RS01370	DR093_RS02050
OG0000122	ABJ972_RS01375	DR093_RS02055
OG0000123	ABJ972_RS01395	DR093_RS02075
OG0000124	ABJ972_RS01400	DR093_RS02080
OG0000125	ABJ972_RS01405	DR093_RS02085
OG0000126	ABJ972_RS01415	DR093_RS02095
OG0000127	ABJ972_RS01425	DR093_RS02105
OG0000128	ABJ972_RS01440	DR093_RS02120
OG0000129	ABJ972_RS01445	DR093_RS02125
OG0000130	ABJ972_RS01455	DR093_RS02135
OG0000131	ABJ972_RS01485	DR093_RS02165
OG0000132	ABJ972_RS01500	DR093_RS03945
OG0000133	ABJ972_RS00515	DR093_RS00535
OG0000134	ABJ972_RS00520	DR093_RS03795
OG0000135	ABJ972_RS00535	DR093_RS00555
OG0000136	ABJ972_RS00540	DR093_RS00560
OG0000137	ABJ972_RS00570	DR093_RS00590
OG0000138	ABJ972_RS01050	DR093_RS00615
OG0000139	ABJ972_RS01020	DR093_RS00645
OG0000140	ABJ972_RS01015	DR093_RS00650
OG0000141	ABJ972_RS02855	DR093_RS00675
OG0000142	ABJ972_RS02850	DR093_RS03810
OG0000143	ABJ972_RS02830	DR093_RS00705
OG0000144	ABJ972_RS02820	DR093_RS00715
OG0000145	ABJ972_RS02810	DR093_RS00725
OG0000146	ABJ972_RS02800	DR093_RS00735
OG0000147	ABJ972_RS02795	DR093_RS00740
OG0000148	ABJ972_RS02780	DR093_RS00755
OG0000149	ABJ972_RS02770	DR093_RS00765
OG0000150	ABJ972_RS02755	DR093_RS00780
OG0000151	ABJ972_RS02705	DR093_RS00845
OG0000152	ABJ972_RS02700	DR093_RS00850
OG0000153	ABJ972_RS02695	DR093_RS00855
OG0000154	ABJ972_RS02685	DR093_RS00865
OG0000155	ABJ972_RS02650	DR093_RS00885
OG0000156	ABJ972_RS02645	DR093_RS00905
OG0000157	ABJ972_RS02635	DR093_RS03815
OG0000158	ABJ972_RS02625	DR093_RS03820
OG0000159	ABJ972_RS02405	DR093_RS01150
OG0000160	ABJ972_RS02400	DR093_RS01155
OG0000161	ABJ972_RS02395	DR093_RS01165
OG0000162	ABJ972_RS02385	DR093_RS02715
OG0000163	ABJ972_RS02380	DR093_RS02710
OG0000164	ABJ972_RS01585	DR093_RS04010
OG0000165	ABJ972_RS01905	DR093_RS02995
OG0000166	ABJ972_RS01925	DR093_RS02980
OG0000167	ABJ972_RS01940	DR093_RS02890
OG0000168	ABJ972_RS01945	DR093_RS02895
OG0000169	ABJ972_RS02955	DR093_RS02185
OG0000170	ABJ972_RS02970	DR093_RS02200
OG0000171	ABJ972_RS02980	DR093_RS02210
OG0000172	ABJ972_RS02985	DR093_RS02215
OG0000173	ABJ972_RS02990	DR093_RS02220
OG0000174	ABJ972_RS02995	DR093_RS02225
OG0000175	ABJ972_RS03010	DR093_RS02240
OG0000176	ABJ972_RS03055	DR093_RS02280
OG0000177	ABJ972_RS03060	DR093_RS02285
OG0000178	ABJ972_RS03065	DR093_RS02290
OG0000179	ABJ972_RS03075	DR093_RS02300
OG0000180	ABJ972_RS03080	DR093_RS02305
OG0000181	ABJ972_RS03130	DR093_RS03965
OG0000182	ABJ972_RS03140	DR093_RS02330
OG0000183	ABJ972_RS03175	DR093_RS02365
OG0000184	ABJ972_RS03220	DR093_RS02865
OG0000185	ABJ972_RS03205	DR093_RS02880
OG0000186	ABJ972_RS01510	DR093_RS02615
OG0000187	ABJ972_RS01525	DR093_RS02600
OG0000188	ABJ972_RS01535	DR093_RS02590
OG0000189	ABJ972_RS02250	DR093_RS04000
OG0000190	ABJ972_RS02245	DR093_RS02575
OG0000191	ABJ972_RS02225	DR093_RS02555
OG0000192	ABJ972_RS01205	DR093_RS02545
OG0000193	ABJ972_RS01195	DR093_RS02530
OG0000194	ABJ972_RS00980	DR093_RS02520
OG0000195	ABJ972_RS00975	DR093_RS02515
OG0000196	ABJ972_RS00955	DR093_RS03995
OG0000197	ABJ972_RS00950	DR093_RS02490
OG0000198	ABJ972_RS00930	DR093_RS02475
OG0000199	ABJ972_RS00925	DR093_RS02470
OG0000200	ABJ972_RS00910	DR093_RS02455
OG0000201	ABJ972_RS00900	DR093_RS02445
OG0000202	ABJ972_RS00845	DR093_RS02390
OG0000203	ABJ972_RS00840	DR093_RS02385
OG0000204	ABJ972_RS00835	DR093_RS03900
OG0000205	ABJ972_RS00830	DR093_RS01450
OG0000206	ABJ972_RS00810	DR093_RS01470
OG0000207	ABJ972_RS00795	DR093_RS01485
OG0000208	ABJ972_RS00790	DR093_RS01490
OG0000209	ABJ972_RS00785	DR093_RS01495
OG0000210	ABJ972_RS00740	DR093_RS01540
OG0000211	ABJ972_RS00730	DR093_RS01550
OG0000212	ABJ972_RS00720	DR093_RS01560
OG0000213	ABJ972_RS00715	DR093_RS01565
OG0000214	ABJ972_RS00710	DR093_RS01570
OG0000215	ABJ972_RS00705	DR093_RS01575
OG0000216	ABJ972_RS00700	DR093_RS01580
OG0000217	ABJ972_RS00695	DR093_RS01585
OG0000218	ABJ972_RS00685	DR093_RS03920
OG0000219	ABJ972_RS00680	DR093_RS01600
OG0000220	ABJ972_RS00675	DR093_RS01605
OG0000221	ABJ972_RS00670	DR093_RS01610
OG0000222	ABJ972_RS00665	DR093_RS01615
OG0000223	ABJ972_RS00660	DR093_RS01620
OG0000224	ABJ972_RS00650	DR093_RS01630
OG0000225	ABJ972_RS00640	DR093_RS01640
