Orthogroup	MHP_116_genes	MHP_UFV01_genes
OG0000000	ABJ972_RS02145	FEF30_RS02570
OG0000000	ABJ972_RS02100	FEF30_RS02505, FEF30_RS02500
OG0000000	ABJ972_RS02080	FEF30_RS02495
OG0000000	ABJ972_RS02265	FEF30_RS02690
OG0000000	ABJ972_RS02270	FEF30_RS02695
OG0000000	ABJ972_RS01695	FEF30_RS02035
OG0000001	ABJ972_RS01270	FEF30_RS01595
OG0000001	ABJ972_RS01265	FEF30_RS01590
OG0000001	ABJ972_RS02675	FEF30_RS03130, FEF30_RS03125
OG0000002	ABJ972_RS02150	FEF30_RS02580
OG0000002	ABJ972_RS02105	FEF30_RS04340
OG0000002	ABJ972_RS01715	FEF30_RS04295
OG0000004	ABJ972_RS03105	FEF30_RS03540
OG0000004	ABJ972_RS03120	FEF30_RS03550
OG0000005	ABJ972_RS00100	FEF30_RS00415
OG0000005	ABJ972_RS00105	FEF30_RS04180
OG0000005	ABJ972_RS00110	FEF30_RS00425, FEF30_RS04185
OG0000006	ABJ972_RS02275	FEF30_RS02700
OG0000007	ABJ972_RS02135	FEF30_RS02555
OG0000007	ABJ972_RS02130	FEF30_RS02545
OG0000007	ABJ972_RS02125	FEF30_RS02540
OG0000008	ABJ972_RS02260	FEF30_RS02685
OG0000008	ABJ972_RS01615	FEF30_RS01955
OG0000008	ABJ972_RS02445	FEF30_RS02885
OG0000009	ABJ972_RS01005	FEF30_RS00980
OG0000009	ABJ972_RS01180	FEF30_RS01500
OG0000009	ABJ972_RS00990	FEF30_RS00990
OG0000010	ABJ972_RS01825	FEF30_RS02240
OG0000011	ABJ972_RS01915	FEF30_RS02330
OG0000011	ABJ972_RS01910	FEF30_RS02325
OG0000013	ABJ972_RS02350	FEF30_RS02775
OG0000013	ABJ972_RS00170	FEF30_RS00500
OG0000014	ABJ972_RS00580	FEF30_RS00910
OG0000014	ABJ972_RS01075	FEF30_RS01400
OG0000014	ABJ972_RS01065	FEF30_RS04210
OG0000016	ABJ972_RS02765	FEF30_RS03220
OG0000016	ABJ972_RS00155	FEF30_RS00485
OG0000017	ABJ972_RS00140	FEF30_RS00470
OG0000017	ABJ972_RS02775	FEF30_RS03230
OG0000018	ABJ972_RS01310	FEF30_RS04255, FEF30_RS02065, FEF30_RS02070
OG0000020	ABJ972_RS03450	FEF30_RS00265
OG0000020	ABJ972_RS03455	FEF30_RS03755
OG0000021	ABJ972_RS01720	FEF30_RS02170
OG0000022	ABJ972_RS01635	FEF30_RS01975
OG0000022	ABJ972_RS01690	FEF30_RS04290
OG0000023	ABJ972_RS01305	FEF30_RS01630
OG0000024	ABJ972_RS02670	FEF30_RS03120
OG0000024	ABJ972_RS01260	FEF30_RS01585
OG0000025	ABJ972_RS01640	FEF30_RS04285
OG0000025	ABJ972_RS01685	FEF30_RS02025
OG0000026	ABJ972_RS01350	FEF30_RS01680
OG0000026	ABJ972_RS01665	FEF30_RS02005
OG0000027	ABJ972_RS03260	FEF30_RS00060
OG0000029	ABJ972_RS00585	FEF30_RS01390
OG0000029	ABJ972_RS01060	FEF30_RS00925
OG0000030	ABJ972_RS03245	FEF30_RS04110
OG0000035	ABJ972_RS03115	FEF30_RS03545
OG0000036	ABJ972_RS00115	FEF30_RS00445
OG0000039	ABJ972_RS01595	FEF30_RS01930
OG0000040	ABJ972_RS03190	FEF30_RS03620
OG0000041	ABJ972_RS01000	FEF30_RS00985
OG0000042	ABJ972_RS02860	FEF30_RS03315
OG0000043	ABJ972_RS01880	FEF30_RS02295, FEF30_RS02105
OG0000044	ABJ972_RS01650	FEF30_RS04460
OG0000045	ABJ972_RS01600	FEF30_RS01935, FEF30_RS01940
OG0000046	ABJ972_RS03200	FEF30_RS04495
OG0000048	ABJ972_RS02065	FEF30_RS02480
OG0000049	ABJ972_RS02960	FEF30_RS03400
OG0000050	ABJ972_RS02390	FEF30_RS02820
OG0000051	ABJ972_RS02590	FEF30_RS03030
OG0000052	ABJ972_RS00075	FEF30_RS00405
OG0000053	ABJ972_RS01435	FEF30_RS04260
OG0000054	ABJ972_RS02415	FEF30_RS02845
OG0000055	ABJ972_RS00120	FEF30_RS00450
OG0000056	ABJ972_RS03435	FEF30_RS00250
OG0000057	ABJ972_RS02845	FEF30_RS03300
OG0000060	ABJ972_RS01185	FEF30_RS01505
OG0000061	ABJ972_RS01835	FEF30_RS01900
OG0000062	ABJ972_RS03485, ABJ972_RS03515	FEF30_RS00295
OG0000063	ABJ972_RS03510, ABJ972_RS03480	FEF30_RS04165
OG0000064	ABJ972_RS03470	FEF30_RS00280
OG0000065	ABJ972_RS02200	FEF30_RS02625
OG0000066	ABJ972_RS01340	FEF30_RS01670
OG0000067	ABJ972_RS00510	FEF30_RS00835
OG0000068	ABJ972_RS01025	FEF30_RS00960
OG0000069	ABJ972_RS02740	FEF30_RS03195
OG0000070	ABJ972_RS02420	FEF30_RS02850
OG0000071	ABJ972_RS03180	FEF30_RS03610
OG0000072	ABJ972_RS03185	FEF30_RS04405
OG0000073	ABJ972_RS00965	FEF30_RS01015
OG0000074	ABJ972_RS00765	FEF30_RS04230
OG0000075	ABJ972_RS00325	FEF30_RS00655
OG0000076	ABJ972_RS00340	FEF30_RS00670
OG0000077	ABJ972_RS00425	FEF30_RS00755
OG0000078	ABJ972_RS01655	FEF30_RS01995
OG0000079	ABJ972_RS02495	FEF30_RS02935
OG0000080	ABJ972_RS02540	FEF30_RS02980
OG0000081	ABJ972_RS00320	FEF30_RS00650
OG0000082	ABJ972_RS02345	FEF30_RS02770
OG0000083	ABJ972_RS01985	FEF30_RS02400
OG0000084	ABJ972_RS02015	FEF30_RS02430
OG0000085	ABJ972_RS02020	FEF30_RS02435
OG0000086	ABJ972_RS02030	FEF30_RS02445
OG0000087	ABJ972_RS02045	FEF30_RS02460
OG0000088	ABJ972_RS02050	FEF30_RS02465
OG0000089	ABJ972_RS02060	FEF30_RS02475
OG0000090	ABJ972_RS00070	FEF30_RS00400
OG0000091	ABJ972_RS00055	FEF30_RS00385
OG0000092	ABJ972_RS00040	FEF30_RS00370
OG0000093	ABJ972_RS00035	FEF30_RS00365
OG0000094	ABJ972_RS00030	FEF30_RS00360
OG0000095	ABJ972_RS00005	FEF30_RS00335
OG0000096	ABJ972_RS03550	FEF30_RS00330
OG0000097	ABJ972_RS03530	FEF30_RS00310
OG0000098	ABJ972_RS03520	FEF30_RS00300
OG0000099	ABJ972_RS03440	FEF30_RS04160
OG0000100	ABJ972_RS03425	FEF30_RS00240
OG0000101	ABJ972_RS03420	FEF30_RS00235
OG0000102	ABJ972_RS01680	FEF30_RS02020
OG0000103	ABJ972_RS02165	FEF30_RS02590
OG0000104	ABJ972_RS02170	FEF30_RS02595
OG0000105	ABJ972_RS02185	FEF30_RS02610
OG0000106	ABJ972_RS02195	FEF30_RS02620
OG0000107	ABJ972_RS02205	FEF30_RS02630
OG0000108	ABJ972_RS02210	FEF30_RS02635
OG0000109	ABJ972_RS02215	FEF30_RS02640
OG0000110	ABJ972_RS02335	FEF30_RS02760
OG0000111	ABJ972_RS02330	FEF30_RS02755
OG0000112	ABJ972_RS02320	FEF30_RS02745
OG0000113	ABJ972_RS02300	FEF30_RS02725
OG0000114	ABJ972_RS02290	FEF30_RS02715
OG0000115	ABJ972_RS02280	FEF30_RS02705
OG0000116	ABJ972_RS01285	FEF30_RS01610
OG0000117	ABJ972_RS01290	FEF30_RS01615
OG0000118	ABJ972_RS01325	FEF30_RS01650
OG0000119	ABJ972_RS01330	FEF30_RS01655
OG0000120	ABJ972_RS01345	FEF30_RS01675
OG0000121	ABJ972_RS01370	FEF30_RS01700
OG0000122	ABJ972_RS01375	FEF30_RS01705
OG0000123	ABJ972_RS01395	FEF30_RS01725
OG0000124	ABJ972_RS01400	FEF30_RS01730
OG0000125	ABJ972_RS01405	FEF30_RS01735
OG0000126	ABJ972_RS01415	FEF30_RS01745
OG0000127	ABJ972_RS01425	FEF30_RS01755
OG0000128	ABJ972_RS01440	FEF30_RS01770
OG0000129	ABJ972_RS01445	FEF30_RS01775
OG0000130	ABJ972_RS01455	FEF30_RS01785
OG0000131	ABJ972_RS01485	FEF30_RS04265
OG0000132	ABJ972_RS01500	FEF30_RS04270
OG0000133	ABJ972_RS00515	FEF30_RS00840
OG0000134	ABJ972_RS00520	FEF30_RS00845
OG0000135	ABJ972_RS00535	FEF30_RS00860
OG0000136	ABJ972_RS00540	FEF30_RS00865
OG0000137	ABJ972_RS00570	FEF30_RS00905
OG0000138	ABJ972_RS01050	FEF30_RS00935
OG0000139	ABJ972_RS01020	FEF30_RS00965
OG0000140	ABJ972_RS01015	FEF30_RS00970
OG0000141	ABJ972_RS02855	FEF30_RS03310
OG0000142	ABJ972_RS02850	FEF30_RS04385
OG0000143	ABJ972_RS02830	FEF30_RS03285
OG0000144	ABJ972_RS02820	FEF30_RS03275
OG0000145	ABJ972_RS02810	FEF30_RS03265
OG0000146	ABJ972_RS02800	FEF30_RS03255
OG0000147	ABJ972_RS02795	FEF30_RS03250
OG0000148	ABJ972_RS02780	FEF30_RS03235
OG0000149	ABJ972_RS02770	FEF30_RS03225
OG0000150	ABJ972_RS02755	FEF30_RS03210
OG0000151	ABJ972_RS02705	FEF30_RS03160
OG0000152	ABJ972_RS02700	FEF30_RS03155
OG0000153	ABJ972_RS02695	FEF30_RS03150
OG0000154	ABJ972_RS02685	FEF30_RS03140
OG0000155	ABJ972_RS02650	FEF30_RS03100
OG0000156	ABJ972_RS02645	FEF30_RS03090
OG0000157	ABJ972_RS02635	FEF30_RS04375
OG0000158	ABJ972_RS02625	FEF30_RS04370
OG0000159	ABJ972_RS02405	FEF30_RS02835
OG0000160	ABJ972_RS02400	FEF30_RS02830
OG0000161	ABJ972_RS02395	FEF30_RS02825
OG0000162	ABJ972_RS02385	FEF30_RS02815
OG0000163	ABJ972_RS02380	FEF30_RS02810
OG0000164	ABJ972_RS01585	FEF30_RS01925
OG0000165	ABJ972_RS01905	FEF30_RS02320
OG0000166	ABJ972_RS01925	FEF30_RS02340
OG0000167	ABJ972_RS01940	FEF30_RS02355
OG0000168	ABJ972_RS01945	FEF30_RS02360
OG0000169	ABJ972_RS02955	FEF30_RS03395
OG0000170	ABJ972_RS02970	FEF30_RS04475
OG0000171	ABJ972_RS02980	FEF30_RS03420
OG0000172	ABJ972_RS02985	FEF30_RS03425
OG0000173	ABJ972_RS02990	FEF30_RS03430
OG0000174	ABJ972_RS02995	FEF30_RS03435
OG0000175	ABJ972_RS03010	FEF30_RS03450
OG0000176	ABJ972_RS03055	FEF30_RS03495
OG0000177	ABJ972_RS03060	FEF30_RS03500
OG0000178	ABJ972_RS03065	FEF30_RS03505
OG0000179	ABJ972_RS03075	FEF30_RS03515
OG0000180	ABJ972_RS03080	FEF30_RS03520
OG0000181	ABJ972_RS03130	FEF30_RS04395
OG0000182	ABJ972_RS03140	FEF30_RS03570
OG0000183	ABJ972_RS03175	FEF30_RS03605
OG0000184	ABJ972_RS03220	FEF30_RS00025
OG0000185	ABJ972_RS03205	FEF30_RS00010
OG0000186	ABJ972_RS01510	FEF30_RS04275
OG0000187	ABJ972_RS01525	FEF30_RS01855
OG0000188	ABJ972_RS01535	FEF30_RS01865
OG0000189	ABJ972_RS02250	FEF30_RS04355
OG0000190	ABJ972_RS02245	FEF30_RS02670
OG0000191	ABJ972_RS02225	FEF30_RS02650
OG0000192	ABJ972_RS01205	FEF30_RS01530
OG0000193	ABJ972_RS01195	FEF30_RS01515
OG0000194	ABJ972_RS00980	FEF30_RS01000
OG0000195	ABJ972_RS00975	FEF30_RS01005
OG0000196	ABJ972_RS00955	FEF30_RS01025
OG0000197	ABJ972_RS00950	FEF30_RS01030
OG0000198	ABJ972_RS00930	FEF30_RS01045
OG0000199	ABJ972_RS00925	FEF30_RS01050
OG0000200	ABJ972_RS00910	FEF30_RS01065
OG0000201	ABJ972_RS00900	FEF30_RS01075
OG0000202	ABJ972_RS00845	FEF30_RS01130
OG0000203	ABJ972_RS00840	FEF30_RS01135
OG0000204	ABJ972_RS00835	FEF30_RS01140
OG0000205	ABJ972_RS00830	FEF30_RS01145
OG0000206	ABJ972_RS00810	FEF30_RS01165
OG0000207	ABJ972_RS00795	FEF30_RS01180
OG0000208	ABJ972_RS00790	FEF30_RS01185
OG0000209	ABJ972_RS00785	FEF30_RS01190
OG0000210	ABJ972_RS00740	FEF30_RS01235
OG0000211	ABJ972_RS00730	FEF30_RS01245
OG0000212	ABJ972_RS00720	FEF30_RS01255
OG0000213	ABJ972_RS00715	FEF30_RS01260
OG0000214	ABJ972_RS00710	FEF30_RS01265
OG0000215	ABJ972_RS00705	FEF30_RS01270
OG0000216	ABJ972_RS00700	FEF30_RS01275
OG0000217	ABJ972_RS00695	FEF30_RS01280
OG0000218	ABJ972_RS00685	FEF30_RS01290
OG0000219	ABJ972_RS00680	FEF30_RS01295
OG0000220	ABJ972_RS00675	FEF30_RS01300
OG0000221	ABJ972_RS00670	FEF30_RS01305
OG0000222	ABJ972_RS00665	FEF30_RS01310
OG0000223	ABJ972_RS00660	FEF30_RS01315
OG0000224	ABJ972_RS00650	FEF30_RS01325
OG0000225	ABJ972_RS00640	FEF30_RS01335
OG0000226	ABJ972_RS00635	FEF30_RS01340
OG0000227	ABJ972_RS00630	FEF30_RS01345
OG0000228	ABJ972_RS00625	FEF30_RS04410
OG0000229	ABJ972_RS00620	FEF30_RS01355
OG0000230	ABJ972_RS00615	FEF30_RS01360
OG0000231	ABJ972_RS00605	FEF30_RS01370
OG0000232	ABJ972_RS00595	FEF30_RS01380
OG0000233	ABJ972_RS01080	FEF30_RS01405
OG0000234	ABJ972_RS01115	FEF30_RS01440
OG0000235	ABJ972_RS01125	FEF30_RS01450
OG0000236	ABJ972_RS01130	FEF30_RS01455
OG0000237	ABJ972_RS01135	FEF30_RS01460
OG0000238	ABJ972_RS01140	FEF30_RS01465
OG0000239	ABJ972_RS02865	FEF30_RS03320
OG0000240	ABJ972_RS02870	FEF30_RS03325
OG0000241	ABJ972_RS02880	FEF30_RS03335
OG0000242	ABJ972_RS02885	FEF30_RS03340
OG0000243	ABJ972_RS02890	FEF30_RS03345
OG0000244	ABJ972_RS02900	FEF30_RS03355
OG0000245	ABJ972_RS02910	FEF30_RS03365
OG0000246	ABJ972_RS00125	FEF30_RS00455
OG0000247	ABJ972_RS00135	FEF30_RS00465
OG0000248	ABJ972_RS00145	FEF30_RS00475
OG0000249	ABJ972_RS00150	FEF30_RS03675, FEF30_RS00480
OG0000250	ABJ972_RS00165	FEF30_RS00495
OG0000251	ABJ972_RS00195	FEF30_RS00525
OG0000252	ABJ972_RS00205	FEF30_RS00535
OG0000253	ABJ972_RS00210	FEF30_RS00540
OG0000254	ABJ972_RS00220	FEF30_RS00550
OG0000255	ABJ972_RS00225	FEF30_RS00555
OG0000256	ABJ972_RS00230	FEF30_RS00560
OG0000257	ABJ972_RS00255	FEF30_RS00585
OG0000258	ABJ972_RS00265	FEF30_RS00595
OG0000259	ABJ972_RS00295	FEF30_RS00625
OG0000260	ABJ972_RS00305	FEF30_RS00635
OG0000261	ABJ972_RS00315	FEF30_RS04195
OG0000262	ABJ972_RS00330	FEF30_RS00660
OG0000263	ABJ972_RS00345	FEF30_RS00675
OG0000264	ABJ972_RS00360	FEF30_RS00690
OG0000265	ABJ972_RS00370	FEF30_RS00700
OG0000266	ABJ972_RS00385	FEF30_RS00715
OG0000267	ABJ972_RS00400	FEF30_RS00730
OG0000268	ABJ972_RS00405	FEF30_RS00735
OG0000269	ABJ972_RS00420	FEF30_RS00750
OG0000270	ABJ972_RS03395	FEF30_RS04155
OG0000271	ABJ972_RS03390	FEF30_RS00205
OG0000272	ABJ972_RS03385	FEF30_RS00200
OG0000273	ABJ972_RS03380	FEF30_RS00195
OG0000274	ABJ972_RS03360	FEF30_RS00175
OG0000275	ABJ972_RS03355	FEF30_RS04145
OG0000276	ABJ972_RS03350	FEF30_RS00165
OG0000277	ABJ972_RS03340	FEF30_RS00155
OG0000278	ABJ972_RS03335	FEF30_RS00150
OG0000279	ABJ972_RS03325	FEF30_RS00140
OG0000280	ABJ972_RS03320	FEF30_RS00135
OG0000281	ABJ972_RS03315	FEF30_RS00130
OG0000282	ABJ972_RS03290	FEF30_RS04135
OG0000283	ABJ972_RS03285	FEF30_RS00100
OG0000284	ABJ972_RS03280	FEF30_RS00095
OG0000285	ABJ972_RS03275	FEF30_RS04130
OG0000286	ABJ972_RS02365	FEF30_RS02795
OG0000287	ABJ972_RS02455	FEF30_RS02895
OG0000288	ABJ972_RS02465	FEF30_RS02905
OG0000289	ABJ972_RS02470	FEF30_RS02910
OG0000290	ABJ972_RS02580	FEF30_RS03020
OG0000291	ABJ972_RS02570	FEF30_RS03010
OG0000292	ABJ972_RS02565	FEF30_RS03005
OG0000293	ABJ972_RS02560	FEF30_RS03000
OG0000294	ABJ972_RS02550	FEF30_RS02990
OG0000295	ABJ972_RS02545	FEF30_RS02985
OG0000296	ABJ972_RS02505	FEF30_RS02945
OG0000297	ABJ972_RS02500	FEF30_RS02940
OG0000298	ABJ972_RS00160	FEF30_RS00490
OG0000299	ABJ972_RS00180	FEF30_RS00510
OG0000300	ABJ972_RS00355	FEF30_RS00685
OG0000301	ABJ972_RS00390	FEF30_RS00720
OG0000302	ABJ972_RS00395	FEF30_RS00725
OG0000303	ABJ972_RS00545	FEF30_RS00870
OG0000304	ABJ972_RS00590	FEF30_RS01385
OG0000305	ABJ972_RS02805	FEF30_RS03260
OG0000306	ABJ972_RS02730	FEF30_RS03185
OG0000307	ABJ972_RS02690	FEF30_RS03145
OG0000308	ABJ972_RS02600	FEF30_RS03040
OG0000309	ABJ972_RS02535	FEF30_RS02975
OG0000310	ABJ972_RS02460	FEF30_RS02900
OG0000311	ABJ972_RS02425	FEF30_RS02855
OG0000312	ABJ972_RS02410	FEF30_RS02840
OG0000313	ABJ972_RS01575	FEF30_RS01915
OG0000314	ABJ972_RS01920	FEF30_RS02335
OG0000315	ABJ972_RS01950	FEF30_RS02365
OG0000316	ABJ972_RS01960	FEF30_RS02375
OG0000317	ABJ972_RS02055	FEF30_RS02470
OG0000318	ABJ972_RS01965	FEF30_RS04320
OG0000319	ABJ972_RS02180	FEF30_RS02605
OG0000320	ABJ972_RS02310	FEF30_RS02735
OG0000321	ABJ972_RS01320	FEF30_RS01645
OG0000322	ABJ972_RS01365	FEF30_RS01695
OG0000323	ABJ972_RS01495	FEF30_RS01825
OG0000324	ABJ972_RS02220	FEF30_RS02645
OG0000325	ABJ972_RS00970	FEF30_RS01010
OG0000326	ABJ972_RS00870	FEF30_RS01105
OG0000327	ABJ972_RS00865	FEF30_RS01110
OG0000328	ABJ972_RS00780	FEF30_RS01195
OG0000329	ABJ972_RS00760	FEF30_RS01215
OG0000330	ABJ972_RS01090	FEF30_RS01415
OG0000331	ABJ972_RS02895	FEF30_RS03350
OG0000332	ABJ972_RS03020	FEF30_RS03460
OG0000333	ABJ972_RS03030	FEF30_RS03470
