HOG	OG	Gene Tree Parent Clade	MFC_ATCC27716_proteins	MFC_MF11_proteins	MFC_MF18_proteins	MFC_MF22_proteins	MFC_MF29_proteins	MFC_MF30_proteins	MFC_MF33_proteins	MFC_Ms42_proteins	MHP_111A_proteins	MHP_112B_proteins	MHP_116_proteins	MHP_11_proteins	MHP_1257_proteins	MHP_131B_proteins	MHP_133A_proteins	MHP_153B_proteins	MHP_154B_proteins	MHP_168L_proteins	MHP_168_proteins	MHP_232_proteins	MHP_4284_proteins	MHP_7422_proteins	MHP_7448_proteins	MHP_98_proteins	MHP_ES2L_proteins	MHP_ES2_proteins	MHP_F72C_proteins	MHP_J_proteins	MHP_KM014_proteins	MHP_LH_proteins	MHP_MHP650_proteins	MHP_MHP653_proteins	MHP_MHP679_proteins	MHP_MHP682_proteins	MHP_MHP691_proteins	MHP_MHP694_proteins	MHP_MHP696_proteins	MHP_MHP699_proteins	MHP_MHP709_proteins	MHP_NCTC10127_proteins	MHP_TB1_proteins	MHP_UFV01_proteins	MHP_UFV02_proteins	MHP_Ue273_proteins
N12.HOG0000000	OG0000000	n2																											WP_318026087.1																	WP_347952487.1
N12.HOG0000001	OG0000000	n58																											WP_225973043.1																	
N12.HOG0000002	OG0000000	n125																											WP_225973023.1																	
N12.HOG0000003	OG0000000	n154																											WP_225973044.1																	
N12.HOG0000004	OG0000000	n177																											WP_225973024.1																	
N12.HOG0000005	OG0000000	n199																																												WP_347952213.1
N12.HOG0000006	OG0000000	n203																											WP_225973037.1																	WP_347952221.1
N12.HOG0000007	OG0000000	n217																											WP_225973050.1																	
N12.HOG0000008	OG0000000	n239																											WP_225972977.1																	
N12.HOG0000009	OG0000000	n283																																												WP_347952456.1
N12.HOG0000010	OG0000000	n317																											WP_146379582.1																	WP_347952486.1
N12.HOG0000011	OG0000001	n31																																												WP_347952413.1
N12.HOG0000012	OG0000001	n50																											WP_225973029.1																	
N12.HOG0000013	OG0000001	n57																											WP_225972995.1																	WP_347952263.1
N12.HOG0000014	OG0000001	n91																											WP_225972992.1																	
N12.HOG0000015	OG0000001	n97																											WP_225972991.1																	
N12.HOG0000016	OG0000002	n16																											WP_225972974.1																	WP_020835748.1
N12.HOG0000017	OG0000002	n32																																												WP_011206235.1
N12.HOG0000018	OG0000002	n38																											WP_146379587.1																	
N12.HOG0000019	OG0000002	n64																											WP_225973021.1, WP_225973022.1																	
N12.HOG0000020	OG0000002	n95																											WP_146379583.1																	WP_347952457.1
N12.HOG0000021	OG0000003	n42																																												WP_347952470.1
N12.HOG0000022	OG0000003	n56																											WP_146379620.1																	
N12.HOG0000023	OG0000003	n59																											WP_146379482.1																	
N12.HOG0000024	OG0000003	n65																											WP_225973018.1																	WP_347952393.1
N12.HOG0000025	OG0000003	n77																											WP_225973019.1																	
N12.HOG0000026	OG0000003	n92																											WP_225973026.1																	
N12.HOG0000027	OG0000003	n93																											WP_225973025.1																	
N12.HOG0000028	OG0000003	n118																											WP_192894277.1																	WP_192894277.1
N12.HOG0000029	OG0000004	n5																											WP_020835883.1																	WP_347952295.1
N12.HOG0000030	OG0000004	n25																																												WP_347952293.1
N12.HOG0000031	OG0000004	n36																											WP_146379729.1																	WP_347952296.1
N12.HOG0000032	OG0000004	n51																											WP_020835887.1																	
N12.HOG0000033	OG0000004	n76																											WP_225972998.1																	WP_347952279.1, WP_347952281.1
N12.HOG0000034	OG0000004	n106																																												WP_347952275.1
N12.HOG0000035	OG0000004	n116																											WP_225973000.1																	
N12.HOG0000036	OG0000004	n118																											WP_225972999.1																	
N12.HOG0000037	OG0000004	n127																																												WP_347952277.1
N12.HOG0000038	OG0000005	n1																											WP_146379449.1																	WP_347952342.1
N12.HOG0000039	OG0000005	n32																											WP_146379452.1																	WP_347952345.1
N12.HOG0000040	OG0000005	n52																											WP_146379450.1																	WP_347952343.1
N12.HOG0000041	OG0000005	n92																											WP_146379451.1																	WP_146379451.1
N12.HOG0000042	OG0000005	n113																											WP_146379453.1																	WP_347952346.1
N12.HOG0000043	OG0000006	n25																											WP_225972988.1																	
N12.HOG0000044	OG0000006	n81																											WP_225972980.1																	
N12.HOG0000045	OG0000006	n87																											WP_258555362.1																	
N12.HOG0000046	OG0000006	n104																											WP_225972978.1																	
N12.HOG0000047	OG0000007	n5																											WP_135618608.1																	WP_135618608.1
N12.HOG0000048	OG0000007	n13																											WP_146379518.1																	
N12.HOG0000049	OG0000007	n28																											WP_220190648.1																	WP_258555947.1
N12.HOG0000050	OG0000007	n32																											WP_002557993.1																	
N12.HOG0000051	OG0000007	n45																											WP_002557992.1																	
N12.HOG0000052	OG0000008	n2																											WP_011290229.1																	WP_347952220.1
N12.HOG0000053	OG0000008	n32																											WP_225973033.1																	
N12.HOG0000054	OG0000008	n73																																												WP_347952490.1
N12.HOG0000055	OG0000008	n89																											WP_225972989.1																	
N12.HOG0000056	OG0000009	n2																																												WP_041361566.1
N12.HOG0000057	OG0000009	n16																											WP_146379448.1																	WP_041361519.1
N12.HOG0000058	OG0000009	n35																											WP_146379497.1																	WP_011290021.1
N12.HOG0000059	OG0000010	n3																											WP_146379615.1																	WP_347952475.1
N12.HOG0000060	OG0000010	n37																																												WP_347952432.1
N12.HOG0000061	OG0000010	n58																																												WP_240536641.1
N12.HOG0000062	OG0000010	n72																																												WP_258555487.1
N12.HOG0000063	OG0000011	n10																											WP_146379608.1																	WP_347952482.1
N12.HOG0000064	OG0000011	n51																											WP_225972964.1																	WP_347952481.1
N12.HOG0000065	OG0000012	n5																											WP_146379527.1																	WP_347952208.1, WP_347952274.1, WP_347952450.1
N12.HOG0000066	OG0000012	n15																																												WP_347952460.1
N12.HOG0000067	OG0000012	n52																											WP_011284103.1																	
N12.HOG0000068	OG0000012	n53																											WP_146379586.1, WP_146379713.1																	
N12.HOG0000069	OG0000012	n57																											WP_158632000.1																	WP_158632000.1
N12.HOG0000070	OG0000013	n1																											WP_225972984.1																	WP_347952233.1
N12.HOG0000071	OG0000013	n47																											WP_225973006.1																	WP_347952491.1
N12.HOG0000072	OG0000014	n10																											WP_146379490.1																	
N12.HOG0000073	OG0000014	n30																											WP_146379526.1																	WP_347952397.1
N12.HOG0000074	OG0000014	n57																																												WP_347952382.1
N12.HOG0000075	OG0000015	n50																											WP_146379573.1																	
N12.HOG0000076	OG0000016	n1																											WP_146379690.1																	WP_347952265.1
N12.HOG0000077	OG0000016	n33																											WP_146379459.1																	WP_347952351.1
N12.HOG0000078	OG0000017	n1																											WP_020835500.1																	WP_243215933.1
N12.HOG0000079	OG0000017	n16																											WP_020835837.1																	WP_020835837.1
N12.HOG0000080	OG0000018	n4																											WP_146379553.1																	WP_146379553.1
N12.HOG0000081	OG0000019	n33																											WP_146379709.1																	
N12.HOG0000082	OG0000019	n45																																												WP_347952278.1, WP_347952280.1
N12.HOG0000083	OG0000019	n46																											WP_146379712.1																	WP_347952282.1
N12.HOG0000084	OG0000019	n64																											WP_146379710.1																	
N12.HOG0000085	OG0000019	n75																																												WP_347952276.1
N12.HOG0000086	OG0000020	n1																											WP_146379767.1																	WP_347952330.1
N12.HOG0000087	OG0000020	n37																											WP_192894283.1																	WP_347952331.1
N12.HOG0000088	OG0000021	n33																											WP_094521655.1																	
N12.HOG0000089	OG0000021	n46																											WP_225973011.1																	WP_347952374.1
N12.HOG0000090	OG0000022	n1																											WP_146379575.1																	WP_347952446.1
N12.HOG0000091	OG0000022	n33																											WP_146379581.1																	WP_347952454.1, WP_347952455.1
N12.HOG0000092	OG0000023	n21																											WP_146379552.1																	WP_347952417.1
N12.HOG0000093	OG0000024	n8																											WP_146379683.1																	WP_160585687.1
N12.HOG0000094	OG0000024	n33																											WP_146379547.1																	WP_347952412.1
N12.HOG0000095	OG0000025	n1																											WP_146379576.1																	WP_347952447.1
N12.HOG0000096	OG0000025	n32																											WP_146379580.1																	WP_347952453.1
N12.HOG0000097	OG0000026	n5																											WP_192894288.1																	WP_347952418.1
N12.HOG0000098	OG0000026	n19																											WP_146379579.1																	WP_011206159.1
N12.HOG0000099	OG0000027	n1																											WP_146379747.1																	WP_347952308.1
N12.HOG0000100	OG0000027	n21																																												WP_160585589.1
N12.HOG0000101	OG0000028	n47																											WP_146379651.1																	
N12.HOG0000102	OG0000028	n66																																												WP_347952235.1
N12.HOG0000103	OG0000029	n9																											WP_146379525.1																	WP_347952396.1
N12.HOG0000104	OG0000029	n41																											WP_146379491.1																	WP_347952383.1
N12.HOG0000105	OG0000030	n8																											WP_044272656.1																	
N12.HOG0000106	OG0000030	n33																																												WP_160584917.1
N12.HOG0000107	OG0000031	n23																																												WP_011206142.1
N12.HOG0000108	OG0000032	n3																											WP_135618726.1																	WP_347952309.1, WP_347952437.1
N12.HOG0000109	OG0000032	n24																																												WP_347952310.1
N12.HOG0000110	OG0000033	n20																											WP_225972986.1																	
N12.HOG0000111	OG0000033	n45																											WP_225972985.1																	
N12.HOG0000112	OG0000035	n1																											WP_146379730.1																	WP_347952297.1
N12.HOG0000113	OG0000035	n36																											WP_146379728.1																	WP_347952292.1
N12.HOG0000114	OG0000036	n11																											WP_225973004.1																	WP_347952344.1
N12.HOG0000115	OG0000036	n20																											WP_225973005.1																	
N12.HOG0000116	OG0000036	n44																											WP_146379454.1																	
N12.HOG0000117	OG0000037	n3																											WP_225973046.1																	
N12.HOG0000118	OG0000037	n25																											WP_020835661.1																	
N12.HOG0000119	OG0000038	n8																											WP_146379621.1																	WP_347952469.1
N12.HOG0000120	OG0000038	n17																											WP_146379625.1																	
N12.HOG0000121	OG0000038	n27																																												WP_347952461.1
N12.HOG0000122	OG0000038	n45																											WP_146379481.1																	WP_347952372.1
N12.HOG0000123	OG0000039	n29																																												WP_347952442.1
N12.HOG0000124	OG0000039	n36																																												WP_347952441.1
N12.HOG0000125	OG0000040	n49																											WP_146379737.1																	
N12.HOG0000126	OG0000041	n9																																												WP_011290019.1, WP_192894287.1
N12.HOG0000127	OG0000042	n36																																												WP_347952270.1
N12.HOG0000128	OG0000042	n43																											WP_146379699.1																	WP_347952269.1
N12.HOG0000129	OG0000043	n0																											WP_014579804.1																	WP_014579804.1
