HOG	OG	Gene Tree Parent Clade	MFC_ATCC27716_proteins	MFC_MF11_proteins	MFC_MF18_proteins	MFC_MF22_proteins	MFC_MF29_proteins	MFC_MF30_proteins	MFC_MF33_proteins	MFC_Ms42_proteins	MHP_111A_proteins	MHP_112B_proteins	MHP_116_proteins	MHP_11_proteins	MHP_1257_proteins	MHP_131B_proteins	MHP_133A_proteins	MHP_153B_proteins	MHP_154B_proteins	MHP_168L_proteins	MHP_168_proteins	MHP_232_proteins	MHP_4284_proteins	MHP_7422_proteins	MHP_7448_proteins	MHP_98_proteins	MHP_ES2L_proteins	MHP_ES2_proteins	MHP_F72C_proteins	MHP_J_proteins	MHP_KM014_proteins	MHP_LH_proteins	MHP_MHP650_proteins	MHP_MHP653_proteins	MHP_MHP679_proteins	MHP_MHP682_proteins	MHP_MHP691_proteins	MHP_MHP694_proteins	MHP_MHP696_proteins	MHP_MHP699_proteins	MHP_MHP709_proteins	MHP_NCTC10127_proteins	MHP_TB1_proteins	MHP_UFV01_proteins	MHP_UFV02_proteins	MHP_Ue273_proteins
N18.HOG0000000	OG0000000	n5														WP_404924494.1	WP_404924494.1																													
N18.HOG0000001	OG0000000	n80														WP_160612820.1	WP_160612820.1																													
N18.HOG0000002	OG0000000	n94														WP_404924493.1	WP_404924493.1																													
N18.HOG0000003	OG0000000	n110														WP_404924491.1	WP_404924491.1																													
N18.HOG0000004	OG0000000	n147														WP_404924492.1	WP_404924492.1																													
N18.HOG0000005	OG0000000	n177														WP_404924511.1	WP_404924221.1																													
N18.HOG0000006	OG0000000	n199														WP_404924562.1	WP_404924466.1																													
N18.HOG0000007	OG0000000	n203														WP_404924212.1	WP_404924212.1																													
N18.HOG0000008	OG0000000	n217														WP_148174330.1	WP_148174330.1																													
N18.HOG0000009	OG0000000	n239														WP_258556712.1	WP_404924228.1																													
N18.HOG0000010	OG0000000	n283															WP_404924465.1																													
N18.HOG0000011	OG0000000	n294														WP_404924561.1	WP_404924488.1																													
N18.HOG0000012	OG0000000	n317														WP_404924489.1	WP_404924489.1																													
N18.HOG0000013	OG0000001	n21														WP_232039579.1	WP_232039579.1																													
N18.HOG0000014	OG0000001	n25														WP_187145661.1	WP_187145661.1																													
N18.HOG0000015	OG0000001	n50														WP_404924525.1	WP_404924278.1																													
N18.HOG0000016	OG0000001	n84														WP_404924273.1	WP_404924273.1																													
N18.HOG0000017	OG0000001	n117														WP_404924272.1	WP_404924272.1																													
N18.HOG0000018	OG0000002	n16														WP_225972974.1	WP_225972974.1																													
N18.HOG0000019	OG0000002	n38														WP_404924222.1	WP_404924222.1																													
N18.HOG0000020	OG0000002	n64														WP_404924509.1	WP_404924213.1																													
N18.HOG0000021	OG0000002	n95														WP_404924467.1	WP_404924467.1																													
N18.HOG0000022	OG0000003	n5														WP_404924470.1	WP_404924470.1																													
N18.HOG0000023	OG0000003	n10														WP_404924388.1	WP_404924388.1																													
N18.HOG0000024	OG0000003	n65														WP_404923944.1	WP_404923944.1																													
N18.HOG0000025	OG0000003	n118														WP_404924565.1	WP_052259119.1, WP_404924478.1																													
N18.HOG0000026	OG0000004	n5														WP_160588068.1	WP_160588068.1																													
N18.HOG0000027	OG0000004	n36														WP_404924305.1	WP_404924305.1																													
N18.HOG0000028	OG0000004	n51														WP_404924307.1	WP_404924307.1																													
N18.HOG0000029	OG0000004	n76														WP_404924497.1	WP_404924497.1																													
N18.HOG0000030	OG0000004	n106														WP_404924499.1	WP_404924499.1																													
N18.HOG0000031	OG0000004	n134														WP_404924498.1	WP_404924498.1																													
N18.HOG0000032	OG0000005	n1														WP_011289941.1	WP_011289941.1																													
N18.HOG0000033	OG0000005	n32														WP_146379452.1	WP_146379452.1																													
N18.HOG0000034	OG0000005	n52														WP_404924354.1	WP_404924354.1																													
N18.HOG0000035	OG0000005	n113														WP_347952346.1	WP_347952346.1																													
N18.HOG0000036	OG0000006	n29														WP_404924250.1	WP_404924250.1																													
N18.HOG0000037	OG0000006	n30														WP_280996645.1	WP_280996645.1																													
N18.HOG0000038	OG0000006	n45														WP_404924249.1	WP_404924249.1																													
N18.HOG0000039	OG0000006	n53														WP_404924229.1	WP_404924229.1																													
N18.HOG0000040	OG0000006	n81														WP_404924515.1	WP_404924233.1																													
N18.HOG0000041	OG0000006	n87														WP_404924232.1	WP_404924232.1																													
N18.HOG0000042	OG0000007	n2														WP_160576975.1	WP_160576975.1																													
N18.HOG0000043	OG0000007	n13														WP_404923946.1	WP_404923946.1																													
N18.HOG0000044	OG0000007	n32														WP_404924219.1	WP_404924219.1																													
N18.HOG0000045	OG0000008	n2														WP_404924227.1	WP_404924227.1																													
