HOG	OG	Gene Tree Parent Clade	MFC_ATCC27716_proteins	MFC_MF11_proteins	MFC_MF18_proteins	MFC_MF22_proteins	MFC_MF29_proteins	MFC_MF30_proteins	MFC_MF33_proteins	MFC_Ms42_proteins	MHP_111A_proteins	MHP_112B_proteins	MHP_116_proteins	MHP_11_proteins	MHP_1257_proteins	MHP_131B_proteins	MHP_133A_proteins	MHP_153B_proteins	MHP_154B_proteins	MHP_168L_proteins	MHP_168_proteins	MHP_232_proteins	MHP_4284_proteins	MHP_7422_proteins	MHP_7448_proteins	MHP_98_proteins	MHP_ES2L_proteins	MHP_ES2_proteins	MHP_F72C_proteins	MHP_J_proteins	MHP_KM014_proteins	MHP_LH_proteins	MHP_MHP650_proteins	MHP_MHP653_proteins	MHP_MHP679_proteins	MHP_MHP682_proteins	MHP_MHP691_proteins	MHP_MHP694_proteins	MHP_MHP696_proteins	MHP_MHP699_proteins	MHP_MHP709_proteins	MHP_NCTC10127_proteins	MHP_TB1_proteins	MHP_UFV01_proteins	MHP_UFV02_proteins	MHP_Ue273_proteins
N39.HOG0000000	OG0000000	n5		WP_160603262.1	WP_220190423.1	WP_308704674.1		WP_308705463.1																																						
N39.HOG0000001	OG0000000	n43			WP_220190424.1	WP_308704675.1		WP_308705464.1																																						
N39.HOG0000002	OG0000000	n55			WP_160593552.1	WP_255454545.1																																								
N39.HOG0000003	OG0000000	n77				WP_039387598.1																																								
N39.HOG0000004	OG0000000	n110		WP_160603281.1, WP_308705401.1		WP_160584040.1																																								
N39.HOG0000005	OG0000000	n125		WP_160603250.1	WP_255454543.1																																									
N39.HOG0000006	OG0000000	n139				WP_308704672.1																																								
N39.HOG0000007	OG0000000	n147		WP_308705396.1																																										
N39.HOG0000008	OG0000000	n159		WP_160603283.1	WP_308507121.1	WP_160584064.1																																								
N39.HOG0000009	OG0000000	n170				WP_220190248.1																																								
N39.HOG0000010	OG0000000	n283		WP_157696714.1																																										
N39.HOG0000011	OG0000000	n294		WP_308705385.1	WP_160611384.1	WP_160583785.1		WP_160605580.1																																						
N39.HOG0000012	OG0000001	n2						WP_002557631.1																																						
N39.HOG0000013	OG0000001	n4		WP_220190178.1	WP_220190178.1	WP_220190178.1																																								
N39.HOG0000014	OG0000001	n7		WP_160580916.1	WP_160580916.1	WP_160580916.1																																								
N39.HOG0000015	OG0000002	n2		WP_160603260.1	WP_160584060.1	WP_160584060.1		WP_160605434.1																																						
N39.HOG0000016	OG0000002	n9						WP_160605454.1																																						
N39.HOG0000017	OG0000002	n38			WP_160593471.1	WP_160583997.1																																								
N39.HOG0000018	OG0000002	n56		WP_308705398.1	WP_160593459.1	WP_160583931.1, WP_160584066.1		WP_160605504.1, WP_160605643.1																																						
N39.HOG0000019	OG0000002	n64		WP_160603252.1	WP_160593538.1	WP_002557987.1																																								
N39.HOG0000020	OG0000002	n95		WP_160603138.1	WP_160583787.1	WP_160583787.1		WP_160605578.1																																						
N39.HOG0000021	OG0000003	n85		WP_160603254.1	WP_160584042.1	WP_160584042.1																																								
N39.HOG0000022	OG0000004	n94		WP_220190824.1	WP_220190407.1			WP_220190801.1																																						
N39.HOG0000023	OG0000004	n120				WP_220190213.1																																								
N39.HOG0000024	OG0000007	n13		WP_011284157.1	WP_011284157.1	WP_011284157.1																																								
N39.HOG0000025	OG0000007	n32		WP_014335405.1	WP_002557993.1	WP_002557993.1																																								
N39.HOG0000026	OG0000007	n45		WP_002557992.1	WP_002557992.1	WP_002557992.1																																								
N39.HOG0000027	OG0000008	n35		WP_220190829.1																																										
N39.HOG0000028	OG0000011	n42						WP_160605422.1																																						
N39.HOG0000029	OG0000011	n44			WP_220190416.1																																									
N39.HOG0000030	OG0000011	n47			WP_308507119.1																																									
N39.HOG0000031	OG0000011	n50		WP_369122332.1		WP_160584052.1																																								
N39.HOG0000032	OG0000011	n51		WP_220190834.1	WP_220190244.1	WP_220190244.1		WP_160605420.1																																						
N39.HOG0000033	OG0000013	n3		WP_160603103.1	WP_160593399.1	WP_160583610.1		WP_160605387.1																																						
N39.HOG0000034	OG0000013	n10		WP_258554024.1	WP_160583612.1	WP_160583612.1		WP_160605385.1																																						
N39.HOG0000035	OG0000013	n47		WP_258554019.1	WP_258556248.1	WP_258556599.1		WP_258555096.1																																						
N39.HOG0000036	OG0000014	n1		WP_220190805.1	WP_220190396.1	WP_220190181.1		WP_220190749.1																																						
N39.HOG0000037	OG0000016	n1		WP_160580902.1	WP_160580902.1	WP_160580902.1		WP_160580902.1																																						
N39.HOG0000038	OG0000016	n66			WP_160583739.1	WP_160583739.1		WP_160605572.1, WP_308705440.1																																						
N39.HOG0000039	OG0000017	n1		WP_160603021.1	WP_160583745.1	WP_160583745.1		WP_002557881.1																																						
N39.HOG0000040	OG0000017	n16		WP_160603055.1	WP_160593373.1	WP_160583665.1		WP_160605334.1																																						
N39.HOG0000041	OG0000018	n64		WP_160581182.1	WP_160581182.1	WP_160581182.1		WP_160605522.1																																						
N39.HOG0000042	OG0000019	n11		WP_258554035.1	WP_160593443.1	WP_160583897.1																																								
N39.HOG0000043	OG0000019	n64		WP_160603287.1																																										
N39.HOG0000044	OG0000020	n1		WP_160603126.1	WP_160583771.1	WP_160583771.1																																								
N39.HOG0000045	OG0000020	n38		WP_220190820.1	WP_220190184.1	WP_220190184.1		WP_308705457.1																																						
N39.HOG0000046	OG0000022	n33		WP_160583783.1	WP_160583783.1	WP_160583783.1		WP_160583783.1																																						
N39.HOG0000047	OG0000023	n4		WP_160583963.1	WP_160583963.1	WP_160583963.1																																								
N39.HOG0000048	OG0000023	n9						WP_160581180.1																																						
N39.HOG0000049	OG0000024	n1		WP_258554023.1	WP_258556250.1	WP_258556250.1		WP_258555110.1																																						
N39.HOG0000050	OG0000025	n32		WP_160603136.1	WP_160583781.1	WP_160583781.1		WP_160583781.1																																						
N39.HOG0000051	OG0000026	n1		WP_160581190.1	WP_160581190.1	WP_160581190.1		WP_002557545.1																																						
N39.HOG0000052	OG0000027	n1		WP_308507118.1	WP_308507118.1	WP_308507118.1																																								
N39.HOG0000053	OG0000027	n21		WP_160603148.1	WP_160593509.1	WP_160583814.1		WP_160605603.1																																						
N39.HOG0000054	OG0000028	n13		WP_160603105.1				WP_220190754.1																																						
N39.HOG0000055	OG0000028	n18						WP_160605394.1																																						
N39.HOG0000056	OG0000028	n20			WP_160593401.1	WP_160583608.1																																								
N39.HOG0000057	OG0000029	n1		WP_160603042.1	WP_160593361.1	WP_160583685.1		WP_160605322.1																																						
N39.HOG0000058	OG0000030	n1		WP_160583816.1	WP_160583816.1	WP_160583816.1		WP_160605605.1																																						
N39.HOG0000059	OG0000031	n3		WP_160584009.1	WP_160584009.1	WP_160584009.1		WP_160605408.1																																						
N39.HOG0000060	OG0000032	n1		WP_220190186.1	WP_220190186.1	WP_220190186.1																																								
N39.HOG0000061	OG0000033	n20		WP_160603107.1	WP_160593403.1	WP_160583606.1		WP_160605396.1																																						
N39.HOG0000062	OG0000039	n18		WP_160603046.1	WP_160593365.1	WP_160583677.1		WP_160605326.1																																						
N39.HOG0000063	OG0000040	n17		WP_160603222.1	WP_258556256.1	WP_160583920.1		WP_258555133.1																																						
N39.HOG0000064	OG0000040	n27		WP_308705384.1																																										
N39.HOG0000065	OG0000040	n31			WP_160593380.1																																									
N39.HOG0000066	OG0000042	n11		WP_160603044.1	WP_160593363.1	WP_160583678.1		WP_160605324.1																																						
N39.HOG0000067	OG0000042	n18		WP_258554021.1, WP_258554022.1	WP_160583661.1	WP_160583661.1		WP_160605340.1																																						
N39.HOG0000068	OG0000043	n0		WP_160581416.1	WP_160581416.1	WP_160581416.1		WP_160605410.1																																						
N39.HOG0000069	OG0000045	n10						WP_002557601.1																																						
N39.HOG0000070	OG0000045	n12			WP_255454455.1	WP_258556598.1																																								
N39.HOG0000071	OG0000045	n14			WP_255454456.1	WP_255454456.1																																								
N39.HOG0000072	OG0000047	n35						WP_155897261.1																																						
N39.HOG0000073	OG0000047	n43		WP_160593376.1	WP_160593376.1																																									
N39.HOG0000074	OG0000048	n23		WP_258554049.1, WP_308705394.1	WP_160593522.1, WP_308507122.1	WP_160581439.1		WP_160605621.1																																						
N39.HOG0000075	OG0000048	n33				WP_308704673.1																																								
N39.HOG0000076	OG0000049	n26			WP_044284698.1			WP_308705455.1																																						
N39.HOG0000077	OG0000049	n33			WP_258556255.1																																									
N39.HOG0000078	OG0000050	n0		WP_160603244.1	WP_160593409.1	WP_160584004.1		WP_160605404.1																																						
N39.HOG0000079	OG0000051	n9		WP_160603170.1	WP_160583877.1	WP_160583877.1		WP_160581217.1																																						
N39.HOG0000080	OG0000052	n0		WP_002557464.1	WP_002557464.1	WP_002557464.1		WP_002557464.1																																						
N39.HOG0000081	OG0000053	n0		WP_160603200.1	WP_160593530.1	WP_308704670.1		WP_160605623.1																																						
N39.HOG0000082	OG0000054	n0		WP_160603111.1	WP_160593405.1	WP_160583604.1		WP_160605400.1																																						
N39.HOG0000083	OG0000055	n10				WP_002557874.1		WP_002557874.1																																						
N39.HOG0000084	OG0000055	n11			WP_323749063.1	WP_334296057.1		WP_323749063.1																																						
N39.HOG0000085	OG0000056	n19		WP_160603134.1	WP_160593493.1	WP_160583779.1		WP_160605584.1																																						
N39.HOG0000086	OG0000057	n0		WP_231237864.1	WP_255454457.1	WP_258556597.1		WP_258555107.1																																						
N39.HOG0000087	OG0000062	n0		WP_002557486.1	WP_002557486.1	WP_002557486.1		WP_002557486.1																																						
N39.HOG0000088	OG0000063	n0		WP_160583767.1	WP_160593336.1	WP_160583767.1		WP_160605552.1																																						
N39.HOG0000089	OG0000064	n0		WP_160603014.1	WP_160583769.1	WP_160583769.1		WP_160581114.1																																						
