Orthogroup	MHP_Ue273_genes	MFC_MF22_genes
OG0000000	VQY17_RS02200	DR094_RS03000
OG0000001	VQY17_RS01300, VQY17_RS02775, VQY17_RS02730	DR094_RS00325, DR094_RS00330
OG0000002	VQY17_RS01780	DR094_RS03610
OG0000011	VQY17_RS02025	DR094_RS03520
OG0000011	VQY17_RS02020	DR094_RS02895
OG0000013	VQY17_RS02405	DR094_RS00075, DR094_RS00080
OG0000013	VQY17_RS00185	DR094_RS03050
OG0000014	VQY17_RS01120, VQY17_RS00605	DR094_RS03555
OG0000016	VQY17_RS02820	DR094_RS00380
OG0000017	VQY17_RS00155	DR094_RS00975
OG0000017	VQY17_RS02830	DR094_RS00390
OG0000020	VQY17_RS03550	DR094_RS03600
OG0000020	VQY17_RS03555	DR094_RS03595
OG0000022	VQY17_RS01765	DR094_RS03605
OG0000023	VQY17_RS01335	DR094_RS02170
OG0000024	VQY17_RS02725, VQY17_RS01295	DR094_RS00320
OG0000025	VQY17_RS01755	DR094_RS01205
OG0000026	VQY17_RS01380, VQY17_RS01735	DR094_RS02215
OG0000027	VQY17_RS03330	DR094_RS01395
OG0000027	VQY17_RS03350	DR094_RS03650
OG0000029	VQY17_RS01115, VQY17_RS00610	DR094_RS00545
OG0000030	VQY17_RS03345	DR094_RS03655
OG0000031	VQY17_RS01635	DR094_RS02590
OG0000032	VQY17_RS03335, VQY17_RS01615, VQY17_RS01610, VQY17_RS03340	DR094_RS01390
OG0000039	VQY17_RS01650, VQY17_RS01645	DR094_RS00485
OG0000040	VQY17_RS03270	DR094_RS02025, DR094_RS00270
OG0000042	VQY17_RS02925, VQY17_RS02920	DR094_RS00490, DR094_RS00345
OG0000043	VQY17_RS01990	DR094_RS02615
OG0000045	VQY17_RS01655	DR094_RS03140, DR094_RS03135
OG0000048	VQY17_RS02180	DR094_RS02695, DR094_RS02985
OG0000049	VQY17_RS03040	DR094_RS03355
OG0000050	VQY17_RS02445	DR094_RS03765
OG0000051	VQY17_RS02645	DR094_RS01715
OG0000052	VQY17_RS00075	DR094_RS01015
OG0000053	VQY17_RS01470	DR094_RS03805
OG0000054	VQY17_RS02470	DR094_RS00030
OG0000055	VQY17_RS00135	DR094_RS03580, DR094_RS03850
OG0000056	VQY17_RS03535	DR094_RS01180
OG0000057	VQY17_RS02900, VQY17_RS02905	DR094_RS00465
OG0000062	VQY17_RS03585	DR094_RS01125
OG0000063	VQY17_RS03580	DR094_RS03590
OG0000064	VQY17_RS03570	DR094_RS01140
OG0000065	VQY17_RS02255	DR094_RS02075
OG0000066	VQY17_RS01370	DR094_RS02205
OG0000067	VQY17_RS00525	DR094_RS00620
OG0000068	VQY17_RS00645	DR094_RS00510
OG0000069	VQY17_RS02795	DR094_RS00355
OG0000070	VQY17_RS02475	DR094_RS00050
OG0000071	VQY17_RS03260	DR094_RS02015
OG0000072	VQY17_RS03265	DR094_RS03725
OG0000073	VQY17_RS00705	DR094_RS02425
OG0000074	VQY17_RS00910	DR094_RS03685
OG0000077	VQY17_RS00445	DR094_RS00690
