Orthogroup	MHP_Ue273_genes	MHP_7422_genes
OG0000000	VQY17_RS01775	MHL_RS03710
OG0000001	VQY17_RS01300	MHL_RS03980
OG0000001	VQY17_RS02775	MHL_RS02845
OG0000001	VQY17_RS02730	MHL_RS04080
OG0000002	VQY17_RS02210	MHL_RS04055
OG0000002	VQY17_RS02205	MHL_RS03865
OG0000002	VQY17_RS01780	MHL_RS01800
OG0000003	VQY17_RS01910	MHL_RS03835
OG0000004	VQY17_RS03185	MHL_RS03205
OG0000005	VQY17_RS00100	MHL_RS00105
OG0000005	VQY17_RS00120	MHL_RS00125
OG0000005	VQY17_RS00105	MHL_RS04205
OG0000005	VQY17_RS00110	MHL_RS00115
OG0000005	VQY17_RS00125	MHL_RS00130
OG0000006	VQY17_RS02495	MHL_RS03635
OG0000006	VQY17_RS02330, VQY17_RS02360	MHL_RS02420
OG0000008	VQY17_RS02320	MHL_RS02375
OG0000008	VQY17_RS02500	MHL_RS04065
OG0000009	VQY17_RS00665	MHL_RS00755
OG0000009	VQY17_RS00085	MHL_RS00090
OG0000009	VQY17_RS00680	MHL_RS00770
OG0000010	VQY17_RS01920	MHL_RS01930
OG0000010	VQY17_RS00095	MHL_RS00100
OG0000011	VQY17_RS02025	MHL_RS04185
OG0000011	VQY17_RS02020	MHL_RS02020
OG0000012	VQY17_RS01935	MHL_RS03845
OG0000013	VQY17_RS02405	MHL_RS02470
OG0000013	VQY17_RS00185	MHL_RS03925
OG0000014	VQY17_RS01120	MHL_RS01170
OG0000014	VQY17_RS00605	MHL_RS00695
OG0000016	VQY17_RS02820	MHL_RS02885
OG0000016	VQY17_RS00170	MHL_RS00175
OG0000017	VQY17_RS00155	MHL_RS00160
OG0000017	VQY17_RS02830	MHL_RS02895
OG0000020	VQY17_RS03550	MHL_RS03545
OG0000020	VQY17_RS03555	MHL_RS03550
OG0000021	VQY17_RS00510	MHL_RS03930
OG0000022	VQY17_RS01695	MHL_RS01740
OG0000022	VQY17_RS01765	MHL_RS01790
OG0000024	VQY17_RS02725	MHL_RS02790
OG0000024	VQY17_RS01295	MHL_RS01355
OG0000025	VQY17_RS01700	MHL_RS01745
OG0000025	VQY17_RS01755	MHL_RS01785
OG0000026	VQY17_RS01380	MHL_RS01445
OG0000027	VQY17_RS03330	MHL_RS03755
OG0000027	VQY17_RS03350	MHL_RS03360
OG0000028	VQY17_RS02415	MHL_RS02480
OG0000029	VQY17_RS01115	MHL_RS01165
OG0000029	VQY17_RS00610	MHL_RS00700
OG0000030	VQY17_RS03345	MHL_RS03355
OG0000032	VQY17_RS01610	MHL_RS04000
OG0000032	VQY17_RS03340	MHL_RS03350
OG0000033	VQY17_RS02410	MHL_RS02475
OG0000035	VQY17_RS03200	MHL_RS03210
OG0000035	VQY17_RS03170	MHL_RS03195
OG0000036	VQY17_RS00115	MHL_RS00120
OG0000036	VQY17_RS00130	MHL_RS00135
OG0000038	VQY17_RS01860	MHL_RS01870
OG0000039	VQY17_RS01650, VQY17_RS01645	MHL_RS01705
OG0000040	VQY17_RS03270	MHL_RS03285
OG0000041	VQY17_RS00670	MHL_RS00760
OG0000042	VQY17_RS02925	MHL_RS02985
OG0000043	VQY17_RS01990	MHL_RS01990
OG0000043	VQY17_RS01990	MHL_RS00625
OG0000044	VQY17_RS01710	MHL_RS04220
OG0000045	VQY17_RS01655	MHL_RS01710
OG0000046	VQY17_RS03280	MHL_RS04100
OG0000046	VQY17_RS03285	MHL_RS03290
OG0000047	VQY17_RS01605	MHL_RS01655
