Orthogroup	MHP_Ue273_genes	MHP_MHP679_genes
OG0000000	VQY17_RS01770	DR086_RS04250
OG0000000	VQY17_RS01775	DR086_RS04245
OG0000001	VQY17_RS01300	DR086_RS03435
OG0000001	VQY17_RS02775	DR086_RS01010
OG0000001	VQY17_RS02730	DR086_RS03200, DR086_RS03195
OG0000002	VQY17_RS02210, VQY17_RS02205	DR086_RS04310
OG0000002	VQY17_RS01780	DR086_RS04880
OG0000003	VQY17_RS00505	DR086_RS00625, DR086_RS03690
OG0000003	VQY17_RS01910	DR086_RS05085
OG0000004	VQY17_RS03185, VQY17_RS03175, VQY17_RS03190	DR086_RS03630
OG0000004	VQY17_RS02995	DR086_RS00615
OG0000005	VQY17_RS00100	DR086_RS03245
OG0000005	VQY17_RS00105	DR086_RS03255
OG0000005	VQY17_RS00110, VQY17_RS00125	DR086_RS05035
OG0000006	VQY17_RS02495	DR086_RS04315
OG0000006	VQY17_RS02360	DR086_RS04535, DR086_RS04530
OG0000008	VQY17_RS02500	DR086_RS02140
OG0000010	VQY17_RS01920	DR086_RS00810
OG0000011	VQY17_RS02025	DR086_RS00450
OG0000011	VQY17_RS02020	DR086_RS00445
OG0000012	VQY17_RS02130, VQY17_RS02980, VQY17_RS01725	DR086_RS03775
OG0000012	VQY17_RS01935	DR086_RS03950
OG0000013	VQY17_RS02405	DR086_RS03105
OG0000013	VQY17_RS00185	DR086_RS04005
OG0000014	VQY17_RS01120	DR086_RS03610
OG0000014	VQY17_RS00605	DR086_RS04970
OG0000015	VQY17_RS01665	DR086_RS03700
OG0000016	VQY17_RS02820	DR086_RS01050
OG0000016	VQY17_RS00170	DR086_RS00030
OG0000017	VQY17_RS00155	DR086_RS00015
OG0000017	VQY17_RS02830	DR086_RS01060
OG0000018	VQY17_RS01340	DR086_RS04915
OG0000019	VQY17_RS03000, VQY17_RS03010, VQY17_RS03030, VQY17_RS02990	DR086_RS04570
OG0000020	VQY17_RS03555	DR086_RS02470
OG0000022	VQY17_RS01695	DR086_RS01645
OG0000022	VQY17_RS01765	DR086_RS04885
OG0000024	VQY17_RS02725	DR086_RS03190
OG0000025	VQY17_RS01700	DR086_RS04890
OG0000025	VQY17_RS01755	DR086_RS01595
OG0000026	VQY17_RS01380	DR086_RS01970
OG0000026	VQY17_RS01735	DR086_RS01615
OG0000027	VQY17_RS03330	DR086_RS05030
OG0000027	VQY17_RS03350	DR086_RS04870
OG0000029	VQY17_RS01115	DR086_RS02730
OG0000030	VQY17_RS03345	DR086_RS04875
OG0000032	VQY17_RS03335, VQY17_RS01615, VQY17_RS01610	DR086_RS03980
OG0000032	VQY17_RS03340	DR086_RS03870
OG0000033	VQY17_RS02410	DR086_RS05010
OG0000036	VQY17_RS00115, VQY17_RS00130	DR086_RS03265
OG0000037	VQY17_RS01620	DR086_RS03330, DR086_RS03325
OG0000039	VQY17_RS01650, VQY17_RS01645	DR086_RS03295
OG0000040	VQY17_RS03270	DR086_RS02360
OG0000041	VQY17_RS00670	DR086_RS03635
OG0000042	VQY17_RS02920	DR086_RS02970
OG0000043	VQY17_RS01990	DR086_RS00750, DR086_RS00415
OG0000044	VQY17_RS01710	DR086_RS05095
OG0000045	VQY17_RS01655	DR086_RS03290
OG0000046	VQY17_RS03285	DR086_RS04940
OG0000047	VQY17_RS01605	DR086_RS00730
OG0000048	VQY17_RS02180	DR086_RS00610
OG0000049	VQY17_RS03040	DR086_RS01430
OG0000050	VQY17_RS02445	DR086_RS02195
OG0000051	VQY17_RS02645	DR086_RS00855
OG0000052	VQY17_RS00075	DR086_RS01150
OG0000053	VQY17_RS01470	DR086_RS04905
OG0000054	VQY17_RS02470	DR086_RS02170
OG0000055	VQY17_RS00135	DR086_RS03270
OG0000056	VQY17_RS03535	DR086_RS02455
OG0000057	VQY17_RS02905	DR086_RS01130
OG0000062	VQY17_RS03585	DR086_RS01260
OG0000063	VQY17_RS03580	DR086_RS04835
OG0000064	VQY17_RS03570	DR086_RS01275
OG0000065	VQY17_RS02255	DR086_RS02080
OG0000066	VQY17_RS01370	DR086_RS01980
OG0000067	VQY17_RS00525	DR086_RS02240
OG0000068	VQY17_RS00645	DR086_RS01570
OG0000069	VQY17_RS02795	DR086_RS01025
OG0000070	VQY17_RS02475	DR086_RS02165
OG0000071	VQY17_RS03260	DR086_RS02350
OG0000072	VQY17_RS03265	DR086_RS04935
OG0000073	VQY17_RS00705	DR086_RS03040
OG0000074	VQY17_RS00910	DR086_RS04990
OG0000075	VQY17_RS00345	DR086_RS00210
OG0000076	VQY17_RS00360	DR086_RS00225
OG0000077	VQY17_RS00445	DR086_RS00315
OG0000078	VQY17_RS01715	DR086_RS01625
OG0000079	VQY17_RS02550	DR086_RS00950
OG0000080	VQY17_RS02595	DR086_RS04145
OG0000081	VQY17_RS00340	DR086_RS00205
OG0000082	VQY17_RS02400	DR086_RS03110
OG0000083	VQY17_RS02095	DR086_RS00520
OG0000084	VQY17_RS02125	DR086_RS00545
OG0000085	VQY17_RS02135	DR086_RS00550
OG0000086	VQY17_RS02145	DR086_RS00560
OG0000087	VQY17_RS02160	DR086_RS00575
OG0000088	VQY17_RS02165	DR086_RS00580
OG0000089	VQY17_RS02175	DR086_RS00590
OG0000090	VQY17_RS00070	DR086_RS01155
OG0000091	VQY17_RS00055	DR086_RS01170
OG0000092	VQY17_RS00040	DR086_RS01185
OG0000093	VQY17_RS00035	DR086_RS01190
OG0000094	VQY17_RS00030	DR086_RS01195
OG0000095	VQY17_RS00005	DR086_RS01220
OG0000096	VQY17_RS03620	DR086_RS01225
OG0000097	VQY17_RS03600	DR086_RS01245
OG0000098	VQY17_RS03590	DR086_RS01255
OG0000099	VQY17_RS03540	DR086_RS04950
OG0000100	VQY17_RS03525	DR086_RS02445
OG0000101	VQY17_RS03520	DR086_RS02440
OG0000102	VQY17_RS01750	DR086_RS01600
OG0000103	VQY17_RS02220	DR086_RS02115
OG0000104	VQY17_RS02225	DR086_RS02110
OG0000105	VQY17_RS02240	DR086_RS02095
OG0000106	VQY17_RS02250	DR086_RS02085
OG0000107	VQY17_RS02260	DR086_RS02075
OG0000108	VQY17_RS02265	DR086_RS02070
OG0000109	VQY17_RS02270	DR086_RS02065
OG0000110	VQY17_RS02390	DR086_RS03120
OG0000111	VQY17_RS02385	DR086_RS03125
OG0000112	VQY17_RS02375	DR086_RS03135
OG0000113	VQY17_RS02355	DR086_RS05050
OG0000114	VQY17_RS02345	DR086_RS03455
OG0000115	VQY17_RS02335	DR086_RS03475
OG0000116	VQY17_RS01315	DR086_RS03410
OG0000117	VQY17_RS01320	DR086_RS03405
OG0000118	VQY17_RS01355	DR086_RS01995
OG0000119	VQY17_RS01360	DR086_RS01990
OG0000120	VQY17_RS01375	DR086_RS01975
OG0000121	VQY17_RS01405	DR086_RS01950
OG0000122	VQY17_RS01410	DR086_RS01945
OG0000123	VQY17_RS01430	DR086_RS01925
OG0000124	VQY17_RS01435	DR086_RS01920
OG0000125	VQY17_RS01440	DR086_RS01915
OG0000126	VQY17_RS01455	DR086_RS01900
OG0000127	VQY17_RS01460	DR086_RS01890
OG0000128	VQY17_RS01475	DR086_RS01875
OG0000129	VQY17_RS01480	DR086_RS01870
OG0000130	VQY17_RS01490	DR086_RS01860
OG0000131	VQY17_RS01520	DR086_RS01830
OG0000132	VQY17_RS01535	DR086_RS04900
OG0000133	VQY17_RS00530	DR086_RS02245
OG0000134	VQY17_RS00535	DR086_RS02250
OG0000135	VQY17_RS00550	DR086_RS02265
OG0000136	VQY17_RS00555	DR086_RS02270
OG0000137	VQY17_RS00595	DR086_RS02310
OG0000138	VQY17_RS00620	DR086_RS02775
OG0000139	VQY17_RS00650	DR086_RS02745
OG0000140	VQY17_RS00655	DR086_RS02740
OG0000141	VQY17_RS02915	DR086_RS03720
OG0000142	VQY17_RS02910	DR086_RS04820
OG0000143	VQY17_RS02885	DR086_RS01115
OG0000144	VQY17_RS02875	DR086_RS01105
OG0000145	VQY17_RS02865	DR086_RS01095
OG0000146	VQY17_RS02855	DR086_RS01085
OG0000147	VQY17_RS02850	DR086_RS01080
OG0000148	VQY17_RS02835	DR086_RS01065
OG0000149	VQY17_RS02825	DR086_RS01055
OG0000150	VQY17_RS02810	DR086_RS01040
OG0000151	VQY17_RS02760	DR086_RS03230
OG0000152	VQY17_RS02755	DR086_RS03225
OG0000153	VQY17_RS02750	DR086_RS03220
OG0000154	VQY17_RS02740	DR086_RS03210
OG0000155	VQY17_RS02705	DR086_RS03005
OG0000156	VQY17_RS02695	DR086_RS02995
OG0000157	VQY17_RS02690	DR086_RS05005
OG0000158	VQY17_RS02680	DR086_RS05000
OG0000159	VQY17_RS02460	DR086_RS05100
OG0000160	VQY17_RS02455	DR086_RS02185
OG0000161	VQY17_RS02450	DR086_RS02190
OG0000162	VQY17_RS02440	DR086_RS02200
OG0000163	VQY17_RS02435	DR086_RS02205
OG0000164	VQY17_RS01640	DR086_RS03305
OG0000165	VQY17_RS02015	DR086_RS00440
OG0000166	VQY17_RS02035	DR086_RS00460
OG0000167	VQY17_RS02050	DR086_RS00475
OG0000168	VQY17_RS02055	DR086_RS00480
OG0000169	VQY17_RS03035	DR086_RS01435
OG0000170	VQY17_RS03050	DR086_RS01420
OG0000171	VQY17_RS03060	DR086_RS01410
OG0000172	VQY17_RS03065	DR086_RS01405
OG0000173	VQY17_RS03070	DR086_RS01400
OG0000174	VQY17_RS03075	DR086_RS01395
OG0000175	VQY17_RS03090	DR086_RS01380
OG0000176	VQY17_RS03135	DR086_RS01330
OG0000177	VQY17_RS03140	DR086_RS01325
OG0000178	VQY17_RS03145	DR086_RS01320
OG0000179	VQY17_RS03155	DR086_RS01310
OG0000180	VQY17_RS03160	DR086_RS01305
OG0000181	VQY17_RS03210	DR086_RS05065
OG0000182	VQY17_RS03220	DR086_RS03535
OG0000183	VQY17_RS03255	DR086_RS02345
OG0000184	VQY17_RS03305	DR086_RS02390
OG0000185	VQY17_RS03290	DR086_RS02375
OG0000186	VQY17_RS01545	DR086_RS04895
OG0000187	VQY17_RS01560	DR086_RS01790
OG0000188	VQY17_RS01570	DR086_RS01780
OG0000189	VQY17_RS02305	DR086_RS04920
OG0000190	VQY17_RS02300	DR086_RS02035
OG0000191	VQY17_RS02280	DR086_RS02055
OG0000192	VQY17_RS01240	DR086_RS02515
OG0000193	VQY17_RS01230	DR086_RS02500
OG0000194	VQY17_RS00690	DR086_RS03025
OG0000195	VQY17_RS00695	DR086_RS03030
OG0000196	VQY17_RS00715	DR086_RS03050
OG0000197	VQY17_RS00720	DR086_RS03055
OG0000198	VQY17_RS00735	DR086_RS03070
OG0000199	VQY17_RS00740	DR086_RS03075
OG0000200	VQY17_RS00755	DR086_RS03090
OG0000201	VQY17_RS00765	DR086_RS03100
OG0000202	VQY17_RS00825	DR086_RS03345
OG0000203	VQY17_RS00830	DR086_RS03340
OG0000204	VQY17_RS00835	DR086_RS04975
OG0000205	VQY17_RS00840	DR086_RS02805
OG0000206	VQY17_RS00860	DR086_RS02825
OG0000207	VQY17_RS00875	DR086_RS02840
OG0000208	VQY17_RS00880	DR086_RS02845
OG0000209	VQY17_RS00885	DR086_RS02850
OG0000210	VQY17_RS00935	DR086_RS02895
OG0000211	VQY17_RS00970	DR086_RS02580
OG0000212	VQY17_RS00980	DR086_RS02590
OG0000213	VQY17_RS00985	DR086_RS02595
OG0000214	VQY17_RS00990	DR086_RS02600
OG0000215	VQY17_RS00995	DR086_RS02605
OG0000216	VQY17_RS01000	DR086_RS02610
OG0000217	VQY17_RS01005	DR086_RS02615
OG0000218	VQY17_RS01015	DR086_RS02625
OG0000219	VQY17_RS01020	DR086_RS02630
OG0000220	VQY17_RS01025	DR086_RS02635
OG0000221	VQY17_RS01030	DR086_RS02640
OG0000222	VQY17_RS01035	DR086_RS02645
OG0000223	VQY17_RS01040	DR086_RS02650
OG0000224	VQY17_RS01050	DR086_RS02660
OG0000225	VQY17_RS01060	DR086_RS02670
OG0000226	VQY17_RS01065	DR086_RS02675
OG0000227	VQY17_RS01070	DR086_RS02680
OG0000228	VQY17_RS01075	DR086_RS05105
OG0000229	VQY17_RS01080	DR086_RS02690
OG0000230	VQY17_RS01085	DR086_RS02695
OG0000231	VQY17_RS01095	DR086_RS02705
OG0000232	VQY17_RS01105	DR086_RS02715
OG0000233	VQY17_RS01125	DR086_RS01680
OG0000234	VQY17_RS01165	DR086_RS01715
OG0000235	VQY17_RS01175	DR086_RS01725
OG0000236	VQY17_RS01180	DR086_RS01730
OG0000237	VQY17_RS01185	DR086_RS01735
OG0000238	VQY17_RS01190	DR086_RS01745
OG0000239	VQY17_RS02930	DR086_RS02960
OG0000240	VQY17_RS02935	DR086_RS02955
OG0000241	VQY17_RS02945	DR086_RS02945
OG0000242	VQY17_RS02950	DR086_RS02940
OG0000243	VQY17_RS02955	DR086_RS02935
OG0000244	VQY17_RS02965	DR086_RS02925
OG0000245	VQY17_RS02970	DR086_RS02915
OG0000246	VQY17_RS00140	DR086_RS03275
OG0000247	VQY17_RS00150	DR086_RS00010
OG0000248	VQY17_RS00160	DR086_RS00020
OG0000249	VQY17_RS00165	DR086_RS00025
OG0000250	VQY17_RS00180	DR086_RS00040
OG0000251	VQY17_RS00210	DR086_RS00075
OG0000252	VQY17_RS00220	DR086_RS00085
OG0000253	VQY17_RS00225	DR086_RS00090
OG0000254	VQY17_RS00235	DR086_RS00100
OG0000255	VQY17_RS00245	DR086_RS00110
OG0000256	VQY17_RS00250	DR086_RS00115
OG0000257	VQY17_RS00275	DR086_RS00140
OG0000258	VQY17_RS00285	DR086_RS00150
OG0000259	VQY17_RS00315	DR086_RS00180
OG0000260	VQY17_RS00325	DR086_RS00190
OG0000261	VQY17_RS00335	DR086_RS04745
OG0000262	VQY17_RS00350	DR086_RS00215
OG0000263	VQY17_RS00365	DR086_RS00230
OG0000264	VQY17_RS00380	DR086_RS00245
OG0000265	VQY17_RS00390	DR086_RS00255
OG0000266	VQY17_RS00405	DR086_RS00270
OG0000267	VQY17_RS00420	DR086_RS00285
OG0000268	VQY17_RS00425	DR086_RS00290
OG0000269	VQY17_RS00440	DR086_RS00305
OG0000270	VQY17_RS03495	DR086_RS04945
OG0000271	VQY17_RS03490	DR086_RS02410
OG0000272	VQY17_RS03485	DR086_RS02405
OG0000273	VQY17_RS03480	DR086_RS02400
OG0000274	VQY17_RS03460	DR086_RS01450
OG0000275	VQY17_RS03455	DR086_RS04850
OG0000276	VQY17_RS03450	DR086_RS01460
OG0000277	VQY17_RS03435	DR086_RS01470
OG0000278	VQY17_RS03430	DR086_RS01475
OG0000279	VQY17_RS03420	DR086_RS01485
OG0000280	VQY17_RS03415	DR086_RS01490
OG0000281	VQY17_RS03410	DR086_RS01495
OG0000282	VQY17_RS03380	DR086_RS04860
OG0000283	VQY17_RS03375	DR086_RS01525
OG0000284	VQY17_RS03370	DR086_RS01530
OG0000285	VQY17_RS03365	DR086_RS04865
OG0000286	VQY17_RS02420	DR086_RS02220
OG0000287	VQY17_RS02510	DR086_RS00990
OG0000288	VQY17_RS02520	DR086_RS00980
OG0000289	VQY17_RS02525	DR086_RS00975
OG0000290	VQY17_RS02635	DR086_RS00865
OG0000291	VQY17_RS02625	DR086_RS00875
OG0000292	VQY17_RS02620	DR086_RS00880
OG0000293	VQY17_RS02615	DR086_RS00885
OG0000294	VQY17_RS02605	DR086_RS00895
OG0000295	VQY17_RS02600	DR086_RS00900
OG0000296	VQY17_RS02560	DR086_RS00940
OG0000297	VQY17_RS02555	DR086_RS00945
OG0000298	VQY17_RS00175	DR086_RS00035
OG0000299	VQY17_RS00195	DR086_RS00060
OG0000300	VQY17_RS00375	DR086_RS00240
OG0000301	VQY17_RS00410	DR086_RS00275
OG0000302	VQY17_RS00415	DR086_RS00280
OG0000303	VQY17_RS00560	DR086_RS02275
OG0000304	VQY17_RS01110	DR086_RS02725
OG0000305	VQY17_RS02860	DR086_RS01090
OG0000306	VQY17_RS02785	DR086_RS01015
OG0000307	VQY17_RS02745	DR086_RS03215
OG0000308	VQY17_RS02655	DR086_RS00845
OG0000309	VQY17_RS02590	DR086_RS00910
OG0000310	VQY17_RS02515	DR086_RS00985
OG0000311	VQY17_RS02480	DR086_RS02160
OG0000312	VQY17_RS02465	DR086_RS02175
OG0000313	VQY17_RS01630	DR086_RS03315
OG0000314	VQY17_RS02030	DR086_RS00455
OG0000315	VQY17_RS02060	DR086_RS00485
OG0000316	VQY17_RS02070	DR086_RS00495
OG0000317	VQY17_RS02170	DR086_RS00585
OG0000318	VQY17_RS02075	DR086_RS04760
OG0000319	VQY17_RS02235	DR086_RS02100
