Orthogroup	MHP_Ue273_genes	MHP_112B_genes
OG0000000	VQY17_RS02200	NBX26_RS01900
OG0000000	VQY17_RS02325	NBX26_RS01905
OG0000000	VQY17_RS01770	NBX26_RS01850
OG0000000	VQY17_RS01775	NBX26_RS01860
OG0000001	VQY17_RS01300	NBX26_RS01405
OG0000001	VQY17_RS02775	NBX26_RS02970
OG0000001	VQY17_RS02730	NBX26_RS02925, NBX26_RS02920
OG0000002	VQY17_RS02210	NBX26_RS02355
OG0000003	VQY17_RS00505	NBX26_RS00500, NBX26_RS00510
OG0000003	VQY17_RS00940	NBX26_RS00940
OG0000004	VQY17_RS03185	NBX26_RS03380
OG0000004	VQY17_RS03175	NBX26_RS03370
OG0000004	VQY17_RS03025, VQY17_RS03005	NBX26_RS03185
OG0000004	VQY17_RS02995	NBX26_RS03195
OG0000005	VQY17_RS00100	NBX26_RS00105
OG0000005	VQY17_RS00105	NBX26_RS00110
OG0000005	VQY17_RS00110	NBX26_RS00115
OG0000006	VQY17_RS02495	NBX26_RS02660
OG0000006	VQY17_RS02360	NBX26_RS02505
OG0000007	VQY17_RS00945	NBX26_RS00950
OG0000007	VQY17_RS00960	NBX26_RS00965
OG0000008	VQY17_RS02320	NBX26_RS02465
OG0000008	VQY17_RS02500	NBX26_RS02670, NBX26_RS02665
OG0000009	VQY17_RS00665	NBX26_RS00665
OG0000009	VQY17_RS00085	NBX26_RS00090
OG0000009	VQY17_RS00680	NBX26_RS00685
OG0000010	VQY17_RS01920	NBX26_RS02250
OG0000011	VQY17_RS02025	NBX26_RS02155
OG0000012	VQY17_RS01805	NBX26_RS01885
OG0000012	VQY17_RS01935	NBX26_RS02235
OG0000013	VQY17_RS02405	NBX26_RS02550
OG0000014	VQY17_RS00605	NBX26_RS00605
OG0000015	VQY17_RS01665	NBX26_RS01755, NBX26_RS01925
OG0000016	VQY17_RS00170	NBX26_RS00160
OG0000017	VQY17_RS00155	NBX26_RS00145
OG0000017	VQY17_RS02830	NBX26_RS03025
OG0000019	VQY17_RS03000, VQY17_RS03010	NBX26_RS03210, NBX26_RS03200
OG0000019	VQY17_RS03030	NBX26_RS03190
OG0000020	VQY17_RS03555	NBX26_RS03745
OG0000021	VQY17_RS00510	NBX26_RS02335
OG0000022	VQY17_RS01695	NBX26_RS01790
OG0000022	VQY17_RS01765	NBX26_RS01845
OG0000024	VQY17_RS02725	NBX26_RS02915
OG0000024	VQY17_RS01295	NBX26_RS01400
OG0000025	VQY17_RS01700	NBX26_RS01795
OG0000025	VQY17_RS01755	NBX26_RS01840
OG0000026	VQY17_RS01380	NBX26_RS01490
OG0000026	VQY17_RS01735	NBX26_RS01820
OG0000027	VQY17_RS03330	NBX26_RS03535
OG0000027	VQY17_RS03350	NBX26_RS03555
OG0000028	VQY17_RS02415	NBX26_RS02575, NBX26_RS02580
OG0000029	VQY17_RS01115	NBX26_RS01225
OG0000029	VQY17_RS00610	NBX26_RS00610
OG0000030	VQY17_RS03345	NBX26_RS03550
OG0000032	VQY17_RS01610	NBX26_RS01700
OG0000032	VQY17_RS03340	NBX26_RS03540, NBX26_RS03545
OG0000033	VQY17_RS02410	NBX26_RS02555, NBX26_RS02560
OG0000035	VQY17_RS03200	NBX26_RS03375
OG0000035	VQY17_RS03170	NBX26_RS03365
OG0000036	VQY17_RS00115	NBX26_RS00120
OG0000037	VQY17_RS01620	NBX26_RS01705
OG0000039	VQY17_RS01650, VQY17_RS01645	NBX26_RS01735
OG0000040	VQY17_RS03270	NBX26_RS03455
OG0000041	VQY17_RS00670	NBX26_RS00670
OG0000042	VQY17_RS02925	NBX26_RS03110
OG0000043	VQY17_RS01990	NBX26_RS02185
OG0000044	VQY17_RS01710	NBX26_RS01805
OG0000045	VQY17_RS01655	NBX26_RS01745
OG0000046	VQY17_RS03280	NBX26_RS03470
OG0000046	VQY17_RS03285	NBX26_RS03475, NBX26_RS03465, NBX26_RS03460
OG0000048	VQY17_RS02180	NBX26_RS01920
OG0000049	VQY17_RS03040	NBX26_RS03220
OG0000050	VQY17_RS02445	NBX26_RS02610
OG0000051	VQY17_RS02645	NBX26_RS02825
OG0000052	VQY17_RS00075	NBX26_RS00080, NBX26_RS00075
OG0000053	VQY17_RS01470	NBX26_RS01580
OG0000054	VQY17_RS02470	NBX26_RS02635
OG0000055	VQY17_RS00135	NBX26_RS00125
OG0000056	VQY17_RS03535	NBX26_RS03730
OG0000057	VQY17_RS02900, VQY17_RS02905	NBX26_RS03095
OG0000060	VQY17_RS00080	NBX26_RS00085
OG0000061	VQY17_RS01930	NBX26_RS02240
OG0000062	VQY17_RS03585	NBX26_RS03775
OG0000063	VQY17_RS03580	NBX26_RS03770
OG0000064	VQY17_RS03570	NBX26_RS03760
OG0000065	VQY17_RS02255	NBX26_RS02400
OG0000066	VQY17_RS01370	NBX26_RS01480
OG0000068	VQY17_RS00645	NBX26_RS00645
OG0000069	VQY17_RS02795	NBX26_RS02990
OG0000070	VQY17_RS02475	NBX26_RS02640
OG0000071	VQY17_RS03260	NBX26_RS03445
OG0000072	VQY17_RS03265	NBX26_RS03450
OG0000073	VQY17_RS00705	NBX26_RS00715
OG0000074	VQY17_RS00910	NBX26_RS00910
OG0000075	VQY17_RS00345	NBX26_RS00335
OG0000076	VQY17_RS00360	NBX26_RS00350
OG0000077	VQY17_RS00445	NBX26_RS00435
OG0000078	VQY17_RS01715	NBX26_RS01810
OG0000079	VQY17_RS02550	NBX26_RS02720
OG0000080	VQY17_RS02595	NBX26_RS02765
OG0000081	VQY17_RS00340	NBX26_RS00330
OG0000083	VQY17_RS02095	NBX26_RS02080
OG0000084	VQY17_RS02125	NBX26_RS02050
OG0000085	VQY17_RS02135	NBX26_RS02045
OG0000086	VQY17_RS02145	NBX26_RS02030
OG0000087	VQY17_RS02160	NBX26_RS02015
OG0000088	VQY17_RS02165	NBX26_RS02010
OG0000089	VQY17_RS02175	NBX26_RS02000
OG0000090	VQY17_RS00070	NBX26_RS00070
OG0000091	VQY17_RS00055	NBX26_RS00055
OG0000092	VQY17_RS00040	NBX26_RS00040
OG0000093	VQY17_RS00035	NBX26_RS00035
OG0000094	VQY17_RS00030	NBX26_RS00030
OG0000095	VQY17_RS00005	NBX26_RS00005
OG0000096	VQY17_RS03620	NBX26_RS03810
OG0000097	VQY17_RS03600	NBX26_RS03790
OG0000098	VQY17_RS03590	NBX26_RS03780
OG0000099	VQY17_RS03540	NBX26_RS03735
OG0000100	VQY17_RS03525	NBX26_RS03720
OG0000101	VQY17_RS03520	NBX26_RS03715
OG0000102	VQY17_RS01750	NBX26_RS01835
OG0000103	VQY17_RS02220	NBX26_RS02365
OG0000104	VQY17_RS02225	NBX26_RS02370
OG0000105	VQY17_RS02240	NBX26_RS02390
OG0000106	VQY17_RS02250	NBX26_RS02395
OG0000107	VQY17_RS02260	NBX26_RS02405
OG0000108	VQY17_RS02265	NBX26_RS02410
OG0000109	VQY17_RS02270	NBX26_RS02415
OG0000110	VQY17_RS02390	NBX26_RS02535
OG0000111	VQY17_RS02385	NBX26_RS02530
OG0000112	VQY17_RS02375	NBX26_RS02520
OG0000113	VQY17_RS02355	NBX26_RS02500
OG0000114	VQY17_RS02345	NBX26_RS02490
OG0000115	VQY17_RS02335	NBX26_RS02480
OG0000116	VQY17_RS01315	NBX26_RS01420
OG0000117	VQY17_RS01320	NBX26_RS01425
OG0000118	VQY17_RS01355	NBX26_RS01460
OG0000119	VQY17_RS01360	NBX26_RS01470
OG0000120	VQY17_RS01375	NBX26_RS01485
OG0000121	VQY17_RS01405	NBX26_RS01515
OG0000122	VQY17_RS01410	NBX26_RS01520
OG0000123	VQY17_RS01430	NBX26_RS01540
OG0000124	VQY17_RS01435	NBX26_RS01545
OG0000125	VQY17_RS01440	NBX26_RS01550
OG0000126	VQY17_RS01455	NBX26_RS01560
OG0000127	VQY17_RS01460	NBX26_RS01570
OG0000128	VQY17_RS01475	NBX26_RS01585
OG0000129	VQY17_RS01480	NBX26_RS01590
OG0000130	VQY17_RS01490	NBX26_RS01600
OG0000131	VQY17_RS01520	NBX26_RS01630
OG0000132	VQY17_RS01535	NBX26_RS01645
OG0000133	VQY17_RS00530	NBX26_RS00530
OG0000134	VQY17_RS00535	NBX26_RS00535
OG0000135	VQY17_RS00550	NBX26_RS00550
OG0000136	VQY17_RS00555	NBX26_RS00555
OG0000137	VQY17_RS00595	NBX26_RS00595
OG0000138	VQY17_RS00620	NBX26_RS00620
OG0000139	VQY17_RS00650	NBX26_RS00650
OG0000140	VQY17_RS00655	NBX26_RS00655
OG0000141	VQY17_RS02915	NBX26_RS03105
OG0000142	VQY17_RS02910	NBX26_RS03100
OG0000143	VQY17_RS02885	NBX26_RS03085
OG0000144	VQY17_RS02875	NBX26_RS03070
OG0000145	VQY17_RS02865	NBX26_RS03060
OG0000146	VQY17_RS02855	NBX26_RS03050
OG0000147	VQY17_RS02850	NBX26_RS03045
OG0000148	VQY17_RS02835	NBX26_RS03030
OG0000149	VQY17_RS02825	NBX26_RS03020
OG0000150	VQY17_RS02810	NBX26_RS03005
OG0000151	VQY17_RS02760	NBX26_RS02955
OG0000152	VQY17_RS02755	NBX26_RS02950
OG0000153	VQY17_RS02750	NBX26_RS02945
OG0000154	VQY17_RS02740	NBX26_RS02935
OG0000155	VQY17_RS02705	NBX26_RS02895
OG0000156	VQY17_RS02695	NBX26_RS02890
OG0000157	VQY17_RS02690	NBX26_RS02880
OG0000158	VQY17_RS02680	NBX26_RS02870
OG0000159	VQY17_RS02460	NBX26_RS02625
OG0000160	VQY17_RS02455	NBX26_RS02620
OG0000161	VQY17_RS02450	NBX26_RS02615
OG0000162	VQY17_RS02440	NBX26_RS02605
OG0000163	VQY17_RS02435	NBX26_RS02600
OG0000164	VQY17_RS01640	NBX26_RS01730
OG0000165	VQY17_RS02015	NBX26_RS02160
OG0000166	VQY17_RS02035	NBX26_RS02140
OG0000167	VQY17_RS02050	NBX26_RS02125
OG0000168	VQY17_RS02055	NBX26_RS02120
OG0000169	VQY17_RS03035	NBX26_RS03215
OG0000170	VQY17_RS03050	NBX26_RS03230
OG0000171	VQY17_RS03060	NBX26_RS03240
OG0000172	VQY17_RS03065	NBX26_RS03245
OG0000173	VQY17_RS03070	NBX26_RS03250
OG0000174	VQY17_RS03075	NBX26_RS03255
OG0000175	VQY17_RS03090	NBX26_RS03270
OG0000176	VQY17_RS03135	NBX26_RS03330
OG0000177	VQY17_RS03140	NBX26_RS03335
OG0000178	VQY17_RS03145	NBX26_RS03340
OG0000179	VQY17_RS03155	NBX26_RS03350
OG0000180	VQY17_RS03160	NBX26_RS03355
OG0000181	VQY17_RS03210	NBX26_RS03395
OG0000182	VQY17_RS03220	NBX26_RS03405
OG0000183	VQY17_RS03255	NBX26_RS03440
OG0000184	VQY17_RS03305	NBX26_RS03495
OG0000185	VQY17_RS03290	NBX26_RS03480
OG0000186	VQY17_RS01545	NBX26_RS01655
OG0000187	VQY17_RS01560	NBX26_RS01670
OG0000188	VQY17_RS01570	NBX26_RS01680
OG0000189	VQY17_RS02305	NBX26_RS02455
OG0000190	VQY17_RS02300	NBX26_RS02450
OG0000191	VQY17_RS02280	NBX26_RS02425
OG0000192	VQY17_RS01240	NBX26_RS01345
OG0000193	VQY17_RS01230	NBX26_RS01330
OG0000194	VQY17_RS00690	NBX26_RS00695
OG0000195	VQY17_RS00695	NBX26_RS00700
OG0000196	VQY17_RS00715	NBX26_RS00725
OG0000197	VQY17_RS00720	NBX26_RS00735
OG0000198	VQY17_RS00735	NBX26_RS00745
OG0000199	VQY17_RS00740	NBX26_RS00750
OG0000200	VQY17_RS00755	NBX26_RS00765
OG0000201	VQY17_RS00765	NBX26_RS00775
OG0000202	VQY17_RS00825	NBX26_RS00830
OG0000203	VQY17_RS00830	NBX26_RS00835
OG0000204	VQY17_RS00835	NBX26_RS00840
OG0000205	VQY17_RS00840	NBX26_RS00845
OG0000206	VQY17_RS00860	NBX26_RS00865
OG0000207	VQY17_RS00875	NBX26_RS00880
OG0000208	VQY17_RS00880	NBX26_RS00885
OG0000209	VQY17_RS00885	NBX26_RS00890
OG0000210	VQY17_RS00935	NBX26_RS00935
OG0000211	VQY17_RS00970	NBX26_RS01080
OG0000212	VQY17_RS00980	NBX26_RS01085
OG0000213	VQY17_RS00985	NBX26_RS01090
OG0000214	VQY17_RS00990	NBX26_RS01095
OG0000215	VQY17_RS00995	NBX26_RS01100
OG0000216	VQY17_RS01000	NBX26_RS01105
OG0000217	VQY17_RS01005	NBX26_RS01110
OG0000218	VQY17_RS01015	NBX26_RS01120
OG0000219	VQY17_RS01020	NBX26_RS01125
OG0000220	VQY17_RS01025	NBX26_RS01130
OG0000221	VQY17_RS01030	NBX26_RS01135
OG0000222	VQY17_RS01035	NBX26_RS01140
OG0000223	VQY17_RS01040	NBX26_RS01145
OG0000224	VQY17_RS01050	NBX26_RS01155
OG0000225	VQY17_RS01060	NBX26_RS01165
OG0000226	VQY17_RS01065	NBX26_RS01170
OG0000227	VQY17_RS01070	NBX26_RS01175
OG0000228	VQY17_RS01075	NBX26_RS01180
OG0000229	VQY17_RS01080	NBX26_RS01185
OG0000230	VQY17_RS01085	NBX26_RS01190
OG0000231	VQY17_RS01095	NBX26_RS01200
OG0000232	VQY17_RS01105	NBX26_RS01210
OG0000233	VQY17_RS01125	NBX26_RS01230
OG0000234	VQY17_RS01165	NBX26_RS01265
OG0000235	VQY17_RS01175	NBX26_RS01275
OG0000236	VQY17_RS01180	NBX26_RS01280
OG0000237	VQY17_RS01185	NBX26_RS01285
