Orthogroup	MHP_Ue273_genes	MFC_Ms42_genes
OG0000000	VQY17_RS02200	MYF_RS01330
OG0000001	VQY17_RS01300, VQY17_RS02775, VQY17_RS02730	MYF_RS03415
OG0000002	VQY17_RS02210, VQY17_RS02205	MYF_RS01530
OG0000002	VQY17_RS01780	MYF_RS03010
OG0000004	VQY17_RS03025, VQY17_RS03005	MYF_RS02520
OG0000011	VQY17_RS02025	MYF_RS03310
OG0000011	VQY17_RS02020	MYF_RS01270
OG0000013	VQY17_RS02405	MYF_RS03170, MYF_RS01100
OG0000013	VQY17_RS00185	MYF_RS03400
OG0000014	VQY17_RS01120, VQY17_RS00605	MYF_RS00550
OG0000016	VQY17_RS02820	MYF_RS00730
OG0000017	VQY17_RS00155	MYF_RS03155
OG0000017	VQY17_RS02830	MYF_RS00720
OG0000019	VQY17_RS03000, VQY17_RS03010	MYF_RS03450
OG0000019	VQY17_RS02990	MYF_RS03440
OG0000020	VQY17_RS03550	MYF_RS03080
OG0000020	VQY17_RS03555	MYF_RS03085
OG0000022	VQY17_RS01765	MYF_RS03025
OG0000024	VQY17_RS02725, VQY17_RS01295	MYF_RS00790
OG0000025	VQY17_RS01755	MYF_RS03030
OG0000026	VQY17_RS01380, VQY17_RS01735	MYF_RS01715
OG0000027	VQY17_RS03350	MYF_RS02825
OG0000029	VQY17_RS01115, VQY17_RS00610	MYF_RS00555
OG0000030	VQY17_RS03345	MYF_RS02820
OG0000031	VQY17_RS01635	MYF_RS01215
OG0000032	VQY17_RS03335, VQY17_RS01615, VQY17_RS01610	MYF_RS03490
OG0000032	VQY17_RS03340	MYF_RS02815
OG0000037	VQY17_RS01620	MYF_RS03005
OG0000039	VQY17_RS01650, VQY17_RS01645	MYF_RS03160, MYF_RS00615
OG0000040	VQY17_RS03270	MYF_RS02770, MYF_RS00840
OG0000042	VQY17_RS02925, VQY17_RS02920	MYF_RS00610, MYF_RS00765
OG0000043	VQY17_RS01990	MYF_RS01240
OG0000045	VQY17_RS01655	MYF_RS00630
OG0000048	VQY17_RS02180	MYF_RS01350
OG0000049	VQY17_RS03040	MYF_RS03265, MYF_RS03455
OG0000050	VQY17_RS02445	MYF_RS01180
OG0000051	VQY17_RS02645	MYF_RS02420
OG0000052	VQY17_RS00075	MYF_RS00075
OG0000053	VQY17_RS01470	MYF_RS01800
OG0000054	VQY17_RS02470	MYF_RS01155
OG0000055	VQY17_RS00135	MYF_RS03395, MYF_RS03525
OG0000056	VQY17_RS03535	MYF_RS03060
OG0000057	VQY17_RS02900, VQY17_RS02905	MYF_RS00645
OG0000062	VQY17_RS03585	MYF_RS03115
OG0000063	VQY17_RS03580	MYF_RS03110
OG0000064	VQY17_RS03570	MYF_RS03100
OG0000065	VQY17_RS02255	MYF_RS01575
OG0000066	VQY17_RS01370	MYF_RS01705
OG0000067	VQY17_RS00525	MYF_RS00480
OG0000068	VQY17_RS00645	MYF_RS00590
OG0000069	VQY17_RS02795	MYF_RS00755
OG0000070	VQY17_RS02475	MYF_RS01135
