#                                                                                   --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name               accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#       ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
scf00000000:24459-26255|-   -            599 501at2085            -            526  4.8e-249  822.7   9.2   1   1  7.1e-251  9.7e-249  821.7   9.2     1   526     1   594     1   594 0.93 scf00000000_22 # 24459 # 26255 # -1 # ID=1_22;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.343
scf00000000:19087-21171|+   -            695 501at2085            -            526   5.7e-47  155.9   1.2   1   4   1.8e-36   2.4e-34  114.2   0.1     4   153     8   162     5   186 0.86 scf00000000_19 # 19087 # 21171 # 1 # ID=1_19;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.372
scf00000000:19087-21171|+   -            695 501at2085            -            526   5.7e-47  155.9   1.2   2   4      0.53        73   -2.9   0.0   155   173   263   281   256   293 0.80 scf00000000_19 # 19087 # 21171 # 1 # ID=1_19;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.372
scf00000000:19087-21171|+   -            695 501at2085            -            526   5.7e-47  155.9   1.2   3   4     6e-12   8.3e-10   33.2   0.1   170   339   301   485   289   498 0.69 scf00000000_19 # 19087 # 21171 # 1 # ID=1_19;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.372
scf00000000:19087-21171|+   -            695 501at2085            -            526   5.7e-47  155.9   1.2   4   4    0.0026      0.36    4.7   0.0   350   411   607   675   595   691 0.78 scf00000000_19 # 19087 # 21171 # 1 # ID=1_19;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.372
scf00000000:262202-264001|+ -            600 501at2085            -            526   2.4e-19   64.7   2.9   1   3   1.7e-21   2.4e-19   64.7   2.9    10   196   117   308   115   321 0.77 scf00000000_193 # 262202 # 264001 # 1 # ID=1_193;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.350
scf00000000:262202-264001|+ -            600 501at2085            -            526   2.4e-19   64.7   2.9   2   3      0.65        89   -3.2   0.5   136   181   389   434   381   451 0.73 scf00000000_193 # 262202 # 264001 # 1 # ID=1_193;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.350
scf00000000:262202-264001|+ -            600 501at2085            -            526   2.4e-19   64.7   2.9   3   3      0.34        47   -2.2   0.0   382   408   480   506   460   516 0.80 scf00000000_193 # 262202 # 264001 # 1 # ID=1_193;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.350
scf00000000:327602-328810|+ -            403 501at2085            -            526   1.8e-18   61.8   3.1   1   2   3.1e-20   4.2e-18   60.6   0.3     8   140    20   155    14   168 0.88 scf00000000_246 # 327602 # 328810 # 1 # ID=1_246;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.400
scf00000000:327602-328810|+ -            403 501at2085            -            526   1.8e-18   61.8   3.1   2   2     0.023       3.2    1.6   0.2   161   256   205   309   194   325 0.67 scf00000000_246 # 327602 # 328810 # 1 # ID=1_246;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.400
scf00000000:26813-28114|-   -            434 501at2085            -            526   1.1e-12   42.7   0.5   1   2   3.1e-05    0.0042   11.1   0.1    62   180    45   170    35   173 0.76 scf00000000_25 # 26813 # 28114 # -1 # ID=1_25;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.291
