#                                                                                   --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name               accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#       ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
scf00000000:883347-884138|- -            264 1679at2085           -            265   1.2e-78  259.4  13.2   1   1   1.5e-80   1.3e-78  259.3  13.2    12   256     1   255     1   263 0.90 scf00000000_675 # 883347 # 884138 # -1 # ID=1_675;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=3-4bp;gc_cont=0.265
scf00000000:26813-28114|-   -            434 1679at2085           -            265   3.5e-23   77.5  11.9   1   3   1.5e-11   1.3e-09   33.1   0.2   123   177     6    64     1    79 0.80 scf00000000_25 # 26813 # 28114 # -1 # ID=1_25;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.291
scf00000000:26813-28114|-   -            434 1679at2085           -            265   3.5e-23   77.5  11.9   2   3   1.6e-12   1.4e-10   36.3   0.5    22   173    78   228    71   240 0.77 scf00000000_25 # 26813 # 28114 # -1 # ID=1_25;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.291
scf00000000:26813-28114|-   -            434 1679at2085           -            265   3.5e-23   77.5  11.9   3   3   7.1e-06   0.00061   14.4   1.1    24   139   251   380   245   386 0.62 scf00000000_25 # 26813 # 28114 # -1 # ID=1_25;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.291
scf00000000:443075-443671|+ -            199 1679at2085           -            265   2.4e-13   45.3   5.4   1   2   8.2e-13     7e-11   37.2   0.1   123   172    41    91    32   106 0.90 scf00000000_327 # 443075 # 443671 # 1 # ID=1_327;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.298
scf00000000:443075-443671|+ -            199 1679at2085           -            265   2.4e-13   45.3   5.4   2   2   0.00018     0.016    9.8   1.8    24    97   117   195   102   198 0.78 scf00000000_327 # 443075 # 443671 # 1 # ID=1_327;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.298
scf00000000:756554-757882|+ -            443 1679at2085           -            265   1.5e-12   42.7  15.7   1   3       1.1        91   -2.5   0.1   231   258   137   164   114   170 0.58 scf00000000_555 # 756554 # 757882 # 1 # ID=1_555;partial=00;start_type=TTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.314
scf00000000:756554-757882|+ -            443 1679at2085           -            265   1.5e-12   42.7  15.7   2   3   1.3e-13   1.1e-11   39.8   0.2    97   174   194   275   185   287 0.79 scf00000000_555 # 756554 # 757882 # 1 # ID=1_555;partial=00;start_type=TTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.314
scf00000000:756554-757882|+ -            443 1679at2085           -            265   1.5e-12   42.7  15.7   3   3   0.00027     0.023    9.3   6.3    21   104   291   366   283   386 0.70 scf00000000_555 # 756554 # 757882 # 1 # ID=1_555;partial=00;start_type=TTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.314
scf00000000:800307-801188|+ -            294 1679at2085           -            265   1.5e-10   36.1   9.5   1   2   2.1e-11   1.8e-09   32.6   0.3   119   175     6    66     2    84 0.78 scf00000000_607 # 800307 # 801188 # 1 # ID=1_607;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.291
scf00000000:800307-801188|+ -            294 1679at2085           -            265   1.5e-10   36.1   9.5   2   2    0.0015      0.13    6.8   4.0    47   103   108   169    77   190 0.77 scf00000000_607 # 800307 # 801188 # 1 # ID=1_607;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.291
