Orthogroup	MHP_168_genes	MHP_KM014_genes
OG0000001	MHP168_RS03950	CIB43_RS02150
OG0000001	MHP168_RS02805	CIB43_RS03715
OG0000001	MHP168_RS02755, MHP168_RS02760	CIB43_RS03670
OG0000002	MHP168_RS03985	CIB43_RS03100
OG0000002	MHP168_RS01665, MHP168_RS01685	CIB43_RS02610
OG0000003	MHP168_RS01845	CIB43_RS01390
OG0000003	MHP168_RS03875	CIB43_RS02725
OG0000004	MHP168_RS03180	CIB43_RS00290
OG0000005	MHP168_RS00085	CIB43_RS00810
OG0000006	MHP168_RS02510, MHP168_RS02505	CIB43_RS03435
OG0000006	MHP168_RS02320, MHP168_RS02355	CIB43_RS03420
OG0000008	MHP168_RS02310	CIB43_RS03225
OG0000009	MHP168_RS00975	CIB43_RS01550
OG0000010	MHP168_RS01930	CIB43_RS02735
OG0000010	MHP168_RS00080	CIB43_RS00795
OG0000011	MHP168_RS04085	CIB43_RS02850
OG0000014	MHP168_RS01070	CIB43_RS01955
OG0000015	MHP168_RS03520	CIB43_RS01235
OG0000015	MHP168_RS01265	CIB43_RS00010
OG0000015	MHP168_RS03815	CIB43_RS01220
OG0000016	MHP168_RS02850	CIB43_RS03755
OG0000017	MHP168_RS00130	CIB43_RS00855
OG0000017	MHP168_RS02860	CIB43_RS03765
OG0000018	MHP168_RS04035	CIB43_RS01250
OG0000018	MHP168_RS04030	CIB43_RS01185
OG0000020	MHP168_RS03585	CIB43_RS00635
OG0000021	MHP168_RS00485	CIB43_RS02635
OG0000022	MHP168_RS01710	CIB43_RS02590
OG0000023	MHP168_RS03930	CIB43_RS00020
OG0000023	MHP168_RS03535	CIB43_RS01245
OG0000024	MHP168_RS03940	CIB43_RS02140
OG0000025	MHP168_RS01715	CIB43_RS02585
OG0000026	MHP168_RS01735	CIB43_RS02565
OG0000027	MHP168_RS03330	CIB43_RS00440
OG0000028	MHP168_RS02415, MHP168_RS02420	CIB43_RS03340
OG0000030	MHP168_RS03325	CIB43_RS00435
OG0000031	MHP168_RS03565	CIB43_RS01295
OG0000031	MHP168_RS01210	CIB43_RS00065
OG0000035	MHP168_RS03185	CIB43_RS00280
OG0000035	MHP168_RS03170	CIB43_RS00270
OG0000036	MHP168_RS00105	CIB43_RS00815
OG0000038	MHP168_RS01840	CIB43_RS02625
OG0000039	MHP168_RS01800	CIB43_RS02500
OG0000041	MHP168_RS00980	CIB43_RS03980
OG0000042	MHP168_RS02950	CIB43_RS03855
OG0000043	MHP168_RS01985	CIB43_RS02825
OG0000043	MHP168_RS01205	CIB43_RS00070
OG0000044	MHP168_RS01880	CIB43_RS02665
OG0000045	MHP168_RS01795	CIB43_RS02520
OG0000047	MHP168_RS01230	CIB43_RS00045
OG0000048	MHP168_RS02190	CIB43_RS02995
OG0000049	MHP168_RS03035	CIB43_RS00150
OG0000051	MHP168_RS04010, MHP168_RS02660	CIB43_RS03575
OG0000052	MHP168_RS00070	CIB43_RS00775
OG0000053	MHP168_RS01535	CIB43_RS02315
OG0000054	MHP168_RS02475	CIB43_RS03395
OG0000055	MHP168_RS00110	CIB43_RS00835
OG0000056	MHP168_RS03500	CIB43_RS00630, CIB43_RS03960
OG0000057	MHP168_RS02935	CIB43_RS03840
OG0000058	MHP168_RS01190	CIB43_RS00085
OG0000058	MHP168_RS03570	CIB43_RS01300
OG0000059	MHP168_RS03925	CIB43_RS00080, CIB43_RS01165
OG0000060	MHP168_RS01270, MHP168_RS00075	CIB43_RS00780
OG0000061	MHP168_RS01655	CIB43_RS02745
OG0000062	MHP168_RS03625	CIB43_RS00675
OG0000063	MHP168_RS03620	CIB43_RS00660
OG0000064	MHP168_RS03610	CIB43_RS00650
OG0000065	MHP168_RS02125	CIB43_RS03145
OG0000068	MHP168_RS03810	CIB43_RS01520
OG0000069	MHP168_RS02825	CIB43_RS03740
OG0000070	MHP168_RS02480	CIB43_RS03400
OG0000071	MHP168_RS03250	CIB43_RS00360
OG0000072	MHP168_RS03255	CIB43_RS00375
OG0000073	MHP168_RS00950	CIB43_RS01580
OG0000075	MHP168_RS00315	CIB43_RS01060
OG0000077	MHP168_RS00420	CIB43_RS01330
OG0000078	MHP168_RS01745	CIB43_RS02560
OG0000079	MHP168_RS02565	CIB43_RS03480
OG0000080	MHP168_RS03900	CIB43_RS03525
OG0000081	MHP168_RS00310	CIB43_RS01055
OG0000082	MHP168_RS04000	CIB43_RS03315
OG0000083	MHP168_RS02095	CIB43_RS02935
OG0000084	MHP168_RS02245	CIB43_RS02955
OG0000086	MHP168_RS02230	CIB43_RS02970
OG0000087	MHP168_RS02215	CIB43_RS02975
OG0000088	MHP168_RS02210	CIB43_RS02980
OG0000089	MHP168_RS02195	CIB43_RS02990
OG0000090	MHP168_RS00065	CIB43_RS00770
OG0000091	MHP168_RS00055	CIB43_RS00760
OG0000092	MHP168_RS00040	CIB43_RS00745
OG0000093	MHP168_RS00035	CIB43_RS00735
OG0000094	MHP168_RS00030	CIB43_RS00730
OG0000095	MHP168_RS00005	CIB43_RS00715
OG0000096	MHP168_RS03660	CIB43_RS00700
OG0000097	MHP168_RS03640	CIB43_RS00690
OG0000100	MHP168_RS03490	CIB43_RS00610
OG0000101	MHP168_RS03485	CIB43_RS00600
OG0000102	MHP168_RS01720	CIB43_RS02580
OG0000103	MHP168_RS02160	CIB43_RS03110
OG0000104	MHP168_RS02155	CIB43_RS03120
OG0000105	MHP168_RS02140	CIB43_RS03130
OG0000106	MHP168_RS02130	CIB43_RS03140
OG0000107	MHP168_RS02120	CIB43_RS03150
OG0000108	MHP168_RS02115	CIB43_RS03155
OG0000109	MHP168_RS02110	CIB43_RS03160
OG0000110	MHP168_RS02385	CIB43_RS03290
OG0000111	MHP168_RS02380	CIB43_RS03285
OG0000112	MHP168_RS02370	CIB43_RS03280
OG0000113	MHP168_RS02350	CIB43_RS03260
OG0000114	MHP168_RS02340	CIB43_RS03245
OG0000115	MHP168_RS02325	CIB43_RS03230
