Orthogroup	MHP_168_genes	MFC_MF18_genes
OG0000000	MHP168_RS02175	DR082_RS03155
OG0000001	MHP168_RS01365, MHP168_RS03950, MHP168_RS02805, MHP168_RS02755, MHP168_RS02760	DR082_RS00825, DR082_RS00820
OG0000002	MHP168_RS03895	DR082_RS03795
OG0000002	MHP168_RS01665, MHP168_RS01685	DR082_RS03830
OG0000011	MHP168_RS04085, MHP168_RS02020	DR082_RS03895, DR082_RS03545
OG0000011	MHP168_RS02015	DR082_RS02625
OG0000013	MHP168_RS02405	DR082_RS01090, DR082_RS01085
OG0000013	MHP168_RS03910	DR082_RS03095
OG0000014	MHP168_RS01070, MHP168_RS01055	DR082_RS03685
OG0000016	MHP168_RS02850	DR082_RS00770
OG0000017	MHP168_RS00130	DR082_RS00175
OG0000017	MHP168_RS02860	DR082_RS00760
OG0000018	MHP168_RS04035, MHP168_RS04030	DR082_RS03790
OG0000020	MHP168_RS03580	DR082_RS03840
OG0000020	MHP168_RS03585	DR082_RS03845
OG0000022	MHP168_RS01710	DR082_RS03835
OG0000023	MHP168_RS01405, MHP168_RS03930, MHP168_RS03535	DR082_RS02000
OG0000024	MHP168_RS02750, MHP168_RS03940, MHP168_RS03945	DR082_RS00830
OG0000025	MHP168_RS01715	DR082_RS02390
OG0000026	MHP168_RS01450, MHP168_RS01735	DR082_RS02045
OG0000027	MHP168_RS03845	DR082_RS02575
OG0000027	MHP168_RS03330	DR082_RS03875
OG0000028	MHP168_RS02415, MHP168_RS02420	DR082_RS01105
OG0000029	MHP168_RS00575, MHP168_RS01050	DR082_RS00605
OG0000030	MHP168_RS03310, MHP168_RS03325	DR082_RS03880
OG0000031	MHP168_RS03565, MHP168_RS01210, MHP168_RS01815	DR082_RS01195
OG0000032	MHP168_RS03320	DR082_RS02570
OG0000039	MHP168_RS01800	DR082_RS00665
OG0000040	MHP168_RS03260	DR082_RS01855, DR082_RS00885
OG0000042	MHP168_RS02950	DR082_RS00660, DR082_RS00805
OG0000043	MHP168_RS01205	DR082_RS02595
OG0000045	MHP168_RS01795	DR082_RS03225, DR082_RS03230
OG0000047	MHP168_RS03530, MHP168_RS01230	DR082_RS00835
OG0000048	MHP168_RS02190	DR082_RS03010, DR082_RS02750
OG0000050	MHP168_RS02450	DR082_RS01160
OG0000051	MHP168_RS04010	DR082_RS01520
OG0000052	MHP168_RS00070	DR082_RS03660
OG0000053	MHP168_RS01535	DR082_RS03920
OG0000054	MHP168_RS02475	DR082_RS01135
OG0000055	MHP168_RS00110	DR082_RS03970
OG0000056	MHP168_RS03500	DR082_RS02415
OG0000057	MHP168_RS02935	DR082_RS00685
OG0000062	MHP168_RS03625	DR082_RS00025
OG0000063	MHP168_RS03620	DR082_RS00020
OG0000064	MHP168_RS03610	DR082_RS00010
OG0000065	MHP168_RS02125	DR082_RS01905
OG0000066	MHP168_RS01440	DR082_RS02035
OG0000068	MHP168_RS03810	DR082_RS00640
OG0000069	MHP168_RS02825	DR082_RS00795
OG0000070	MHP168_RS02480	DR082_RS01115
OG0000071	MHP168_RS03250	DR082_RS01840
OG0000072	MHP168_RS03255	DR082_RS03775
OG0000073	MHP168_RS00950	DR082_RS02205
OG0000074	MHP168_RS00760	DR082_RS03730
OG0000075	MHP168_RS00315	DR082_RS00360
OG0000076	MHP168_RS00330	DR082_RS00375
OG0000077	MHP168_RS00420	DR082_RS00460
OG0000078	MHP168_RS01745	DR082_RS00920
OG0000079	MHP168_RS02565	DR082_RS01035
OG0000080	MHP168_RS03900	DR082_RS03280
OG0000081	MHP168_RS00310	DR082_RS00355
OG0000082	MHP168_RS03995, MHP168_RS04000	DR082_RS01095
OG0000083	MHP168_RS02095	DR082_RS02990
OG0000084	MHP168_RS02245	DR082_RS02700
OG0000085	MHP168_RS02240	DR082_RS03060, DR082_RS02705
OG0000086	MHP168_RS02230	DR082_RS03910
OG0000087	MHP168_RS02215	DR082_RS02730
OG0000088	MHP168_RS02210	DR082_RS02735
OG0000089	MHP168_RS02195	DR082_RS02745
OG0000090	MHP168_RS00065	DR082_RS00130
OG0000091	MHP168_RS00055	DR082_RS00115
OG0000092	MHP168_RS00040	DR082_RS00100
OG0000093	MHP168_RS00035	DR082_RS00095
OG0000094	MHP168_RS00030	DR082_RS00090
OG0000095	MHP168_RS00005	DR082_RS00065
OG0000096	MHP168_RS03660	DR082_RS00060
OG0000097	MHP168_RS03640	DR082_RS00040
OG0000098	MHP168_RS03630	DR082_RS00030
OG0000099	MHP168_RS03510	DR082_RS02420
OG0000100	MHP168_RS03490	DR082_RS02410
OG0000101	MHP168_RS03485	DR082_RS02405
OG0000102	MHP168_RS01720	DR082_RS02395
OG0000103	MHP168_RS02160	DR082_RS01870
OG0000104	MHP168_RS02155	DR082_RS01875
OG0000105	MHP168_RS02140	DR082_RS01890
OG0000106	MHP168_RS02130	DR082_RS01900
OG0000107	MHP168_RS02120	DR082_RS01910
OG0000108	MHP168_RS02115	DR082_RS01915
OG0000109	MHP168_RS02110	DR082_RS01920
OG0000110	MHP168_RS02385	DR082_RS01925
OG0000111	MHP168_RS02380	DR082_RS01930
OG0000112	MHP168_RS02370	DR082_RS01940
OG0000113	MHP168_RS02350	DR082_RS03785
OG0000114	MHP168_RS02340	DR082_RS01965
OG0000115	MHP168_RS02325	DR082_RS01975
OG0000116	MHP168_RS01380	DR082_RS01985
OG0000117	MHP168_RS01385	DR082_RS01990
OG0000118	MHP168_RS01425	DR082_RS02020
OG0000119	MHP168_RS01430	DR082_RS02025
OG0000120	MHP168_RS01445	DR082_RS02040
OG0000121	MHP168_RS01470	DR082_RS02065
OG0000122	MHP168_RS01475	DR082_RS02080
OG0000123	MHP168_RS01495	DR082_RS02870
OG0000124	MHP168_RS01500	DR082_RS02865
OG0000125	MHP168_RS01505	DR082_RS02860
OG0000126	MHP168_RS01515	DR082_RS02850
OG0000127	MHP168_RS01525	DR082_RS02840
OG0000128	MHP168_RS01540	DR082_RS02820
OG0000129	MHP168_RS01545	DR082_RS02815
OG0000130	MHP168_RS01555	DR082_RS02805
OG0000131	MHP168_RS01585	DR082_RS02775
OG0000132	MHP168_RS01600	DR082_RS03915
OG0000133	MHP168_RS00510	DR082_RS00535
OG0000134	MHP168_RS00515	DR082_RS03675
OG0000135	MHP168_RS00530	DR082_RS00555
OG0000136	MHP168_RS00535	DR082_RS00560
OG0000137	MHP168_RS00570	DR082_RS00590
OG0000138	MHP168_RS01030	DR082_RS00615
OG0000139	MHP168_RS01000	DR082_RS00645
OG0000140	MHP168_RS00995	DR082_RS00650
OG0000141	MHP168_RS02945	DR082_RS00675
OG0000142	MHP168_RS02940	DR082_RS03690
OG0000143	MHP168_RS02915	DR082_RS00705
OG0000144	MHP168_RS02905	DR082_RS00715
OG0000145	MHP168_RS02895	DR082_RS00725
OG0000146	MHP168_RS02885	DR082_RS00735
OG0000147	MHP168_RS02880	DR082_RS00740
OG0000148	MHP168_RS02865	DR082_RS00755
OG0000149	MHP168_RS02855	DR082_RS00765
OG0000150	MHP168_RS02840	DR082_RS00780
OG0000151	MHP168_RS02790	DR082_RS00840
OG0000152	MHP168_RS02785	DR082_RS00845
OG0000153	MHP168_RS02780	DR082_RS00850
OG0000154	MHP168_RS02770	DR082_RS00860
OG0000155	MHP168_RS02730	DR082_RS00880
OG0000156	MHP168_RS02720	DR082_RS00895
OG0000157	MHP168_RS02715	DR082_RS03695
OG0000158	MHP168_RS04090	DR082_RS03700
OG0000159	MHP168_RS02465	DR082_RS01145
OG0000160	MHP168_RS02460	DR082_RS01150
OG0000161	MHP168_RS02455	DR082_RS01155
OG0000162	MHP168_RS02445	DR082_RS01165
OG0000163	MHP168_RS02440	DR082_RS01170
OG0000164	MHP168_RS01810	DR082_RS03710
OG0000165	MHP168_RS02010	DR082_RS02620
OG0000166	MHP168_RS02035	DR082_RS02640
OG0000167	MHP168_RS02050	DR082_RS02655
OG0000168	MHP168_RS02055	DR082_RS02660
OG0000169	MHP168_RS03030	DR082_RS01635
OG0000170	MHP168_RS03045	DR082_RS01670
OG0000171	MHP168_RS03055	DR082_RS01680
