Orthogroup	MHP_168_genes	MHP_131B_genes
OG0000000	MHP168_RS02175	NB627_RS02355
OG0000000	MHP168_RS02315	NB627_RS02480
OG0000000	MHP168_RS01690	NB627_RS01860
OG0000001	MHP168_RS01365	NB627_RS01400, NB627_RS01405
OG0000001	MHP168_RS02755, MHP168_RS02760	NB627_RS02935
OG0000002	MHP168_RS03985	NB627_RS02365
OG0000002	MHP168_RS03895	NB627_RS02360
OG0000002	MHP168_RS01665, MHP168_RS01685	NB627_RS01865
OG0000003	MHP168_RS01845	NB627_RS01900, NB627_RS00610
OG0000003	MHP168_RS03875	NB627_RS01980
OG0000004	MHP168_RS03180	NB627_RS03390
OG0000004	MHP168_RS03190	NB627_RS03405
OG0000005	MHP168_RS00085	NB627_RS00100
OG0000005	MHP168_RS00095	NB627_RS00110
OG0000005	MHP168_RS00100, MHP168_RS03905	NB627_RS00125
OG0000006	MHP168_RS02505	NB627_RS02690
OG0000006	MHP168_RS02355	NB627_RS02520
OG0000008	MHP168_RS02310	NB627_RS02475
OG0000008	MHP168_RS01780	NB627_RS01765
OG0000008	MHP168_RS04005	NB627_RS02695
OG0000009	MHP168_RS00985	NB627_RS00775
OG0000009	MHP168_RS00975	NB627_RS00790
OG0000010	MHP168_RS01930	NB627_RS01985
OG0000011	MHP168_RS02015	NB627_RS02090
OG0000013	MHP168_RS02405	NB627_RS02570
OG0000013	MHP168_RS03910	NB627_RS00185
OG0000014	MHP168_RS01070	NB627_RS01205
OG0000014	MHP168_RS01055	NB627_RS00715
OG0000015	MHP168_RS03815	NB627_RS00525
OG0000016	MHP168_RS02850	NB627_RS03030
OG0000016	MHP168_RS00145	NB627_RS00170
OG0000017	MHP168_RS00130	NB627_RS00155
OG0000017	MHP168_RS02860	NB627_RS03040
OG0000018	MHP168_RS04030	NB627_RS00490
OG0000020	MHP168_RS03580	NB627_RS03755
OG0000020	MHP168_RS03585	NB627_RS03760
OG0000021	MHP168_RS00490, MHP168_RS01775	NB627_RS00620
OG0000021	MHP168_RS00485	NB627_RS00615
OG0000022	MHP168_RS01760	NB627_RS01790
OG0000022	MHP168_RS01710	NB627_RS01845
OG0000024	MHP168_RS02750	NB627_RS02930
OG0000024	MHP168_RS03940, MHP168_RS03945	NB627_RS01395
OG0000025	MHP168_RS01755	NB627_RS01795
OG0000025	MHP168_RS01715	NB627_RS01840
OG0000026	MHP168_RS01450	NB627_RS01490
OG0000026	MHP168_RS01735	NB627_RS01820
OG0000027	MHP168_RS03845	NB627_RS03540
OG0000027	MHP168_RS03330	NB627_RS03555
OG0000029	MHP168_RS00575	NB627_RS01200
OG0000029	MHP168_RS01050	NB627_RS00720
OG0000030	MHP168_RS03310	NB627_RS03530
OG0000030	MHP168_RS03325	NB627_RS03550
OG0000031	MHP168_RS03565	NB627_RS00445
