Orthogroup	MHP_168_genes	MHP_111A_genes
OG0000000	MHP168_RS02315	NB623_RS02460
OG0000000	MHP168_RS01690	NB623_RS01865
OG0000001	MHP168_RS01365	NB623_RS01400
OG0000001	MHP168_RS02805	NB623_RS02960
OG0000001	MHP168_RS02755	NB623_RS02915
OG0000001	MHP168_RS02760	NB623_RS02910
OG0000002	MHP168_RS03985	NB623_RS02345
OG0000002	MHP168_RS03895	NB623_RS01905
OG0000003	MHP168_RS01845	NB623_RS00495, NB623_RS00505
OG0000004	MHP168_RS03180	NB623_RS03360
OG0000004	MHP168_RS03190	NB623_RS03365
OG0000005	MHP168_RS00085	NB623_RS00105
OG0000005	MHP168_RS00095	NB623_RS00110
OG0000005	MHP168_RS00100, MHP168_RS03905	NB623_RS00115
OG0000006	MHP168_RS02510, MHP168_RS02505	NB623_RS02650
OG0000008	MHP168_RS02310	NB623_RS02455
OG0000008	MHP168_RS01780	NB623_RS01760
OG0000008	MHP168_RS04005	NB623_RS02660
OG0000009	MHP168_RS00985	NB623_RS00665
OG0000009	MHP168_RS00975	NB623_RS00680
OG0000010	MHP168_RS01930	NB623_RS02245
OG0000011	MHP168_RS04085	NB623_RS02145
OG0000011	MHP168_RS02015	NB623_RS02150
OG0000013	MHP168_RS02405	NB623_RS02540
OG0000014	MHP168_RS01070	NB623_RS01220
OG0000014	MHP168_RS01055	NB623_RS00600
OG0000015	MHP168_RS04045	NB623_RS01750
OG0000015	MHP168_RS03520	NB623_RS01925
OG0000016	MHP168_RS00145	NB623_RS00160
OG0000017	MHP168_RS00130	NB623_RS00145
OG0000017	MHP168_RS02860	NB623_RS03015
OG0000018	MHP168_RS04035	NB623_RS01950
OG0000020	MHP168_RS03580	NB623_RS03740
OG0000020	MHP168_RS03585	NB623_RS03745
OG0000021	MHP168_RS00490, MHP168_RS01775, MHP168_RS00485, MHP168_RS02335	NB623_RS02325
OG0000022	MHP168_RS01760	NB623_RS01785
OG0000022	MHP168_RS01710	NB623_RS01840
OG0000023	MHP168_RS03535	NB623_RS01940
OG0000024	MHP168_RS02750	NB623_RS02905
OG0000024	MHP168_RS03940, MHP168_RS03945	NB623_RS01395
OG0000025	MHP168_RS01755	NB623_RS01790
OG0000025	MHP168_RS01715	NB623_RS01835
OG0000026	MHP168_RS01450	NB623_RS01480
OG0000026	MHP168_RS01735	NB623_RS01815
OG0000027	MHP168_RS03845	NB623_RS03520
OG0000027	MHP168_RS03330	NB623_RS03535
OG0000029	MHP168_RS00575	NB623_RS01215
OG0000029	MHP168_RS01050	NB623_RS00605
OG0000030	MHP168_RS03310	NB623_RS03510
OG0000030	MHP168_RS03325	NB623_RS03530
OG0000031	MHP168_RS03565	NB623_RS01985
OG0000032	MHP168_RS03320	NB623_RS03525
OG0000035	MHP168_RS03185	NB623_RS03355
OG0000035	MHP168_RS03170	NB623_RS03345
OG0000036	MHP168_RS00105	NB623_RS00120
OG0000037	MHP168_RS01830	NB623_RS01695
OG0000039	MHP168_RS01800	NB623_RS01730
OG0000040	MHP168_RS03260	NB623_RS03445, NB623_RS03440, NB623_RS03435
OG0000041	MHP168_RS00980	NB623_RS00670
OG0000041	MHP168_RS03920	NB623_RS01315
OG0000042	MHP168_RS02950	NB623_RS03100
OG0000043	MHP168_RS01205	NB623_RS02180
OG0000044	MHP168_RS03745	NB623_RS01800
OG0000044	MHP168_RS01880	NB623_RS02300
OG0000045	MHP168_RS01795	NB623_RS01740
OG0000046	MHP168_RS03265	NB623_RS03450
OG0000047	MHP168_RS03530	NB623_RS01935
OG0000048	MHP168_RS02190	NB623_RS01920
OG0000049	MHP168_RS03035	NB623_RS03205
OG0000050	MHP168_RS02450	NB623_RS02600
OG0000051	MHP168_RS04010	NB623_RS02820
OG0000052	MHP168_RS00070	NB623_RS00080
OG0000053	MHP168_RS01535	NB623_RS01570
OG0000054	MHP168_RS02475	NB623_RS02625
OG0000055	MHP168_RS00110	NB623_RS00125
OG0000056	MHP168_RS03500	NB623_RS03725
OG0000057	MHP168_RS02935	NB623_RS03085
OG0000058	MHP168_RS01190	NB623_RS01995
OG0000058	MHP168_RS03570	NB623_RS01990
OG0000060	MHP168_RS00075	NB623_RS00085
OG0000061	MHP168_RS01940, MHP168_RS01655	NB623_RS02235
OG0000062	MHP168_RS03625	NB623_RS03775
OG0000063	MHP168_RS03620	NB623_RS03770
OG0000064	MHP168_RS03610	NB623_RS03760
OG0000065	MHP168_RS02125	NB623_RS02390
OG0000066	MHP168_RS01440	NB623_RS01470
OG0000068	MHP168_RS03810	NB623_RS00640
OG0000069	MHP168_RS02825	NB623_RS02980
OG0000070	MHP168_RS02480	NB623_RS02630
OG0000071	MHP168_RS03250	NB623_RS03425
OG0000072	MHP168_RS03255	NB623_RS03430
OG0000073	MHP168_RS00950	NB623_RS00710
OG0000074	MHP168_RS00760	NB623_RS00910
OG0000075	MHP168_RS00315	NB623_RS00330
OG0000077	MHP168_RS00420	NB623_RS00430
OG0000079	MHP168_RS02565	NB623_RS02720
OG0000080	MHP168_RS03900	NB623_RS02770
OG0000081	MHP168_RS00310	NB623_RS00325
OG0000083	MHP168_RS02095	NB623_RS02075
OG0000084	MHP168_RS02245	NB623_RS02045
OG0000085	MHP168_RS02240	NB623_RS02040
OG0000086	MHP168_RS02230	NB623_RS02030
OG0000087	MHP168_RS02215	NB623_RS02015
OG0000088	MHP168_RS02210	NB623_RS02010
OG0000089	MHP168_RS02195	NB623_RS02000
OG0000090	MHP168_RS00065	NB623_RS00070
OG0000091	MHP168_RS00055	NB623_RS00055
OG0000092	MHP168_RS00040	NB623_RS00050
OG0000093	MHP168_RS00035	NB623_RS00035
OG0000094	MHP168_RS00030	NB623_RS00030
OG0000095	MHP168_RS00005	NB623_RS00005
OG0000096	MHP168_RS03660	NB623_RS03810
OG0000097	MHP168_RS03640	NB623_RS03790
OG0000098	MHP168_RS03630	NB623_RS03780
OG0000099	MHP168_RS03510	NB623_RS03730
OG0000100	MHP168_RS03490	NB623_RS03715
OG0000101	MHP168_RS03485	NB623_RS03710
OG0000102	MHP168_RS01720	NB623_RS01830
OG0000103	MHP168_RS02160	NB623_RS02355
OG0000104	MHP168_RS02155	NB623_RS02360
OG0000105	MHP168_RS02140	NB623_RS02380
OG0000106	MHP168_RS02130	NB623_RS02385
OG0000107	MHP168_RS02120	NB623_RS02395
OG0000108	MHP168_RS02115	NB623_RS02400
OG0000109	MHP168_RS02110	NB623_RS02405
OG0000110	MHP168_RS02385	NB623_RS02525
OG0000111	MHP168_RS02380	NB623_RS02520
OG0000112	MHP168_RS02370	NB623_RS02510
OG0000113	MHP168_RS02350	NB623_RS02490
OG0000114	MHP168_RS02340	NB623_RS02485
OG0000115	MHP168_RS02325	NB623_RS02470
OG0000116	MHP168_RS01380	NB623_RS01415
OG0000117	MHP168_RS01385	NB623_RS01420
OG0000118	MHP168_RS01425	NB623_RS01455
OG0000119	MHP168_RS01430	NB623_RS01465
OG0000120	MHP168_RS01445	NB623_RS01475
OG0000121	MHP168_RS01470	NB623_RS01505
OG0000122	MHP168_RS01475	NB623_RS01510
OG0000123	MHP168_RS01495	NB623_RS01530
OG0000124	MHP168_RS01500	NB623_RS01535
OG0000125	MHP168_RS01505	NB623_RS01545
OG0000126	MHP168_RS01515	NB623_RS01550
OG0000127	MHP168_RS01525	NB623_RS01560
OG0000128	MHP168_RS01540	NB623_RS01575
OG0000129	MHP168_RS01545	NB623_RS01580
OG0000130	MHP168_RS01555	NB623_RS01590
OG0000131	MHP168_RS01585	NB623_RS01620
OG0000132	MHP168_RS01600	NB623_RS01635
OG0000133	MHP168_RS00510	NB623_RS00525
OG0000134	MHP168_RS00515	NB623_RS00530
OG0000135	MHP168_RS00530	NB623_RS00545
OG0000136	MHP168_RS00535	NB623_RS00550
OG0000137	MHP168_RS00570	NB623_RS00590
OG0000138	MHP168_RS01030	NB623_RS00615
OG0000139	MHP168_RS01000	NB623_RS00645
OG0000140	MHP168_RS00995	NB623_RS00650
OG0000141	MHP168_RS02945	NB623_RS03095
OG0000142	MHP168_RS02940	NB623_RS03090
OG0000143	MHP168_RS02915	NB623_RS03075
OG0000144	MHP168_RS02905	NB623_RS03060
OG0000145	MHP168_RS02895	NB623_RS03050
OG0000146	MHP168_RS02885	NB623_RS03040
OG0000147	MHP168_RS02880	NB623_RS03035
OG0000148	MHP168_RS02865	NB623_RS03020
OG0000149	MHP168_RS02855	NB623_RS03010
OG0000150	MHP168_RS02840	NB623_RS02995
OG0000151	MHP168_RS02790	NB623_RS02945
OG0000152	MHP168_RS02785	NB623_RS02940
OG0000153	MHP168_RS02780	NB623_RS02935
OG0000154	MHP168_RS02770	NB623_RS02925
OG0000155	MHP168_RS02730	NB623_RS02885
OG0000156	MHP168_RS02720	NB623_RS02875
OG0000157	MHP168_RS02715	NB623_RS02870
OG0000158	MHP168_RS04090	NB623_RS02860
OG0000159	MHP168_RS02465	NB623_RS02615
OG0000160	MHP168_RS02460	NB623_RS02610
OG0000161	MHP168_RS02455	NB623_RS02605
OG0000162	MHP168_RS02445	NB623_RS02595
OG0000163	MHP168_RS02440	NB623_RS02590
OG0000164	MHP168_RS01810	NB623_RS01725
OG0000165	MHP168_RS02010	NB623_RS02155
OG0000166	MHP168_RS02035	NB623_RS02135
OG0000167	MHP168_RS02050	NB623_RS02120
OG0000168	MHP168_RS02055	NB623_RS02115
OG0000169	MHP168_RS03030	NB623_RS03200
OG0000170	MHP168_RS03045	NB623_RS03215
OG0000171	MHP168_RS03055	NB623_RS03225
OG0000172	MHP168_RS03060	NB623_RS03230
OG0000173	MHP168_RS03065	NB623_RS03235
OG0000174	MHP168_RS03070	NB623_RS03240
OG0000175	MHP168_RS03085	NB623_RS03265
OG0000176	MHP168_RS03135	NB623_RS03310
OG0000177	MHP168_RS03140	NB623_RS03315
OG0000178	MHP168_RS03145	NB623_RS03320
OG0000179	MHP168_RS03155	NB623_RS03330
OG0000180	MHP168_RS03160	NB623_RS03335
OG0000181	MHP168_RS03200	NB623_RS03375
OG0000182	MHP168_RS03210	NB623_RS03385
OG0000183	MHP168_RS03245	NB623_RS03420
OG0000184	MHP168_RS03285	NB623_RS03485
OG0000185	MHP168_RS03270	NB623_RS03475
OG0000186	MHP168_RS01610	NB623_RS01645
OG0000187	MHP168_RS01625	NB623_RS01660
OG0000188	MHP168_RS01635	NB623_RS01670
OG0000189	MHP168_RS02300	NB623_RS02445
OG0000190	MHP168_RS02295	NB623_RS02440
OG0000191	MHP168_RS02275	NB623_RS02415
OG0000192	MHP168_RS01290	NB623_RS01340
OG0000193	MHP168_RS01280	NB623_RS01325
OG0000194	MHP168_RS00965	NB623_RS00690
OG0000195	MHP168_RS00960	NB623_RS00695
OG0000196	MHP168_RS00940	NB623_RS00720
OG0000197	MHP168_RS00935	NB623_RS00730
OG0000198	MHP168_RS00920	NB623_RS00740
OG0000199	MHP168_RS00915	NB623_RS00745
OG0000200	MHP168_RS00905	NB623_RS00760
OG0000201	MHP168_RS00895	NB623_RS00770
OG0000202	MHP168_RS00840	NB623_RS00830
OG0000203	MHP168_RS00835	NB623_RS00835
OG0000204	MHP168_RS00830	NB623_RS00840
OG0000205	MHP168_RS00825	NB623_RS00845
OG0000206	MHP168_RS00805	NB623_RS00865
OG0000207	MHP168_RS00790	NB623_RS00880
OG0000208	MHP168_RS00785	NB623_RS00885
OG0000209	MHP168_RS00780	NB623_RS00890
OG0000210	MHP168_RS00730	NB623_RS00935
OG0000211	MHP168_RS00715	NB623_RS01070
OG0000212	MHP168_RS00705	NB623_RS01080
OG0000213	MHP168_RS03705	NB623_RS01085
OG0000214	MHP168_RS00700	NB623_RS01090
OG0000215	MHP168_RS00695	NB623_RS01095
OG0000216	MHP168_RS00690	NB623_RS01100
OG0000217	MHP168_RS00685	NB623_RS01105
OG0000218	MHP168_RS00675	NB623_RS01115
OG0000219	MHP168_RS00670	NB623_RS01120
OG0000220	MHP168_RS00665	NB623_RS01125
OG0000221	MHP168_RS00660	NB623_RS01130
OG0000222	MHP168_RS00655	NB623_RS01135
OG0000223	MHP168_RS00650	NB623_RS01140
OG0000224	MHP168_RS00640	NB623_RS01150
OG0000225	MHP168_RS00630	NB623_RS01160
OG0000226	MHP168_RS00625	NB623_RS01165
OG0000227	MHP168_RS00620	NB623_RS01170
OG0000228	MHP168_RS04100	NB623_RS01175
OG0000229	MHP168_RS00610	NB623_RS01180
OG0000230	MHP168_RS00605	NB623_RS01185
OG0000231	MHP168_RS00595	NB623_RS01195
OG0000232	MHP168_RS00585	NB623_RS01205
OG0000233	MHP168_RS01075	NB623_RS01225
OG0000234	MHP168_RS01110	NB623_RS01260
OG0000235	MHP168_RS01120	NB623_RS01270
OG0000236	MHP168_RS01125	NB623_RS01275
OG0000237	MHP168_RS01130	NB623_RS01280
OG0000238	MHP168_RS01140	NB623_RS01285
OG0000239	MHP168_RS02955	NB623_RS03105
OG0000240	MHP168_RS02960	NB623_RS03110
OG0000241	MHP168_RS02970	NB623_RS03120
OG0000242	MHP168_RS02975	NB623_RS03125
OG0000243	MHP168_RS02980	NB623_RS03130
OG0000244	MHP168_RS02990	NB623_RS03140
OG0000245	MHP168_RS03000	NB623_RS03145
OG0000246	MHP168_RS00115	NB623_RS00130
OG0000247	MHP168_RS00125	NB623_RS00140
OG0000248	MHP168_RS00135	NB623_RS00150
OG0000249	MHP168_RS00140	NB623_RS00155
OG0000250	MHP168_RS00155	NB623_RS00175
OG0000251	MHP168_RS00180	NB623_RS00205
OG0000252	MHP168_RS00190	NB623_RS00210
OG0000253	MHP168_RS00195	NB623_RS00215
OG0000254	MHP168_RS00205	NB623_RS00225
OG0000255	MHP168_RS00215	NB623_RS00230
OG0000256	MHP168_RS00220	NB623_RS00240
OG0000257	MHP168_RS00245	NB623_RS00260
OG0000258	MHP168_RS00255	NB623_RS00270
OG0000259	MHP168_RS00285	NB623_RS00300
OG0000260	MHP168_RS00295	NB623_RS00310
OG0000261	MHP168_RS00305	NB623_RS00320
OG0000262	MHP168_RS00320	NB623_RS00340
OG0000263	MHP168_RS00335	NB623_RS00350
OG0000264	MHP168_RS00350	NB623_RS00365
OG0000265	MHP168_RS00360	NB623_RS00375
OG0000266	MHP168_RS00375	NB623_RS00390
OG0000267	MHP168_RS00390	NB623_RS00405
OG0000268	MHP168_RS00395	NB623_RS00410
OG0000269	MHP168_RS00410	NB623_RS00425
OG0000270	MHP168_RS03460	NB623_RS03685
OG0000271	MHP168_RS03455	NB623_RS03675
OG0000272	MHP168_RS03450	NB623_RS03670
OG0000273	MHP168_RS03445	NB623_RS03665
OG0000274	MHP168_RS03425	NB623_RS03650
OG0000275	MHP168_RS03420	NB623_RS03640
OG0000276	MHP168_RS03415	NB623_RS03635
OG0000277	MHP168_RS03405	NB623_RS03625
OG0000278	MHP168_RS03400	NB623_RS03620
OG0000279	MHP168_RS03390	NB623_RS03615
OG0000280	MHP168_RS03385	NB623_RS03605
OG0000281	MHP168_RS03790	NB623_RS03600
OG0000282	MHP168_RS03360	NB623_RS03570
OG0000283	MHP168_RS03355	NB623_RS03565
OG0000284	MHP168_RS03350	NB623_RS03560
OG0000285	MHP168_RS03345	NB623_RS03555
OG0000286	MHP168_RS02425	NB623_RS02575
OG0000287	MHP168_RS02525	NB623_RS02675
OG0000288	MHP168_RS02535	NB623_RS02685
OG0000289	MHP168_RS02540	NB623_RS02690
OG0000290	MHP168_RS02650	NB623_RS02810
OG0000291	MHP168_RS02640	NB623_RS02800
OG0000292	MHP168_RS02635	NB623_RS02795
OG0000293	MHP168_RS02630	NB623_RS02790
OG0000294	MHP168_RS02620	NB623_RS02780
OG0000295	MHP168_RS02615	NB623_RS02775
OG0000296	MHP168_RS02575	NB623_RS02730
OG0000297	MHP168_RS02570	NB623_RS02725
OG0000298	MHP168_RS00150	NB623_RS00165
OG0000299	MHP168_RS03690	NB623_RS00185
OG0000300	MHP168_RS00345	NB623_RS00360
OG0000301	MHP168_RS00380	NB623_RS00395
OG0000302	MHP168_RS00385	NB623_RS00400
OG0000303	MHP168_RS00540	NB623_RS00555
OG0000304	MHP168_RS00580	NB623_RS01210
OG0000305	MHP168_RS02890	NB623_RS03045
OG0000306	MHP168_RS02810	NB623_RS02970
OG0000307	MHP168_RS02775	NB623_RS02930
OG0000308	MHP168_RS02675	NB623_RS02835
OG0000309	MHP168_RS02605	NB623_RS02765
OG0000310	MHP168_RS02530	NB623_RS02680
OG0000311	MHP168_RS02485	NB623_RS02635
OG0000312	MHP168_RS02470	NB623_RS02620
OG0000313	MHP168_RS01820	NB623_RS01715
OG0000314	MHP168_RS02030	NB623_RS02140
OG0000315	MHP168_RS02060	NB623_RS02110
OG0000316	MHP168_RS02070	NB623_RS02100
OG0000317	MHP168_RS02205	NB623_RS02005
OG0000318	MHP168_RS02075	NB623_RS02095
OG0000319	MHP168_RS02145	NB623_RS02370
OG0000320	MHP168_RS02360	NB623_RS02500
OG0000321	MHP168_RS01420	NB623_RS01450
OG0000322	MHP168_RS01465	NB623_RS01500
OG0000323	MHP168_RS01595	NB623_RS01630
OG0000324	MHP168_RS02270	NB623_RS02410
OG0000325	MHP168_RS00955	NB623_RS00705
OG0000326	MHP168_RS00865	NB623_RS00805
OG0000327	MHP168_RS00860	NB623_RS00810
OG0000328	MHP168_RS00775	NB623_RS00895
OG0000329	MHP168_RS00750	NB623_RS00915
OG0000330	MHP168_RS01085	NB623_RS01235
OG0000331	MHP168_RS02985	NB623_RS03135
OG0000332	MHP168_RS03095	NB623_RS03270
OG0000333	MHP168_RS03105	NB623_RS03280
OG0000334	MHP168_RS03205	NB623_RS03380
OG0000335	MHP168_RS03215	NB623_RS03390
OG0000336	MHP168_RS03375	NB623_RS03590
OG0000337	MHP168_RS03615	NB623_RS03765
OG0000338	MHP168_RS03655	NB623_RS03805
OG0000339	MHP168_RS02330	NB623_RS02475
OG0000340	MHP168_RS01395	NB623_RS01430
OG0000341	MHP168_RS02290	NB623_RS02435
OG0000342	MHP168_RS00925	NB623_RS00735
OG0000343	MHP168_RS03115	NB623_RS03290
OG0000344	MHP168_RS00555	NB623_RS00570
OG0000345	MHP168_RS00635	NB623_RS01155
OG0000346	MHP168_RS03380	NB623_RS03595
OG0000347	MHP168_RS01490	NB623_RS01525
OG0000348	MHP168_RS00855	NB623_RS00815
OG0000349	MHP168_RS03435	NB623_RS03655
OG0000350	MHP168_RS02765	NB623_RS02920
OG0000351	MHP168_RS00475	NB623_RS00480
OG0000352	MHP168_RS02005	NB623_RS02160
OG0000353	MHP168_RS01460	NB623_RS01490
OG0000354	MHP168_RS01015	NB623_RS00630
OG0000355	MHP168_RS01975	NB623_RS02185
OG0000356	MHP168_RS02065	NB623_RS02105
OG0000357	MHP168_RS03075	NB623_RS03245
OG0000358	MHP168_RS03080	NB623_RS03250
OG0000359	MHP168_RS00885	NB623_RS00780
OG0000360	MHP168_RS00250	NB623_RS00265
OG0000361	MHP168_RS00280	NB623_RS00295
OG0000362	MHP168_RS02550	NB623_RS02705
OG0000363	MHP168_RS01530	NB623_RS01565
OG0000364	MHP168_RS01955	NB623_RS02210
OG0000365	MHP168_RS02260	NB623_RS02060
OG0000366	MHP168_RS02235	NB623_RS02035
OG0000367	MHP168_RS02225	NB623_RS02025
OG0000368	MHP168_RS00060	NB623_RS00060
OG0000369	MHP168_RS00025	NB623_RS00025
OG0000370	MHP168_RS00020	NB623_RS00020
OG0000371	MHP168_RS00015	NB623_RS00015
OG0000372	MHP168_RS00010	NB623_RS00010
OG0000373	MHP168_RS03645	NB623_RS03795
OG0000374	MHP168_RS03635	NB623_RS03785
OG0000375	MHP168_RS02150	NB623_RS02365
OG0000376	MHP168_RS02375	NB623_RS02515
OG0000377	MHP168_RS02365	NB623_RS02505
OG0000378	MHP168_RS01375	NB623_RS01410
OG0000379	MHP168_RS01455	NB623_RS01485
OG0000380	MHP168_RS01480	NB623_RS01515
OG0000381	MHP168_RS01520	NB623_RS01555
OG0000382	MHP168_RS01550	NB623_RS01585
OG0000383	MHP168_RS01590	NB623_RS01625
OG0000384	MHP168_RS00495	NB623_RS00510
OG0000385	MHP168_RS00500	NB623_RS00520
OG0000386	MHP168_RS00520	NB623_RS00535
OG0000387	MHP168_RS00545	NB623_RS00560
OG0000388	MHP168_RS00550	NB623_RS00565
OG0000389	MHP168_RS01035	NB623_RS00610
OG0000390	MHP168_RS02910	NB623_RS03065
OG0000391	MHP168_RS02900	NB623_RS03055
OG0000392	MHP168_RS02875	NB623_RS03030
OG0000393	MHP168_RS02815	NB623_RS02975
OG0000394	MHP168_RS02740	NB623_RS02895
OG0000395	MHP168_RS02735	NB623_RS02890
OG0000396	MHP168_RS02430	NB623_RS02580
OG0000397	MHP168_RS01990	NB623_RS02175
OG0000398	MHP168_RS01995	NB623_RS02170
OG0000399	MHP168_RS02045	NB623_RS02125
OG0000400	MHP168_RS03040	NB623_RS03210
OG0000401	MHP168_RS03100	NB623_RS03275
OG0000402	MHP168_RS03110	NB623_RS03285
OG0000403	MHP168_RS03120	NB623_RS03295
OG0000404	MHP168_RS03150	NB623_RS03325
OG0000405	MHP168_RS03165	NB623_RS03340
OG0000406	MHP168_RS03220	NB623_RS03395
OG0000407	MHP168_RS03225	NB623_RS03400
OG0000408	MHP168_RS03230	NB623_RS03405
OG0000409	MHP168_RS03235	NB623_RS03410
OG0000410	MHP168_RS03290	NB623_RS03495
OG0000411	MHP168_RS03280	NB623_RS03480
OG0000413	MHP168_RS01605	NB623_RS01640
OG0000414	MHP168_RS01615	NB623_RS01650
OG0000415	MHP168_RS01620	NB623_RS01655
OG0000416	MHP168_RS01630	NB623_RS01665
OG0000417	MHP168_RS03990	NB623_RS02430
OG0000418	MHP168_RS02280	NB623_RS02420
OG0000419	MHP168_RS00945	NB623_RS00715
OG0000420	MHP168_RS00910	NB623_RS00750
OG0000421	MHP168_RS00880	NB623_RS00790
OG0000422	MHP168_RS00870	NB623_RS00800
OG0000423	MHP168_RS00815	NB623_RS00855
OG0000424	MHP168_RS00810	NB623_RS00860
OG0000425	MHP168_RS00800	NB623_RS00870
OG0000426	MHP168_RS00795	NB623_RS00875
OG0000427	MHP168_RS00770	NB623_RS00900
OG0000428	MHP168_RS00740	NB623_RS00925
OG0000429	MHP168_RS00645	NB623_RS01145
OG0000430	MHP168_RS00600	NB623_RS01190
OG0000431	MHP168_RS00590	NB623_RS01200
OG0000432	MHP168_RS01080	NB623_RS01230
OG0000433	MHP168_RS01095	NB623_RS01245
OG0000434	MHP168_RS01100	NB623_RS01255
OG0000435	MHP168_RS01115	NB623_RS01265
OG0000436	MHP168_RS01145	NB623_RS01290
OG0000437	MHP168_RS01155	NB623_RS01300
OG0000438	MHP168_RS01160	NB623_RS01305
OG0000439	MHP168_RS01165	NB623_RS01310
OG0000440	MHP168_RS02965	NB623_RS03115
OG0000441	MHP168_RS03010	NB623_RS03150
OG0000442	MHP168_RS00120	NB623_RS00135
OG0000443	MHP168_RS00165	NB623_RS00180
OG0000444	MHP168_RS00175	NB623_RS00195
OG0000445	MHP168_RS00200	NB623_RS00220
OG0000446	MHP168_RS00230	NB623_RS00245
OG0000447	MHP168_RS00235	NB623_RS00255
OG0000448	MHP168_RS00265	NB623_RS00280
